group_id,group_size,avg_similarity,total_methods,deleted_count,deleted_ratio,is_fully_deleted,is_partially_deleted,is_surviving
177,4,83.33333333333333,4,0,0.0,False,False,True
128,5,82.83333333333333,5,0,0.0,False,False,True
571,2,71.0,2,1,0.5,False,True,False
1577,1,0.0,2,0,0.0,False,False,True
581,2,72.0,2,0,0.0,False,False,True
65,7,83.28571428571429,11,0,0.0,False,False,True
309,3,81.5,3,0,0.0,False,False,True
694,2,79.0,2,0,0.0,False,False,True
1576,1,0.0,2,2,1.0,True,False,False
573,2,80.0,2,0,0.0,False,False,True
129,5,86.0,5,1,0.2,False,True,False
5,27,78.91176470588235,27,0,0.0,False,False,True
591,2,74.0,2,0,0.0,False,False,True
308,3,83.0,3,3,1.0,True,False,False
595,2,78.0,2,2,1.0,True,False,False
572,2,89.0,2,0,0.0,False,False,True
130,5,75.6,5,5,1.0,True,False,False
576,2,73.0,2,2,1.0,True,False,False
316,3,79.0,3,0,0.0,False,False,True
693,2,78.0,2,0,0.0,False,False,True
575,2,73.0,2,2,1.0,True,False,False
577,2,89.0,2,1,0.5,False,True,False
574,2,74.0,2,2,1.0,True,False,False
178,4,88.66666666666667,4,3,0.75,False,True,False
578,2,90.0,2,0,0.0,False,False,True
310,3,78.33333333333333,5,3,0.6,False,True,False
132,5,77.625,5,3,0.6,False,True,False
584,2,86.0,2,0,0.0,False,False,True
579,2,81.0,2,0,0.0,False,False,True
580,2,90.0,2,0,0.0,False,False,True
593,2,73.0,2,0,0.0,False,False,True
582,2,78.0,2,0,0.0,False,False,True
600,2,93.0,2,2,1.0,True,False,False
583,2,84.0,2,1,0.5,False,True,False
596,2,87.0,2,1,0.5,False,True,False
317,3,80.0,3,1,0.3333333333333333,False,True,False
589,2,76.0,2,1,0.5,False,True,False
695,2,75.0,2,0,0.0,False,False,True
336,3,85.5,3,0,0.0,False,False,True
311,3,76.5,4,0,0.0,False,False,True
586,2,85.0,2,0,0.0,False,False,True
585,2,70.0,2,0,0.0,False,False,True
587,2,86.0,2,0,0.0,False,False,True
588,2,70.0,2,0,0.0,False,False,True
313,3,100.0,3,3,1.0,True,False,False
609,2,100.0,2,0,0.0,False,False,True
312,3,92.5,3,0,0.0,False,False,True
590,2,93.0,2,0,0.0,False,False,True
611,2,77.0,2,0,0.0,False,False,True
604,2,100.0,2,0,0.0,False,False,True
606,2,75.0,2,2,1.0,True,False,False
607,2,100.0,2,0,0.0,False,False,True
315,3,100.0,3,0,0.0,False,False,True
608,2,100.0,2,0,0.0,False,False,True
613,2,74.0,2,1,0.5,False,True,False
319,3,76.0,3,0,0.0,False,False,True
597,2,81.0,2,0,0.0,False,False,True
614,2,78.0,2,0,0.0,False,False,True
610,2,100.0,2,0,0.0,False,False,True
592,2,100.0,2,0,0.0,False,False,True
626,2,90.0,2,0,0.0,False,False,True
314,3,100.0,3,0,0.0,False,False,True
598,2,100.0,2,0,0.0,False,False,True
594,2,79.0,2,0,0.0,False,False,True
602,2,100.0,2,0,0.0,False,False,True
603,2,88.0,2,0,0.0,False,False,True
599,2,100.0,2,0,0.0,False,False,True
672,2,77.0,2,0,0.0,False,False,True
325,3,89.33333333333333,3,0,0.0,False,False,True
642,2,94.0,2,0,0.0,False,False,True
17,14,81.13793103448276,14,0,0.0,False,False,True
318,3,100.0,3,0,0.0,False,False,True
179,4,87.33333333333333,4,0,0.0,False,False,True
4,30,80.3030303030303,30,0,0.0,False,False,True
650,2,75.0,2,0,0.0,False,False,True
66,7,88.16666666666667,7,0,0.0,False,False,True
601,2,100.0,2,0,0.0,False,False,True
631,2,100.0,2,0,0.0,False,False,True
638,2,84.0,2,2,1.0,True,False,False
636,2,100.0,2,0,0.0,False,False,True
605,2,100.0,2,0,0.0,False,False,True
641,2,100.0,2,0,0.0,False,False,True
67,7,85.5,7,0,0.0,False,False,True
617,2,80.0,2,0,0.0,False,False,True
616,2,83.0,2,0,0.0,False,False,True
131,5,86.8,5,0,0.0,False,False,True
646,2,89.0,2,0,0.0,False,False,True
627,2,72.0,2,0,0.0,False,False,True
180,4,89.16666666666667,4,0,0.0,False,False,True
648,2,100.0,2,0,0.0,False,False,True
678,2,89.0,2,0,0.0,False,False,True
1578,1,0.0,2,0,0.0,False,False,True
680,2,87.0,2,0,0.0,False,False,True
681,2,87.0,2,0,0.0,False,False,True
679,2,75.0,2,0,0.0,False,False,True
30,10,83.07142857142857,12,0,0.0,False,False,True
682,2,93.0,2,0,0.0,False,False,True
133,5,100.0,5,0,0.0,False,False,True
619,2,100.0,2,0,0.0,False,False,True
615,2,100.0,2,0,0.0,False,False,True
612,2,100.0,2,0,0.0,False,False,True
620,2,100.0,2,0,0.0,False,False,True
666,2,82.0,2,0,0.0,False,False,True
639,2,100.0,2,0,0.0,False,False,True
621,2,100.0,2,0,0.0,False,False,True
684,2,85.0,2,0,0.0,False,False,True
625,2,78.0,2,0,0.0,False,False,True
618,2,70.0,2,0,0.0,False,False,True
623,2,84.0,2,0,0.0,False,False,True
181,4,73.4,4,0,0.0,False,False,True
629,2,100.0,2,0,0.0,False,False,True
665,2,76.0,2,0,0.0,False,False,True
633,2,90.0,2,0,0.0,False,False,True
320,3,100.0,3,0,0.0,False,False,True
632,2,100.0,2,0,0.0,False,False,True
667,2,100.0,2,0,0.0,False,False,True
653,2,100.0,2,0,0.0,False,False,True
321,3,73.0,3,0,0.0,False,False,True
622,2,77.0,2,0,0.0,False,False,True
184,4,75.5,4,0,0.0,False,False,True
640,2,83.0,2,0,0.0,False,False,True
668,2,87.0,2,0,0.0,False,False,True
182,4,78.66666666666667,4,0,0.0,False,False,True
