snapshot_t,snapshot_t1,exact_matches,token_hash_matches,renamed,moved,signature_changed,refactored,added_methods,deleted_methods,total_t,total_t1
9d008057,87a3370b,0,0,0,0,0,0,1370,0,0,1370
87a3370b,71b65ab6,980,99,8,47,26,11,782,199,1370,1953
71b65ab6,10e3edea,1619,11,4,22,64,23,702,210,1953,2445
10e3edea,026bc001,2291,2,6,3,39,3,491,101,2445,2835
026bc001,13c5d72a,2546,0,9,3,69,13,514,195,2835,3154
13c5d72a,68953ed9,2915,0,3,1,41,6,316,188,3154,3282
68953ed9,ebee2f8e,3099,11,11,26,48,24,1657,63,3282,4876
ebee2f8e,5e6e590e,4642,5,16,31,82,25,790,75,4876,5591
5e6e590e,7bb9174e,5345,61,5,22,63,13,346,82,5591,5855
7bb9174e,d6eace7b,5565,5,16,3,106,11,592,149,5855,6298
d6eace7b,4661525c,6069,6,12,14,91,17,706,89,6298,6915
4661525c,55d07c0c,6734,0,23,5,93,4,479,56,6915,7338
55d07c0c,d6ceebab,7056,15,19,28,138,15,748,67,7338,8019
d6ceebab,aa88215a,4851,1770,15,891,108,85,1497,299,8019,9217
aa88215a,61d84dbf,5552,2213,61,785,83,91,1153,432,9217,9938
61d84dbf,b45325e2,7007,1071,120,977,132,198,941,433,9938,10446
b45325e2,d5d5a718,8439,683,39,381,258,155,1131,491,10446,11086
d5d5a718,96d321c7,9109,355,62,458,539,168,1413,395,11086,12104
96d321c7,0d893d08,10388,96,32,282,326,202,1419,778,12104,12745
0d893d08,8f6118c6,11232,89,31,351,317,297,814,428,12745,13131
8f6118c6,857b3d66,11357,126,32,292,687,32,606,605,13131,13132
857b3d66,b41911e5,11236,725,30,238,472,65,695,366,13132,13461
b41911e5,18a7e973,11892,622,46,279,374,56,653,192,13461,13922
18a7e973,2067d7e3,12958,181,74,61,475,25,770,148,13922,14544
2067d7e3,43fa1600,12568,464,74,564,358,184,963,332,14544,15175
43fa1600,b1363b4c,13027,570,43,560,659,106,917,210,15175,15882
b1363b4c,e4dedcaf,14194,36,35,68,1214,88,1017,247,15882,16652
e4dedcaf,ad0baebc,15664,46,27,36,643,38,704,198,16652,17158
ad0baebc,08104e8c,15568,167,116,55,817,99,1089,336,17158,17911
08104e8c,224458ee,16867,32,29,16,870,26,1032,71,17911,18872
224458ee,21d6fcbd,17055,1,41,4,1033,61,593,677,18872,18788
21d6fcbd,ac79adcf,17689,25,38,33,769,43,822,191,18788,19419
ac79adcf,0eeb8cbe,18245,63,56,52,669,66,1003,268,19419,20154
0eeb8cbe,ae860227,18137,399,69,220,1032,101,847,196,20154,20805
ae860227,737c69cf,18564,5,38,17,1444,81,425,656,20805,20574
737c69cf,928fb7eb,20028,10,21,12,372,29,410,102,20574,20882
