method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
0043610f40ee38087921c3d4112f522c,5d7d4aa727658070ad2eb1d40e91fb8f,both_added,added,added,,
005453a4ab26bbd4b72a2bb106efcfb1,5d9c09df19a5c5db40390fa93d5b10a3,both_added,added,added,,
00c152cd14113738ca3a5e85dd0f231b,a4249969e3da578e4b59e15a5cee9244,both_added,added,added,,
01748ef8df6c24d7440feb0f9d648fd9,11f22e77023da3c2a7f9a4029142eb43,pair_formed_naturally,unknown,unknown,,
033428faccda16b08c9274b81c58291b,94a2c4058cfb7bade975a4b283deb549,both_added,added,added,,
03487f7a1c04b743ed4bf2878195d6b4,c7db46b89dd1975b286197a97777cb43,both_added,added,added,,
03be27f13cc928dad784fbcc7b811cbe,5436e4fd9ed168802b1e3512b7dbefc5,both_added,added,added,,
0454f726a71e5838942af948a39ba8ee,0fc8b4cc5760d356484b15a5ec52a2a4,both_added,added,added,,
0454f726a71e5838942af948a39ba8ee,ba38eefe8a9230b6206f47946ab8430c,both_added,added,added,,
0454f726a71e5838942af948a39ba8ee,f0fad72ef059270bf7240df6ff497b80,both_added,added,added,,
048fa0f493b3018b79b52fc7b70b374b,0eb803da01f77182d0cc4287b4ed04e1,both_added,added,added,,
048fa0f493b3018b79b52fc7b70b374b,1ca879e5dc6950f8ba828f6f4bc50311,both_added,added,added,,
0493cfc394a678562feaa2207f88420e,5e7414d867f4302128c8040afb0bc4f6,both_added,added,added,,
04bad04488c2b1fd7737e2829607dea4,6b4fb8a449bee5fb28cdc8bddad34782,both_added,added,added,,
06b080dc61aa1f5814e651758029e6bb,237babefd4f9ed4b80372f303e90408a,pair_formed_naturally,unknown,unknown,,
06b080dc61aa1f5814e651758029e6bb,2ca14a2dc88e96fa2da34ac34a327e26,pair_formed_naturally,unknown,unknown,,
0735cef60c60467adcf3fe3fa7343e0c,91495fe53233485a52d578d9b4c55512,both_added,added,added,,
0769a81e95be60854ce443b522eb4adb,28c125fc967158d76b7823b6c2e7e71f,method_b_added,unknown,added,,
07a7014cb611a3fb86540005f30be5e9,95b3cb268af3bf76b4aae2a5af864fcb,both_added,added,added,,
088a22b67477e69c97cdc09ff46d1b7c,47c2049b12019a8cc90d788be678f3f3,both_added,added,added,,
088a22b67477e69c97cdc09ff46d1b7c,5733b5bcf5154027c8c01be74f6deecb,both_added,added,added,,
088a22b67477e69c97cdc09ff46d1b7c,84738d39cda4d33c137ee1fa6a57e6ac,both_added,added,added,,
088a22b67477e69c97cdc09ff46d1b7c,da7b0101abc10a108bad2ed142b660d4,both_added,added,added,,
093542c436fbb81f3c0983f454272507,aa91b8b7c116c25d5a8cb4116dc1fd26,both_added,added,added,,
093542c436fbb81f3c0983f454272507,af11c50ace7c3c26e5c559a05e2dee10,both_added,added,added,,
09594a258d5c1f08985c35d00a072134,f5ab76126569bfb0e08da8b417098bb6,both_added,added,added,,
09856b8d0765e997dd958d97bf7a4a14,1b01f5d4dce2967b2d444aebbff7462b,method_a_added,added,unknown,,
09856b8d0765e997dd958d97bf7a4a14,1e7f3f51b8fed8eefd7df374acbf09d6,method_a_added,added,unknown,,
09856b8d0765e997dd958d97bf7a4a14,1f537ba165a96dd161e065c9d26d4131,method_a_added,added,unknown,,
09856b8d0765e997dd958d97bf7a4a14,603990ae118957fce43a360bccb67e64,method_a_added,added,unknown,,
09856b8d0765e997dd958d97bf7a4a14,78a8a0495388a1f149a6ec381355c2b1,method_a_added,added,unknown,,
09856b8d0765e997dd958d97bf7a4a14,ed06254bb1daf2193cada281a5b7a772,method_a_added,added,unknown,,
099153596464c44b5abda0d6995dc62c,6286d1536e5971b9d650dc0bddb8fda8,both_added,added,added,,
099153596464c44b5abda0d6995dc62c,8d697975cd6bc1928296d1b2636dc2d1,method_a_added,added,unknown,,
0a55fe1fd88ce889c5eef78a07a5f35b,291e76cbdc7a34a8e735df9c591e40de,both_added,added,added,,
0a55fe1fd88ce889c5eef78a07a5f35b,e301fddc050b7a20d88cbe01da9c9648,both_added,added,added,,
0b2d3f617b32e102ca6010ee2bf4efe7,8722be0729170a497eca009b40f22348,both_added,added,added,,
0c00e071ff57251b5c1cfceed096f030,15c50fe2eed0e86f1a873e2da6ef5977,both_added,added,added,,
0c0fd9caab31730a24584eaf8b5ec3d6,7f6b68c16527e104d90d3e62e54266b6,both_added,added,added,,
0cb381c13d673f8d7ee266811e7dcf86,49ee9d3c121604c58a0a72d04ffacd9a,both_added,added,added,,
0ce2bb09fae08e8aaa8b24e1d27d526b,a1be820e6ec3536753775d1b25be358a,method_a_added,added,unknown,,
0d6cdab5f3a5eb884b179950702a4e18,6286d1536e5971b9d650dc0bddb8fda8,both_added,added,added,,
0d6cdab5f3a5eb884b179950702a4e18,8d697975cd6bc1928296d1b2636dc2d1,method_a_added,added,unknown,,
0d9f9f73141bc660c139b7db9052ef3f,2977a31bdb6c8711af7b57563008e1ae,both_added,added,added,,
0d9f9f73141bc660c139b7db9052ef3f,e929e39f9ed5f99717da3b2492b388bd,both_added,added,added,,
0d9f9f73141bc660c139b7db9052ef3f,fe6ec3f481775a3868ae223705d3b8e8,both_added,added,added,,
0de1e06e038c7e62f8f6517b6f5ae411,a6f170180a3f4ed71ea9c91a57edfb81,both_added,added,added,,
0e397ab833ac03e782ef8a3f1b47e0b5,6553d54144833ac8187709e1c78ae939,both_added,added,added,,
0eb803da01f77182d0cc4287b4ed04e1,1ca879e5dc6950f8ba828f6f4bc50311,both_added,added,added,,
0ec5105498c3fc5aeaaf78962a7918b5,afb229db4fa7896b8c76d6eaa442fce9,both_added,added,added,,
0fc8b4cc5760d356484b15a5ec52a2a4,ba38eefe8a9230b6206f47946ab8430c,both_added,added,added,,
