method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
00624f0a9e3e7b328d8791b1e1d9055f,01a03d134420e799dc597b7f256dd0cc,both_added,added,added,,
00c36bcb01167a983ad267ae41ccf01a,97fbd734bb40b24cba3eb7f867e2e4fc,both_added,added,added,,
00c36bcb01167a983ad267ae41ccf01a,a9a7dc6becf17b7220317c22523789e7,both_added,added,added,,
019444dc887004808d8dcb2db026539e,88cbf5d6afb6f1c2e846b81950fb8e1b,both_added,added,added,,
01a03d134420e799dc597b7f256dd0cc,8f58fb09614f57eefdb373c0c911d237,both_added,added,added,,
01b736183f8036b0f2c9e14e347dc085,2b584cdeaef025014ae6b2c4a4bf8c5f,both_added,added,added,,
01b736183f8036b0f2c9e14e347dc085,6ea259cb3b13bab3b2cc3a7c69213f28,both_added,added,added,,
037ab70b4d7e151d3a67e2e7abf2dcfe,568d4e34201101374494ded903e7eada,both_added,added,added,,
03d7508a6fc6e4b3516e13a32b649116,095295195b85f810a54a049e7cad5b98,both_added,added,added,,
03d7508a6fc6e4b3516e13a32b649116,b3bec09724ec1f151a9f50b081928b1f,both_added,added,added,,
04236c83e4404a00cd31a766f1510a66,1807cad5e881595e2c97785e8301dcb4,both_added,added,added,,
04493f4fc1c2f5c92f2c66286f8f3031,2b584cdeaef025014ae6b2c4a4bf8c5f,both_added,added,added,,
04493f4fc1c2f5c92f2c66286f8f3031,2bb6352c5dbc364fb598d5efa614fb74,both_added,added,added,,
04493f4fc1c2f5c92f2c66286f8f3031,6ea259cb3b13bab3b2cc3a7c69213f28,both_added,added,added,,
04a06736c42c4e3005aeb15cafc1549e,0a32fdb0d8222705e4bd917c71d98a1f,both_added,added,added,,
04a06736c42c4e3005aeb15cafc1549e,2a1a38529a99a62c09cec05e6f8a9d58,both_added,added,added,,
04a06736c42c4e3005aeb15cafc1549e,3e3b88a55b25338505fe1963850772de,both_added,added,added,,
04a06736c42c4e3005aeb15cafc1549e,3fe0b6277d6bf08268e5c34291547295,both_added,added,added,,
04a06736c42c4e3005aeb15cafc1549e,6c7addc19a9dbbe9cf3ebed3da651bb6,both_added,added,added,,
04a06736c42c4e3005aeb15cafc1549e,8a71c01a1b024f4531cbca798099adc5,both_added,added,added,,
04a06736c42c4e3005aeb15cafc1549e,af06e583ef42d1f262014f347d18bed7,both_added,added,added,,
04a06736c42c4e3005aeb15cafc1549e,c34fb5d3828e898bc3e6e6a7d44e0816,both_added,added,added,,
04a06736c42c4e3005aeb15cafc1549e,d09629f22c29c214af83d03742b1be92,both_added,added,added,,
04a06736c42c4e3005aeb15cafc1549e,d817fc759fd925b25f833a493f9b6882,both_added,added,added,,
04d348fa02726fdae9e245011db98971,e0e9acd4a887ae7df961b562e2b320fc,method_a_added,added,unknown,,
0587bd47a9297e9579c0fa5f2c4f9c54,4daa74e644ad3dc165b82695fcfd2bab,pair_formed_naturally,exact,exact,1.0,1.0
0587bd47a9297e9579c0fa5f2c4f9c54,65dc0ec5a3319df8c1ef25a69c2ed693,pair_formed_naturally,exact,exact,1.0,1.0
05ad564086f021bb349f1f501bdfb130,92110ff063d8a1921aa0139a0edfac80,pair_formed_by_refactoring,refactored,refactored,0.83,0.84
05d7c0adf6f4d467aa2d4cd221633434,0a55fe1fd88ce889c5eef78a07a5f35b,pair_formed_by_refactoring,moved,token_hash,1.0,1.0
05d7c0adf6f4d467aa2d4cd221633434,b7df4f97e020e3737660fc4f643d1e25,pair_formed_by_refactoring,moved,moved,1.0,1.0
05f8cd36ae812d6cde7d71665cee60d0,0796dd2e17d6f3f40de1783694b8af7c,both_added,added,added,,
05f8cd36ae812d6cde7d71665cee60d0,9cf044d3a3145c05143d2e97c9b45525,both_added,added,added,,
0664cfc9a1452374fb26c957e60e71af,df86bb964d6da82315c973e9793f2381,pair_formed_naturally,exact,exact,1.0,1.0
068a52eb13158110f767d7d6a11dd1e9,f63f51402c69a80dddf0f9f8ca6d4852,both_added,added,added,,
06f55126a7f333b332fe9cb98f26ea95,df8579727dc57ff14d8cf9cb8c7cdf77,pair_formed_naturally,exact,exact,1.0,1.0
0796dd2e17d6f3f40de1783694b8af7c,0a32fdb0d8222705e4bd917c71d98a1f,both_added,added,added,,
0796dd2e17d6f3f40de1783694b8af7c,2a1a38529a99a62c09cec05e6f8a9d58,both_added,added,added,,
0796dd2e17d6f3f40de1783694b8af7c,3fe0b6277d6bf08268e5c34291547295,both_added,added,added,,
0796dd2e17d6f3f40de1783694b8af7c,6c7addc19a9dbbe9cf3ebed3da651bb6,both_added,added,added,,
0796dd2e17d6f3f40de1783694b8af7c,8a71c01a1b024f4531cbca798099adc5,both_added,added,added,,
0796dd2e17d6f3f40de1783694b8af7c,9cf044d3a3145c05143d2e97c9b45525,both_added,added,added,,
0796dd2e17d6f3f40de1783694b8af7c,af06e583ef42d1f262014f347d18bed7,both_added,added,added,,
0796dd2e17d6f3f40de1783694b8af7c,b2b03fbaa0687fc5ed49cd8d76412f71,both_added,added,added,,
0796dd2e17d6f3f40de1783694b8af7c,c34fb5d3828e898bc3e6e6a7d44e0816,both_added,added,added,,
0796dd2e17d6f3f40de1783694b8af7c,d09629f22c29c214af83d03742b1be92,both_added,added,added,,
0796dd2e17d6f3f40de1783694b8af7c,d817fc759fd925b25f833a493f9b6882,both_added,added,added,,
0796dd2e17d6f3f40de1783694b8af7c,eccc8056c5087454fa1c53b01524354b,both_added,added,added,,
07a7014cb611a3fb86540005f30be5e9,142b63214415c3c60a0ff805a0b7cf14,pair_formed_naturally,exact,exact,1.0,1.0
07d79f8399d55e6080d9d735ca8b88b4,3b086b878894e06dd7ab21b9ef5ce192,pair_formed_naturally,exact,exact,1.0,1.0
07d79f8399d55e6080d9d735ca8b88b4,bfd89edc4365b7ba583dad3700940a41,pair_formed_naturally,exact,exact,1.0,1.0
07d79f8399d55e6080d9d735ca8b88b4,f6fe14f532c272cb940e36fc2308f955,pair_formed_naturally,exact,exact,1.0,1.0
07e160431f1017b0fe83e7fcb6fc783f,80e685c9bf152d57932f2f5f53510de1,both_added,added,added,,
095295195b85f810a54a049e7cad5b98,3be8cf3c0b43d9eb62caf00bcc23844c,both_added,added,added,,
095295195b85f810a54a049e7cad5b98,a9a0b988438e6b4099ef935faaea0d4e,both_added,added,added,,
09856b8d0765e997dd958d97bf7a4a14,b0fef8bf7b01e4e89a6a8c82de36c67c,pair_formed_by_refactoring,moved,moved,0.91,0.91
09856b8d0765e997dd958d97bf7a4a14,f064cabaf1852d29db26bb6b9d30edf9,pair_formed_by_refactoring,moved,unknown,0.91,
09b77a2d62f3c936ae69dab04960fa35,81921e3ffedd4915377df45ab2ed2c6e,pair_formed_naturally,unknown,unknown,,
09b77a2d62f3c936ae69dab04960fa35,cad4bf8a2825fae0409c8d9a6e89bae3,pair_formed_naturally,unknown,unknown,,
09b77a2d62f3c936ae69dab04960fa35,cbb2c52e20327e97902b4b521d0d7b95,pair_formed_by_refactoring,unknown,moved,,0.96
09b77a2d62f3c936ae69dab04960fa35,def16f35c3b90abd38fa14c284a9c321,pair_formed_naturally,unknown,unknown,,
09b77a2d62f3c936ae69dab04960fa35,fabbdc16aad24c82dd7775038e843612,pair_formed_naturally,unknown,unknown,,
09d0be8d910c07fdaaccee428c2a49e7,b6d80c9c11a4235eb376d11da79d98c7,pair_formed_naturally,unknown,unknown,,
0a32fdb0d8222705e4bd917c71d98a1f,2a1a38529a99a62c09cec05e6f8a9d58,both_added,added,added,,
0a32fdb0d8222705e4bd917c71d98a1f,3e3b88a55b25338505fe1963850772de,both_added,added,added,,
0a32fdb0d8222705e4bd917c71d98a1f,3fe0b6277d6bf08268e5c34291547295,both_added,added,added,,
0a32fdb0d8222705e4bd917c71d98a1f,6c7addc19a9dbbe9cf3ebed3da651bb6,both_added,added,added,,
0a32fdb0d8222705e4bd917c71d98a1f,8a71c01a1b024f4531cbca798099adc5,both_added,added,added,,
0a32fdb0d8222705e4bd917c71d98a1f,af06e583ef42d1f262014f347d18bed7,both_added,added,added,,
0a32fdb0d8222705e4bd917c71d98a1f,b2b03fbaa0687fc5ed49cd8d76412f71,both_added,added,added,,
0a32fdb0d8222705e4bd917c71d98a1f,c34fb5d3828e898bc3e6e6a7d44e0816,both_added,added,added,,
0a32fdb0d8222705e4bd917c71d98a1f,d09629f22c29c214af83d03742b1be92,both_added,added,added,,
0a32fdb0d8222705e4bd917c71d98a1f,d817fc759fd925b25f833a493f9b6882,both_added,added,added,,
