method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
002be1a7a978bf1de4490aef53986416,e0cdb2fae3154b9aa946e95b40f64167,method_b_added,exact,added,1.0,
019444dc887004808d8dcb2db026539e,8a3d4b053efbd27f79382e683f663dc1,pair_formed_naturally,exact,exact,1.0,1.0
01b736183f8036b0f2c9e14e347dc085,5fcfa78c270b0406bb7abb81ae950260,method_b_added,exact,added,1.0,
02093639edc798804455ce6914e00eb7,4e0981e3444eb80ea3b189e538f858a0,both_added,added,added,,
032adbdd9ce3056513bb81da3bec1d54,a9ab6cf2a0bac47918d6ec4665623b88,both_added,added,added,,
032adbdd9ce3056513bb81da3bec1d54,b826f6656737752c9f8de3780dc8037f,both_added,added,added,,
03722d6f571db9f2b453686a7bd13365,59333771f70535082019538556b45182,method_a_added,added,exact,,1.0
04493f4fc1c2f5c92f2c66286f8f3031,5fcfa78c270b0406bb7abb81ae950260,method_b_added,exact,added,1.0,
0587bd47a9297e9579c0fa5f2c4f9c54,3ded7f243d8b1e9b804eea1c664d5072,method_b_added,exact,added,1.0,
0587bd47a9297e9579c0fa5f2c4f9c54,476ff5b62385800954b98e51ba5dc626,pair_formed_naturally,exact,exact,1.0,1.0
0587bd47a9297e9579c0fa5f2c4f9c54,b2ef7ee3245dfc600114c45069509949,method_b_added,exact,added,1.0,
0587bd47a9297e9579c0fa5f2c4f9c54,bf013fbbb0c3bb5761b50dcb54241d5c,pair_formed_naturally,exact,exact,1.0,1.0
06f55126a7f333b332fe9cb98f26ea95,79dd86cc350d746068d2a58a382f8b3b,pair_formed_naturally,exact,exact,1.0,1.0
0720f2938ed92e64c9f66a4a601259fc,fc4aefa35135a3d68ce9b54e0dbc0373,pair_formed_naturally,exact,exact,1.0,1.0
07b1e05573dd5a4d4ee8ace3dd309e46,2161fbfc8d335e8c549896df94c65cbf,method_b_added,exact,added,1.0,
07b1e05573dd5a4d4ee8ace3dd309e46,dbbc993e696501abacaac7d1311f0ffc,pair_formed_naturally,exact,exact,1.0,1.0
07f2bf57168ac014ac797a757d1e43f4,fb2936a1b177c091249eedc2b761e723,method_b_added,exact,added,1.0,
0a5cfe304a84c0d05e8a37e6b235bb82,9a35b2eeefeac919371cc27ecf9db350,both_added,added,added,,
0a5cfe304a84c0d05e8a37e6b235bb82,fdafaaee32e664de1ad957021012ea43,both_added,added,added,,
0ad8676e42e8338d671d096bc36760a3,16d35b74bacf48d23c5aa58a73f0004d,pair_formed_naturally,unknown,exact,,1.0
0ad8676e42e8338d671d096bc36760a3,25914b6f523aca3704e041f85eadf176,pair_formed_naturally,unknown,exact,,1.0
0b161098f197afa93ccbc84300fd0885,adc9f3d1a0682ef7c9e9185157b6d8e9,pair_formed_naturally,unknown,exact,,1.0
0bbe83ebe625b09a2e37dca7ac876572,478239a24adebce0825573a67c67e8b6,pair_formed_naturally,exact,exact,1.0,1.0
