method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
019444dc887004808d8dcb2db026539e,88cbf5d6afb6f1c2e846b81950fb8e1b,pair_dissolved_naturally,exact,exact,1.0,1.0
04a06736c42c4e3005aeb15cafc1549e,0a32fdb0d8222705e4bd917c71d98a1f,both_deleted,deleted,deleted,,
04a06736c42c4e3005aeb15cafc1549e,2a1a38529a99a62c09cec05e6f8a9d58,both_deleted,deleted,deleted,,
04a06736c42c4e3005aeb15cafc1549e,3e3b88a55b25338505fe1963850772de,both_deleted,deleted,deleted,,
04a06736c42c4e3005aeb15cafc1549e,3fe0b6277d6bf08268e5c34291547295,both_deleted,deleted,deleted,,
04a06736c42c4e3005aeb15cafc1549e,6c7addc19a9dbbe9cf3ebed3da651bb6,both_deleted,deleted,deleted,,
04a06736c42c4e3005aeb15cafc1549e,8a71c01a1b024f4531cbca798099adc5,both_deleted,deleted,deleted,,
04a06736c42c4e3005aeb15cafc1549e,af06e583ef42d1f262014f347d18bed7,both_deleted,deleted,deleted,,
04a06736c42c4e3005aeb15cafc1549e,c34fb5d3828e898bc3e6e6a7d44e0816,both_deleted,deleted,deleted,,
04a06736c42c4e3005aeb15cafc1549e,d09629f22c29c214af83d03742b1be92,both_deleted,deleted,deleted,,
04a06736c42c4e3005aeb15cafc1549e,d817fc759fd925b25f833a493f9b6882,both_deleted,deleted,deleted,,
04d348fa02726fdae9e245011db98971,e0e9acd4a887ae7df961b562e2b320fc,pair_dissolved_naturally,exact,unknown,1.0,
0587bd47a9297e9579c0fa5f2c4f9c54,4daa74e644ad3dc165b82695fcfd2bab,pair_dissolved_naturally,exact,exact,1.0,1.0
0587bd47a9297e9579c0fa5f2c4f9c54,65dc0ec5a3319df8c1ef25a69c2ed693,pair_dissolved_naturally,exact,exact,1.0,1.0
05f8cd36ae812d6cde7d71665cee60d0,0796dd2e17d6f3f40de1783694b8af7c,both_deleted,deleted,deleted,,
05f8cd36ae812d6cde7d71665cee60d0,9cf044d3a3145c05143d2e97c9b45525,both_deleted,deleted,deleted,,
068a52eb13158110f767d7d6a11dd1e9,f63f51402c69a80dddf0f9f8ca6d4852,pair_dissolved_naturally,exact,exact,1.0,1.0
06f55126a7f333b332fe9cb98f26ea95,df8579727dc57ff14d8cf9cb8c7cdf77,pair_dissolved_naturally,exact,exact,1.0,1.0
0796dd2e17d6f3f40de1783694b8af7c,0a32fdb0d8222705e4bd917c71d98a1f,both_deleted,deleted,deleted,,
0796dd2e17d6f3f40de1783694b8af7c,2a1a38529a99a62c09cec05e6f8a9d58,both_deleted,deleted,deleted,,
0796dd2e17d6f3f40de1783694b8af7c,3fe0b6277d6bf08268e5c34291547295,both_deleted,deleted,deleted,,
0796dd2e17d6f3f40de1783694b8af7c,6c7addc19a9dbbe9cf3ebed3da651bb6,both_deleted,deleted,deleted,,
0796dd2e17d6f3f40de1783694b8af7c,8a71c01a1b024f4531cbca798099adc5,both_deleted,deleted,deleted,,
0796dd2e17d6f3f40de1783694b8af7c,9cf044d3a3145c05143d2e97c9b45525,both_deleted,deleted,deleted,,
0796dd2e17d6f3f40de1783694b8af7c,af06e583ef42d1f262014f347d18bed7,both_deleted,deleted,deleted,,
0796dd2e17d6f3f40de1783694b8af7c,b2b03fbaa0687fc5ed49cd8d76412f71,both_deleted,deleted,deleted,,
0796dd2e17d6f3f40de1783694b8af7c,c34fb5d3828e898bc3e6e6a7d44e0816,both_deleted,deleted,deleted,,
0796dd2e17d6f3f40de1783694b8af7c,d09629f22c29c214af83d03742b1be92,both_deleted,deleted,deleted,,
0796dd2e17d6f3f40de1783694b8af7c,d817fc759fd925b25f833a493f9b6882,both_deleted,deleted,deleted,,
0796dd2e17d6f3f40de1783694b8af7c,eccc8056c5087454fa1c53b01524354b,both_deleted,deleted,deleted,,
07e160431f1017b0fe83e7fcb6fc783f,80e685c9bf152d57932f2f5f53510de1,pair_dissolved_naturally,exact,exact,1.0,1.0
09856b8d0765e997dd958d97bf7a4a14,f064cabaf1852d29db26bb6b9d30edf9,pair_dissolved_naturally,unknown,unknown,,
0a32fdb0d8222705e4bd917c71d98a1f,2a1a38529a99a62c09cec05e6f8a9d58,both_deleted,deleted,deleted,,
0a32fdb0d8222705e4bd917c71d98a1f,3e3b88a55b25338505fe1963850772de,both_deleted,deleted,deleted,,
0a32fdb0d8222705e4bd917c71d98a1f,3fe0b6277d6bf08268e5c34291547295,both_deleted,deleted,deleted,,
0a32fdb0d8222705e4bd917c71d98a1f,6c7addc19a9dbbe9cf3ebed3da651bb6,both_deleted,deleted,deleted,,
0a32fdb0d8222705e4bd917c71d98a1f,8a71c01a1b024f4531cbca798099adc5,both_deleted,deleted,deleted,,
0a32fdb0d8222705e4bd917c71d98a1f,af06e583ef42d1f262014f347d18bed7,both_deleted,deleted,deleted,,
0a32fdb0d8222705e4bd917c71d98a1f,b2b03fbaa0687fc5ed49cd8d76412f71,both_deleted,deleted,deleted,,
0a32fdb0d8222705e4bd917c71d98a1f,c34fb5d3828e898bc3e6e6a7d44e0816,both_deleted,deleted,deleted,,
