method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
00624f0a9e3e7b328d8791b1e1d9055f,01a03d134420e799dc597b7f256dd0cc,stable_unchanged,exact,exact,1.0,1.0
00c152cd14113738ca3a5e85dd0f231b,a4249969e3da578e4b59e15a5cee9244,stable_unchanged,exact,exact,1.0,1.0
00c36bcb01167a983ad267ae41ccf01a,97fbd734bb40b24cba3eb7f867e2e4fc,stable_unchanged,exact,exact,1.0,1.0
00c36bcb01167a983ad267ae41ccf01a,a9a7dc6becf17b7220317c22523789e7,stable_unchanged,exact,exact,1.0,1.0
01a03d134420e799dc597b7f256dd0cc,8f58fb09614f57eefdb373c0c911d237,stable_unchanged,exact,exact,1.0,1.0
01a9322f3b9f4b8cf159ad85310b1e4e,01a9322f3b9f4b8cf159ad85310b1e4e,stable_unchanged,exact,exact,1.0,1.0
01b736183f8036b0f2c9e14e347dc085,2b584cdeaef025014ae6b2c4a4bf8c5f,stable_unchanged,exact,exact,1.0,1.0
01b736183f8036b0f2c9e14e347dc085,6ea259cb3b13bab3b2cc3a7c69213f28,stable_unchanged,exact,exact,1.0,1.0
0309af813b896833f52901103ffc25a6,6416dbe97520f6f69d12e2bcdb57b957,stable_unchanged,exact,exact,1.0,1.0
035c108d4556f5e61ca1e5468278965d,93157582484a79d9567e21922dbd31e5,stable_unchanged,exact,exact,1.0,1.0
037ab70b4d7e151d3a67e2e7abf2dcfe,568d4e34201101374494ded903e7eada,stable_unchanged,exact,exact,1.0,1.0
03be27f13cc928dad784fbcc7b811cbe,5436e4fd9ed168802b1e3512b7dbefc5,stable_unchanged,exact,exact,1.0,1.0
03d0647e52185ea31d3482efa6417cdf,c9236aca2823a2eefa4fd9f5025e2844,stable_unchanged,exact,exact,1.0,1.0
03d7508a6fc6e4b3516e13a32b649116,095295195b85f810a54a049e7cad5b98,stable_unchanged,exact,exact,1.0,1.0
03d7508a6fc6e4b3516e13a32b649116,b3bec09724ec1f151a9f50b081928b1f,stable_unchanged,exact,exact,1.0,1.0
041bed2bc0908241b55c29cdc40d2cb7,9027388ccd9d86042416b847a7bf07b5,stable_unchanged,exact,exact,1.0,1.0
04236c83e4404a00cd31a766f1510a66,1807cad5e881595e2c97785e8301dcb4,stable_unchanged,exact,exact,1.0,1.0
04493f4fc1c2f5c92f2c66286f8f3031,2b584cdeaef025014ae6b2c4a4bf8c5f,stable_unchanged,exact,exact,1.0,1.0
04493f4fc1c2f5c92f2c66286f8f3031,2bb6352c5dbc364fb598d5efa614fb74,stable_unchanged,exact,exact,1.0,1.0
04493f4fc1c2f5c92f2c66286f8f3031,6ea259cb3b13bab3b2cc3a7c69213f28,stable_unchanged,exact,exact,1.0,1.0
