change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,f40ad56782d243f862645009cc50760e,f40ad56782d243f862645009cc50760e,1.000
exact,ab0bb5aef5883e1b2e1df8fd388f7c38,ab0bb5aef5883e1b2e1df8fd388f7c38,1.000
exact,c2a945c4467a8b203474f182e3811317,c2a945c4467a8b203474f182e3811317,1.000
exact,8d7792efaadede64daa712de080c549c,8d7792efaadede64daa712de080c549c,1.000
exact,c7ae7c873b3968424e50619115577e8a,96b859ad2de8316623cdae8b95f08d65,1.000
exact,3f6f11d0ca6aa1b8c6149ef9880ed351,3f6f11d0ca6aa1b8c6149ef9880ed351,1.000
exact,f84fbf5daf30057f489a5391b7bb8898,f84fbf5daf30057f489a5391b7bb8898,1.000
exact,5b9d275182b1f728c215db87aad2f65b,5b9d275182b1f728c215db87aad2f65b,1.000
exact,aaadd7b97fce0fe9e8d74291f20d0541,aaadd7b97fce0fe9e8d74291f20d0541,1.000
exact,14d505f527bcefcaf760d1e4c598f0b4,14d505f527bcefcaf760d1e4c598f0b4,1.000
exact,a30f8e1373cd54960c77595d01ba4a15,a30f8e1373cd54960c77595d01ba4a15,1.000
exact,556b67b6d8e4e9029ffbbd885c76b00c,556b67b6d8e4e9029ffbbd885c76b00c,1.000
exact,d08cfc84d3913ef88354bcf7b140970f,d08cfc84d3913ef88354bcf7b140970f,1.000
exact,8e7e2b36d01118cfd960fc06aef93840,8e7e2b36d01118cfd960fc06aef93840,1.000
exact,84da269ccb2bab26c2b7230811b2b935,84da269ccb2bab26c2b7230811b2b935,1.000
exact,5835f227f9232e0f778c5aa48a0b144f,5835f227f9232e0f778c5aa48a0b144f,1.000
exact,2ae341f11aeb5140b966b1603b4aa016,2ae341f11aeb5140b966b1603b4aa016,1.000
exact,f41991b1c62d04564cc9f42720e84c4b,f41991b1c62d04564cc9f42720e84c4b,1.000
exact,0ef47f82f52f4f2c943dd366f1b337ef,0ef47f82f52f4f2c943dd366f1b337ef,1.000
exact,3b3af0440a08de88aa240a6a0566a1d4,3b3af0440a08de88aa240a6a0566a1d4,1.000
exact,92d5aa1e5aaf986fbe7ec2e701448032,92d5aa1e5aaf986fbe7ec2e701448032,1.000
exact,7ba97139efffd6926bbbba6cc02c09eb,7ba97139efffd6926bbbba6cc02c09eb,1.000
exact,29052d981acf30ddf711d4af46da8009,29052d981acf30ddf711d4af46da8009,1.000
exact,d7861d682ea9be5b96f0126d9521aba6,d7861d682ea9be5b96f0126d9521aba6,1.000
exact,f84fbf5daf30057f489a5391b7bb8898,f84fbf5daf30057f489a5391b7bb8898,1.000
exact,d9701a782af5d5eb28ac22f467d4cc07,d9701a782af5d5eb28ac22f467d4cc07,1.000
exact,d430f4b1dd46cb3de55a0af8715baad2,d430f4b1dd46cb3de55a0af8715baad2,1.000
exact,4548fdd4c8a82071a8c7814ffa8b78e3,4548fdd4c8a82071a8c7814ffa8b78e3,1.000
exact,357c4d2af63f6c235dc4694277209e32,357c4d2af63f6c235dc4694277209e32,1.000
exact,38a44501cedaae513ee32e9ce4d93012,38a44501cedaae513ee32e9ce4d93012,1.000
exact,dd62ec2ec00640143202ea554f97cffa,dd62ec2ec00640143202ea554f97cffa,1.000
exact,1c59c927a94e2d881350f7cfc19b55d7,1c59c927a94e2d881350f7cfc19b55d7,1.000
exact,3ff9a3f8c5a01596f96dc9f35834d7c4,3ff9a3f8c5a01596f96dc9f35834d7c4,1.000
exact,fa23f083b6e3edb2f0c502b827e3f40c,fa23f083b6e3edb2f0c502b827e3f40c,1.000
exact,041bed2bc0908241b55c29cdc40d2cb7,041bed2bc0908241b55c29cdc40d2cb7,1.000
exact,9027388ccd9d86042416b847a7bf07b5,9027388ccd9d86042416b847a7bf07b5,1.000
exact,4650a7390a903d32798d4493791a8a88,4650a7390a903d32798d4493791a8a88,1.000
exact,630131db4d29d8b7930f3ff14abd5df4,630131db4d29d8b7930f3ff14abd5df4,1.000
exact,fc3cf8bcf8aee2a55d6ef9143ab737a0,fc3cf8bcf8aee2a55d6ef9143ab737a0,1.000
exact,b1d979072b684314bbfdbf9b31303801,b1d979072b684314bbfdbf9b31303801,1.000
exact,b3f81189c114a85b7864654010aa7f37,b3f81189c114a85b7864654010aa7f37,1.000
exact,dc161bcecf5d049da6027ff4d6d8a5ad,dc161bcecf5d049da6027ff4d6d8a5ad,1.000
exact,a3cf4273d85bae59465ced864cc549e3,a3cf4273d85bae59465ced864cc549e3,1.000
exact,dfce20248e300e9f0eaef35ba478cd68,dfce20248e300e9f0eaef35ba478cd68,1.000
exact,d33782e95862de13e0f7903c2a2448fc,d33782e95862de13e0f7903c2a2448fc,1.000
exact,c1d82bd746c28f2115d660ffb3ef62c6,c1d82bd746c28f2115d660ffb3ef62c6,1.000
exact,2f11bc729157651af74ee02d3ee498c6,2f11bc729157651af74ee02d3ee498c6,1.000
exact,e4289c55766e1da8f47cb7d55ef7817f,e4289c55766e1da8f47cb7d55ef7817f,1.000
exact,247c2213c1b57ed3e35dd893db946acd,247c2213c1b57ed3e35dd893db946acd,1.000
exact,6b0c6c9a2754bcfe260ac297895a6040,6b0c6c9a2754bcfe260ac297895a6040,1.000
exact,6e543087e35edba4c054439483c16547,6e543087e35edba4c054439483c16547,1.000
exact,d3148bb29b165596da58df01c55ac132,d3148bb29b165596da58df01c55ac132,1.000
exact,b6c02ac13728bdf58c0d5f80a74d61c5,b6c02ac13728bdf58c0d5f80a74d61c5,1.000
exact,814a669b3f362dddfdf2208ddde1af60,814a669b3f362dddfdf2208ddde1af60,1.000
exact,670cf36a17c63c67912245c5c8d8cb62,670cf36a17c63c67912245c5c8d8cb62,1.000
exact,374889278cf90bef9a1f7c09ecdd4ba8,374889278cf90bef9a1f7c09ecdd4ba8,1.000
exact,6b911e921ea30b57838ee7549d91a865,6b911e921ea30b57838ee7549d91a865,1.000
exact,d9ddd0e5eeab81b5ba633f5d812ed3a7,d9ddd0e5eeab81b5ba633f5d812ed3a7,1.000
exact,23b49b146f57f459b40be9a544dcd688,23b49b146f57f459b40be9a544dcd688,1.000
exact,f43312bc8bae6c3cd2955adea84d90dc,f43312bc8bae6c3cd2955adea84d90dc,1.000
exact,2fb1b0d1d6817b5f7ad2879e9fa24d47,2fb1b0d1d6817b5f7ad2879e9fa24d47,1.000
exact,3d8476e6bdb88ea57e10985b7afdf7c0,3d8476e6bdb88ea57e10985b7afdf7c0,1.000
exact,e759fedfd8dd8e6fa81d09ed09dc13fc,e759fedfd8dd8e6fa81d09ed09dc13fc,1.000
exact,cdc7b7ecb527251c569569dcea431de5,cdc7b7ecb527251c569569dcea431de5,1.000
exact,a10b013be06622b6c5f2b82129b27932,a10b013be06622b6c5f2b82129b27932,1.000
exact,5f7f20ef5f820514ac1cd1fc79f95ed2,5f7f20ef5f820514ac1cd1fc79f95ed2,1.000
exact,601b86651df7633a8a8da1d147fdc708,601b86651df7633a8a8da1d147fdc708,1.000
exact,74465622efb42b92aac048fdaeefbdcf,74465622efb42b92aac048fdaeefbdcf,1.000
exact,634fe3801bec811c27922dd81dd8110c,634fe3801bec811c27922dd81dd8110c,1.000
exact,7334a3ecb08d7be924c649df303d18c8,7334a3ecb08d7be924c649df303d18c8,1.000
exact,2234187952a4c0c968cd033fe2b73200,2234187952a4c0c968cd033fe2b73200,1.000
exact,316c4372650c50f187d13ad80cfc8197,316c4372650c50f187d13ad80cfc8197,1.000
exact,822d5e596cca0d3b2b8b402a757a0fdc,822d5e596cca0d3b2b8b402a757a0fdc,1.000
exact,2bd0f207718d63a486fcabf09330153c,2bd0f207718d63a486fcabf09330153c,1.000
exact,70ac172d624c273f36538789e8d54750,70ac172d624c273f36538789e8d54750,1.000
exact,11335f33aa6ec026f98256950b925dae,11335f33aa6ec026f98256950b925dae,1.000
exact,cf6913a484ac9a900b98e095d37e72af,cf6913a484ac9a900b98e095d37e72af,1.000
exact,8481768235f7b689ef6dff446fbcbdf9,8481768235f7b689ef6dff446fbcbdf9,1.000
exact,ed6608f1dff5d1320d74a398fd4a930b,ed6608f1dff5d1320d74a398fd4a930b,1.000
exact,837a986e2132806cdb2f9aab703bb681,837a986e2132806cdb2f9aab703bb681,1.000
exact,54bbbf4ece6a1ba5a2e5058282a0fb0e,54bbbf4ece6a1ba5a2e5058282a0fb0e,1.000
exact,7f2f6bc4db3d171a08eb3a5b4a3ac3d7,7f2f6bc4db3d171a08eb3a5b4a3ac3d7,1.000
exact,f4e945fdc6a4b1b845b31f882b38b3d2,f4e945fdc6a4b1b845b31f882b38b3d2,1.000
exact,23771cac4e7472952f7f229ba01f8d3b,23771cac4e7472952f7f229ba01f8d3b,1.000
