method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
008390c65cb1ba68bbe7bd866e87e54d,076ca32e3fdd62e5d60c2639d4b1af58,pair_formed_naturally,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,77bbe570990358bdaab559e984e77abd,pair_formed_naturally,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,c405c112dbc3a3282ea57d0c4042424f,pair_formed_naturally,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,f1ec78315d5491bef2c58a9a1d38da4e,pair_formed_naturally,exact,exact,1.0,1.0
0179abf0599a146eb3659ba7eed47b5b,b868638a58e7e7f8eabacdcc84c698f0,pair_formed_naturally,exact,exact,1.0,1.0
0179abf0599a146eb3659ba7eed47b5b,df0ee2309b9c9efcab02bc3e72af4eac,pair_formed_naturally,exact,exact,1.0,1.0
0190fb8e8e97c2bc76edebd035a4140d,5e5728640c62887bff7433add07de619,pair_formed_naturally,exact,exact,1.0,1.0
01e92ac49ae5ab2b3605c895452603b7,216eeb867b5292bf76a18a67e7edaf26,pair_formed_naturally,exact,exact,1.0,1.0
01e92ac49ae5ab2b3605c895452603b7,9648fa1a5c8be33fd3c37c7933d7cb9b,pair_formed_naturally,exact,exact,1.0,1.0
023ecff50e698d19f0ce1cdc63680041,dd7b0130ad350a99cc7fbeb5b6492646,pair_formed_naturally,exact,exact,1.0,1.0
02b7cbf421e27150f5f0a40470b127ce,798350f8aa46bf13e1763c05530aa00e,pair_formed_naturally,exact,exact,1.0,1.0
02bcfdd6e39495d42c1c49d2d2d81d63,2aa27b9f9462cea49e9a980e97128d29,method_a_added,added,exact,,1.0
0451c0c2ad2198e6bf2f33a6e2e86c94,56354c61bbb7b7172a8a9c717e56f256,pair_formed_by_refactoring,signature_changed,refactored,0.89,0.89
0498856f5109282f06e1c57897638225,8a928a58cf681c5162dfdfad970ea48f,pair_formed_naturally,exact,exact,1.0,1.0
04beda0a9dcbbd08da86b7115c0514ab,137b3bc55e30eda68e092fd25aa859f5,pair_formed_naturally,unknown,unknown,,
04beda0a9dcbbd08da86b7115c0514ab,7c550c9f98f4933931cfeadca9326c7e,pair_formed_naturally,unknown,unknown,,
076ca32e3fdd62e5d60c2639d4b1af58,51d70085ad914112f24dc3453a454710,pair_formed_naturally,exact,exact,1.0,1.0
076ca32e3fdd62e5d60c2639d4b1af58,77bbe570990358bdaab559e984e77abd,pair_formed_naturally,exact,exact,1.0,1.0
076ca32e3fdd62e5d60c2639d4b1af58,7fd1ce667b3e25be2d88caf90a47f011,pair_formed_naturally,exact,exact,1.0,1.0
076ca32e3fdd62e5d60c2639d4b1af58,c405c112dbc3a3282ea57d0c4042424f,pair_formed_naturally,exact,exact,1.0,1.0
076ca32e3fdd62e5d60c2639d4b1af58,f1ec78315d5491bef2c58a9a1d38da4e,pair_formed_naturally,exact,exact,1.0,1.0
076ca32e3fdd62e5d60c2639d4b1af58,fe9722c2c86652df1f7ba613fbf9db7b,pair_formed_naturally,exact,exact,1.0,1.0
078eb280422614936d8ec8656da2c328,b4aaab57f3c42a2af51b7d88223bc2b5,method_a_added,added,exact,,1.0
07937652aedb36ef3f6e558ba44402dc,1d54f33a545972480944fb5f125659f3,pair_formed_naturally,exact,exact,1.0,1.0
08b6cf1e361e997bb4d1d2721147ca49,384731956511330b290a0018fce9da0f,pair_formed_naturally,exact,exact,1.0,1.0
08b6cf1e361e997bb4d1d2721147ca49,5f6f18af2f3173e03bf03e134f0b7795,pair_formed_naturally,exact,exact,1.0,1.0
08b6cf1e361e997bb4d1d2721147ca49,defa54dec9f5c15bf9d3e587bba4e08f,pair_formed_naturally,exact,exact,1.0,1.0
08b6cf1e361e997bb4d1d2721147ca49,ee53ecd4b2731c91a4d48ba8014e1053,pair_formed_naturally,exact,exact,1.0,1.0
09b77a2d62f3c936ae69dab04960fa35,cdae4de5633360f63c3fcffc0ed9a36e,pair_formed_naturally,unknown,unknown,,
0a4de07b0fb507b1b33fd9852aa6e0a4,582414b9faec3519aaa365b28136a42d,both_added,added,added,,
0a4de07b0fb507b1b33fd9852aa6e0a4,b4feaa3b28245d5caa7121f12e9e16a6,both_added,added,added,,
0a7c33d88f1e46c380d6aad92f8611be,0cd5df121f6d011cb50426e50060c131,pair_formed_naturally,unknown,exact,,1.0
0b3130cd6493b78e5148f377f1897368,708fe94b6b6493400dee33f748437bb0,pair_formed_naturally,exact,exact,1.0,1.0
0b3130cd6493b78e5148f377f1897368,df7bf9250d56d79c53aff88f94b44669,pair_formed_naturally,exact,exact,1.0,1.0
0bd5883bf24e86f0af4da200f7c29d2f,5157e4a6c9f9f4173907327dd7509af3,both_added,added,added,,
0bd5883bf24e86f0af4da200f7c29d2f,52c1ce43bde19cfd19379af8ad1acd3d,method_a_added,added,exact,,1.0
0bd5883bf24e86f0af4da200f7c29d2f,cfea7ab751cca6d2f9b498450ce990ca,both_added,added,added,,
0c9931a6c4ce1f96ec3cd1c6f596d8d3,1c3c45a8509673613d14e6e9914a9099,pair_formed_naturally,exact,exact,1.0,1.0
0cb6adf9af8548fc8886cceb61d67267,627bdfc7af74631daa0f5e006b68b897,method_b_added,signature_changed,added,1.0,
0cd5df121f6d011cb50426e50060c131,25914b6f523aca3704e041f85eadf176,pair_formed_naturally,exact,exact,1.0,1.0
0cd5df121f6d011cb50426e50060c131,3e28bd405ae884490c8ab9e443ea959f,pair_formed_naturally,exact,unknown,1.0,
0cd5df121f6d011cb50426e50060c131,57b3d85b2cf7e27f3c4e8d6328d8f2d7,pair_formed_naturally,exact,exact,1.0,1.0
0d33cbce4f51be3c2421be9784b74f14,2de3a1ad9b0f57782f913bcd19e6361a,pair_formed_naturally,exact,exact,1.0,1.0
0fe3a322fb95df1b1d686d55c54e6981,47e20049f0e427707a6abf59c1742386,both_added,added,added,,
0fe3a322fb95df1b1d686d55c54e6981,7f5165758ea3d2d468f759966513acd0,both_added,added,added,,
106dbc6f2d318c966ebecc05629ff420,a2e879758441d951bbf9bd6279bd978e,pair_formed_by_refactoring,exact,signature_changed,1.0,0.99
118d2013c7c0fac4cca2d0a38c6cbfe3,735bad2d5caa6f2a28098c75f1f36666,both_added,added,added,,
118d2013c7c0fac4cca2d0a38c6cbfe3,7c3f1f4a528e3c6332b3c2f627595709,both_added,added,added,,
118d2013c7c0fac4cca2d0a38c6cbfe3,cbc34221287df23e611e2b891b636ed7,both_added,added,added,,
11d56693c0907f27a7d37bfb8b25e477,c23edf91f3567eae99105f1e12cb064d,method_a_added,added,exact,,1.0
1255a31e05163f91d8c955a71f96add1,a78ede7938b40ab936e2e5a30b4676ec,pair_formed_naturally,exact,exact,1.0,1.0
137b3bc55e30eda68e092fd25aa859f5,3770709f47e14b264d0a3ae184a68e62,method_b_added,unknown,added,,
137b3bc55e30eda68e092fd25aa859f5,399919f301ba57a86a455cfc9be1a3bd,pair_formed_naturally,unknown,unknown,,
137b3bc55e30eda68e092fd25aa859f5,7c550c9f98f4933931cfeadca9326c7e,pair_formed_naturally,unknown,unknown,,
137b3bc55e30eda68e092fd25aa859f5,d5727ed204ce0ba4115c1ed5e79a6917,pair_formed_naturally,unknown,unknown,,
1411ce99ffd4ac0bd4b62c8b4505c4b6,62da2fbc866d08a0426dfa6e2851ed85,pair_formed_naturally,exact,exact,1.0,1.0
1460f2f76bf21a146c6d57f03dfced6d,c77b00c5de036d52291bda6df878933b,both_added,added,added,,
14f8738eb45b995f6ed97996477567cf,4034d5e92c01c1706933ca7f38f204f2,both_added,added,added,,
15282e52ba28a5269756aa702843458a,2dde6ac1855f5e63b5255c991c6914f8,both_added,added,added,,
15282e52ba28a5269756aa702843458a,459853a4b4446279b61e47069f3c7a82,both_added,added,added,,
15282e52ba28a5269756aa702843458a,77d7cf3ccbd29d0ddddd7489db57f85d,both_added,added,added,,
15282e52ba28a5269756aa702843458a,7d698253b771b64a1132b444f23c064f,both_added,added,added,,
15282e52ba28a5269756aa702843458a,a86d75eaacc1373a72a6f4f03ee84fba,both_added,added,added,,
15282e52ba28a5269756aa702843458a,fe840baf4aa1da09b26fb9fb3f8df047,both_added,added,added,,
15a06fca50dc57a66a548775ebb0e32b,78804a68ae8681473d12bf98a904903e,pair_formed_naturally,exact,exact,1.0,1.0
187f281b30f097d24ba0beb48c148162,c72c41c123fc6e0c696ddbce4ba5320e,method_a_added,added,exact,,1.0
198d13dd687020bf80608d45b27a9ab2,86f7bea846706d60457c90da2713d259,pair_formed_by_refactoring,exact,signature_changed,1.0,1.0
198d13dd687020bf80608d45b27a9ab2,9d40ff03647392a8f2cffa93bed728c0,pair_formed_by_refactoring,exact,signature_changed,1.0,0.98
198d13dd687020bf80608d45b27a9ab2,c6d4ad537f124b5c5e4b7022143ada63,pair_formed_naturally,exact,unknown,1.0,
1d54f33a545972480944fb5f125659f3,7f6b68c16527e104d90d3e62e54266b6,pair_formed_naturally,exact,exact,1.0,1.0
1d54f33a545972480944fb5f125659f3,97cc9c4d2e77c234673f4e714ef56b50,pair_formed_naturally,exact,exact,1.0,1.0
1d56f9d5213063cf96ab29397e7cf1d7,546aea5ff23462c0653157898467030a,both_added,added,added,,
1d60e5abf46e7ffaa596ab0c6695d2c1,ed4a6a7b4cb55564a5aa5b118b16caf4,pair_formed_naturally,exact,exact,1.0,1.0
1ea97ef3dbbbe4ba5244770921637928,9e0fee4e2323861d8b96d7dada8983ed,pair_formed_naturally,exact,exact,1.0,1.0
1ec142dae826d4582f5de3bb12226b9c,20b19d9fe4e2eb500f985a8e550736c9,method_a_added,added,exact,,1.0
1fc8afd6237792085d1746f1928e02fa,5ede2d2dbd10127a8050480d09cfec9e,pair_formed_naturally,unknown,exact,,1.0
20b071145c3b1309fd84d5db23cf3719,2ac341ad38237563405b643c9333fa7b,pair_formed_naturally,exact,exact,1.0,1.0
20b071145c3b1309fd84d5db23cf3719,2d166b226a6441ab6d1d663afb8d687e,pair_formed_naturally,exact,unknown,1.0,
20b071145c3b1309fd84d5db23cf3719,32b134fe1d2ba2286eb647ab331d7344,pair_formed_naturally,exact,unknown,1.0,
20b071145c3b1309fd84d5db23cf3719,455a5824b2ea45028a0a0c4720178a50,pair_formed_naturally,exact,exact,1.0,1.0
20b071145c3b1309fd84d5db23cf3719,ab859376bb3b92d82a7df5307aa7aee0,pair_formed_naturally,exact,exact,1.0,1.0
20c3bcd9be28507fc81a7c97e1099ef3,6378a760d991fab419e00ad3b1d3675a,pair_formed_naturally,exact,exact,1.0,1.0
214855cc3c4a2c67d2d148fdc55142ad,761e877d6dcd774724cbe64188fc5e6a,pair_formed_naturally,unknown,exact,,1.0
214855cc3c4a2c67d2d148fdc55142ad,94514c96bfa6d43b5cdbdd19d272b82f,method_b_added,unknown,added,,
214855cc3c4a2c67d2d148fdc55142ad,bb09742eda0a346d7fbf1bda593c5be1,pair_formed_naturally,unknown,exact,,1.0
2161fbfc8d335e8c549896df94c65cbf,ec9144e4eee3df6b7eb6d190602013ec,pair_formed_naturally,exact,exact,1.0,1.0
2297ca4d77d92abc8ccc5d672bc73efe,28bc65a53bb528c028d9d7ade6d5f0b0,method_b_added,unknown,added,,
2297ca4d77d92abc8ccc5d672bc73efe,dcdf908fcd5f475ee7e757062dceb4cf,method_b_added,unknown,added,,
2297ca4d77d92abc8ccc5d672bc73efe,f784b83555b828ab3b00438319bb0618,pair_formed_naturally,unknown,unknown,,
235cc7f7d5be58da3043d6c72f55f0a9,6eb2f12ada0cbde1b08c0ae3213b6e2f,pair_formed_naturally,exact,exact,1.0,1.0
2388b7aa79be7eaf10405a5cd3682ac1,9a4fa7ce2410fb82767a1912eb52ec98,pair_formed_naturally,exact,exact,1.0,1.0
