method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
008390c65cb1ba68bbe7bd866e87e54d,2543d8724a348c81f3c52a0c561e149b,pair_dissolved_naturally,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,3dac37d26bc0c2ce77ba51ae4cd3530d,pair_dissolved_naturally,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,77ee0769738464d6150c2eb25143954b,pair_dissolved_naturally,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,cfd3e00aa42fef46009e2c5e839c5665,pair_dissolved_naturally,exact,exact,1.0,1.0
0190fb8e8e97c2bc76edebd035a4140d,792c8ca8a01e5ba2990b31b933c9c3a7,pair_dissolved_naturally,exact,exact,1.0,1.0
01e92ac49ae5ab2b3605c895452603b7,2b38f2bcbd4bccd43d5db42e3f255a5e,pair_dissolved_naturally,exact,exact,1.0,1.0
01e92ac49ae5ab2b3605c895452603b7,c1662fdbd8f74560dcac15d6bd06f663,pair_dissolved_naturally,exact,exact,1.0,1.0
023ecff50e698d19f0ce1cdc63680041,260d7b2beb49d4131ff72616b49cfd55,pair_dissolved_naturally,exact,exact,1.0,1.0
023ecff50e698d19f0ce1cdc63680041,5366cdfc082b4d474a8700abab2dda0f,pair_dissolved_naturally,exact,exact,1.0,1.0
036d249e618506f179abf1eff91e490f,a48d063901066982ae02fe4b69d728ca,pair_dissolved_naturally,exact,exact,1.0,1.0
0483164bc0ee51de049aa0397c95dfb1,51ada83a42c48705938a8a31d29cb9bb,method_a_deleted,deleted,unknown,,
0587bd47a9297e9579c0fa5f2c4f9c54,0cae6625a589a742cb8fd85d5908eb00,pair_dissolved_naturally,exact,exact,1.0,1.0
0587bd47a9297e9579c0fa5f2c4f9c54,1c6dd1dea55d97ece7e7887314b786dd,pair_dissolved_naturally,exact,exact,1.0,1.0
0587bd47a9297e9579c0fa5f2c4f9c54,1d652fb1b14ed6090b5e6887a2bb390e,pair_dissolved_naturally,exact,exact,1.0,1.0
0587bd47a9297e9579c0fa5f2c4f9c54,2e733ee6ca6bcebb1650720bba7a9ab7,pair_dissolved_naturally,exact,exact,1.0,1.0
0587bd47a9297e9579c0fa5f2c4f9c54,3ded7f243d8b1e9b804eea1c664d5072,method_b_deleted,exact,deleted,1.0,
0587bd47a9297e9579c0fa5f2c4f9c54,b2ef7ee3245dfc600114c45069509949,method_b_deleted,exact,deleted,1.0,
0587bd47a9297e9579c0fa5f2c4f9c54,b5c7199b96c41b29cd8fb446e142c7e8,pair_dissolved_naturally,exact,exact,1.0,1.0
0587bd47a9297e9579c0fa5f2c4f9c54,f38e60225cf67862ab54ed5c88957255,pair_dissolved_naturally,exact,exact,1.0,1.0
071213c08be3fb9eca0487032cbae963,37ef1cad8c37c38bd2dee998a5921720,pair_dissolved_naturally,exact,exact,1.0,1.0
071213c08be3fb9eca0487032cbae963,7c3a2a364dbfe97151022321c983c049,pair_dissolved_by_refactoring,exact,signature_changed,1.0,1.0
075d093e8c9bc150dc12fb2d153b1cdd,952d113e2eb48fdf4e1b952ed52969b8,both_deleted,deleted,deleted,,
