method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
00624f0a9e3e7b328d8791b1e1d9055f,01a03d134420e799dc597b7f256dd0cc,stable_unchanged,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,076ca32e3fdd62e5d60c2639d4b1af58,stable_unchanged,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,51d70085ad914112f24dc3453a454710,stable_unchanged,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,77bbe570990358bdaab559e984e77abd,stable_unchanged,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,7fd1ce667b3e25be2d88caf90a47f011,stable_unchanged,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,c405c112dbc3a3282ea57d0c4042424f,stable_unchanged,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,f1ec78315d5491bef2c58a9a1d38da4e,stable_unchanged,exact,exact,1.0,1.0
008390c65cb1ba68bbe7bd866e87e54d,fe9722c2c86652df1f7ba613fbf9db7b,stable_unchanged,exact,exact,1.0,1.0
00c152cd14113738ca3a5e85dd0f231b,19ca154e05c10792102a5396ed30f687,stable_unchanged,exact,exact,1.0,1.0
00c152cd14113738ca3a5e85dd0f231b,a4249969e3da578e4b59e15a5cee9244,stable_unchanged,exact,exact,1.0,1.0
00c36bcb01167a983ad267ae41ccf01a,97fbd734bb40b24cba3eb7f867e2e4fc,stable_unchanged,exact,exact,1.0,1.0
00c36bcb01167a983ad267ae41ccf01a,a9a7dc6becf17b7220317c22523789e7,stable_unchanged,exact,exact,1.0,1.0
0179abf0599a146eb3659ba7eed47b5b,b868638a58e7e7f8eabacdcc84c698f0,stable_unchanged,exact,exact,1.0,1.0
0179abf0599a146eb3659ba7eed47b5b,df0ee2309b9c9efcab02bc3e72af4eac,stable_unchanged,exact,exact,1.0,1.0
01a03d134420e799dc597b7f256dd0cc,8f58fb09614f57eefdb373c0c911d237,stable_unchanged,exact,exact,1.0,1.0
01b59848bfd3a53bf98711da9c9f064f,03be27f13cc928dad784fbcc7b811cbe,stable_unchanged,exact,exact,1.0,1.0
01b59848bfd3a53bf98711da9c9f064f,53ebbf4c888fce159205b36dcae7e398,stable_unchanged,exact,exact,1.0,1.0
01b736183f8036b0f2c9e14e347dc085,2b584cdeaef025014ae6b2c4a4bf8c5f,stable_unchanged,exact,exact,1.0,1.0
01b736183f8036b0f2c9e14e347dc085,5fcfa78c270b0406bb7abb81ae950260,stable_unchanged,exact,exact,1.0,1.0
01b736183f8036b0f2c9e14e347dc085,6ea259cb3b13bab3b2cc3a7c69213f28,stable_unchanged,exact,exact,1.0,1.0
01e92ac49ae5ab2b3605c895452603b7,216eeb867b5292bf76a18a67e7edaf26,stable_unchanged,exact,exact,1.0,1.0
01f6c9c1a3a3ea76a3399c8f9e94ee21,01f6c9c1a3a3ea76a3399c8f9e94ee21,stable_unchanged,exact,exact,1.0,1.0
023ecff50e698d19f0ce1cdc63680041,dd7b0130ad350a99cc7fbeb5b6492646,stable_unchanged,exact,exact,1.0,1.0
023ecff50e698d19f0ce1cdc63680041,fdfddfd2345aa56d55095a16ec5e4688,stable_unchanged,exact,exact,1.0,1.0
02b7cbf421e27150f5f0a40470b127ce,798350f8aa46bf13e1763c05530aa00e,stable_unchanged,exact,exact,1.0,1.0
02bcfdd6e39495d42c1c49d2d2d81d63,2aa27b9f9462cea49e9a980e97128d29,stable_unchanged,exact,exact,1.0,1.0
0309af813b896833f52901103ffc25a6,6416dbe97520f6f69d12e2bcdb57b957,stable_unchanged,exact,exact,1.0,1.0
0366783649072171a5d84845cdd694bb,f9b7929a7d99f703c1260473f7704ead,stable_unchanged,exact,exact,1.0,1.0
037ab70b4d7e151d3a67e2e7abf2dcfe,568d4e34201101374494ded903e7eada,stable_unchanged,exact,exact,1.0,1.0
03be27f13cc928dad784fbcc7b811cbe,5436e4fd9ed168802b1e3512b7dbefc5,stable_unchanged,exact,exact,1.0,1.0
