method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
0179abf0599a146eb3659ba7eed47b5b,cba29bb1efab5a4f5cf8093764843b57,pair_formed_naturally,exact,exact,1.0,1.0
023ecff50e698d19f0ce1cdc63680041,cdc86efc1bae62cce857051e26da1152,pair_formed_by_refactoring,exact,renamed,1.0,0.97
029627d0fc5f90a61ee606f19e5de04c,09856b8d0765e997dd958d97bf7a4a14,pair_formed_naturally,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,112c8a6ad2a620f93656f3ff239b3131,pair_formed_naturally,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,1b01f5d4dce2967b2d444aebbff7462b,pair_formed_naturally,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,1e7f3f51b8fed8eefd7df374acbf09d6,pair_formed_naturally,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,1f537ba165a96dd161e065c9d26d4131,pair_formed_naturally,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,603990ae118957fce43a360bccb67e64,pair_formed_naturally,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,78a8a0495388a1f149a6ec381355c2b1,pair_formed_naturally,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,acee7c30b4c1330b786b237cfd2412f5,pair_formed_naturally,unknown,unknown,,
029627d0fc5f90a61ee606f19e5de04c,eef87ad93302388d516651b8b1892978,pair_formed_naturally,unknown,unknown,,
02bf3cb57f95e99299497c07cbe625af,5661cd375a4137a1cf71e0ee8a89ccb9,pair_formed_naturally,exact,exact,1.0,1.0
02dcefe838d837cc66a63b036725d62b,864eb8d28ec6b54da25d617dd748dacb,pair_formed_naturally,exact,exact,1.0,1.0
032d11a57fb0984cd0821d6fda599143,271ab44a7ef7b48af30b796dacc5a590,both_added,added,added,,
032d11a57fb0984cd0821d6fda599143,7b0cd68a2aee1bac64b76f6163eeb4d0,both_added,added,added,,
032d11a57fb0984cd0821d6fda599143,90e63290e57eb309a50b48e2eded3b2f,both_added,added,added,,
035235d67e32768c062118b4628a28de,f5ff47ffbf49764e7cb33957171ac52a,pair_formed_naturally,exact,exact,1.0,1.0
0357d96aefe0def264cbc081c7b30550,2b0d5edc866a68e6a63d1db53ecfbcaf,both_added,added,added,,
0357d96aefe0def264cbc081c7b30550,45181fe0c735e6c7cb16c54deb39a01e,both_added,added,added,,
0357d96aefe0def264cbc081c7b30550,824a8d639de954fc20b43d69ae1a5364,both_added,added,added,,
0357d96aefe0def264cbc081c7b30550,8f85dce030bab26b18fef69f32cec65d,both_added,added,added,,
036431f26420d9b82675e0fa6a84bc74,d32d1ce2ce225ae690950c89f97f930f,pair_formed_naturally,exact,exact,1.0,1.0
037ac1fc816f80d3bcc60848887354ce,92a25b9075275f68085c113d96518f5f,method_b_added,exact,added,1.0,
03ad08e521e4659edfdf06c930f57cb0,e0d8113e09db8805fa89dd2700671288,method_b_added,renamed,added,0.92,
03ad08e521e4659edfdf06c930f57cb0,ffe9ca553eb55086233f48a64d45259d,method_b_added,renamed,added,0.92,
04341c5119192e9f49d4443f5d1780de,0f1f08c9698c3104a1a28ac53ce9c9c0,pair_formed_naturally,exact,exact,1.0,1.0
04341c5119192e9f49d4443f5d1780de,32db3b900d54c1d26251e97e8e3178c0,pair_formed_naturally,exact,exact,1.0,1.0
04341c5119192e9f49d4443f5d1780de,77033b33056cd8ffc8a8396c5d3715a0,pair_formed_naturally,exact,exact,1.0,1.0
04341c5119192e9f49d4443f5d1780de,8240bd93c87fbbb7a53f2ee9e900d2db,pair_formed_naturally,exact,exact,1.0,1.0
04341c5119192e9f49d4443f5d1780de,93cebd5c988dc653d7f685c46ff0dab3,pair_formed_naturally,exact,exact,1.0,1.0
04341c5119192e9f49d4443f5d1780de,a25a44cf6a8794d2ead5b2a2ea62d5b9,pair_formed_naturally,exact,exact,1.0,1.0
04341c5119192e9f49d4443f5d1780de,eb11cc36e14d7e09ce34475968afeda9,pair_formed_naturally,exact,exact,1.0,1.0
04b9fb1b2c75a22fce5bb3a4da52bdbd,f6eb7b0c664dc6e862304cf9c33c8d48,pair_formed_naturally,exact,exact,1.0,1.0
