method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
00ed28aeb3ea37b13a5a7e99fc00fce0,7be924e63d1070623e5bce439367620a,pair_formed_naturally,exact,exact,1.0,1.0
00ed28aeb3ea37b13a5a7e99fc00fce0,8fc93c29ddbec6ec7f8453c64f00e0aa,pair_formed_naturally,exact,exact,1.0,1.0
00edbe8f19ecbbc27bca836dbb291b0b,2fb1b0d1d6817b5f7ad2879e9fa24d47,pair_formed_by_refactoring,moved,token_hash,0.99,1.0
00edbe8f19ecbbc27bca836dbb291b0b,f43312bc8bae6c3cd2955adea84d90dc,pair_formed_by_refactoring,moved,token_hash,0.99,1.0
010063167ad9c25ee49e3a7610e9138c,e941652b5933125b335628ff826d95c7,pair_formed_naturally,exact,exact,1.0,1.0
021f53e179926fcae3f86b77d79217d7,fda2a18888e803b50db7d1129e8edb5b,pair_formed_naturally,exact,exact,1.0,1.0
035d3f8d5b2ace1ac1945cd2fce2686a,b5f6266ae9e7b35e4723004a00da92ee,pair_formed_naturally,exact,exact,1.0,1.0
037ab70b4d7e151d3a67e2e7abf2dcfe,d96d90e9ced1b3032c0fb32971e7b17e,pair_formed_naturally,exact,exact,1.0,1.0
04493f4fc1c2f5c92f2c66286f8f3031,320042a710e433e1022300566ad77b04,pair_formed_naturally,exact,exact,1.0,1.0
04493f4fc1c2f5c92f2c66286f8f3031,d58743c6b07ff149266b108d66cd5397,pair_formed_naturally,exact,exact,1.0,1.0
0455f1fc1ebaa0d948102a512564f605,c9ba05f99d1fdac23a71fcea3fedc627,both_added,added,added,,
04e31261e2dd79a38061438b93b4647a,d792d14b5dd59392f5e47ab9c119f64d,pair_formed_naturally,exact,exact,1.0,1.0
0524d19c9becc66a2d78927ef5ef39d6,c6969af9f134a9615b6d879923e71b8a,pair_formed_by_refactoring,exact,signature_changed,1.0,0.99
05517784b0ef5e38065faad4ba3a6c39,1361d2c68b43d346b642bd648837e1fa,pair_formed_naturally,exact,exact,1.0,1.0
05517784b0ef5e38065faad4ba3a6c39,16513b08954d31e133ea2a7274c33d8f,pair_formed_naturally,exact,exact,1.0,1.0
05535ff23c4ec9e38f52aee02c8e333e,8f7ee95204e54e388f9adfd930e351df,pair_formed_naturally,exact,exact,1.0,1.0
0590ccdd896c47620acf661638433c74,685837425ede2f4113315035491f5644,method_a_added,added,moved,,0.97
06698f62227f5f223621f623f3a11657,a8387f1ce6f555758f88d35611956cc4,pair_formed_by_refactoring,signature_changed,exact,1.0,1.0
067cbad5569f512ba9c9a1051bd6c54e,d98a3fac254f28f01ce09c554b5db3dd,method_b_added,exact,added,1.0,
06809fe5ea85cffbb8a1673b9f195bc3,db4bf59e03e3134880a6abadf1799cf2,both_added,added,added,,
06fb6a6b34dbaab82bf00dd91cb55d61,8423d7afd0e55aee4a650d24afba4958,method_b_added,exact,added,1.0,
06fb6a6b34dbaab82bf00dd91cb55d61,8f7ee95204e54e388f9adfd930e351df,pair_formed_naturally,exact,exact,1.0,1.0
06fb6a6b34dbaab82bf00dd91cb55d61,f94a14ec3ebe025bcfc809a265ecbbd5,method_b_added,exact,added,1.0,
07704b5c2a86014f64068071ccc7f537,5fa0041f637b2eb79e05469476b26dc2,pair_formed_naturally,exact,exact,1.0,1.0
08b02405a946a9713ab92d14f1631167,b0c0324901ace84b1428187a784842c6,pair_formed_naturally,unknown,unknown,,
08bdd564d5276a75ec7590662ec86720,438b1d07642f815f098e62fa11234b4c,pair_formed_naturally,exact,unknown,1.0,
08bdd564d5276a75ec7590662ec86720,5564bb4341968d8b5ceb7a83dea1367a,pair_formed_naturally,exact,unknown,1.0,
08bdd564d5276a75ec7590662ec86720,68ec7e4a533b0393da411792507ae4f2,pair_formed_naturally,exact,exact,1.0,1.0
08bdd564d5276a75ec7590662ec86720,e26c3cc8268a9043046f7d83ac7f102a,pair_formed_naturally,exact,exact,1.0,1.0
08bdd564d5276a75ec7590662ec86720,ed26359c2df48a2b4c05a2552ba8ffd8,pair_formed_naturally,exact,exact,1.0,1.0
094fdbb2e5c19215576458bf37ebeb83,4f435053820f55ab54037d8e2e6ed582,pair_formed_naturally,exact,unknown,1.0,
0955f270e5e55342658f16f5bcc505f3,627486c315bac0eb996f2ea0582f8340,pair_formed_naturally,exact,exact,1.0,1.0
0955f270e5e55342658f16f5bcc505f3,ffbe1d91fa3ef21c490955b9738b7a99,pair_formed_naturally,exact,exact,1.0,1.0
0963fa96be79d341b894cd55bc58f480,4f67c9d78acf52f411b4d73cc453edc3,pair_formed_naturally,exact,exact,1.0,1.0
09f2996af1794f50f7c9c11fbb2818d7,88790e9b0e8dc1155889d8ab28308160,pair_formed_naturally,exact,exact,1.0,1.0
09f2996af1794f50f7c9c11fbb2818d7,b87cdf6e36223458e34d0322490709f5,pair_formed_by_refactoring,exact,renamed,1.0,0.95
09f2996af1794f50f7c9c11fbb2818d7,c4e17e69a42e3a29a8408c3a5ac5a762,method_b_added,exact,added,1.0,
09f2996af1794f50f7c9c11fbb2818d7,cfe2a17e804ea5a5bc6c30c8bcd7d6ad,pair_formed_naturally,exact,unknown,1.0,
0a24ed22de9cd4c1c2ccf06d3394b4bc,39cdf37b02300aae6588caee4698adfe,pair_formed_naturally,exact,exact,1.0,1.0
0aae6e4d5e757929dfc3730bf0e6016a,9103ad07c4f18b6dbdc619fe4ac6f95e,pair_formed_naturally,exact,exact,1.0,1.0
0aae6e4d5e757929dfc3730bf0e6016a,aceb4aafd048720c50fe25411b3a9682,pair_formed_naturally,exact,exact,1.0,1.0
0aae6e4d5e757929dfc3730bf0e6016a,af2a54a861688c9dee1337d8e57c47e0,pair_formed_naturally,exact,exact,1.0,1.0
0ac5f97fa39d5b8f1d40ce6cc7d72afd,44d58830954ce3a3af8a7e86c9bc93b6,pair_formed_naturally,unknown,unknown,,
0ac5f97fa39d5b8f1d40ce6cc7d72afd,79e61b2bae3d8ea68acacfbbaafa3bfb,pair_formed_naturally,unknown,exact,,1.0
0ac5f97fa39d5b8f1d40ce6cc7d72afd,c568af8b1bcee83c9fce824be64cf3c0,pair_formed_naturally,unknown,unknown,,
0ac7f18d4d761a882e0c71a280e9ef1a,24602b139ff033459d9ddd22b961c5d5,pair_formed_naturally,exact,exact,1.0,1.0
0aec1a9a95cb37ba3eb66e3c91a00a54,c609a51f4ef2c8e1d221c40acc669f0a,pair_formed_naturally,exact,exact,1.0,1.0
0b26111819060d495a6598410ce2342d,5cde20297d6e360b13b02099e48ea306,pair_formed_naturally,exact,exact,1.0,1.0
0b3130cd6493b78e5148f377f1897368,3555132b1df2c54e784c0c1c7223d82c,pair_formed_naturally,exact,exact,1.0,1.0
0b8b436999ffe3fa2587cb01f71fcaf4,185cea3d6c5cb5ad37d6283c1f1ad9ed,pair_formed_naturally,exact,exact,1.0,1.0
0b90635d7b4873f2f5c137835f5c4672,9e0eda2b1e20fa276d4e1998337cff22,pair_formed_naturally,exact,exact,1.0,1.0
0bdf04270121c63cd319fa854060def7,fcc62faf22e63082d3417f75174082f5,pair_formed_naturally,exact,unknown,1.0,
0bfa22a5418659ce926b3e673e29754f,364b739dbf1ba5eaabc8349b602220d9,pair_formed_naturally,exact,exact,1.0,1.0
0c07a85f1903b0a93ac4c5b7788d7758,7af4e1442c395e8ac342a5c81f73587a,pair_formed_naturally,exact,unknown,1.0,
0c7048c7d3ac10434670eee959b2cf31,6b0c63f7fdcc0480c508559e578b225b,pair_formed_naturally,exact,exact,1.0,1.0
0c749bab28c9182595ddc8938d23073b,24fab3b1df3a8254902c1c3071c1f496,pair_formed_naturally,unknown,exact,,1.0
0d7226b0e27e410b46ddae9b5e7fb297,bab5fbd13a2c60a0f86748e6a129c37a,pair_formed_by_refactoring,signature_changed,signature_changed,0.89,0.96
0e374181e60252b3880b3cd084e453ed,e55c141e065e16cb75b4d8bb6861d3f4,pair_formed_naturally,exact,exact,1.0,1.0
0e374181e60252b3880b3cd084e453ed,ed26359c2df48a2b4c05a2552ba8ffd8,pair_formed_naturally,exact,exact,1.0,1.0
0ed17ee46bd642414c74a50a84343047,4f26ba0d5e8643d8d881a263183a64f0,pair_formed_naturally,exact,exact,1.0,1.0
0ed17ee46bd642414c74a50a84343047,c07aa991c1b8145c633589b3ec389dee,pair_formed_naturally,exact,exact,1.0,1.0
0f1d9c85470a4987983da830a151deb9,b9cca107bb566db823a7dc31301f0f58,pair_formed_naturally,unknown,exact,,1.0
0f416d44825d2cd627e4e771ae3e3248,1c8e8b1dd8db3c5789514ab5ae724ab7,pair_formed_by_refactoring,signature_changed,signature_changed,0.98,0.97
0f4dc970c40cf922bc0e32bf3b5178f9,2181d61f2d654e71f3630dfbf0bae3c8,pair_formed_by_refactoring,exact,signature_changed,1.0,0.97
0f4dc970c40cf922bc0e32bf3b5178f9,22bc6470333858bb4b056e94657ddbb4,pair_formed_by_refactoring,exact,signature_changed,1.0,0.96
0f4dc970c40cf922bc0e32bf3b5178f9,66b3951b19b6f334d5a818ee7b26c343,pair_formed_naturally,exact,exact,1.0,1.0
