method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
005d8f0b90958318bb346d68c161c66f,5e2333f1f835a0c51a425577411cabc7,pair_formed_naturally,exact,exact,1.0,1.0
00edc2c5b6cf7dacf0d3dcbba111bb30,151f7a39362cccfbc45ee34e17c216c9,pair_formed_by_refactoring,signature_changed,unknown,0.7,
00edc2c5b6cf7dacf0d3dcbba111bb30,9a75ed81ee578032d419801e23fc2ad2,pair_formed_by_refactoring,signature_changed,unknown,0.7,
00edc2c5b6cf7dacf0d3dcbba111bb30,fe0dcf7e0d614ac41dd40a8db4285f9c,pair_formed_by_refactoring,signature_changed,unknown,0.7,
01175f520aaec9b3b931dd15922dbbe2,21e9de7702a4f81060f14ba1f6556ec7,both_added,added,added,,
013bcf5e825521711882771fdcc7a1b8,390e248ab997435d538158bec81502e0,pair_formed_naturally,exact,exact,1.0,1.0
013bcf5e825521711882771fdcc7a1b8,931376de4c1b24bda84fbe931d9223cb,pair_formed_naturally,exact,exact,1.0,1.0
0168ec0abfd51b639e29b96d2d5a95b0,c39bf0ef6c1174817e283d923a644d90,method_b_added,exact,added,1.0,
0174eae91c21812152f0e5211b0158aa,c6234541a231fd5496a193529d5cf34d,pair_formed_naturally,exact,exact,1.0,1.0
01c27665f8bfc4b40d98e830b81abd00,4747359ade4308163537718eba3da74c,both_added,added,added,,
01c27665f8bfc4b40d98e830b81abd00,d0fbb2a11bca2b57c3068b2df0e5e654,both_added,added,added,,
01c27665f8bfc4b40d98e830b81abd00,d15bfc123488e0ecdda3aa6dee06e24c,both_added,added,added,,
01dc7b1b73d0e7ab3ff29d0c29dcd33f,436ee9d98a696452d7ea3f84cf93009c,pair_formed_naturally,exact,exact,1.0,1.0
01dc7b1b73d0e7ab3ff29d0c29dcd33f,cb1a39691663bd787f85c9202c3e6c61,pair_formed_naturally,exact,exact,1.0,1.0
01dc7b1b73d0e7ab3ff29d0c29dcd33f,f4020e03b9f0da382b8f025c90380c38,pair_formed_naturally,exact,exact,1.0,1.0
02acdd00d6eba50ea227df511b32c5d2,1d19cfaa38e9a4563d2800bc8ba150a2,method_b_added,unknown,added,,
02acdd00d6eba50ea227df511b32c5d2,79248e1516e9236846239cc5335f1c1e,method_b_added,unknown,added,,
