method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
0054649b082ff42f86bd813d50c71101,7ab125298958c2424199b04089e69584,pair_dissolved_naturally,exact,exact,1.0,1.0
00676a77df13b9ca63b1a73be5a3d68b,13fb004483fc9db177d1707bbc1fca76,pair_dissolved_naturally,exact,exact,1.0,1.0
008516d5b1c7707b42377578307d006b,ba009ef2ca69ba6d0c23b5d0c9a53d68,pair_dissolved_naturally,exact,exact,1.0,1.0
008516d5b1c7707b42377578307d006b,c1a81bb83f4bf28ef45d1fcaa52927e4,pair_dissolved_naturally,exact,exact,1.0,1.0
00c46a2676d2cb60bc35f977e9e42be6,59cb78a41f857939fbb0ca93d094559e,pair_dissolved_naturally,exact,unknown,1.0,
00edc2c5b6cf7dacf0d3dcbba111bb30,151f7a39362cccfbc45ee34e17c216c9,pair_dissolved_by_refactoring,refactored,unknown,0.79,
00edc2c5b6cf7dacf0d3dcbba111bb30,9a75ed81ee578032d419801e23fc2ad2,pair_dissolved_by_refactoring,refactored,unknown,0.79,
00edc2c5b6cf7dacf0d3dcbba111bb30,fe0dcf7e0d614ac41dd40a8db4285f9c,pair_dissolved_by_refactoring,refactored,unknown,0.79,
01175f520aaec9b3b931dd15922dbbe2,21e9de7702a4f81060f14ba1f6556ec7,pair_dissolved_naturally,exact,exact,1.0,1.0
0190f18f29c9b484b4438aa1bb4d7c34,cf1e060a9b559470bcb54b571c018aef,pair_dissolved_naturally,exact,exact,1.0,1.0
01c27665f8bfc4b40d98e830b81abd00,4747359ade4308163537718eba3da74c,pair_dissolved_naturally,exact,exact,1.0,1.0
01c27665f8bfc4b40d98e830b81abd00,d0fbb2a11bca2b57c3068b2df0e5e654,pair_dissolved_naturally,exact,exact,1.0,1.0
01c27665f8bfc4b40d98e830b81abd00,d15bfc123488e0ecdda3aa6dee06e24c,pair_dissolved_naturally,exact,exact,1.0,1.0
01f90ae699dc12bd99c26986ce059891,40919df6f8e37007db1e67b12832c979,pair_dissolved_naturally,exact,exact,1.0,1.0
022b3e46ccc3821e0d26344b8e1b9ca6,bd618b46f96219a1f660e0185c841db3,pair_dissolved_naturally,exact,exact,1.0,1.0
02b95c93454b86e820d43ce23d66e72b,038014d850dcec6a1d380a522c28f5ba,pair_dissolved_naturally,exact,exact,1.0,1.0
02bcfdd6e39495d42c1c49d2d2d81d63,2aa27b9f9462cea49e9a980e97128d29,pair_dissolved_by_refactoring,moved,moved,0.98,0.98
02bf3cb57f95e99299497c07cbe625af,045b18c206b248672f34abfc0b13703b,pair_dissolved_naturally,unknown,exact,,1.0
02dcefe838d837cc66a63b036725d62b,864eb8d28ec6b54da25d617dd748dacb,pair_dissolved_naturally,exact,exact,1.0,1.0
0310c633e916f52cdfac4ea3c02b6baf,2da26d0f82f93276c45119c95de01fd0,pair_dissolved_naturally,exact,exact,1.0,1.0
035235d67e32768c062118b4628a28de,d5ad4d291ae35ef18e9d8e50191443c1,pair_dissolved_naturally,exact,exact,1.0,1.0
035fe11124036362d806615a3166974b,8ebbfe690bc372cad030b301d3cb8594,pair_dissolved_naturally,exact,exact,1.0,1.0
0389cead4d1b2db3099d0191d5712033,36f68d4691b11687e399863c99af8655,pair_dissolved_naturally,exact,exact,1.0,1.0
0389cead4d1b2db3099d0191d5712033,d106a3ee32bba71fe7dcef2298c94f90,pair_dissolved_naturally,exact,exact,1.0,1.0
0389cead4d1b2db3099d0191d5712033,eefcfc51e4c72149f2cefa6b97d47f2b,pair_dissolved_naturally,exact,exact,1.0,1.0
03d7508a6fc6e4b3516e13a32b649116,095295195b85f810a54a049e7cad5b98,pair_dissolved_naturally,exact,exact,1.0,1.0
03d7508a6fc6e4b3516e13a32b649116,b3bec09724ec1f151a9f50b081928b1f,pair_dissolved_naturally,exact,exact,1.0,1.0
03e617ac1a30d56f181555f2a5afeef6,ea4820bc0d32ad7f80a365a275968295,pair_dissolved_by_refactoring,signature_changed,renamed,0.95,0.93
042be0e0696d7c7bc6f7f321d026fcf8,7b7bd12e7b302e85ed49d8eec08421a8,pair_dissolved_naturally,exact,exact,1.0,1.0
04493f4fc1c2f5c92f2c66286f8f3031,0d59a61dfa37f41aad1b967b377f9b45,pair_dissolved_naturally,exact,exact,1.0,1.0
04493f4fc1c2f5c92f2c66286f8f3031,1badd47c9b077f158034f5ba319d29c2,pair_dissolved_naturally,exact,exact,1.0,1.0
04493f4fc1c2f5c92f2c66286f8f3031,2b584cdeaef025014ae6b2c4a4bf8c5f,pair_dissolved_naturally,exact,exact,1.0,1.0
04493f4fc1c2f5c92f2c66286f8f3031,6ea259cb3b13bab3b2cc3a7c69213f28,pair_dissolved_naturally,exact,exact,1.0,1.0
04493f4fc1c2f5c92f2c66286f8f3031,71ea184de0436a0f4bdc032dc08b5f2b,pair_dissolved_naturally,exact,exact,1.0,1.0
