method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
0029c79e4db5128ed9045ff49b8e41ec,73124605e4d1244f85f15306f10f6410,stable_unchanged,exact,exact,1.0,1.0
003f1ead28240c366d57cb180f61632a,029627d0fc5f90a61ee606f19e5de04c,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,09856b8d0765e997dd958d97bf7a4a14,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,1b01f5d4dce2967b2d444aebbff7462b,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,1e7f3f51b8fed8eefd7df374acbf09d6,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,1f537ba165a96dd161e065c9d26d4131,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,44f67d906a65672c292e6b772b0e03d7,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,603990ae118957fce43a360bccb67e64,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,646fcf26285f5b35f1b4bd5455b84e02,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,768a990c9f9a66dcb6498dd5e27969b1,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,78a8a0495388a1f149a6ec381355c2b1,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,96385f9b5348b79c469cedb6d1aa4b78,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,acee7c30b4c1330b786b237cfd2412f5,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,b0fef8bf7b01e4e89a6a8c82de36c67c,stable_with_minor_changes,unknown,exact,,1.0
003f1ead28240c366d57cb180f61632a,ed06254bb1daf2193cada281a5b7a772,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,eef87ad93302388d516651b8b1892978,stable_with_minor_changes,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,fce12d718e8056023d41946b985ac9d0,stable_with_minor_changes,unknown,unknown,,
0042e776485352226772dedaa05c1a73,bbbac53785d70e82ed02dd6c6010809b,stable_unchanged,exact,exact,1.0,1.0
005d8f0b90958318bb346d68c161c66f,5e2333f1f835a0c51a425577411cabc7,stable_unchanged,exact,exact,1.0,1.0
00624f0a9e3e7b328d8791b1e1d9055f,01a03d134420e799dc597b7f256dd0cc,stable_unchanged,exact,exact,1.0,1.0
00ae1e427c81730e0576831e2906029d,8c457c27bcde630e50a09c11611d72e8,stable_unchanged,exact,exact,1.0,1.0
00ae1e427c81730e0576831e2906029d,d9065099f9b0214f8ed221ac69bfe138,stable_unchanged,exact,exact,1.0,1.0
00ae1e427c81730e0576831e2906029d,fc2596c5c0c42e270632b7e8f28a137d,stable_unchanged,exact,exact,1.0,1.0
