method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
001476db537f5f2db5af57c526b6ea52,5308559a508b64d1f43898e08d594573,pair_dissolved_by_refactoring,moved,moved,0.99,1.0
0029c79e4db5128ed9045ff49b8e41ec,73124605e4d1244f85f15306f10f6410,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.96
002ca026180b04b5d2a372c597a4fdb6,733fe8885c5bb24df1a9264c5736a22a,pair_dissolved_naturally,exact,exact,1.0,1.0
003f1ead28240c366d57cb180f61632a,029627d0fc5f90a61ee606f19e5de04c,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,09856b8d0765e997dd958d97bf7a4a14,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,1b01f5d4dce2967b2d444aebbff7462b,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,1e7f3f51b8fed8eefd7df374acbf09d6,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,1f537ba165a96dd161e065c9d26d4131,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,44f67d906a65672c292e6b772b0e03d7,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,603990ae118957fce43a360bccb67e64,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,646fcf26285f5b35f1b4bd5455b84e02,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,768a990c9f9a66dcb6498dd5e27969b1,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,78a8a0495388a1f149a6ec381355c2b1,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,96385f9b5348b79c469cedb6d1aa4b78,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,acee7c30b4c1330b786b237cfd2412f5,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,b0fef8bf7b01e4e89a6a8c82de36c67c,pair_dissolved_naturally,unknown,exact,,1.0
003f1ead28240c366d57cb180f61632a,ed06254bb1daf2193cada281a5b7a772,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,eef87ad93302388d516651b8b1892978,pair_dissolved_naturally,unknown,unknown,,
003f1ead28240c366d57cb180f61632a,fce12d718e8056023d41946b985ac9d0,pair_dissolved_naturally,unknown,unknown,,
0042e776485352226772dedaa05c1a73,bbbac53785d70e82ed02dd6c6010809b,pair_dissolved_by_refactoring,moved,moved,1.0,1.0
004c6140ad1cbf4d39e3949e91703cff,f096fece9017897ad20976a4c1219c15,pair_dissolved_naturally,unknown,exact,,1.0
005f8cfe1149c664a7d88453680a02b7,e80f8457c4716d6280d34381be4f8ac0,pair_dissolved_by_refactoring,refactored,token_hash,0.89,1.0
00624f0a9e3e7b328d8791b1e1d9055f,01a03d134420e799dc597b7f256dd0cc,pair_dissolved_naturally,exact,exact,1.0,1.0
00ae1e427c81730e0576831e2906029d,8c457c27bcde630e50a09c11611d72e8,pair_dissolved_by_refactoring,moved,moved,0.92,0.92
00ae1e427c81730e0576831e2906029d,d9065099f9b0214f8ed221ac69bfe138,pair_dissolved_by_refactoring,moved,refactored,0.92,0.89
00ae1e427c81730e0576831e2906029d,fc2596c5c0c42e270632b7e8f28a137d,pair_dissolved_by_refactoring,moved,refactored,0.92,0.89
00d1d5f187cb1ffad02c6869706e2276,078f05a039264dac66f11f475f9761d1,pair_dissolved_by_refactoring,exact,moved,1.0,0.93
01042809febf493634538a5af3672fe5,23878a27018e20cbcc6d22501d307c04,pair_dissolved_naturally,exact,exact,1.0,1.0
01042809febf493634538a5af3672fe5,81f2aad4393015eae3733c835dac345a,pair_dissolved_naturally,exact,exact,1.0,1.0
0134bfefdd0fba1e8302f1ada9478b00,7147d698a0cf7367c6b152e73b6871cb,pair_dissolved_naturally,unknown,exact,,1.0
0137432fb6ca7b2685a53db99ccf51c0,e919aa280405e704e4e232c658a5de95,pair_dissolved_naturally,exact,exact,1.0,1.0
0168ec0abfd51b639e29b96d2d5a95b0,c39bf0ef6c1174817e283d923a644d90,pair_dissolved_by_refactoring,moved,moved,0.98,0.96
017e71d33f4144e1b33de825564b4729,18cde288c140536a4613f6528737415a,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.85,0.85
0183ad2eb6ffc9608d58bf0c56969cc0,4d0751869158cf5a7ac243d4dbadfa39,method_a_deleted,deleted,exact,,1.0
01a03d134420e799dc597b7f256dd0cc,8f58fb09614f57eefdb373c0c911d237,pair_dissolved_naturally,exact,exact,1.0,1.0
