change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,4a941e66585a785990402ffe8f16475f,4a941e66585a785990402ffe8f16475f,1.000
exact,3032a7f6bdd00e63de1c7535fe83111c,3032a7f6bdd00e63de1c7535fe83111c,1.000
exact,3f6f11d0ca6aa1b8c6149ef9880ed351,3f6f11d0ca6aa1b8c6149ef9880ed351,1.000
exact,f84fbf5daf30057f489a5391b7bb8898,f84fbf5daf30057f489a5391b7bb8898,1.000
exact,14d505f527bcefcaf760d1e4c598f0b4,14d505f527bcefcaf760d1e4c598f0b4,1.000
exact,556b67b6d8e4e9029ffbbd885c76b00c,556b67b6d8e4e9029ffbbd885c76b00c,1.000
exact,84da269ccb2bab26c2b7230811b2b935,84da269ccb2bab26c2b7230811b2b935,1.000
exact,f84fbf5daf30057f489a5391b7bb8898,f84fbf5daf30057f489a5391b7bb8898,1.000
exact,3888337d7c3e9bdea2724ce64d45df23,3888337d7c3e9bdea2724ce64d45df23,1.000
exact,81db2b331bbfe92040eb5ccf99564f53,81db2b331bbfe92040eb5ccf99564f53,1.000
exact,3978b1a5c47f9ff751f81fcdc1cd1ae0,3978b1a5c47f9ff751f81fcdc1cd1ae0,1.000
exact,3f602dda85ee0ee2d27395d281764ae5,3f602dda85ee0ee2d27395d281764ae5,1.000
exact,70758818318e87b957c2daa392ce551d,70758818318e87b957c2daa392ce551d,1.000
exact,aaadd7b97fce0fe9e8d74291f20d0541,aaadd7b97fce0fe9e8d74291f20d0541,1.000
exact,a30f8e1373cd54960c77595d01ba4a15,a30f8e1373cd54960c77595d01ba4a15,1.000
exact,8e7e2b36d01118cfd960fc06aef93840,8e7e2b36d01118cfd960fc06aef93840,1.000
exact,5835f227f9232e0f778c5aa48a0b144f,5835f227f9232e0f778c5aa48a0b144f,1.000
exact,2ae341f11aeb5140b966b1603b4aa016,2ae341f11aeb5140b966b1603b4aa016,1.000
exact,f41991b1c62d04564cc9f42720e84c4b,f41991b1c62d04564cc9f42720e84c4b,1.000
exact,0ef47f82f52f4f2c943dd366f1b337ef,0ef47f82f52f4f2c943dd366f1b337ef,1.000
exact,92d5aa1e5aaf986fbe7ec2e701448032,92d5aa1e5aaf986fbe7ec2e701448032,1.000
exact,7ba97139efffd6926bbbba6cc02c09eb,7ba97139efffd6926bbbba6cc02c09eb,1.000
exact,29052d981acf30ddf711d4af46da8009,29052d981acf30ddf711d4af46da8009,1.000
exact,79b7abe6ae43668bc74fecddd31bd727,79b7abe6ae43668bc74fecddd31bd727,1.000
exact,63970637262b96b85287b684ef48f3e2,63970637262b96b85287b684ef48f3e2,1.000
exact,46295008c22b07c08da99be290d292ca,46295008c22b07c08da99be290d292ca,1.000
exact,c1d8d12f3ae89927f3b16d143d1cb3e5,c1d8d12f3ae89927f3b16d143d1cb3e5,1.000
exact,c2a945c4467a8b203474f182e3811317,c2a945c4467a8b203474f182e3811317,1.000
exact,4bc1f34f3829b222649d5b522aa129a8,4bc1f34f3829b222649d5b522aa129a8,1.000
exact,5b9d275182b1f728c215db87aad2f65b,5b9d275182b1f728c215db87aad2f65b,1.000
exact,08cbe63b25e0073938fb0eb2ae212084,08cbe63b25e0073938fb0eb2ae212084,1.000
exact,653c9427c7906a71d970264351154b1a,653c9427c7906a71d970264351154b1a,1.000
exact,7afa882d1fd6c070a5312cf9161d6b6c,7afa882d1fd6c070a5312cf9161d6b6c,1.000
exact,6d5a27846d58d87c5d6878e0c4b099c6,6d5a27846d58d87c5d6878e0c4b099c6,1.000
exact,8036c8f86dcc8242cc7bbbbb779c6601,8036c8f86dcc8242cc7bbbbb779c6601,1.000
exact,21bb29e3716626730ace58c5fc501ba3,21bb29e3716626730ace58c5fc501ba3,1.000
exact,f9be3cb42aacd43d85d3cd16bfc0f02b,f9be3cb42aacd43d85d3cd16bfc0f02b,1.000
exact,e0043c6352eea2c9bb683815bd53c814,e0043c6352eea2c9bb683815bd53c814,1.000
exact,2753463851842c2467320887be333957,2753463851842c2467320887be333957,1.000
exact,09d89f331271ebf2eeab3a631f227c4b,09d89f331271ebf2eeab3a631f227c4b,1.000
exact,5d7effdd14cf1ae4df372d2ad03bcbfc,5d7effdd14cf1ae4df372d2ad03bcbfc,1.000
exact,6f9d3eab9ca18504143b7a3df07951dd,6f9d3eab9ca18504143b7a3df07951dd,1.000
exact,ec536b5e02feb797d5ca72b3efe7a55b,ec536b5e02feb797d5ca72b3efe7a55b,1.000
exact,a644bd5530afec635bec41e245303cf8,a644bd5530afec635bec41e245303cf8,1.000
exact,6d7cbd84b684785ef38045cfb1990e92,6d7cbd84b684785ef38045cfb1990e92,1.000
exact,24e517417b266620e20e7e561ab69c86,24e517417b266620e20e7e561ab69c86,1.000
exact,460aff5de14f8834218752f7922827fb,460aff5de14f8834218752f7922827fb,1.000
exact,e39eb1ca442758332ad3bf57aad2a1cd,e39eb1ca442758332ad3bf57aad2a1cd,1.000
exact,31d890ab5892cd354f6221858e6b752b,31d890ab5892cd354f6221858e6b752b,1.000
exact,3f52837f44d5c11a6fb3775aa2168092,3f52837f44d5c11a6fb3775aa2168092,1.000
exact,ca15863f0cbf7eaaf105f55612333c80,ca15863f0cbf7eaaf105f55612333c80,1.000
exact,dbf4186d121fea0da85ef608a11c569c,dbf4186d121fea0da85ef608a11c569c,1.000
exact,581a74bb85ce7b997487a57a7125a5e5,581a74bb85ce7b997487a57a7125a5e5,1.000
exact,f56d6629525b29540037aa0efc8644be,f56d6629525b29540037aa0efc8644be,1.000
exact,7174e562c0f041f1018bba5ab8408a07,7174e562c0f041f1018bba5ab8408a07,1.000
exact,9744ebb7184dd45df704e80de34bf942,9744ebb7184dd45df704e80de34bf942,1.000
exact,bc24c1695b9a7ea543612195750a4ecb,bc24c1695b9a7ea543612195750a4ecb,1.000
exact,6deee48df871dd82b20ae15c5347e41a,6deee48df871dd82b20ae15c5347e41a,1.000
exact,66c4835723ebf7b0fa355e65ca9f9c6d,66c4835723ebf7b0fa355e65ca9f9c6d,1.000
exact,102acdf19e29307767163e15e9bbd894,102acdf19e29307767163e15e9bbd894,1.000
exact,e3125bf3a12f14488820cddc547d05ad,e3125bf3a12f14488820cddc547d05ad,1.000
exact,e26bf974ba32dc68ecd875cbca5833a5,e26bf974ba32dc68ecd875cbca5833a5,1.000
exact,dcb6e9df2aba49fa723e36ced026fc23,dcb6e9df2aba49fa723e36ced026fc23,1.000
exact,1caa8c0f3ed837d84b5d4a689d9517d7,1caa8c0f3ed837d84b5d4a689d9517d7,1.000
exact,700c84a62abf436e0e20b9452d1227ff,700c84a62abf436e0e20b9452d1227ff,1.000
exact,cd2acbf3926e6ce433e732d356723e68,cd2acbf3926e6ce433e732d356723e68,1.000
exact,2a608e8aa78eac2e9d057c8e6732beab,2a608e8aa78eac2e9d057c8e6732beab,1.000
exact,1b58356cc0ebbf7d791520f08899710f,1b58356cc0ebbf7d791520f08899710f,1.000
exact,647be05be3652135d6e6ffcc43f696eb,647be05be3652135d6e6ffcc43f696eb,1.000
exact,dde9a948d5d9e8d2f58bac201c4d7cf5,dde9a948d5d9e8d2f58bac201c4d7cf5,1.000
exact,cad0d35031c49a47df6f4096bbf96ce1,cad0d35031c49a47df6f4096bbf96ce1,1.000
exact,b67c4fd9dabcccdca253b504358c4459,b67c4fd9dabcccdca253b504358c4459,1.000
exact,6b9eef3845d1284d6e39ec63f1c7f48c,6b9eef3845d1284d6e39ec63f1c7f48c,1.000
exact,a36a3f929570399545f0c035656be141,a36a3f929570399545f0c035656be141,1.000
exact,379bb2f65c80574bb7d9e26cf5d9b2f5,379bb2f65c80574bb7d9e26cf5d9b2f5,1.000
exact,26269dd714099368fa447ff0c2753c66,26269dd714099368fa447ff0c2753c66,1.000
exact,2bd2b6fe191c8c031f0c6e73659d2b36,2bd2b6fe191c8c031f0c6e73659d2b36,1.000
