method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
005d8f0b90958318bb346d68c161c66f,5e2333f1f835a0c51a425577411cabc7,stable_unchanged,exact,exact,1.0,1.0
00b3f769b9a596018a62a86f98e407f4,69f22a4a0834154315d8f2dd4321345d,stable_unchanged,token_hash,exact,1.0,1.0
00b3f769b9a596018a62a86f98e407f4,a70b00a05a3388c2a09b1086a6c13fc5,stable_unchanged,token_hash,token_hash,1.0,1.0
00b3f769b9a596018a62a86f98e407f4,e4ca304b75ddbb83b6b46152f705185d,stable_unchanged,token_hash,token_hash,1.0,1.0
00c36bcb01167a983ad267ae41ccf01a,97fbd734bb40b24cba3eb7f867e2e4fc,stable_unchanged,exact,exact,1.0,1.0
00c36bcb01167a983ad267ae41ccf01a,a9a7dc6becf17b7220317c22523789e7,stable_unchanged,exact,exact,1.0,1.0
00d1d5f187cb1ffad02c6869706e2276,4c12510efecc9deba29cf8204e1c35a2,stable_unchanged,exact,token_hash,1.0,1.0
00edbe8f19ecbbc27bca836dbb291b0b,2fb1b0d1d6817b5f7ad2879e9fa24d47,stable_unchanged,exact,exact,1.0,1.0
00edbe8f19ecbbc27bca836dbb291b0b,f43312bc8bae6c3cd2955adea84d90dc,stable_unchanged,exact,exact,1.0,1.0
0134f2592c0d943ecc320783f3b8302d,655d3184a6df6a3bf60ec22e220cc9b9,stable_unchanged,exact,exact,1.0,1.0
0134f2592c0d943ecc320783f3b8302d,8f63874e46bcf7aee025a4c6ba918ba1,stable_unchanged,exact,exact,1.0,1.0
01493d7b34aacbf0aea8ebcf259ceea9,0da61efe4b178ed16b1a50d617b4d384,stable_unchanged,exact,exact,1.0,1.0
0190f18f29c9b484b4438aa1bb4d7c34,9938b4e25bc9ec6b005a393c4ec89849,stable_unchanged,exact,exact,1.0,1.0
0190f18f29c9b484b4438aa1bb4d7c34,a97801c6276ee20f3c80f1b653e4fc66,stable_unchanged,exact,exact,1.0,1.0
02b95c93454b86e820d43ce23d66e72b,0b1bf12519fc52329ce7059ffd168bff,stable_unchanged,token_hash,token_hash,1.0,1.0
02e4207584b74eeac9354116d1a4a80b,03f78895a37814394cc1592ec5312408,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,060e0d19dbbbebe4265419f0b777c13e,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,094346c3c577d16d689efd62e11288e1,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,0bc753b3244d13c60103fca042ee0cb2,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,100b7fe539009ac2eaf8050e3252b578,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,12aa7293c3fb2933f1c0915bfdc5689a,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,141216dd55e4e507309090abc2b36e76,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,1c9b200b9f9fc483f67d8a0d76fa8e79,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,1d054493252804e580015c25d9d23c05,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,1db8529f0359ebff13604ad956250f95,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,1df9f2e1596acc297e31eb7dc66dba61,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,1e1d5bc64fe0e4be77557a7d687a854b,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,254a22ddd2ebff92c825119264804645,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,27f2f2243b0bf49ba3ca60de537c49a9,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,2ba1593155a4eed9d4e9aee69a8978e3,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,3598d8ea41a118bdac703b9775e841a0,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,433896ef294f90aee424833c3d26a7a4,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,4bf05f396036a8ca46ea2589103a7ed8,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,4de355d0a9e92c9972bbb93f30ff8a2d,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,578347f68a065b47c5f94bd9f50fe1a2,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,60b506e8c7e6b42f1664ecdb355a9185,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,65b8349d5e845e8d9b6f64ab97bb08ff,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,67ce8d88655184d0fb6ec3de71fc93e4,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,6b34b60bfe1365455d8b7e9146501624,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,6f437b6e3534c03c87f979a85fe122ed,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,80041a3b48e0bea3046e524b6a85cdf7,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,836021d3a3f20b0f10ad2406981f75d7,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,83b4219080235919186d6a9158496c92,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,855c6dea3042d66a8521d78bfc4716b5,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,8d7d8a999b2d230042833e00f535512e,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,912e987934ca794234677d269e0b1789,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,947a95a8ab1cf2b6e3179d36b46f0e5f,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,981914b4f69641c7734ba1fc083c49b7,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,9c3c7c93d5f227a5cda661fadc63cc00,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,9d44b8963aa0838a2314c6d3f9e3a409,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,a0927794981dd5090283adbe6fddff66,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,a1a3d53401d94b6187cfebfb437ee44a,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,a5b27897f2b228c18ac2662607b51b70,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,a97de925fc093b4241cbdf5bb337a04d,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,b92eda5afafbf81eb8fa90f0a0170143,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,bbed50e883a70a9e25fbeaf93b016a10,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,bd0a111220b8d241f5ec4c6400ffbc14,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,bfff5a80b82234175bd6a087cb7ff8a7,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,c25b96c571f4b7d6a887c48042ba3e12,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,c361cc25d92747576cfbad6da1632a66,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,c3ec0915587d08f9ebf9e997268ebd6a,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,c77a1d03ab9ad86b36b2ef8120ce9405,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,cccdf9c54f7ce00cd2621a5645557537,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,cd828f6532f9ba426037de034df1805a,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,d1995f02b217e8d6cd68ec788d985a2e,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,d2277a88c0e0ef85abbf942ae8f1c018,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,d401d06d2cc866313950c15d0cefde67,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,d44e4778c62db5e21523fc0fb6949004,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,d87b0e73bfbd44b2bf7a086ce0787cf7,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,da54791d603311378dc62be51989684c,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,dd90372ecafd90457ad8af9ef07ecf9a,stable_with_minor_changes,unknown,unknown,,
02e4207584b74eeac9354116d1a4a80b,e2c2634ecb31de047dcb851c6b99be2a,stable_with_minor_changes,unknown,unknown,,
