method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
005d8f0b90958318bb346d68c161c66f,5e2333f1f835a0c51a425577411cabc7,stable_unchanged,exact,exact,1.0,1.0
00624f0a9e3e7b328d8791b1e1d9055f,80ea7f7f8fd1818c6c9acfea13c6fe2d,stable_unchanged,token_hash,token_hash,1.0,1.0
00b3f769b9a596018a62a86f98e407f4,69f22a4a0834154315d8f2dd4321345d,stable_unchanged,exact,token_hash,1.0,1.0
00b3f769b9a596018a62a86f98e407f4,a70b00a05a3388c2a09b1086a6c13fc5,stable_unchanged,exact,exact,1.0,1.0
00b3f769b9a596018a62a86f98e407f4,e4ca304b75ddbb83b6b46152f705185d,stable_unchanged,exact,exact,1.0,1.0
00c36bcb01167a983ad267ae41ccf01a,97fbd734bb40b24cba3eb7f867e2e4fc,stable_unchanged,exact,exact,1.0,1.0
00c36bcb01167a983ad267ae41ccf01a,a9a7dc6becf17b7220317c22523789e7,stable_unchanged,exact,exact,1.0,1.0
00edbe8f19ecbbc27bca836dbb291b0b,2fb1b0d1d6817b5f7ad2879e9fa24d47,stable_unchanged,exact,exact,1.0,1.0
00edbe8f19ecbbc27bca836dbb291b0b,f43312bc8bae6c3cd2955adea84d90dc,stable_unchanged,exact,exact,1.0,1.0
0134f2592c0d943ecc320783f3b8302d,655d3184a6df6a3bf60ec22e220cc9b9,stable_unchanged,exact,exact,1.0,1.0
0134f2592c0d943ecc320783f3b8302d,8f63874e46bcf7aee025a4c6ba918ba1,stable_unchanged,exact,exact,1.0,1.0
016fc08c85700ce9e3941e067e70b89e,22bc332904017b62171e0136531b68f3,stable_unchanged,exact,exact,1.0,1.0
01750515a19952ba53b798d3087500bc,36e4fd591da3351cdb94bf7756c67897,stable_unchanged,token_hash,token_hash,1.0,1.0
01750515a19952ba53b798d3087500bc,6a9be1502aaa27b4089657d5520f2a18,stable_unchanged,token_hash,token_hash,1.0,1.0
01750515a19952ba53b798d3087500bc,8d9619f5256fb9e10cbe549653fa22d6,stable_with_minor_changes,token_hash,added,1.0,
