method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
004ac49e056b50d286746c62521c03aa,45ef24ae8c806d563b63dfcff34e6202,method_a_added,added,exact,,1.0
004ac49e056b50d286746c62521c03aa,62af246689b279b755a8625cf6a4f732,both_added,added,added,,
004ac49e056b50d286746c62521c03aa,6414a3c14ec535b67e4c5ed72af51a91,method_a_added,added,exact,,1.0
004ac49e056b50d286746c62521c03aa,8f1f80107eced43a73db9a0ef09c143a,method_a_added,added,exact,,1.0
004ac49e056b50d286746c62521c03aa,a08bf01af53c763464a25a8168f8a3ed,method_a_added,added,exact,,1.0
004ac49e056b50d286746c62521c03aa,aba0c04c601402a89cb324257f5845ad,method_a_added,added,exact,,1.0
004ac49e056b50d286746c62521c03aa,bce7f657968345f43939a7f6e5365620,method_a_added,added,exact,,1.0
004ac49e056b50d286746c62521c03aa,cd86b06c1a6e1aac763e415c9fb5862e,method_a_added,added,signature_changed,,1.0
008b2447edc7b120cf3e73e8f4d9227f,21cb61ffb1cc4137f2bfea2beab76990,pair_formed_naturally,exact,exact,1.0,1.0
00aaa062d11f2a095fb35b637ba50092,131fa0d15c2bb53ed6ede84eda89e70a,both_added,added,added,,
00aaa062d11f2a095fb35b637ba50092,f7d49890641e5f8a0708f9adcdb22387,method_a_added,added,exact,,1.0
00afaf60a114c01f7c766850a1960ac0,7503a32df8b874181d1878a69252b1b2,both_added,added,added,,
00c966e56ddd6d7b798bcc1d38c22fa2,44d6bc585ae4c29279d89c92a6ef90dc,pair_formed_by_refactoring,moved,moved,1.0,1.0
00cf6329a2bc9a00baa3a2e092875c19,2ddfcd39507b2ccdf809b7678831e6d8,pair_formed_naturally,unknown,exact,,1.0
00cf6329a2bc9a00baa3a2e092875c19,d155c609a023801a7ffed3b92f7b3052,pair_formed_naturally,unknown,unknown,,
0125b3f3cbebfc3c50b2e5016056cb18,0a379e15d79eaf1e045282239b3dda28,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
0125b3f3cbebfc3c50b2e5016056cb18,0c6817e47d5e4d77f9eb0d5b9f1776fc,pair_formed_by_refactoring,signature_changed,exact,1.0,1.0
01349ca62c77663126ab1dad6890d493,7be924e63d1070623e5bce439367620a,pair_formed_naturally,exact,exact,1.0,1.0
01349ca62c77663126ab1dad6890d493,8fc93c29ddbec6ec7f8453c64f00e0aa,pair_formed_naturally,exact,exact,1.0,1.0
013b5e212db569c2e7b1bb4cd80ebf8c,b879779ae5555b09513e61f8fef6746f,pair_formed_naturally,exact,exact,1.0,1.0
01455c351463965d0ba7128756f1f1fc,f46eb2fec044d8caef62fc97252647e2,pair_formed_naturally,exact,exact,1.0,1.0
01518bb20162fd1ff91ad55742a5338f,b8a72020028457378d456be4bb966d45,pair_formed_naturally,exact,exact,1.0,1.0
01597a859f46c4dfca683de59206b0ad,a27468dafc0860b4137d4089e95415d8,both_added,added,added,,
01597a859f46c4dfca683de59206b0ad,d350b0683d4e448e8b89fe428efbd654,both_added,added,added,,
015fcf33eecd4b0b7067b2952c9610c7,924ca859d9a05fb553f3f19b7a3137f3,both_added,added,added,,
015fcf33eecd4b0b7067b2952c9610c7,9e3425e784151086bc54e287c7a3736f,both_added,added,added,,
015fcf33eecd4b0b7067b2952c9610c7,b896bdca9a5617b97bea1a91a29e9440,both_added,added,added,,
015fcf33eecd4b0b7067b2952c9610c7,bf7416e524f55289bc5e0f263585595b,both_added,added,added,,
01624cad89c1000c3bd0d664cee953f2,cb7c2c896ed93111ab58e02eace5bab3,pair_formed_naturally,exact,exact,1.0,1.0
0177e7002ec6816860a9ad4f725010be,0f1b318f6f0de3d79bf67121433e0154,pair_formed_naturally,exact,exact,1.0,1.0
0177e7002ec6816860a9ad4f725010be,1829949a2208ec4ac5ba9ffb398887eb,pair_formed_naturally,exact,exact,1.0,1.0
018af22e34a28d565697f4d28f5cac26,f106834f896bce972d8d03352f6692b7,pair_formed_naturally,exact,exact,1.0,1.0
01a63cf8cc5d0715326c68e77df9d6c7,91ce90e05e29002feb8d3a8fb196dfdb,pair_formed_naturally,exact,exact,1.0,1.0
01adb284427952ec8fa56ed607170bbc,464de3785a3c4740fbfa56a7bfa511de,both_added,added,added,,
01adb284427952ec8fa56ed607170bbc,884d5fe4d98f75be15f931fe4fc7804d,both_added,added,added,,
01adb284427952ec8fa56ed607170bbc,a008b78cb7ca90924ccd584805535b78,both_added,added,added,,
01adb284427952ec8fa56ed607170bbc,e194cdb2d0ab29412836d5eb389f15f5,both_added,added,added,,
01f83173fb37fdf3c8469a1aa38c3caa,069e0866fd059dda3580c40940576cca,both_added,added,added,,
0217add568ebdb93b8cac914faacd44d,08320031da6dec873ee8346373e39080,pair_formed_naturally,exact,exact,1.0,1.0
0217add568ebdb93b8cac914faacd44d,35c5c0a7e5477a27d36ac34de877a1c4,pair_formed_naturally,exact,exact,1.0,1.0
0217add568ebdb93b8cac914faacd44d,5adc2261cc09a50e9554cabb5d14c6a6,pair_formed_naturally,exact,exact,1.0,1.0
0217add568ebdb93b8cac914faacd44d,6c68c076e7c1aa2aca428868efca80a2,pair_formed_naturally,exact,exact,1.0,1.0
0259fdb56b8650a14089e30f1d7fe138,e65eae4ca99addc19ff61956e985c166,pair_formed_naturally,exact,exact,1.0,1.0
0260722455468362c8b6f32e6e352718,c7d67db765784c5db93642d3c81168b2,pair_formed_naturally,exact,exact,1.0,1.0
02a0acea50eba2578e07730df6131892,a4f656f674a491e32894bf1dea2e35b9,both_added,added,added,,
02bf3cb57f95e99299497c07cbe625af,1b7b3b3d9c53225b031de018abac69e9,pair_formed_naturally,unknown,unknown,,
02c2146b7f566616d2091712bc9d7d62,4e273dc808d23ddc6293025ee5e75431,pair_formed_naturally,exact,exact,1.0,1.0
02c3106cb5afd49ba126c6f98cef09bf,350c7e0f8c533ad5f59b202bc00d2e07,pair_formed_by_refactoring,signature_changed,signature_changed,0.93,0.93
02c3106cb5afd49ba126c6f98cef09bf,431626034200fc58413889ca82750968,pair_formed_by_refactoring,signature_changed,signature_changed,0.93,0.91
02c3106cb5afd49ba126c6f98cef09bf,a3f32618fae54884ee5020fafa3584bb,pair_formed_by_refactoring,signature_changed,signature_changed,0.93,0.84
02c3106cb5afd49ba126c6f98cef09bf,a78ed56ea9d9a9dd1ce42c10c90baa1d,pair_formed_by_refactoring,signature_changed,signature_changed,0.93,0.83
