method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
000bd2e9027bbf1d8620582b39537287,52c4e117ca701c5b8f760c22ac424f1d,pair_formed_naturally,exact,exact,1.0,1.0
000cd2f8456cfcaae67a9c98faba9e60,78ee8858d2d9ac9a682a8cd96b7a9f14,method_a_added,added,exact,,1.0
000cd2f8456cfcaae67a9c98faba9e60,b12d1e8ebbecb654477d41ed517689bf,method_a_added,added,token_hash,,1.0
000cd2f8456cfcaae67a9c98faba9e60,e9348b5fca4a9da5088863174058c01b,both_added,added,added,,
000d8311d721c7dc4b180aabc5ed5385,6326351c2faefbf3895126069a8130cf,pair_formed_naturally,unknown,exact,,1.0
000d8311d721c7dc4b180aabc5ed5385,66d058863603b4f8c4d86cb60a347b1d,pair_formed_naturally,unknown,unknown,,
000d8311d721c7dc4b180aabc5ed5385,88280f7ebd40ae0520899c2d22c017b1,method_b_added,unknown,added,,
000d8311d721c7dc4b180aabc5ed5385,9dd1d8260a612b929e1c29114686a7a8,pair_formed_naturally,unknown,exact,,1.0
00202142a97f78cfe5a0043d0bdf6d3b,df55255acde853c7182998c777e8396b,pair_formed_naturally,exact,exact,1.0,1.0
002bc73c2ac9f581489d5cff521fa4c4,9427a8572907860ef9c9d5e4401b8989,both_added,added,added,,
002bc73c2ac9f581489d5cff521fa4c4,a27127e026068d4fd4de2e5725f87e5b,both_added,added,added,,
002bc73c2ac9f581489d5cff521fa4c4,c4434b4172ea93bc0adc18d43c10cd37,both_added,added,added,,
00516d420473889ab1557f18700139b1,2d4a233de9b794ea875410b5935458fb,pair_formed_by_refactoring,signature_changed,signature_changed,0.73,0.83
00516d420473889ab1557f18700139b1,601908e1a9fa123b866ec852447b7b42,pair_formed_by_refactoring,signature_changed,refactored,0.73,0.76
00516d420473889ab1557f18700139b1,c8f0d646f1c7419ccfc64b498380dd19,pair_formed_by_refactoring,signature_changed,signature_changed,0.73,0.86
006a7d0bd315fee28c70f20cc8fb8d0b,095cd87c7f83282d341fddd562ec5219,both_added,added,added,,
006a7d0bd315fee28c70f20cc8fb8d0b,0ca708a2b6e9314e3b748e6e303225f9,both_added,added,added,,
0098bc49101f91d6c45fb3297ebd5016,5a43c83c4ee58327340a192d192e0da2,pair_formed_naturally,exact,exact,1.0,1.0
009c93ac68acf687057b241aa0a432c4,48e9eeda74174c655b82cb838e170628,pair_formed_naturally,exact,exact,1.0,1.0
00c696b8c83b3d5bc50c96209483b646,7a10ac3d0d04ec6a9f65c55188ed5f50,pair_formed_by_refactoring,moved,moved,0.98,0.98
00ecc177d49dd50aa587d9b70931edd3,c3181302b3b69a87f166c4bda7e672b7,pair_formed_naturally,exact,exact,1.0,1.0
00ecc177d49dd50aa587d9b70931edd3,f7aeed1289fb1600531b5babd6201b6f,pair_formed_naturally,exact,exact,1.0,1.0
00fa0252ae52cf2ffe31e7348812afee,db375fb8283904ca6e86ee136370bee1,pair_formed_by_refactoring,signature_changed,signature_changed,0.93,0.94
00fb8e52e5b0a62bd151874989421378,631eda01d48a8da5033902b78bc18cd7,both_added,added,added,,
00fb8e52e5b0a62bd151874989421378,f492db2be2b777f72f168aaa34edce6e,both_added,added,added,,
01077c0e382e36333824e6055a7f3809,07b7c4f5b81c9a160321ce7beae9b362,pair_formed_naturally,exact,exact,1.0,1.0
011c3adf691643bfbd5ab3e09f53bee2,7d33f33700d50344489fff1011fcb9ec,method_b_added,refactored,added,0.86,
012296fb0ebcb5f98818bb85859a6fa2,2ead1b834edc157f9f27cd0ef08b5e0a,pair_formed_naturally,exact,exact,1.0,1.0
012296fb0ebcb5f98818bb85859a6fa2,a31b9bee0a3502bd1243fcaaf29d809f,pair_formed_naturally,exact,exact,1.0,1.0
012296fb0ebcb5f98818bb85859a6fa2,d3072a78edbfc2acaf609a62fa61d44d,pair_formed_naturally,exact,exact,1.0,1.0
012296fb0ebcb5f98818bb85859a6fa2,e19957a3e2371e9457d6615282f1ee50,pair_formed_naturally,exact,exact,1.0,1.0
0125b3f3cbebfc3c50b2e5016056cb18,fded01a4284ef8968f8258b4647a4e93,pair_formed_naturally,exact,exact,1.0,1.0
0144fea48fa23ca4916ddb0a511d1d98,3fd4b9987eb74713086326511c26e039,both_added,added,added,,
014af9f2aaf3e1b391abd5a16a37c224,324a009d5c2e69930b6a766b65d935aa,pair_formed_naturally,exact,exact,1.0,1.0
014af9f2aaf3e1b391abd5a16a37c224,f8a011746c2b3786425dd3b23afed62d,pair_formed_naturally,exact,exact,1.0,1.0
014bf9341199ec5577bf431c932c6c6f,226070d611ffc614e16cfcee3150dc90,pair_formed_naturally,exact,exact,1.0,1.0
0152fed80b5178f0656ce0c51ca34464,53c266ec4d09dc440dacd9c0b8a4b434,pair_formed_by_refactoring,signature_changed,signature_changed,0.92,0.94
0152fed80b5178f0656ce0c51ca34464,6dfd4d5d2fccf93f77c00975e6a3a4d7,method_b_added,signature_changed,added,0.92,
0177e7002ec6816860a9ad4f725010be,76ba9a0ea8b8fedd69c2bb54f82bb929,pair_formed_naturally,exact,exact,1.0,1.0
017fa09975b10a48063ed85aa7512dbd,85d92e1223903bd5f49dcab54758c3d3,pair_formed_naturally,exact,exact,1.0,1.0
017fa09975b10a48063ed85aa7512dbd,87bdcaf92cdbea3db97c36ae95cca89b,pair_formed_naturally,exact,exact,1.0,1.0
017fa09975b10a48063ed85aa7512dbd,fefbde81e166287fe35d8cb0bfc10c53,pair_formed_naturally,exact,exact,1.0,1.0
0181c8dc901f33db78ab482161bcc64d,6d533d74222fde377a8756222bb5c4dd,pair_formed_naturally,exact,exact,1.0,1.0
018e77ae9d53d3b95223702cd34ff0de,695ac57defc3a36ce9a9e7fae460485b,both_added,added,added,,
018e77ae9d53d3b95223702cd34ff0de,79128f4fdc3c16911b87a06641cbd7de,both_added,added,added,,
0198ea5c57ce016e89324f740db57727,8e743996541d781bd75234779844998c,method_a_added,added,signature_changed,,1.0
0198ea5c57ce016e89324f740db57727,fa1d19469482edda7d80665a86986f8c,both_added,added,added,,
0198ea5c57ce016e89324f740db57727,fb1c898077360ca1831acc31a6262c9c,method_a_added,added,exact,,1.0
01a7578b3aaad06e2875d26c1529b117,a838a688d3631f7745e4035781be4989,pair_formed_by_copy,exact,refactored,1.0,0.79
01b3813e95ed6c24496685b41018d026,4edb0cc1509d87bb9d2995176038b9d0,both_added,added,added,,
01b3813e95ed6c24496685b41018d026,9adce5be1d30fb05e9a17b2f2763f1fc,method_a_added,added,exact,,1.0
01b3813e95ed6c24496685b41018d026,f9b904de716a16db820c15085f74df24,method_a_added,added,exact,,1.0
01e55894306b83c157015b43f3d88da1,dcf65721981b47990c4636ae6022a23d,pair_formed_by_refactoring,exact,signature_changed,1.0,0.92
01f1ffb8bbe4a49991ab47fdb8ebfa26,409ccee0c949dc86ef30a1178465b15a,both_added,added,added,,
01f1ffb8bbe4a49991ab47fdb8ebfa26,d8bb0d1e57c31d9e4e91e1f879c14269,both_added,added,added,,
02378fc35964113ccc15a7fef2bd84c8,2bfc3c7056d5cb928eb398bb0f749770,pair_formed_by_refactoring,exact,signature_changed,1.0,0.75
023e40c22ac838a1f744ad2310200549,2f00fd31cc5bf03fceda2a9adbdb3672,pair_formed_naturally,exact,unknown,1.0,
0257403211257b97d0727b02a96d4ec9,36e481edca4caf91c4355a2ee9268766,pair_formed_by_refactoring,signature_changed,signature_changed,0.8,0.77
0269c70170882b5f00b40577343a5924,f78c7ebe54366ad804920e7602070997,pair_formed_naturally,exact,unknown,1.0,
02726eb724f4f62a45c2e950426247ff,d7a218adb1386d2638cca2365cbeb9a3,pair_formed_naturally,exact,exact,1.0,1.0
02c2146b7f566616d2091712bc9d7d62,9fa02d795b95686cd106ddaa99e3f188,pair_formed_naturally,exact,exact,1.0,1.0
02c3106cb5afd49ba126c6f98cef09bf,2d4a233de9b794ea875410b5935458fb,pair_formed_by_refactoring,exact,signature_changed,1.0,0.83
02c3106cb5afd49ba126c6f98cef09bf,601908e1a9fa123b866ec852447b7b42,pair_formed_by_copy,exact,refactored,1.0,0.76
02cc86b156156cc0a6be49d8cbb7a7c9,38d6b949148cf98d25e347eb7f9afb5e,pair_formed_naturally,exact,exact,1.0,1.0
02cc86b156156cc0a6be49d8cbb7a7c9,5e524a246dad4ec683faea9068da3fe9,pair_formed_naturally,exact,exact,1.0,1.0
02e11060dac1e7297b7e66ff16886e71,079c4befa0a200b6b2549c2e748bfa2f,pair_formed_naturally,exact,exact,1.0,1.0
02eff8179c1ed8a210dee71a3706e430,2ac3473ca99791892e019738116daafa,pair_formed_naturally,exact,exact,1.0,1.0
0304a5440fd2565a1f0a6ca7ed5d9f41,5c634fe17031177bad2e2c2a9019d1d3,pair_formed_by_refactoring,refactored,refactored,0.8,0.72
033f7b992c0a84e2f61f21672a691233,08c4115dff961dcdb9229874f14b8f49,pair_formed_by_refactoring,signature_changed,signature_changed,0.94,1.0
033f7b992c0a84e2f61f21672a691233,2a2f79d221e6f6e81e641ee49cfd8506,pair_formed_by_refactoring,signature_changed,signature_changed,0.94,0.94
033f7b992c0a84e2f61f21672a691233,5d412fa102cedf6037b2eda2a43136cd,pair_formed_by_refactoring,signature_changed,signature_changed,0.94,0.87
033f7b992c0a84e2f61f21672a691233,7fc81a48fc3dbb034b8e105be9cfc9dd,pair_formed_by_refactoring,signature_changed,signature_changed,0.94,0.9
033f7b992c0a84e2f61f21672a691233,bfdfc4305eac0a4b009705ea0d71ec8c,method_b_added,signature_changed,added,0.94,
034207e5ac498b34a2b08aec1d31776f,24d983cdebdb05f2ddda2a8d8ca2416c,pair_formed_by_refactoring,moved,moved,1.0,0.99
03731a46615d54f26c66cee1fcfc365d,88ef76d4374a73fd8c95ed6dc64f1300,pair_formed_naturally,exact,exact,1.0,1.0
0378e69d6db7f77a478fd6c1bd771b77,20da7f2a57f663c049e82dbdebd4ce52,pair_formed_naturally,exact,exact,1.0,1.0
037df0f2d831957c8476049853460c57,8aaea0236ca8a720c08eb884ff5bcee1,both_added,added,added,,
03b56290ba8d6020b43d3cabd3e0b618,7237c14851f13bae81d555e8f6e405c8,method_b_added,moved,added,1.0,
03b56290ba8d6020b43d3cabd3e0b618,7dfbb378d7c5f69e17d01c6010dd8fc4,pair_formed_by_refactoring,moved,token_hash,1.0,1.0
03ce51a79055727f917e6ba974508578,22e622f1c8e0dd4177a49965fc540540,method_b_added,exact,added,1.0,
03ce51a79055727f917e6ba974508578,4f70899916769b8fef01b3740e050f22,pair_formed_naturally,exact,exact,1.0,1.0
03ce51a79055727f917e6ba974508578,dc18e2bbf4ecb04b1f624071483be058,pair_formed_naturally,exact,exact,1.0,1.0
0408da8fc3ef5eb5ab1fee751049ba00,46f2436b790e354d23cc5d631151adb1,pair_formed_naturally,exact,exact,1.0,1.0
0408da8fc3ef5eb5ab1fee751049ba00,93307239ad5cd3bd338e61241720be84,pair_formed_naturally,exact,exact,1.0,1.0
0408da8fc3ef5eb5ab1fee751049ba00,aac8cb7af081b3dd4ada5411c06a6575,pair_formed_naturally,exact,exact,1.0,1.0
0408da8fc3ef5eb5ab1fee751049ba00,ca0838e83ef14252266c28dd145097bd,pair_formed_naturally,exact,exact,1.0,1.0
0408da8fc3ef5eb5ab1fee751049ba00,fc7cc09bbb98b61355da966bf3421d5a,pair_formed_naturally,exact,exact,1.0,1.0
040a0bdd2b2e0daf2e6a2588e2a215ff,18f6cda084d1babb1607562f71a73137,pair_formed_naturally,exact,exact,1.0,1.0
040a37d02c7f88fb91528a6c72805874,a71e1bece3b4073bd80ca088ea8509ff,pair_formed_by_refactoring,refactored,moved,0.85,1.0
040a37d02c7f88fb91528a6c72805874,d62546bcf9999e1ffbec710433a67f47,pair_formed_by_refactoring,refactored,moved,0.85,1.0
040d495dd4cdce97dce8b781dc12a1f1,08bcd33b6387eabe3e39f7af6a4f170c,both_added,added,added,,
040d495dd4cdce97dce8b781dc12a1f1,22e2fd1e473e9dc05f654495c6123197,both_added,added,added,,
040d495dd4cdce97dce8b781dc12a1f1,3b7e760c0238a76f75506ae5692f95d2,both_added,added,added,,
040d495dd4cdce97dce8b781dc12a1f1,8ff099acb79da4d0bbcc3065c3930e10,both_added,added,added,,
040d495dd4cdce97dce8b781dc12a1f1,d059ffbb7789b8f0e6ec459e0a6ecb49,both_added,added,added,,
040d495dd4cdce97dce8b781dc12a1f1,e5f4240dfd0eeb354a560fbadc120160,both_added,added,added,,
040d495dd4cdce97dce8b781dc12a1f1,e79a26779cb2af035a2de65d98c8a8c3,both_added,added,added,,
0417314a2721e6ff2ddfbde5dbac6faf,781609cd77313ebc7f63bf79420f6572,pair_formed_naturally,exact,exact,1.0,1.0
0417314a2721e6ff2ddfbde5dbac6faf,d2b0024ae20e993424911a4d2bd96f09,pair_formed_naturally,exact,exact,1.0,1.0
041a082762a85a93a9b107546f0b58fa,d1a8c50e1485eca47865c3c051d18cfa,pair_formed_naturally,exact,exact,1.0,1.0
0425ee70960c86256d5ff5a1bc87ee99,99102eb513914333643b7cbf7e1382dc,both_added,added,added,,
0425ee70960c86256d5ff5a1bc87ee99,c18fc475698eccb48bb3ce1d6c91db25,method_a_added,added,refactored,,0.76
0429fb904729860ba9d5df45453433b3,31b5479800b5f0bd92eff4b9bd8447ff,pair_formed_naturally,exact,exact,1.0,1.0
0429fb904729860ba9d5df45453433b3,56cf8b906fc3a0bb5d028e430767c0dd,pair_formed_naturally,exact,exact,1.0,1.0
043bb4aa5c069a080645f2695d00ea14,043bb4aa5c069a080645f2695d00ea14,both_added,added,added,,
04605c702e0ba94df7c8bf66ccb48ae5,724b63e9d92feaed276dc07d5d224f3c,pair_formed_naturally,exact,exact,1.0,1.0
04605c702e0ba94df7c8bf66ccb48ae5,aa74d28e6fe9b491571f7881f0d0051b,pair_formed_naturally,exact,exact,1.0,1.0
046adc8a1f594aebd5992b1b33b3cfdc,8dbc0faec4c72a64fe2f19467b485a99,both_added,added,added,,
048415fa25637e51dde477edb2be2ecb,14e1e5c268a37665ca9976316a720cf2,pair_formed_naturally,exact,exact,1.0,1.0
0496bddbb23f36a10be6c256c14dba51,53a529b433df7820720b71a7d8316f42,pair_formed_naturally,exact,exact,1.0,1.0
0496bddbb23f36a10be6c256c14dba51,65d73deb2357bbf66ad0e582272a5cec,pair_formed_naturally,exact,unknown,1.0,
0496bddbb23f36a10be6c256c14dba51,7f058c88aff093bf1aaaa2a952eb106b,pair_formed_naturally,exact,unknown,1.0,
0496bddbb23f36a10be6c256c14dba51,83c9cc20576dfeba9ee832eccaf88925,pair_formed_naturally,exact,exact,1.0,1.0
0496bddbb23f36a10be6c256c14dba51,fc7031a0318eb0e4c0c4377450f17fcd,pair_formed_naturally,exact,exact,1.0,1.0
049970db278a4fe5f0b0c4145d33b72d,af0539deb71fb1cabbc8a1cb19cda517,pair_formed_naturally,exact,exact,1.0,1.0
04a5d01dadc048588d6f4130414d9d8e,40384808eee69f3f6c7604e52c04f2f8,both_added,added,added,,
04be02b3f0cc47d296d67c403e9835cd,57e291f023322f32ce97a6fbce61f5e3,pair_formed_by_refactoring,exact,moved,1.0,0.99
04c33212b82356f8fd771663b27e85c7,091c2fab43a18a74982c667e4bdd1584,both_added,added,added,,
04ddf7880d5460f8077642b537a94447,b5213162c6f68d65679346d31d0c4da8,pair_formed_naturally,exact,exact,1.0,1.0
05359456de81efa86dcc56352b19e00f,0832022131e55dfabd208b83c607debe,both_added,added,added,,
05359456de81efa86dcc56352b19e00f,cac541baba8973d95bc96394669f8064,method_a_added,added,exact,,1.0
05580ef5ad6e9a11e920ef7770fdeb2f,d6bd4d8384257fd9fc8975e5a3c9605e,pair_formed_naturally,exact,exact,1.0,1.0
0565388ecbb906bbb1d63339cc95f217,18c444ba1493376aee796c05cc5f1f4c,both_added,added,added,,
0565388ecbb906bbb1d63339cc95f217,cbf4653b4029ebf549e58836d85606da,both_added,added,added,,
058aa724f06bb476f8232ced978761be,27dc2aa15ae93040c4a80235d3fb9c49,method_b_added,refactored,added,0.77,
058aa724f06bb476f8232ced978761be,44d71ad1ac2214da3f691c384f77e9a5,method_b_added,refactored,added,0.77,
058aa724f06bb476f8232ced978761be,4a8e6c8cd8b666945c8a65c728b1d333,method_b_added,refactored,added,0.77,
058aa724f06bb476f8232ced978761be,57f16a9f51e2adc9dc965efc6d76093a,method_b_added,refactored,added,0.77,
058aa724f06bb476f8232ced978761be,68396dbb5558caeed5af6a01f590195d,method_b_added,refactored,added,0.77,
058aa724f06bb476f8232ced978761be,69feca93d7db14d8221da3e87b27aec7,method_b_added,refactored,added,0.77,
058aa724f06bb476f8232ced978761be,9e67d8649137f72aa4c5de6dc58d9b68,method_b_added,refactored,added,0.77,
058aa724f06bb476f8232ced978761be,c87fc65067f38fbd48f85739a34df1a1,method_b_added,refactored,added,0.77,
058aa724f06bb476f8232ced978761be,d9f46e95f090a988f9f901aa8cafba7d,method_b_added,refactored,added,0.77,
058aa724f06bb476f8232ced978761be,e045de35638561946bfe61c3cee57c79,method_b_added,refactored,added,0.77,
058aa724f06bb476f8232ced978761be,fe109b50c258b3a43cef6fdf531fb5f6,method_b_added,refactored,added,0.77,
05a77598d31282845441f0ab24d4d6b2,8ff099acb79da4d0bbcc3065c3930e10,method_b_added,exact,added,1.0,
05a77598d31282845441f0ab24d4d6b2,ac03ac9598e832e7251786b1300a3865,pair_formed_naturally,exact,exact,1.0,1.0
05a77598d31282845441f0ab24d4d6b2,e79a26779cb2af035a2de65d98c8a8c3,method_b_added,exact,added,1.0,
