method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
00087a844983e6666b2ff0274015d2dc,e0f1a172f5c694b74790b2d3731a1b87,pair_formed_naturally,exact,exact,1.0,1.0
00093e324a0d7f030ae21a66d366c318,1aed8d384f8533963a5cbd5d8c3bcdad,pair_formed_naturally,exact,exact,1.0,1.0
000d8311d721c7dc4b180aabc5ed5385,beb49aa624b1b73ccd139ada4e85c0c9,pair_formed_naturally,unknown,exact,,1.0
001604bbc63f699d03f8f1d16ac54ed0,72aad330a0987c1fc0a83766dd4bcad5,pair_formed_naturally,unknown,exact,,1.0
001f02d29e4664b51322cb63e43aa815,906eea6e4074c8a9ea918d9ce32dc0cf,pair_formed_naturally,exact,exact,1.0,1.0
002bc73c2ac9f581489d5cff521fa4c4,365599be9b767a49fbb6c849e37e9c76,pair_formed_naturally,exact,exact,1.0,1.0
002bc73c2ac9f581489d5cff521fa4c4,9dba21701271f2923c75a481fbe9718a,pair_formed_naturally,exact,exact,1.0,1.0
0034f711b5e8cea84ee936bd53202c0f,8c78998d63f7f7e621c9154c974d4f81,pair_formed_naturally,exact,exact,1.0,1.0
0034f711b5e8cea84ee936bd53202c0f,ec90625c07f9f44909a942bc2bffc570,pair_formed_naturally,exact,exact,1.0,1.0
0038317ba4c648a11c70b4047b400316,7b03f46c5d135d0aec24947c8077b9df,pair_formed_naturally,exact,exact,1.0,1.0
003e5db84af8e1f0d2a82ca3c31ff38b,580add6b16431dd09bafdadc5100f5d3,pair_formed_naturally,exact,exact,1.0,1.0
003e5db84af8e1f0d2a82ca3c31ff38b,610b9ff2db9bf422e6c33618d2cc35d4,pair_formed_naturally,exact,exact,1.0,1.0
003e5db84af8e1f0d2a82ca3c31ff38b,72d9f6e4fb0a84c1dbca4015b8763771,pair_formed_naturally,exact,unknown,1.0,
003e5db84af8e1f0d2a82ca3c31ff38b,a44993b9f2c949836131ae8df9dd9546,pair_formed_naturally,exact,unknown,1.0,
003e5db84af8e1f0d2a82ca3c31ff38b,ee476447b24892672da74eedc07f344b,pair_formed_naturally,exact,unknown,1.0,
003e5db84af8e1f0d2a82ca3c31ff38b,f37839db4aeddb91cb0f2b3e4deb2f52,pair_formed_naturally,exact,unknown,1.0,
0058fc0801a9d33feb81129c3954e55c,818b8b2874be910f35fcc8f8daf0d5d9,pair_formed_by_refactoring,refactored,refactored,0.8,0.81
0058fc0801a9d33feb81129c3954e55c,89f52fb47afab52c930b8dcce3350628,pair_formed_by_refactoring,refactored,refactored,0.8,0.83
00603f0f6883bdbb558a5e1193cf8ef0,94bdb912200604d1abe49286669ce984,pair_formed_naturally,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,01958fdd235faf831c69e8b6a791bb6b,pair_formed_by_refactoring,signature_changed,signature_changed,0.96,0.97
0065f2d8af18e228e4bbccc4d2deaebb,26847fd43ad29c10f7f6eb09f7645ddc,pair_formed_by_refactoring,signature_changed,signature_changed,0.96,0.99
0065f2d8af18e228e4bbccc4d2deaebb,3e09bd85b05dece38b0072b3f330b896,pair_formed_by_refactoring,signature_changed,signature_changed,0.96,0.98
