change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,85b24bfbff26286f1916018e94357e66,6257392cd2a38b41e3198b5ce0974dda,1.000
exact,c1913b8fb0c43c51276600c5ab897cfa,df20eb1037e20d9332d41cc01351dc40,1.000
exact,56f41a5623fa7b5eb3a42c133deedcbc,58865b67175f1b2c13b622ef620290c3,1.000
exact,64b4f9ba3521b7ff5c034e5bff9ed593,2a8560f58059c5676eeefef4eb0490fd,1.000
exact,2c68ddd831129433655c29b245938a00,dbdaa0d9830270d7c43759d76e852d2f,1.000
exact,7cb8cb54651caf2f641163c31942c679,cfdd381193b4e68d0155f63892b4fa7c,1.000
exact,a7c5f722ab5c4dde77d1d20d4a7884b9,7bb9bdf94a563c96607f837585e0cbb5,1.000
exact,e65bb1886815848ababaaa37a4b968dc,cc94b1fb40ef798b2fc03fdf1da81285,1.000
exact,2be6934351e0ba60e9854a3e596365cb,38780c151b0743c1ba05dcc4675c713b,1.000
exact,138a8a60e7883bca7d5936c90e3b7d2d,138a8a60e7883bca7d5936c90e3b7d2d,1.000
exact,2eb8f29446d82d569e7b32a4ad9600ed,e99e107b743612f08945a6f3eb10477e,1.000
exact,9d43ca86ba40d59780f96bb1565eb307,94440d19a88525e282ac3f727689ba35,1.000
exact,2c5ee4cc4386fd833c63cc9f6481a0c1,030711cebc3caa94a27b4d6969600fb8,1.000
exact,3451d91ab2a478e623752fa694d0d671,3451d91ab2a478e623752fa694d0d671,1.000
exact,be734212b81396c0b6e62dc5f4b98e3e,bfd02b7ad03355958593cad44112b2e5,1.000
exact,832359c3a65e1ebf6cc6218ea163d21b,9478af9102f06e022c744783b261ecc1,1.000
exact,c254ece5f0c184f31a6fa5ca08e1b3e4,78f081b2f81169063ad4b2b99bca0fbf,1.000
exact,cdec8eea13c9417f0e07853e4ebee1b9,5a65166edcf4be4bebc7337e539088af,1.000
exact,0d6ca06c05df3f699df04fd229fe40da,502f6c99ac004d139bf9145139203758,1.000
exact,f59ce5d0c8aae5377e316204039f4bca,9d64dfdbaea00d0f1e81fa1667c9c1f2,1.000
exact,2c4d6d9f664ee418cdfdc61f36566bbe,f03c193f2eaddb9714ca4be209d7b2a8,1.000
exact,667c666e112822de571b42d9c3cf5791,5f2c565fc773ca6fc64922301f29f2b9,1.000
exact,2f0dc5b0ea53facc89b613e0fb26f772,a5b11ce9b1bd9e5b4495e6035e692184,1.000
exact,da8ff56d34c7cf02edc85d5b41dd65f3,d74135fa016df7863679021cb8752b2b,1.000
exact,e941890236a7a70456b2dd0f3f72c3c5,b97702ffc7e4e79d53e697e57e8a272b,1.000
exact,fb1e456cd5fe77e68e3b88e82d323a7f,f20862bc0291721054d81f5fdd94cb2b,1.000
exact,d80242f2f4450ace525b66b77b3c168a,b166babe7107cb28a3b9a27f48df9768,1.000
exact,b43384625cb55f626db559d56ee21f3c,01d2ff5e0de41f88c8867fbdfc607659,1.000
exact,516edabacec74aed3ad219acce3e0076,72e6f66c1ab88c00bbf25aa84340b850,1.000
exact,f9016e6f3576e300b8113be7ba7ed407,30f0e66106069fe036a4e692a4e6b5a1,1.000
exact,c6413f35895d43849e0c128222ff2482,2a51d7844eb04f5743247172b3421305,1.000
exact,8e4a97f12e6a161684cbca82a239989f,18c6d6e5329cb985c8e1f78f5a89d30e,1.000
exact,76a10f5c7d6a156b658065aab4c13fb3,d1cc9e4ed5bd95f0a154e9c77e95213f,1.000
exact,7f2ef911e0d7435e5fe634202c89d4ed,8f579fb0fb264ad238cb68712a033c78,1.000
exact,7314124d2a5d0348c14b7f2e547359ce,f85f032c4e401e7b0efe59f751ab0025,1.000
exact,82e0187a213d9b4bcb09e120b1d67f80,82e0187a213d9b4bcb09e120b1d67f80,1.000
exact,74b4531c354525e51d02b8cd1c910b9c,eed05e3a88b4b1c2cb3d5f9179ff7911,1.000
exact,694fd360c92a4123aa209fa3c8ef8610,c5522a2ae20738aa88cb707ad9a11052,1.000
exact,7bf8461082ca7ff11f9de7f4f14d9378,3deeef1d1bf61226c3f9858e2b38bcbe,1.000
exact,dc1c743ed56c2fdf8106018aa5c58796,dc1c743ed56c2fdf8106018aa5c58796,1.000
exact,1b54cc8c31ec84eea9cc710416049e6c,8638ad8067b6596c662f2b4fa60b0a7d,1.000
exact,a2935dfcf07dc96fce5578d2d76e5968,8e5ae0287170c9a8e67019f810721dc4,1.000
exact,948fb91f72fb383486631eabad7dbaf1,3e73d471623417d005252440856f0a5e,1.000
exact,fa8b7bdf77df492b3fe301b4e025c57f,064cf17971bc722b57307f8f6e6ca7cb,1.000
exact,42e7c1b0f5d50719a10738c2b57fe83a,efbfdaeeb05cfd0aa04c1e7a90fb1d73,1.000
exact,7725555bdea063d8781ed6d20ec13bde,7725555bdea063d8781ed6d20ec13bde,1.000
exact,7dbecfe58fbfd85ea533e2a7916d600d,d34a8763f403b1b9d55462d53a391b3f,1.000
exact,6ff73dfc7039addd8b0c1ab08dfe5bdc,ca2bb950e783b723c0104aa3287541fe,1.000
exact,b67634b3c89c79282d12dc71bbc08244,37b37011d453014644cab6d3fa3f668f,1.000
exact,9dd1d8260a612b929e1c29114686a7a8,beb49aa624b1b73ccd139ada4e85c0c9,1.000
exact,2d17ed9396f2cff6443cbe50b4757d03,2d17ed9396f2cff6443cbe50b4757d03,1.000
exact,2947d84093927f07107e1a4c1477675a,a7e24896f14da71f1447c633942b0e08,1.000
exact,c9ca5bd6bbadb5f01dc4b4f00a78011b,6e8a9090d5af48b201f58564c54a29a3,1.000
exact,88280f7ebd40ae0520899c2d22c017b1,88280f7ebd40ae0520899c2d22c017b1,1.000
exact,fa1b9883810801567cdf8784ee422f56,fa1b9883810801567cdf8784ee422f56,1.000
exact,571822f5c805e92d9d01781c3c4d0087,6dc5f9cdccaf4e7d757ff93a1c848715,1.000
exact,bb7947ff376c8edb0e810ccab6e10f67,bcaa188ef754ab09ddc361fa745cb2bd,1.000
exact,9372b8e4e51fe9d912d44f375f266506,9372b8e4e51fe9d912d44f375f266506,1.000
exact,924d9511ce4fd3cd1a6094d2e5657aed,13839c302d5ac34f528fe6cc66a99f92,1.000
exact,ab333455c8607e61d768b80f3497f336,b8072b265a5f11c91c495018231d60c2,1.000
exact,cb578edbaa513a5f5f1b042b4b18168c,5be58811c7300bd211f0a1936f977f86,1.000
exact,16665eb2691b9ec2f0ab5e834d31dd32,16665eb2691b9ec2f0ab5e834d31dd32,1.000
exact,4b00b7cbaec1fffca088f1bafc7b4f8f,1aa74a9503574ac60652b29cfad7489e,1.000
exact,ddba2d18a6a7059ed07eb2aab9c4e8d8,3e6003398323f5e8d26f30dcb42afa1f,1.000
exact,6326351c2faefbf3895126069a8130cf,6326351c2faefbf3895126069a8130cf,1.000
exact,42dec3a0b5cf7fa6b025a23e01babd16,58487960dfbf02340416f3a03e8fcb2e,1.000
exact,5240f0ecc4c380e071fe87fb62f5b232,5240f0ecc4c380e071fe87fb62f5b232,1.000
exact,b6e682e26318a05281647a0ee6354a75,b6e682e26318a05281647a0ee6354a75,1.000
exact,2e66a78b0b99ae2a4df032d41547a480,ba001c8339df9572024eac982d8fa3eb,1.000
exact,d97bc52cd487f2dbc65475c5710e8de6,d97bc52cd487f2dbc65475c5710e8de6,1.000
exact,722ee06bcdd7b273de3e9850c2653954,00a1d94b27b03cf8f0f165283164b9f3,1.000
exact,3663705f08e53d9309c497e113703b8c,3663705f08e53d9309c497e113703b8c,1.000
exact,8b5aad4a2959916f9001b870308f1f4a,414c8aa522743323e3b08fa30a01a5a3,1.000
exact,fb28f95bed780622f360ff7364465978,fb28f95bed780622f360ff7364465978,1.000
exact,9836310354e5cdd816e192fe880e5e58,9836310354e5cdd816e192fe880e5e58,1.000
exact,d8e790642553469d82d167060615a1e6,e4ed67efe3ca4a58f1b0d34335537506,1.000
exact,605a372b5451860b03df3d9de2c88aa1,605a372b5451860b03df3d9de2c88aa1,1.000
exact,eca4a55d284eb14e11161d4209ab62ef,c884aeddaad296746178c165985a7b1f,1.000
exact,e8b19aceef30e4a707846daaeb5f3f8e,43d0aa4ec3fddc2b1474cad84fbb5628,1.000
exact,ea11bd3d707acd3809d004c3866bfecf,f3b8a359931f23889dfad845bb922775,1.000
exact,5c89a7bee6b49293f0a8f99ea4fe1082,06d0bd46c82193473fdcce33b42888bf,1.000
exact,203e6b06278b4a6d987928327aff981c,91b86163f8181dacad965761a4a63fdb,1.000
exact,d606e98b09cb26ff1be94975e5e861d9,d606e98b09cb26ff1be94975e5e861d9,1.000
exact,298dda10c5baef2bed24ca31e9e5397b,409492dba9e6e8e30dcf8ad27128dcec,1.000
exact,e08c1193d08ad1ed6cb08c90ac31146e,e5eaf3cb7c90bb8507fcabb9e7f0def7,1.000
exact,c6bf1defeb1eac3b6207324493c9d886,de4e3b84f2c3926f1fcb72f7acd08eff,1.000
exact,e6335bc1d7338ebc72ead4704f80ace1,e6335bc1d7338ebc72ead4704f80ace1,1.000
exact,7d9eea40bf119dc7caaa325fd9cc2cf9,2f3eeefdec86a7d1320c0f1dde751d13,1.000
exact,16e6a6e470cf61a2a41060a2b910fe28,1d961d2cc26b29627229fb4cbeecfbbc,1.000
exact,73317cf07af020b7d77f737e57c5fca7,73317cf07af020b7d77f737e57c5fca7,1.000
exact,bd186be5cdc7382ab541e54e43f4a98f,989b01d1046db20aba29c0abed57c888,1.000
exact,aeaa83ed3d6eb5aec49657d07d977e68,2a83455d00a676c3e38c843da14a86ff,1.000
exact,16d575975a7eb95750cfcdb06a3a9dfd,472302af0f3975bb645b3135064cf464,1.000
exact,5d513d16341862bb266d95ac8c9abbe4,c2ea5c1f3212dbb049d5dc5373478556,1.000
exact,51165397c8712b68b0af6fb643ab1487,41d2224d612fe86f42ad3babaafdb83c,1.000
exact,a70f82c236235a2035f58aad9a2b3d7a,821cde92cf07feb032def574940642e0,1.000
