method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
000d8311d721c7dc4b180aabc5ed5385,6326351c2faefbf3895126069a8130cf,stable_with_minor_changes,unknown,exact,,1.0
000d8311d721c7dc4b180aabc5ed5385,66d058863603b4f8c4d86cb60a347b1d,stable_with_minor_changes,unknown,unknown,,
000d8311d721c7dc4b180aabc5ed5385,88280f7ebd40ae0520899c2d22c017b1,stable_with_minor_changes,unknown,exact,,1.0
002bc73c2ac9f581489d5cff521fa4c4,a27127e026068d4fd4de2e5725f87e5b,stable_unchanged,exact,exact,1.0,1.0
00fb8e52e5b0a62bd151874989421378,631eda01d48a8da5033902b78bc18cd7,stable_unchanged,exact,exact,1.0,1.0
01112e2826fd95a20e5076dea0c3405a,40b99c05895cbf27c0bbf894088059a1,stable_unchanged,exact,exact,1.0,1.0
01112e2826fd95a20e5076dea0c3405a,4e5918b3cd7f55db713968b3bbc04e6c,stable_unchanged,exact,exact,1.0,1.0
01112e2826fd95a20e5076dea0c3405a,90d2adaf51f7d679d11f062070472790,stable_with_minor_changes,exact,unknown,1.0,
011c3adf691643bfbd5ab3e09f53bee2,7d33f33700d50344489fff1011fcb9ec,stable_unchanged,exact,exact,1.0,1.0
014bf9341199ec5577bf431c932c6c6f,226070d611ffc614e16cfcee3150dc90,stable_unchanged,exact,exact,1.0,1.0
018e77ae9d53d3b95223702cd34ff0de,695ac57defc3a36ce9a9e7fae460485b,stable_unchanged,exact,exact,1.0,1.0
018e77ae9d53d3b95223702cd34ff0de,79128f4fdc3c16911b87a06641cbd7de,stable_unchanged,exact,exact,1.0,1.0
01abe9e5b07137e389d76a86158aa6f2,c47aa5b688d1b9f1a2d14e81a60f6084,stable_unchanged,exact,exact,1.0,1.0
01edbd0f982c58b01e23738522baa58a,09449b6427e2499f6458faf7125d7384,stable_unchanged,exact,exact,1.0,1.0
0257403211257b97d0727b02a96d4ec9,36e481edca4caf91c4355a2ee9268766,stable_unchanged,exact,exact,1.0,1.0
02726eb724f4f62a45c2e950426247ff,d7a218adb1386d2638cca2365cbeb9a3,stable_unchanged,exact,exact,1.0,1.0
0304a5440fd2565a1f0a6ca7ed5d9f41,5c634fe17031177bad2e2c2a9019d1d3,stable_unchanged,exact,exact,1.0,1.0
033f7b992c0a84e2f61f21672a691233,08c4115dff961dcdb9229874f14b8f49,stable_unchanged,exact,exact,1.0,1.0
033f7b992c0a84e2f61f21672a691233,2a2f79d221e6f6e81e641ee49cfd8506,stable_unchanged,exact,exact,1.0,1.0
033f7b992c0a84e2f61f21672a691233,5d412fa102cedf6037b2eda2a43136cd,stable_unchanged,exact,exact,1.0,1.0
033f7b992c0a84e2f61f21672a691233,bfdfc4305eac0a4b009705ea0d71ec8c,stable_unchanged,exact,exact,1.0,1.0
03af729e24f14a8bd644ee70f4b87982,1a3bcc24988af78ba13dacda9fb2c040,stable_unchanged,exact,exact,1.0,1.0
0408da8fc3ef5eb5ab1fee751049ba00,93307239ad5cd3bd338e61241720be84,stable_unchanged,exact,exact,1.0,1.0
040d495dd4cdce97dce8b781dc12a1f1,08bcd33b6387eabe3e39f7af6a4f170c,stable_unchanged,exact,exact,1.0,1.0
040d495dd4cdce97dce8b781dc12a1f1,22e2fd1e473e9dc05f654495c6123197,stable_unchanged,exact,exact,1.0,1.0
040d495dd4cdce97dce8b781dc12a1f1,3b7e760c0238a76f75506ae5692f95d2,stable_unchanged,exact,exact,1.0,1.0
040d495dd4cdce97dce8b781dc12a1f1,8ff099acb79da4d0bbcc3065c3930e10,stable_unchanged,exact,exact,1.0,1.0
040d495dd4cdce97dce8b781dc12a1f1,e5f4240dfd0eeb354a560fbadc120160,stable_unchanged,exact,exact,1.0,1.0
040d495dd4cdce97dce8b781dc12a1f1,e79a26779cb2af035a2de65d98c8a8c3,stable_unchanged,exact,exact,1.0,1.0
0425ee70960c86256d5ff5a1bc87ee99,99102eb513914333643b7cbf7e1382dc,stable_unchanged,exact,exact,1.0,1.0
0425ee70960c86256d5ff5a1bc87ee99,c18fc475698eccb48bb3ce1d6c91db25,stable_unchanged,exact,exact,1.0,1.0
046cf2e0acff5c01bae3bd9954cb7120,7dd34d0517eeaf8e52f58c3045e30034,stable_unchanged,exact,exact,1.0,1.0
058aa724f06bb476f8232ced978761be,27dc2aa15ae93040c4a80235d3fb9c49,stable_unchanged,exact,exact,1.0,1.0
058aa724f06bb476f8232ced978761be,44d71ad1ac2214da3f691c384f77e9a5,stable_unchanged,exact,exact,1.0,1.0
058aa724f06bb476f8232ced978761be,4a8e6c8cd8b666945c8a65c728b1d333,stable_unchanged,exact,exact,1.0,1.0
058aa724f06bb476f8232ced978761be,57f16a9f51e2adc9dc965efc6d76093a,stable_unchanged,exact,exact,1.0,1.0
058aa724f06bb476f8232ced978761be,68396dbb5558caeed5af6a01f590195d,stable_unchanged,exact,exact,1.0,1.0
058aa724f06bb476f8232ced978761be,9e67d8649137f72aa4c5de6dc58d9b68,stable_unchanged,exact,exact,1.0,1.0
058aa724f06bb476f8232ced978761be,c87fc65067f38fbd48f85739a34df1a1,stable_unchanged,exact,exact,1.0,1.0
058aa724f06bb476f8232ced978761be,d9f46e95f090a988f9f901aa8cafba7d,stable_unchanged,exact,exact,1.0,1.0
058aa724f06bb476f8232ced978761be,e045de35638561946bfe61c3cee57c79,stable_unchanged,exact,exact,1.0,1.0
058aa724f06bb476f8232ced978761be,fe109b50c258b3a43cef6fdf531fb5f6,stable_unchanged,exact,exact,1.0,1.0
065f66a2679f7935bfcb3dc250483e6a,bd6e114f208e102a99f6a0b85313da03,stable_unchanged,exact,exact,1.0,1.0
06755d5cbc09c9cf158e41dc7eb59f5e,b096405376b84c6ad0968f0a3472e518,stable_unchanged,exact,exact,1.0,1.0
068d7c9b203fb6230a1208613a0aa1dc,c3605a14634ec0134a5e47a057f7bbbb,stable_unchanged,exact,exact,1.0,1.0
071369aa5bfb43428dee8aec706cf8cb,2437cb3e372bab28e1417c316b338018,stable_unchanged,exact,exact,1.0,1.0
0782554d541f12d2a80ba3c194096b27,59d41b24aac39ccdb3d38bbcba96be2c,stable_with_minor_changes,unknown,unknown,,
0782554d541f12d2a80ba3c194096b27,fa3a47578702ff1fa59f207e691b2ff4,stable_with_minor_changes,unknown,unknown,,
078b400f447c3334a6f6baf1a847b659,328a5ae19e48baa58a013046e46488af,stable_with_minor_changes,unknown,unknown,,
078b400f447c3334a6f6baf1a847b659,69c53cce956eef6c4ceb5ce96e74503e,stable_with_minor_changes,unknown,exact,,1.0
078b400f447c3334a6f6baf1a847b659,967db6606ec2d1ac1ad111504e06d34d,stable_with_minor_changes,unknown,unknown,,
078d8b600ccd254568cfae60dd2102f3,3d16594278505b2225952fe70c93caaf,stable_unchanged,exact,exact,1.0,1.0
08027139b57c97bf98879d4133e3d380,82d39f07ad2832672f59650d41395bc6,stable_unchanged,exact,exact,1.0,1.0
080bcce1070b877ba885e85dc322a818,1a07dde970e90c983cf12c0902918602,stable_unchanged,exact,exact,1.0,1.0
08b02405a946a9713ab92d14f1631167,35f04ad6199ae5c0adf09ebb1bdd5506,stable_with_minor_changes,unknown,exact,,1.0
08bcd33b6387eabe3e39f7af6a4f170c,22e2fd1e473e9dc05f654495c6123197,stable_unchanged,exact,exact,1.0,1.0
08bcd33b6387eabe3e39f7af6a4f170c,65b672a2c3d844036f1b8f57b6e20317,stable_unchanged,exact,exact,1.0,1.0
08bcd33b6387eabe3e39f7af6a4f170c,8ff099acb79da4d0bbcc3065c3930e10,stable_unchanged,exact,exact,1.0,1.0
08bcd33b6387eabe3e39f7af6a4f170c,e5f4240dfd0eeb354a560fbadc120160,stable_unchanged,exact,exact,1.0,1.0
08bcd33b6387eabe3e39f7af6a4f170c,e79a26779cb2af035a2de65d98c8a8c3,stable_unchanged,exact,exact,1.0,1.0
08c4115dff961dcdb9229874f14b8f49,6d8107efe348079c1e02e416ddff1e27,stable_unchanged,exact,exact,1.0,1.0
08c4115dff961dcdb9229874f14b8f49,94c3d0891e89d40aadd3fcc59a7b200f,stable_unchanged,exact,exact,1.0,1.0
09197d01f8023ba922cab9e0e9f13752,77c943f508ddd548cf10f3249704e7dc,stable_unchanged,exact,exact,1.0,1.0
093b9dd7002d1e9e3eb20ec5df603430,57f16a9f51e2adc9dc965efc6d76093a,stable_unchanged,exact,exact,1.0,1.0
093b9dd7002d1e9e3eb20ec5df603430,7b8b0ab09adcac9deadca5318b2491f8,stable_unchanged,exact,exact,1.0,1.0
09449b6427e2499f6458faf7125d7384,0ca45d6e0dad93d7a93321f511cf14bc,stable_unchanged,exact,exact,1.0,1.0
09953c2b9b70a0bfd5671916c2b0e5e2,625aca134bd524fa34631ee1976e6da7,stable_unchanged,exact,exact,1.0,1.0
0a1f9b3bf09b23fad896c61c36001d1a,293c4dcdb1b49afc0b336071af38f6ad,stable_unchanged,exact,exact,1.0,1.0
0a1f9b3bf09b23fad896c61c36001d1a,39c891a474dee6b84bd6dd0b9e48b15b,stable_unchanged,exact,exact,1.0,1.0
0a718496add7571847bafcb4babf06b1,800b2a85c1538dc46f1f3aedfa58c0f6,stable_unchanged,exact,exact,1.0,1.0
0a8d6d7ac8ae41b8da6564f911c8b1a6,4e06205be996f2ba95b12f548d4b9175,stable_unchanged,exact,exact,1.0,1.0
0a8d6d7ac8ae41b8da6564f911c8b1a6,f8dd8b8b7951eaed3b77c242c2d7f52a,stable_unchanged,exact,exact,1.0,1.0
0ae895b9b3929c19b2d93efd0d6bbf2f,28938c25bfec1e5bdec5658772a20993,stable_with_minor_changes,exact,unknown,1.0,
0ae895b9b3929c19b2d93efd0d6bbf2f,d6b3e2218aa9aa2d899bde7c3d5a8077,stable_with_minor_changes,exact,unknown,1.0,
0ae895b9b3929c19b2d93efd0d6bbf2f,f57bdd46ec6daf70d1134a89489752ac,stable_with_minor_changes,exact,unknown,1.0,
0b38b3866c2488ae9b41d11d61adf821,8b5c7b277f1444676d0655cd32fa389a,stable_unchanged,token_hash,token_hash,1.0,1.0
0b402d359ec11bd16798d93866c26571,51ef80c81e2d51d912a1b1a63a803e17,stable_unchanged,exact,exact,1.0,1.0
0b402d359ec11bd16798d93866c26571,e39289785da038fa0ddf677d9b4f7c2e,stable_unchanged,exact,exact,1.0,1.0
0b6dcce2bc288681776791a30a29af78,75a381e11c3aac2f9e7a9ddf4ad11c34,stable_unchanged,exact,exact,1.0,1.0
0c1033dee421f99d0d7f3d70f3687226,e8c37fa6aa9af5101ea26163eaf617ae,stable_unchanged,exact,exact,1.0,1.0
0c7ee89b8526c74e57e7ac4ab49607a0,213da9f5a552fe444cc29d0efc6dab85,stable_unchanged,exact,exact,1.0,1.0
0c7ee89b8526c74e57e7ac4ab49607a0,75e63dc8f8264b414c01a8adc237131a,stable_unchanged,exact,exact,1.0,1.0
0c95360fa0ba5c066258eab98d182f99,3c3e81acaeb81ed139f6c7808df244fc,stable_unchanged,exact,exact,1.0,1.0
0c95360fa0ba5c066258eab98d182f99,92d285e2427b9c77664d1e6e0a43efdf,stable_unchanged,exact,exact,1.0,1.0
0cfc4b50c37e9f3ddb23e2c79d6fc85a,46645ba0b09019f19098309e3fa778a6,stable_unchanged,exact,exact,1.0,1.0
0d025ebba07e25acec0d2ac21f10a4c1,0d4eb8d88ea9ef7af5cf999096ba2a1b,stable_unchanged,exact,exact,1.0,1.0
0d025ebba07e25acec0d2ac21f10a4c1,5fa0d5e1fa99bed375419cd6f61ccfa9,stable_unchanged,exact,exact,1.0,1.0
0d025ebba07e25acec0d2ac21f10a4c1,61c60dee653cf4ddf5d8a5472833b589,stable_unchanged,exact,exact,1.0,1.0
0d025ebba07e25acec0d2ac21f10a4c1,6a619e0260f538977cc7686f4a6632d2,stable_unchanged,exact,exact,1.0,1.0
0d025ebba07e25acec0d2ac21f10a4c1,a5928eeb73b47d2d696e20bce7aaefaa,stable_unchanged,exact,exact,1.0,1.0
0d025ebba07e25acec0d2ac21f10a4c1,ae4ca9e306b281cf360a2da482b65826,stable_unchanged,exact,exact,1.0,1.0
0d025ebba07e25acec0d2ac21f10a4c1,d8cab1f10bcc3a6071f0959373aa9078,stable_unchanged,exact,exact,1.0,1.0
0d025ebba07e25acec0d2ac21f10a4c1,eecd83ea0e4c52614141e3a97f87ecef,stable_unchanged,exact,exact,1.0,1.0
0d025ebba07e25acec0d2ac21f10a4c1,fb6a484792fa873c31ec720f7b9de024,stable_unchanged,exact,exact,1.0,1.0
0d4eb8d88ea9ef7af5cf999096ba2a1b,61c60dee653cf4ddf5d8a5472833b589,stable_unchanged,exact,exact,1.0,1.0
0d4eb8d88ea9ef7af5cf999096ba2a1b,6a619e0260f538977cc7686f4a6632d2,stable_unchanged,exact,exact,1.0,1.0
0d4eb8d88ea9ef7af5cf999096ba2a1b,a5928eeb73b47d2d696e20bce7aaefaa,stable_unchanged,exact,exact,1.0,1.0
0d4eb8d88ea9ef7af5cf999096ba2a1b,ae4ca9e306b281cf360a2da482b65826,stable_unchanged,exact,exact,1.0,1.0
0d4eb8d88ea9ef7af5cf999096ba2a1b,d8cab1f10bcc3a6071f0959373aa9078,stable_unchanged,exact,exact,1.0,1.0
0d4eb8d88ea9ef7af5cf999096ba2a1b,eecd83ea0e4c52614141e3a97f87ecef,stable_unchanged,exact,exact,1.0,1.0
0d4eb8d88ea9ef7af5cf999096ba2a1b,fb6a484792fa873c31ec720f7b9de024,stable_unchanged,exact,exact,1.0,1.0
0d5fe1bf139694fd0140c8d4b0786d36,92b55a9a0bfcab3129c2e8c3730d2891,stable_unchanged,exact,exact,1.0,1.0
0d65cf21a2b9b786056e2a4c14dde655,9d1a2448b86bf228c25abd7cbde79225,stable_unchanged,exact,exact,1.0,1.0
0d65cf21a2b9b786056e2a4c14dde655,b34c1c93d977c97e5d33b2a0398c88b8,stable_unchanged,exact,exact,1.0,1.0
0d65cf21a2b9b786056e2a4c14dde655,d9c61ce1f05773419eecb364617df84d,stable_unchanged,exact,exact,1.0,1.0
0e18ff953b81ba3ca25e96ea46f1a247,77598d458a0a71a407b7906936abf52b,stable_unchanged,exact,exact,1.0,1.0
0e730eeb57e21bf96740be68681dd763,611829b232ba0299040be63fd0ed7feb,stable_with_minor_changes,exact,unknown,1.0,
0e95034a92adda3e109e1b4e334131f3,78ec378a428dad2ef908ba70aa750daf,stable_unchanged,exact,exact,1.0,1.0
0f5752065c861fe023f0ee1ede66e33d,2cdbe99b4cd047573d36c72c78d8f31e,stable_unchanged,exact,exact,1.0,1.0
