method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
00087a844983e6666b2ff0274015d2dc,e0f1a172f5c694b74790b2d3731a1b87,pair_dissolved_naturally,exact,exact,1.0,1.0
001f02d29e4664b51322cb63e43aa815,906eea6e4074c8a9ea918d9ce32dc0cf,pair_dissolved_naturally,exact,exact,1.0,1.0
003e5db84af8e1f0d2a82ca3c31ff38b,580add6b16431dd09bafdadc5100f5d3,both_deleted,deleted,deleted,,
003e5db84af8e1f0d2a82ca3c31ff38b,610b9ff2db9bf422e6c33618d2cc35d4,both_deleted,deleted,deleted,,
003e5db84af8e1f0d2a82ca3c31ff38b,72d9f6e4fb0a84c1dbca4015b8763771,method_a_deleted,deleted,unknown,,
003e5db84af8e1f0d2a82ca3c31ff38b,a44993b9f2c949836131ae8df9dd9546,method_a_deleted,deleted,unknown,,
003e5db84af8e1f0d2a82ca3c31ff38b,ee476447b24892672da74eedc07f344b,method_a_deleted,deleted,unknown,,
003e5db84af8e1f0d2a82ca3c31ff38b,f37839db4aeddb91cb0f2b3e4deb2f52,method_a_deleted,deleted,unknown,,
0058fc0801a9d33feb81129c3954e55c,818b8b2874be910f35fcc8f8daf0d5d9,pair_dissolved_by_refactoring,moved,moved,0.95,0.94
0058fc0801a9d33feb81129c3954e55c,89f52fb47afab52c930b8dcce3350628,pair_dissolved_by_refactoring,moved,moved,0.95,0.95
00603f0f6883bdbb558a5e1193cf8ef0,94bdb912200604d1abe49286669ce984,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.96,0.88
0067f87956233ef88190303da2f6556f,0f4b0d366ca97ea2317a177f70dce383,pair_dissolved_naturally,exact,exact,1.0,1.0
0085b8f63c7a221641b8a4ecb5259c2a,b750a44d77b95618292964b08c5b3ca3,pair_dissolved_naturally,unknown,unknown,,
008693aa34e25051faa60a683de3e732,28baa0e708d6a36fff21ade6304e2079,pair_dissolved_naturally,exact,exact,1.0,1.0
008693aa34e25051faa60a683de3e732,eae66818bda7bbd2d91f1d797c6d74c5,pair_dissolved_naturally,exact,exact,1.0,1.0
00bffce8ae53cabb3a6b0eb5c9c525aa,096f3088e5ebc188b1ced9f424bd521a,pair_dissolved_naturally,exact,exact,1.0,1.0
00bffce8ae53cabb3a6b0eb5c9c525aa,c5b2e2388409e6ab8a7ded57eabff492,pair_dissolved_naturally,exact,exact,1.0,1.0
00e272e35c125573e1ebc5a999f1d62d,cc8a3a10f8c6224aa2ef55fab577ae72,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.98,0.93
0142edb3fd379c2b4e66f69a7a9a091b,69da0de50299e22186868614e1dae067,pair_dissolved_naturally,exact,exact,1.0,1.0
0147991fe642c3594bb245d79a8ffa82,fb7470eb1b8b89deca995d5648f2ae8d,pair_dissolved_by_refactoring,moved,exact,1.0,1.0
014bc393713d5a6bef90ad4a86cd85d8,a30735d6dd74a7ee5636ed3303f2b455,pair_dissolved_naturally,exact,exact,1.0,1.0
014bf9341199ec5577bf431c932c6c6f,226070d611ffc614e16cfcee3150dc90,pair_dissolved_naturally,exact,exact,1.0,1.0
017161f2725a1cbf915827ad154b9820,31a401dde0a8715f7c523001be69317e,pair_dissolved_naturally,exact,exact,1.0,1.0
01ae8f564109c963bea94160d57d6774,807ed0094b90afad970dfa970a23576c,pair_dissolved_naturally,exact,exact,1.0,1.0
01bea1e1fb90fc7b9d6865cd6707517f,b291897d287c7775129faa558ddd185e,pair_dissolved_naturally,exact,exact,1.0,1.0
01c0c8e0948d56fe2721555604096669,3a8a76a60c903765706a64db41d7d629,pair_dissolved_naturally,exact,exact,1.0,1.0
01e37784c75561ff2b72fdfa8422e428,dc6614310bd4dba31b67e5b8bd77e4f0,pair_dissolved_by_refactoring,moved,moved,0.96,0.95
021b2dcc3fd0a9325ecf7f2720be3808,58f59a458a7e0c18650dd2cd59f0f9dd,pair_dissolved_naturally,exact,exact,1.0,1.0
02378fc35964113ccc15a7fef2bd84c8,46044f86d6069b6c7310004ba5ee2d29,pair_dissolved_by_refactoring,signature_changed,exact,1.0,1.0
02378fc35964113ccc15a7fef2bd84c8,64a62e9b289ce050cf28cf974a20dce8,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
026e229c41a276766d58d2d0ee3f977f,26f0d9769bca500ee32859cc76ebad74,pair_dissolved_naturally,exact,exact,1.0,1.0
02726eb724f4f62a45c2e950426247ff,d7a218adb1386d2638cca2365cbeb9a3,pair_dissolved_naturally,exact,exact,1.0,1.0
02c87f14898f927ac5bd301ce3df7361,2d02014520cec4f94c23e0e3c67b7870,pair_dissolved_by_refactoring,signature_changed,exact,1.0,1.0
02c87f14898f927ac5bd301ce3df7361,be3922339c0fc892f9351f1451815fe4,pair_dissolved_by_refactoring,signature_changed,exact,1.0,1.0
02ee69a4aa3334e9bc455738cafcc181,ed75e2d9b75e8bd7a0d4353ccf55f4d0,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
02eff8179c1ed8a210dee71a3706e430,c82ac2466001aa8cdcb2ae1afe7b9deb,pair_dissolved_naturally,exact,exact,1.0,1.0
03083dc8cc7667ab08f35b6b208ade86,6da15786b5dfbc106ddd5467d69d6c4a,pair_dissolved_naturally,exact,exact,1.0,1.0
03083dc8cc7667ab08f35b6b208ade86,9107eb8bd0f876d55dbe4e6ccc88f81b,pair_dissolved_naturally,exact,unknown,1.0,
031be0a62a09cdfc3e5ff5cf4cc4d183,43aa95e90802777c4d445384ec57a454,both_deleted,deleted,deleted,,
031be0a62a09cdfc3e5ff5cf4cc4d183,49b210e4ee84c9b98d3ffb307c1482ca,both_deleted,deleted,deleted,,
031be0a62a09cdfc3e5ff5cf4cc4d183,c2c11d5876da6560a5605d1e3a7be811,both_deleted,deleted,deleted,,
031be0a62a09cdfc3e5ff5cf4cc4d183,f4552f072029965a1d576a907980c024,both_deleted,deleted,deleted,,
033f7b992c0a84e2f61f21672a691233,08c4115dff961dcdb9229874f14b8f49,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.9
033f7b992c0a84e2f61f21672a691233,bde5a3f6da09a9cb73e9763efb4bd5e6,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.9
034c698c12c8c4ec8d870a0cf34f9690,2436da224091bf238999c72e5713f68d,pair_dissolved_naturally,exact,exact,1.0,1.0
034c698c12c8c4ec8d870a0cf34f9690,3c3294b426832baa555cfeb9298e45cf,pair_dissolved_naturally,exact,exact,1.0,1.0
034c698c12c8c4ec8d870a0cf34f9690,70d2811524dddc9768f4fbeb460c3187,pair_dissolved_naturally,exact,exact,1.0,1.0
034c698c12c8c4ec8d870a0cf34f9690,a31a6cebb7d2ce4683c8a96da54ca53c,pair_dissolved_naturally,exact,exact,1.0,1.0
034c698c12c8c4ec8d870a0cf34f9690,cb51daccc5f9d28824269fbf857a50f8,pair_dissolved_naturally,exact,exact,1.0,1.0
034c698c12c8c4ec8d870a0cf34f9690,de6a5fb780f49ec86f7f3f154a06e99d,pair_dissolved_naturally,exact,exact,1.0,1.0
035e3195b663f7f6dd6192052b285b2f,230535183ea278f4807ac93ada90c0a4,pair_dissolved_naturally,exact,exact,1.0,1.0
035e3195b663f7f6dd6192052b285b2f,675c415cb5e0f220524c4ea041492655,pair_dissolved_naturally,exact,exact,1.0,1.0
035e3195b663f7f6dd6192052b285b2f,f2edd9179c063ea18441a2aabbe6a049,pair_dissolved_naturally,exact,exact,1.0,1.0
0371fdcb04b5be9444b4f5e16801b859,dda5bc2292829821a3cd0afafc3bb019,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
03747afa2b8b3af9f4f26429303346dd,819132bce394148a1590197b9f28771f,pair_dissolved_by_refactoring,moved,moved,0.99,0.93
03747afa2b8b3af9f4f26429303346dd,ce145edf03a8f17b5600a6c11661b496,pair_dissolved_by_refactoring,moved,moved,0.99,0.93
0384a26acf1095f16b30051964d30df4,f1a19f8bdd94a7c9ceb02f0f359be930,pair_dissolved_naturally,exact,exact,1.0,1.0
0384a26acf1095f16b30051964d30df4,f8d4d15e9f5530342de597680def657c,pair_dissolved_naturally,exact,exact,1.0,1.0
03a1eecabac2c7872030e7048e7b7d7b,f9fe6fa8a5fbbf749e0b12e4c1287dfb,pair_dissolved_naturally,exact,exact,1.0,1.0
03cd055b25f7929c70b51b6add69be6c,e7338ef4720220e7883524bfec456035,both_deleted,deleted,deleted,,
04090ae0278692e1822884c0f27265cb,12998761fa5eef77c2c8a5ed151a4f5e,pair_dissolved_naturally,exact,exact,1.0,1.0
04090ae0278692e1822884c0f27265cb,24e260c03ffb133a7a98ea45484b522a,pair_dissolved_naturally,exact,exact,1.0,1.0
04090ae0278692e1822884c0f27265cb,9a5a8e28065fdab4b3e026b94b9b693c,pair_dissolved_naturally,exact,exact,1.0,1.0
04090ae0278692e1822884c0f27265cb,cb63c31e72d3414b2e5d19146ac0a8bc,pair_dissolved_naturally,exact,exact,1.0,1.0
04090ae0278692e1822884c0f27265cb,cc373180eb4e95c95340b33e3b2d90c1,pair_dissolved_naturally,exact,exact,1.0,1.0
