method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
000d8311d721c7dc4b180aabc5ed5385,e7a271837b8064c6d4368a76711825b0,method_b_added,unknown,added,,
0038317ba4c648a11c70b4047b400316,bbd66bea90ace52679c5f5f97c404487,pair_formed_naturally,exact,exact,1.0,1.0
004dcbfe1c78fe844018439cc525064c,be0b47d868596233ce6f8cb795f729e1,pair_formed_by_refactoring,moved,exact,0.92,1.0
0050e6e0ffd2bc05b38f50750cb7117f,c45498e8d50e00d0b70d6c40a8df3117,both_added,added,added,,
0050e6e0ffd2bc05b38f50750cb7117f,f367a999e6e26c4332d32778c27b7620,both_added,added,added,,
0058d2c302f4d25e175328d6db4330af,27d98d51f06bd6f4ff17ecc0444cbefe,pair_formed_naturally,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,3614e25d098eb384525296bff6a62912,both_added,added,added,,
0092ab8ce28bdeaec822c0922ec9c7c5,87f2170faaae0a550680aef2604c8d5e,both_added,added,added,,
00a2bce9835f8ee8fe3f3af740c2a1fa,065dfa912a99171628151ef93cfac637,pair_formed_naturally,exact,exact,1.0,1.0
00a2bce9835f8ee8fe3f3af740c2a1fa,080592c1452d451f28c155c52705cded,pair_formed_naturally,exact,exact,1.0,1.0
00a2bce9835f8ee8fe3f3af740c2a1fa,801f93306519c92e83f49352212bc913,pair_formed_naturally,exact,exact,1.0,1.0
00a2bce9835f8ee8fe3f3af740c2a1fa,abe66920d1f42c1d70672e9e42f89ca7,pair_formed_naturally,exact,exact,1.0,1.0
00a2bce9835f8ee8fe3f3af740c2a1fa,e652b47fa99f222f291ff5cc69153f13,pair_formed_naturally,exact,exact,1.0,1.0
00b985d7ca36448f97552643a43956c1,eccc617e4b684b3e6b02c2b71c2f85d5,pair_formed_naturally,exact,exact,1.0,1.0
00c43e150cc02199e9009b3e8e0758de,a23a20d5d168ab08b4c59ad1a2ce0df3,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00c43e150cc02199e9009b3e8e0758de,a3003a1e181547e23ccc264bd42a594a,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00c43e150cc02199e9009b3e8e0758de,d097abdedcb8d37c9d960b303274a269,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,0.84
00cf2d99abdbfcbe870fb70259e17e7b,fb9ce0c9f048c757e6f87d41af162634,pair_formed_naturally,exact,exact,1.0,1.0
00f11805abc9a2d732f8813275a083f5,cb0af89f63825df9a3fd8a8e6d60b2f8,pair_formed_naturally,exact,exact,1.0,1.0
