method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
0034f711b5e8cea84ee936bd53202c0f,8c78998d63f7f7e621c9154c974d4f81,pair_dissolved_naturally,exact,exact,1.0,1.0
0034f711b5e8cea84ee936bd53202c0f,ec90625c07f9f44909a942bc2bffc570,pair_dissolved_naturally,exact,exact,1.0,1.0
0038317ba4c648a11c70b4047b400316,7b03f46c5d135d0aec24947c8077b9df,pair_dissolved_naturally,exact,exact,1.0,1.0
007774890c3f2ff01fc9f179ddbcb22f,684ac673226513d2c2afde2ca17395c6,pair_dissolved_naturally,exact,exact,1.0,1.0
007a6e1c1772bca8fa8d95e581524aca,fe66cdcdb2383d0d34e6f3cd8dcdb9eb,pair_dissolved_by_refactoring,signature_changed,unknown,0.94,
00cf2d99abdbfcbe870fb70259e17e7b,520dbd9ea2335a5355b370d6dbe56a40,pair_dissolved_naturally,exact,exact,1.0,1.0
00de6b4602afa67a9595137eaa1aac7d,b1c10ad29eb8e2e4dab50745c8f075fd,pair_dissolved_naturally,exact,exact,1.0,1.0
00f11805abc9a2d732f8813275a083f5,233d463f54b7f15c73ca06777c8751ac,pair_dissolved_naturally,exact,exact,1.0,1.0
0119eff7633a1d4282118efe2fa0b017,1e84dc0f599c60b211eaee400e59649a,pair_dissolved_naturally,exact,exact,1.0,1.0
0119eff7633a1d4282118efe2fa0b017,2002e80efa9fcc3d419f1e7439633b7a,pair_dissolved_naturally,exact,exact,1.0,1.0
0119eff7633a1d4282118efe2fa0b017,4ab91e013bb8e43721661265a5f26876,pair_dissolved_naturally,exact,exact,1.0,1.0
0119eff7633a1d4282118efe2fa0b017,6df45efaf7162a8048012bb8a3e89f2b,pair_dissolved_naturally,exact,exact,1.0,1.0
0119eff7633a1d4282118efe2fa0b017,c964ceab99f0e6769806b84d35b5aa12,pair_dissolved_naturally,exact,exact,1.0,1.0
011c3adf691643bfbd5ab3e09f53bee2,7d33f33700d50344489fff1011fcb9ec,both_deleted,deleted,deleted,,
01370a7fea682fe661d9ab5522135eda,040d495dd4cdce97dce8b781dc12a1f1,pair_dissolved_naturally,exact,exact,1.0,1.0
01370a7fea682fe661d9ab5522135eda,0abd97fd325b646b887d0d19b141c345,pair_dissolved_naturally,exact,exact,1.0,1.0
01370a7fea682fe661d9ab5522135eda,22e2fd1e473e9dc05f654495c6123197,pair_dissolved_naturally,exact,exact,1.0,1.0
01370a7fea682fe661d9ab5522135eda,720bccec7bbb0f35095b54857ac95abd,pair_dissolved_naturally,exact,exact,1.0,1.0
01370a7fea682fe661d9ab5522135eda,8ff099acb79da4d0bbcc3065c3930e10,pair_dissolved_naturally,exact,exact,1.0,1.0
01370a7fea682fe661d9ab5522135eda,cef4f659af2ff19515fe4207db8a5125,pair_dissolved_naturally,exact,exact,1.0,1.0
01370a7fea682fe661d9ab5522135eda,e79a26779cb2af035a2de65d98c8a8c3,pair_dissolved_naturally,exact,exact,1.0,1.0
014bc393713d5a6bef90ad4a86cd85d8,732580df618fab457bfe8c0062337710,pair_dissolved_naturally,exact,exact,1.0,1.0
0188756a11c6ec700f31bebd2fa8aec9,3c3e81acaeb81ed139f6c7808df244fc,pair_dissolved_naturally,exact,exact,1.0,1.0
0196992f6656fe605c293a3451b318c2,9e3958b0575537f6529414db474bd8d9,pair_dissolved_naturally,exact,exact,1.0,1.0
01985367300db95f63317a1d59ff93f8,c6cd58bb6ac9d01cb29e9b6764d6e99b,pair_dissolved_by_refactoring,token_hash,moved,1.0,0.95
01a49bc464ec4778c6572192c89241dd,58bd06fe26eb3e774df105014308f984,pair_dissolved_by_refactoring,exact,moved,1.0,0.9
01a5411279da8193a52be32db5880f14,fe18e1af82be05a361f392b83dc60b05,pair_dissolved_by_refactoring,signature_changed,exact,1.0,1.0
01aa12d256da25298af3dafbbd1c4fdd,5099bb68c9300d6e255531ff813edf60,pair_dissolved_naturally,exact,exact,1.0,1.0
01ae8f564109c963bea94160d57d6774,0853b3feab9d0dad5cfc0f8c526ab273,method_b_deleted,exact,deleted,1.0,
01ae8f564109c963bea94160d57d6774,7036e824cdd8b28e6516d7dc81fa5c28,pair_dissolved_naturally,exact,exact,1.0,1.0
01bd247b9cb95579a48c42173dc37247,0548443ab12a68829e5fcfa22c968f8c,pair_dissolved_by_refactoring,renamed,exact,0.97,1.0
01c0c8e0948d56fe2721555604096669,09a5473f89475fb750ce650580f5990e,pair_dissolved_by_refactoring,moved,moved,1.0,0.99
01c80c1fb62229ce711b09773c2eeb81,d45ecda1789b5a4541fa66e9b52962cb,pair_dissolved_naturally,exact,exact,1.0,1.0
020b5d201491127f81b169da77b96ec4,5db9cdff76b4b47997c4aff4eaa8bb93,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
020b5d201491127f81b169da77b96ec4,af9012d0e382f86efa1c351178aaf1bf,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
023ff92222af3fffc76969c91659dcbd,421b4f24370c6272181117a1edf6fc9b,pair_dissolved_naturally,exact,exact,1.0,1.0
023ff92222af3fffc76969c91659dcbd,9a8c07f833b7b4a36aaeb7feb3adeffa,pair_dissolved_naturally,exact,exact,1.0,1.0
023ff92222af3fffc76969c91659dcbd,a3973f94934685405eb1ebb6eeb3e45f,pair_dissolved_naturally,exact,exact,1.0,1.0
026e229c41a276766d58d2d0ee3f977f,c9a804c4005703f1d8b3317c2a40c859,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.95
02c01f2468cc1eaee0777279014e4c4f,3d231b9b4a7f7ecf0b8ebcbb79394e80,pair_dissolved_naturally,exact,exact,1.0,1.0
02c01f2468cc1eaee0777279014e4c4f,b12d1e8ebbecb654477d41ed517689bf,pair_dissolved_naturally,exact,exact,1.0,1.0
