method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
00093e324a0d7f030ae21a66d366c318,1aed8d384f8533963a5cbd5d8c3bcdad,pair_dissolved_by_refactoring,exact,moved,1.0,1.0
001604bbc63f699d03f8f1d16ac54ed0,72aad330a0987c1fc0a83766dd4bcad5,pair_dissolved_naturally,exact,exact,1.0,1.0
004dcbfe1c78fe844018439cc525064c,be0b47d868596233ce6f8cb795f729e1,pair_dissolved_by_refactoring,refactored,exact,0.83,1.0
0058d2c302f4d25e175328d6db4330af,27d98d51f06bd6f4ff17ecc0444cbefe,pair_dissolved_naturally,exact,exact,1.0,1.0
00a2bce9835f8ee8fe3f3af740c2a1fa,065dfa912a99171628151ef93cfac637,pair_dissolved_naturally,exact,exact,1.0,1.0
00a2bce9835f8ee8fe3f3af740c2a1fa,080592c1452d451f28c155c52705cded,pair_dissolved_naturally,exact,exact,1.0,1.0
00a2bce9835f8ee8fe3f3af740c2a1fa,801f93306519c92e83f49352212bc913,pair_dissolved_naturally,exact,exact,1.0,1.0
00a2bce9835f8ee8fe3f3af740c2a1fa,abe66920d1f42c1d70672e9e42f89ca7,pair_dissolved_naturally,exact,exact,1.0,1.0
00a2bce9835f8ee8fe3f3af740c2a1fa,e652b47fa99f222f291ff5cc69153f13,pair_dissolved_naturally,exact,exact,1.0,1.0
00c43e150cc02199e9009b3e8e0758de,a23a20d5d168ab08b4c59ad1a2ce0df3,pair_dissolved_naturally,exact,exact,1.0,1.0
00c43e150cc02199e9009b3e8e0758de,a3003a1e181547e23ccc264bd42a594a,pair_dissolved_naturally,exact,exact,1.0,1.0
00c43e150cc02199e9009b3e8e0758de,d097abdedcb8d37c9d960b303274a269,pair_dissolved_naturally,exact,exact,1.0,1.0
00cf2d99abdbfcbe870fb70259e17e7b,785ac8cd6cdf83faeccc5de631f33c38,pair_dissolved_naturally,exact,exact,1.0,1.0
00cf2d99abdbfcbe870fb70259e17e7b,fb9ce0c9f048c757e6f87d41af162634,pair_dissolved_naturally,exact,exact,1.0,1.0
010725fed5f6f42ce671544b003766b0,0f862b6751cb903a8db2a986c1cbbf28,pair_dissolved_naturally,exact,exact,1.0,1.0
0109b4688586b390ac25b14776302050,81637b3ddcdfbf73322ebb40f6ef6282,pair_dissolved_naturally,exact,exact,1.0,1.0
011fb84c706e044c83ee88e43d02a019,3cc9742ddb5db0621bc0dfeba54c2698,pair_dissolved_naturally,exact,exact,1.0,1.0
0158a0a6fa119bbf00cee3b8cc034b7e,b5729f8af131180285c378da540ebfeb,pair_dissolved_by_refactoring,token_hash,moved,1.0,1.0
