method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
0029b58b197612d4824b3d3d21f12f04,711d05bc8323be074b56a1fe5a6be058,pair_formed_naturally,exact,exact,1.0,1.0
0035e4d33b5a74053702eb55aabe92f8,9b41301827c3b6c1ee3187cb0995a748,pair_formed_by_refactoring,exact,signature_changed,1.0,0.97
0044bbd6f217605fe3df02f6cca96a40,3c6bb2779a5edf69ed4f3bc4ee566d5d,pair_formed_naturally,exact,exact,1.0,1.0
0044bbd6f217605fe3df02f6cca96a40,8954592b93b2862ffbe45d7503fd3bb8,pair_formed_naturally,exact,exact,1.0,1.0
005b8cd5284f3de13d2c9fbe39ef1d45,0af2b4467d3cf77f841fd452e4e58dce,pair_formed_naturally,exact,exact,1.0,1.0
008ed74e273860e00923fb1003af7259,427a239b4bd09717c4ae0cb626c85af8,pair_formed_by_refactoring,exact,signature_changed,1.0,0.97
00a0c06dc74aea0aba18192570f4a919,5702e7c456cbb53867a2f2338d45fa65,both_added,added,added,,
00ad2df904379f0bdd525a0e5ece0bcb,7c286ad13fc2ed08f2eeacfb8c43d879,pair_formed_naturally,exact,exact,1.0,1.0
00b6bbaa3d61c48ca8115683ecd6782f,00b6bbaa3d61c48ca8115683ecd6782f,pair_formed_naturally,exact,exact,1.0,1.0
00b6bbaa3d61c48ca8115683ecd6782f,2cacdbc3fa392561ac61b7012ed11aa5,pair_formed_naturally,exact,exact,1.0,1.0
00b6bbaa3d61c48ca8115683ecd6782f,e83210742d03a55da9e823810ab1846c,pair_formed_naturally,exact,exact,1.0,1.0
00c74d00c65ed40925407ad37bca7d13,11409bb8c95bef47f15a6eaea7af3ff1,pair_formed_naturally,exact,exact,1.0,1.0
00c74d00c65ed40925407ad37bca7d13,281fa48e4443fb3482d18d2e1b890102,pair_formed_naturally,exact,exact,1.0,1.0
00c74d00c65ed40925407ad37bca7d13,294547c341ecb01fa5cf346756e77330,pair_formed_naturally,exact,exact,1.0,1.0
00c74d00c65ed40925407ad37bca7d13,40916d20b58628bdf0b1fb0d93c458f2,pair_formed_naturally,exact,exact,1.0,1.0
00c74d00c65ed40925407ad37bca7d13,d62f5873e285f5229e598f5a2347f210,pair_formed_naturally,exact,exact,1.0,1.0
0113100d985ad72f6de98a1ae7e633f3,b7469bb1c37dec87ecee3f77a7fa13b4,pair_formed_naturally,exact,exact,1.0,1.0
012e7374bbc7d12a7144522ac855c85a,7eef949ea1f0eb779876929dc05cf76a,pair_formed_naturally,exact,exact,1.0,1.0
01361e490d0ad59195fdec69f999d474,84361364d174b3e028351b404e2c0bbc,method_b_added,renamed,added,0.9,
015f108605b325e54b17c09bb5b934a7,20e0944996f3846b3069db279b398d95,pair_formed_by_refactoring,signature_changed,exact,0.83,1.0
015f108605b325e54b17c09bb5b934a7,c1f131e89748e504f10a3c1229e21dba,pair_formed_by_refactoring,signature_changed,signature_changed,0.83,0.8
01e02c955782abd303e2bc151ee6a53a,870a6ec394854052ab50036bec2f4dc4,method_b_added,exact,added,1.0,
01e02c955782abd303e2bc151ee6a53a,d3ad5a0e57c3e2a23f42f4cd0ccb81f8,pair_formed_by_refactoring,exact,signature_changed,1.0,0.91
0207bbc1d21ba1f13dfba2ecc424ca5e,311eece44deed6005fe79194c621a55d,method_a_added,added,exact,,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,8bb1d430423f6e2411b3ecb175103ab6,method_a_added,added,exact,,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,9763ad7a661b8bd99cc66ab59e957e66,method_a_added,added,exact,,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,de19935218a4a952e319e7be33f1cead,method_a_added,added,exact,,1.0
021cd3549feb5fd82257f93e40c67d8b,ae61319864a16e1718fd49dafccbc959,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
021cd3549feb5fd82257f93e40c67d8b,fe30a020d792d2e74ac3a993fab7a716,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
024f058ab02acea3a38632c736df49f2,cd591944028b912a32dce56064cfded1,both_added,added,added,,
024f058ab02acea3a38632c736df49f2,d6dde4c7f815cd104b7c9cf4d348f155,both_added,added,added,,
024f058ab02acea3a38632c736df49f2,fba8b0ebe6797f36c4aab3ffb519f0b0,both_added,added,added,,
028a556b4873d476c5a40b5929d63e2e,167b27df38e49802eeace52375d41f19,pair_formed_naturally,exact,exact,1.0,1.0
028a556b4873d476c5a40b5929d63e2e,37cc488967c8d14743c58207a8ce9d5b,pair_formed_naturally,exact,exact,1.0,1.0
02a3231622d3493bae415e080c6fbb12,b884972470269827d2ddf918cf073398,pair_formed_naturally,exact,exact,1.0,1.0
02d393543da35a3b886b21bc394a4dff,b979ca3943a1f94e5782e649a4cac296,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,0.93
02dfd77d376941883ca65c1a519ac666,0c55b815dcf04563de7f9012b4a0da74,pair_formed_naturally,exact,exact,1.0,1.0
02dfd77d376941883ca65c1a519ac666,4ed926c457b4fae9e5cc38d875598393,pair_formed_naturally,exact,exact,1.0,1.0
02ea07a82a7e4a2d0891cb76eed858fb,8c6df5496aade7013b99227f03e10b6b,both_added,added,added,,
032848197e33a54f5cb8f6768121c68b,2297daab896856f1f97e5d4f8172f1ba,pair_formed_by_refactoring,signature_changed,signature_changed,0.99,1.0
