method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
0003f70aa1166d47f083e70c85bef902,117f68ac6f56ce03a932690a3b883471,pair_dissolved_naturally,exact,exact,1.0,1.0
000d8311d721c7dc4b180aabc5ed5385,4e25a5014b4179b90637b04f9902ac31,pair_dissolved_naturally,unknown,exact,,1.0
000d8311d721c7dc4b180aabc5ed5385,6326351c2faefbf3895126069a8130cf,pair_dissolved_naturally,unknown,exact,,1.0
000d8311d721c7dc4b180aabc5ed5385,66d058863603b4f8c4d86cb60a347b1d,pair_dissolved_naturally,unknown,unknown,,
000d8311d721c7dc4b180aabc5ed5385,88280f7ebd40ae0520899c2d22c017b1,pair_dissolved_naturally,unknown,exact,,1.0
000d8311d721c7dc4b180aabc5ed5385,beb49aa624b1b73ccd139ada4e85c0c9,pair_dissolved_naturally,unknown,exact,,1.0
000d8311d721c7dc4b180aabc5ed5385,dd8e185515c310737b7e1f66521ca253,pair_dissolved_naturally,unknown,exact,,1.0
000d8311d721c7dc4b180aabc5ed5385,e7a271837b8064c6d4368a76711825b0,pair_dissolved_naturally,unknown,exact,,1.0
003a81147bcd3148d9cb14dc6f699a72,30de623c9b9643d22b753a8cc371d69e,pair_dissolved_by_refactoring,signature_changed,exact,1.0,1.0
0058d2c302f4d25e175328d6db4330af,225bce429dbff88d8725ffc4cab4ac58,pair_dissolved_naturally,exact,exact,1.0,1.0
008ed74e273860e00923fb1003af7259,ee5a53f3e8d51a461db30deec0f24045,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.97
010e620079c846ce288e7b16488799bc,c18254fbf27912fa7370ca038e3c6299,pair_dissolved_naturally,exact,exact,1.0,1.0
012471bf6df703f493a822eccfe118f9,201f927f53f232f44814ad3829c0d595,pair_dissolved_naturally,exact,exact,1.0,1.0
012e7374bbc7d12a7144522ac855c85a,32bcb0b6509c6ae101b128c533c91fe6,pair_dissolved_naturally,exact,exact,1.0,1.0
017f7e621134ea6ea7177e7cdb2b5463,e475a344a11db1158e4b7b98266a7d2a,both_deleted,deleted,deleted,,
0182f1531d57c69739f230b897654c63,ff3f472630381587228aa66e8c291184,pair_dissolved_by_refactoring,signature_changed,exact,1.0,1.0
01e02c955782abd303e2bc151ee6a53a,278b8386f17c9972ad4de4ea0bc9d52f,pair_dissolved_by_refactoring,exact,renamed,1.0,0.96
01e02c955782abd303e2bc151ee6a53a,285abd06a919f428a34a8174701683ef,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.91
021d96eba5b52b91c7b198be1bd54623,02e97db0c977bf4a10e33298ba91b62b,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.8,0.93
021d96eba5b52b91c7b198be1bd54623,50f6c2108582ac1d4513daea2e99d733,pair_dissolved_by_refactoring,signature_changed,exact,0.8,1.0
0236cd23d8f6b9da32503cb574423d48,90a6ef803e41d97cbd773f012ee6da78,pair_dissolved_by_refactoring,renamed,renamed,0.94,0.98
0236cd23d8f6b9da32503cb574423d48,cf0642ebcf437e317093a845b0ee8ac8,pair_dissolved_by_refactoring,renamed,renamed,0.94,0.94
0236cd23d8f6b9da32503cb574423d48,df53997ef326b915c555f57e8ecffa6a,pair_dissolved_by_refactoring,renamed,unknown,0.94,
0236cd23d8f6b9da32503cb574423d48,f540e02b9436b621978dc547a87665df,pair_dissolved_by_refactoring,renamed,exact,0.94,1.0
024c0b3029dd34ac6938f36cea71e452,a439969a409d1fcc47254cf2ddf1626f,pair_dissolved_naturally,exact,exact,1.0,1.0
02a475ceffda0307b4f62a48d99d947b,961a8a50db954e9fb0af72dd1310e22f,pair_dissolved_naturally,exact,exact,1.0,1.0
02b151a312f67158fd697b02dc5af252,c446f4410fb73bd6b363979a80b275a8,pair_dissolved_naturally,exact,exact,1.0,1.0
02dfd77d376941883ca65c1a519ac666,d3b63e0deba8189b79103900f5347c63,pair_dissolved_naturally,exact,exact,1.0,1.0
02dfd77d376941883ca65c1a519ac666,d4bacb30ed8f23af0cc888b28e07dec7,pair_dissolved_naturally,exact,exact,1.0,1.0
02e97db0c977bf4a10e33298ba91b62b,fda0eac8a2289d6f0aad0ea45c142a0a,pair_dissolved_by_refactoring,signature_changed,exact,0.93,1.0
0318cbe751ec60bb534672ab93d05a3d,0a1cb1e1cb5258d8b135d2203257b527,pair_dissolved_naturally,exact,exact,1.0,1.0
0318cbe751ec60bb534672ab93d05a3d,112a962b901906da21e7c030bb1b91a2,pair_dissolved_naturally,exact,exact,1.0,1.0
0318cbe751ec60bb534672ab93d05a3d,15e55940088132b36da8813902cbbac2,pair_dissolved_naturally,exact,exact,1.0,1.0
0318cbe751ec60bb534672ab93d05a3d,202f047e48a8bbc299b9b6d670f32522,pair_dissolved_naturally,exact,exact,1.0,1.0
0318cbe751ec60bb534672ab93d05a3d,30a6e94abd9d3cccde8e62c7d10060d9,pair_dissolved_naturally,exact,exact,1.0,1.0
0318cbe751ec60bb534672ab93d05a3d,8d8084918328160a03fc94d05e363f54,pair_dissolved_naturally,exact,exact,1.0,1.0
0318cbe751ec60bb534672ab93d05a3d,cce58d91fc6649bd9ca650f4cb78e36f,pair_dissolved_naturally,exact,exact,1.0,1.0
0318cbe751ec60bb534672ab93d05a3d,f93c1fe7c4ba7aaf705760f43418c9b6,pair_dissolved_naturally,exact,exact,1.0,1.0
035c34885260029e291316a0fb3fe9c0,51d2308d22c19c9bdfd14955a94b26b9,pair_dissolved_naturally,exact,exact,1.0,1.0
035c34885260029e291316a0fb3fe9c0,fe7358e3470ed8c0ab87ae510c6a327b,pair_dissolved_naturally,exact,exact,1.0,1.0
0372c41cc7d73de9acab13eaf769605c,255887abc37f6085c90c8fc9dad7d587,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
