method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
0020324d02680f0fe1bb5de48566a35d,1ffc648af02036cb1e489a85b041e8e9,pair_formed_by_copy,exact,refactored,1.0,0.74
0020324d02680f0fe1bb5de48566a35d,5a6e3eb0b25df288674d0ea0fbe8c4d8,pair_formed_naturally,exact,exact,1.0,1.0
0036d1bc6c879f086f1aa07bc80503b1,9eaa473b25525c86c47453b920ed0ec1,both_added,added,added,,
0036d1bc6c879f086f1aa07bc80503b1,cb30bce4c9226eeb326f8057f69365ef,method_a_added,added,moved,,0.97
004022c97b5af34b5e0bccccfbe89c50,7b22ac2488c79a0b298617f3249a6719,pair_formed_naturally,exact,exact,1.0,1.0
004cba9f4ba2f3f0de79a81bdf124b21,65f5c56e45c149ba69d042fe19eb25ed,both_added,added,added,,
004cba9f4ba2f3f0de79a81bdf124b21,6778b23278c2e09a7e64ebb777896c06,both_added,added,added,,
004cba9f4ba2f3f0de79a81bdf124b21,7bb63a6b6f5bd3f0ecfeec165b7ae2bd,both_added,added,added,,
009246da6b97470c959428ed382520a8,3e69af725212f17257f354539a22edaf,pair_formed_by_refactoring,signature_changed,signature_changed,0.84,0.97
009246da6b97470c959428ed382520a8,4a57f908a7304a17725c10bed38b56e7,pair_formed_by_refactoring,signature_changed,signature_changed,0.84,0.93
009246da6b97470c959428ed382520a8,64be616c12163440b0b15836c7ef6f58,pair_formed_by_refactoring,signature_changed,signature_changed,0.84,0.9
00af5414a074a24d032c3bf177b61b18,7356e11ffeaec42b1f5b26e3dbabe08c,pair_formed_naturally,exact,exact,1.0,1.0
00bc4292c9a90753d06cc19a1e735f2e,0f60dc969d15bbd8001a9edb16f14912,both_added,added,added,,
00bc4292c9a90753d06cc19a1e735f2e,2d19761f589aacdcd388be190d28c999,both_added,added,added,,
00bc4292c9a90753d06cc19a1e735f2e,d3d44fb33c8410ffd0b2e8f4e3f40a2a,method_a_added,added,exact,,1.0
00bc4292c9a90753d06cc19a1e735f2e,e4ced3d364a201c479087103000539c8,both_added,added,added,,
00fb8e52e5b0a62bd151874989421378,f128bed05df17b2b733c7a3f88685001,pair_formed_naturally,exact,exact,1.0,1.0
00fea27cc0f50fd91ae9feeb63f02815,5ad7adf7a295c39fda8455a447314219,both_added,added,added,,
00fea27cc0f50fd91ae9feeb63f02815,5ee4691243d561eae82d4c0d6f473419,both_added,added,added,,
00fea27cc0f50fd91ae9feeb63f02815,76615993ce003fb9cbcef1901cccd1d5,both_added,added,added,,
00fea27cc0f50fd91ae9feeb63f02815,8555387574876428ec0d548ed0684d2e,both_added,added,added,,
00fea27cc0f50fd91ae9feeb63f02815,90b8f42aa394eb1e9af338acb28a39be,method_a_added,added,refactored,,0.72
0100a23d68180d45c54bfab21e081a7b,2540f99de5f5575a9371556300fcef14,pair_formed_naturally,exact,exact,1.0,1.0
010b7f2c70e399a25fc62a505bf2caa2,282d59d903fb93b878cf5ab658dc2940,pair_formed_by_refactoring,refactored,refactored,0.87,0.87
011d193a85f281ff7359c7ccf94d2837,85af853438911d270059728233707f4e,pair_formed_naturally,exact,exact,1.0,1.0
011d193a85f281ff7359c7ccf94d2837,f891842748286caaad29ab88c6369d5a,pair_formed_naturally,exact,exact,1.0,1.0
012489646722bf80a234e22314918ca3,56b8f8dbbb560e034dbf8cec57be3d10,method_a_added,added,renamed,,0.9
012489646722bf80a234e22314918ca3,70b15ca86f12b0337375ee1db867f4a0,both_added,added,added,,
012489646722bf80a234e22314918ca3,9f41b26d82fc654acb7bf84dfd9e7aab,method_a_added,added,exact,,1.0
012489646722bf80a234e22314918ca3,e89a47276df2dbeef6bb07164c5dea99,both_added,added,added,,
012cdefcca1ccdeca90a31a7465bdadb,3f8ca1b120a38cb63ab1942b1fc03592,pair_formed_naturally,exact,exact,1.0,1.0
013d079795f36d14dcee65c23d2081c9,938e2c91f0d75ab724b0024779eb0827,pair_formed_naturally,exact,exact,1.0,1.0
013d079795f36d14dcee65c23d2081c9,fd8bbc6c80cf81cb7ccf1a84125c4474,method_b_added,exact,added,1.0,
014194ee314aa379651d1a7854bc68ff,3f3000bc4c852a0844abe8fa8e73bd42,pair_formed_by_refactoring,moved,moved,1.0,1.0
014ba640171a9a2d7edb5c95c7c9335c,a106ae0ea50707f2e6b4fec7056b5bb3,pair_formed_naturally,exact,exact,1.0,1.0
01520ebbb608d2b207ef7ec6d0c2fa16,377aa1398d2117e6b8b705530482a0f0,pair_formed_naturally,exact,exact,1.0,1.0
01520ebbb608d2b207ef7ec6d0c2fa16,903133c88d066e04c125015efe005f61,pair_formed_naturally,exact,exact,1.0,1.0
01520ebbb608d2b207ef7ec6d0c2fa16,bd93d6f1852b4bddf70e9c242f3bbafa,pair_formed_naturally,exact,exact,1.0,1.0
01520ebbb608d2b207ef7ec6d0c2fa16,f3553dcbad807a2c974e69d1e295c2df,pair_formed_naturally,exact,exact,1.0,1.0
0167990815619447c53e583371ebfb57,3a547160d58c91b5643a36f8382138aa,pair_formed_by_refactoring,signature_changed,exact,0.93,1.0
016cd67b2a551484b1b1dd6f9ac4c0a7,0bd23e87ec03faec52b90c1bb0d0fbd9,pair_formed_naturally,exact,exact,1.0,1.0
016cd67b2a551484b1b1dd6f9ac4c0a7,3ff768c0ba21f8587541f467176e5f10,pair_formed_naturally,exact,exact,1.0,1.0
016cd67b2a551484b1b1dd6f9ac4c0a7,982cdaf5c2c342b7f78c552dabf0bba6,pair_formed_naturally,exact,exact,1.0,1.0
016cd67b2a551484b1b1dd6f9ac4c0a7,a666544507bd513e671db6f2e15d15e2,pair_formed_naturally,exact,exact,1.0,1.0
016cd67b2a551484b1b1dd6f9ac4c0a7,cf1ad48286c73490b7621d9672b4e596,pair_formed_naturally,exact,exact,1.0,1.0
017c8bdfa88eef8813bb4d3166492103,c114962c4314d596f91dd2c28501ff39,both_added,added,added,,
01d3177767b4b634894f6b907b3392f0,243601a9ec1fef206471e6527ee3d7c9,pair_formed_naturally,exact,exact,1.0,1.0
01d3177767b4b634894f6b907b3392f0,7764dc646903f0e1d0a5d888977eebc4,pair_formed_naturally,exact,exact,1.0,1.0
01d3177767b4b634894f6b907b3392f0,d3efb5e77bd0b38e2e40ead84cfb4be0,pair_formed_naturally,exact,exact,1.0,1.0
01e02c955782abd303e2bc151ee6a53a,06822aebd42d84b40790b95162cb0478,pair_formed_by_refactoring,exact,signature_changed,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,8040e570681784bfcee3714a6944de45,pair_formed_naturally,exact,exact,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,9296e971bb2013fd7b2de0a2748bdb7d,pair_formed_naturally,exact,exact,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,d0c8590c61d7566bc3d593794d087f42,pair_formed_naturally,exact,exact,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,fdc8acd5cee13fc7a6325bcaa1d3fe15,pair_formed_naturally,exact,exact,1.0,1.0
0224d2441d0fa21a335b691485b4d666,bde886306cc1797733db2e34ae085d15,method_b_added,signature_changed,added,0.77,
023f603fa014b3536498d98aff97fffc,0bd3e2e12fbf8edf2e80393720137617,pair_formed_by_refactoring,moved,exact,0.97,1.0
026b7ae519fd106e14efd6fa3444139c,2f99ed9405959a50c3f58c4414723c9b,pair_formed_naturally,exact,exact,1.0,1.0
026d19e19f798fc50807aeaf319522b3,69a4b57d1518045ba65c9d76c9779af4,pair_formed_naturally,exact,unknown,1.0,
026d19e19f798fc50807aeaf319522b3,86d55c582ad04fae6c521b1442bd29c6,pair_formed_naturally,exact,exact,1.0,1.0
027423ccea5c4b51968e084f85a696ed,1f8f90d501c2ad5d00e67ebbff5f4ea7,pair_formed_naturally,exact,exact,1.0,1.0
027423ccea5c4b51968e084f85a696ed,f039ae230dcf89ff300aa4a5c7c0f4c3,pair_formed_naturally,exact,exact,1.0,1.0
027423ccea5c4b51968e084f85a696ed,f30dcdee87f505c7373e080f28bbba8c,pair_formed_naturally,exact,exact,1.0,1.0
027a7cb1270e98585c4e2176d33f015a,349c138ddf903d9f184d25ce21454d95,pair_formed_naturally,exact,exact,1.0,1.0
027a7cb1270e98585c4e2176d33f015a,e20c921b536120112166254e38dd1d3d,pair_formed_naturally,exact,exact,1.0,1.0
027a7cb1270e98585c4e2176d33f015a,f562799a5b36b2329a3c8f8370858733,pair_formed_naturally,exact,exact,1.0,1.0
02808f7c6217a5d5ad0c70e5b7496f01,23f76b2bc0c87992068bfe9824832c61,pair_formed_naturally,exact,exact,1.0,1.0
02808f7c6217a5d5ad0c70e5b7496f01,394ea4453909c243f011a22edddaa774,pair_formed_naturally,exact,exact,1.0,1.0
02808f7c6217a5d5ad0c70e5b7496f01,44d9c05a8d3751e1156acde74224cd45,pair_formed_naturally,exact,exact,1.0,1.0
028e30b753d1ff1a1a7f76df57d8f923,aaf0c54a9ab9e0480c6e75ce61dfb6f6,pair_formed_by_refactoring,signature_changed,exact,0.94,1.0
029a0a025a67e3bbf2bb98a11e97954c,f76007797bb2e873426f67187774ebfb,pair_formed_by_refactoring,signature_changed,exact,1.0,1.0
02b5968f43cd0acbf30a9e6ce08629c3,672f3d58bddbbba3b3b6e4976831f725,pair_formed_naturally,exact,exact,1.0,1.0
02bf41dfd4c4d1a5618d3bb831c0e270,c108e4bddbb6efacf337100a2a265ce8,pair_formed_naturally,exact,exact,1.0,1.0
02c485d4ce8aea7c97405900b6da12c4,0ad19a5eabcc84f1715030403a7da02f,method_b_added,signature_changed,added,0.78,
02c485d4ce8aea7c97405900b6da12c4,b7fc433265b99c52db220096356fc974,pair_formed_by_refactoring,signature_changed,signature_changed,0.78,0.82
02c485d4ce8aea7c97405900b6da12c4,c3977575f8948469c0e5109980577cb5,method_b_added,signature_changed,added,0.78,
02cbfa143ccdb84256a5076dc76a1e37,20223690b15a59ea7b47c8c5288ef2e3,pair_formed_naturally,exact,exact,1.0,1.0
02cbfa143ccdb84256a5076dc76a1e37,2445137b2a9708a3734bf3f1d185ef72,pair_formed_naturally,exact,exact,1.0,1.0
02d393543da35a3b886b21bc394a4dff,3080dc928669947361165b4475bb0e17,pair_formed_naturally,exact,exact,1.0,1.0
02d8d250a2d3333d383cb72e23154dc0,4af922acda5497ed1a5ac791dd9aa6b9,pair_formed_naturally,exact,exact,1.0,1.0
02e1fc57c9abadc9b2d21b1fc7dc056f,a4bd916c377d8b79b2b6104e3ad262c8,pair_formed_naturally,exact,exact,1.0,1.0
02eddf1541097948b4c503cc495a88cd,26491c41bf35b9437076d6397677ab5d,pair_formed_naturally,exact,exact,1.0,1.0
0305a9d2decaf1111c8e8f1351d4572c,079392cd62c2f151157d9284b5bb8818,method_a_added,added,exact,,1.0
0305a9d2decaf1111c8e8f1351d4572c,511f279914d6d88e79a1ce565f591230,method_a_added,added,exact,,1.0
0305a9d2decaf1111c8e8f1351d4572c,9a1ec2e552b64d37e7282eeeb3cf6cd7,both_added,added,added,,
030d10161163134afb2f75b2057d1768,63a8c7d161bc4b8ae161d03b270837bd,method_b_added,exact,added,1.0,
030d10161163134afb2f75b2057d1768,e86397323a3547baf51b3d74eee5bc2c,pair_formed_by_refactoring,exact,signature_changed,1.0,1.0
030f11ed591ce1f7326ee0ef0766a6b0,53be4707313fc2d2b160d4b9060bbca9,pair_formed_by_refactoring,moved,moved,0.92,0.92
030f11ed591ce1f7326ee0ef0766a6b0,ed3cf8818a1370fcfe46f8a6887c1f22,pair_formed_by_refactoring,moved,moved,0.92,0.92
0356f35a4f343895e8812b82472aa29f,ba5ca307ec6cbb4162828b6dd1cdd8cf,pair_formed_by_refactoring,exact,signature_changed,1.0,0.89
03a40728877b5d5ce13839740c37fdcc,ea6510ae6055b984a32f86b8a2d4a74d,pair_formed_by_refactoring,moved,exact,1.0,1.0
