method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
00093e324a0d7f030ae21a66d366c318,eb388c5bd34084ee23f6b0c17a757a3d,method_a_deleted,deleted,renamed,,0.96
0035e4d33b5a74053702eb55aabe92f8,9b41301827c3b6c1ee3187cb0995a748,pair_dissolved_by_refactoring,signature_changed,exact,1.0,1.0
0044bbd6f217605fe3df02f6cca96a40,3c6bb2779a5edf69ed4f3bc4ee566d5d,pair_dissolved_by_refactoring,moved,moved,0.92,0.92
0044bbd6f217605fe3df02f6cca96a40,8954592b93b2862ffbe45d7503fd3bb8,pair_dissolved_by_refactoring,moved,moved,0.92,0.92
005b8cd5284f3de13d2c9fbe39ef1d45,0af2b4467d3cf77f841fd452e4e58dce,pair_dissolved_by_refactoring,exact,renamed,1.0,0.96
00696a50e9619aa527d13ae2ecf7f1a8,886c1bdd66825554d829eaf40e17a478,pair_dissolved_naturally,exact,exact,1.0,1.0
008ed74e273860e00923fb1003af7259,427a239b4bd09717c4ae0cb626c85af8,method_b_deleted,token_hash,deleted,1.0,
00ad2df904379f0bdd525a0e5ece0bcb,7c286ad13fc2ed08f2eeacfb8c43d879,method_a_deleted,deleted,renamed,,0.96
00af5414a074a24d032c3bf177b61b18,cc2edc34e8a2ca3d3e33036c06cc1766,pair_dissolved_naturally,exact,exact,1.0,1.0
00b985d7ca36448f97552643a43956c1,eccc617e4b684b3e6b02c2b71c2f85d5,pair_dissolved_naturally,exact,exact,1.0,1.0
00c9a438a5c3f03736ccd67df98c69a1,6cdd457a6cfd4d53f54537faf983683f,pair_dissolved_by_refactoring,exact,renamed,1.0,0.9
00c9a438a5c3f03736ccd67df98c69a1,7ddcd253a2e7744cc1a93728ecd65a27,pair_dissolved_by_refactoring,exact,refactored,1.0,0.73
00ee32e533a5f8ad784a184405be0ba3,d28c4d1131627ae19d24d803e7d32caa,both_deleted,deleted,deleted,,
00fb8e52e5b0a62bd151874989421378,f844682e467dc7ce7334a3e3cf902147,pair_dissolved_naturally,exact,exact,1.0,1.0
0100a23d68180d45c54bfab21e081a7b,87257e991f73bc32d9f0e6cdc4dbed0c,pair_dissolved_naturally,exact,exact,1.0,1.0
0109b4688586b390ac25b14776302050,16714695350953b79cabc934a1471fc2,pair_dissolved_by_refactoring,moved,moved,1.0,1.0
0109b4688586b390ac25b14776302050,2d4a142a5f76d270e966dcbc068711fa,pair_dissolved_by_refactoring,moved,moved,1.0,1.0
0109b4688586b390ac25b14776302050,30b27c303b0c292ad2a0c96b928b0170,pair_dissolved_by_refactoring,moved,moved,1.0,1.0
0109b4688586b390ac25b14776302050,ec73c0e2eda1f115d57a0c69efc8b186,pair_dissolved_by_refactoring,moved,moved,1.0,1.0
0113100d985ad72f6de98a1ae7e633f3,b7469bb1c37dec87ecee3f77a7fa13b4,method_a_deleted,deleted,refactored,,0.84
011f51d8939dd961c7b7a6175d9e4553,66827e5da2068384db3e7dc30e4c734d,pair_dissolved_by_refactoring,moved,moved,1.0,1.0
01201f1074e85156c274e29ad3bc4643,f56291ad3bb893455ca199ed91e69d41,pair_dissolved_naturally,exact,exact,1.0,1.0
012e7374bbc7d12a7144522ac855c85a,7eef949ea1f0eb779876929dc05cf76a,method_a_deleted,deleted,refactored,,0.7
014bc393713d5a6bef90ad4a86cd85d8,7e6246e38553cf5399d0db9e20b9e9f3,pair_dissolved_naturally,exact,exact,1.0,1.0
01572624ac924ea999811520a5bb9033,a3ffb6e77f2117e149cff28ceeeec790,pair_dissolved_naturally,exact,exact,1.0,1.0
015f108605b325e54b17c09bb5b934a7,20e0944996f3846b3069db279b398d95,pair_dissolved_naturally,exact,exact,1.0,1.0
016e4c9a4c9c765c0c1d5ab1a40ec62d,9769939897a83219250d295600da7735,pair_dissolved_naturally,exact,exact,1.0,1.0
01767dc42f74bda22d897a954a8a8d57,17b183520bf85624606c17e67a56938e,pair_dissolved_naturally,exact,exact,1.0,1.0
01767dc42f74bda22d897a954a8a8d57,43796b472e87ea114080ca1c7469200d,pair_dissolved_naturally,exact,exact,1.0,1.0
01e02c955782abd303e2bc151ee6a53a,870a6ec394854052ab50036bec2f4dc4,pair_dissolved_naturally,exact,exact,1.0,1.0
01e02c955782abd303e2bc151ee6a53a,d3ad5a0e57c3e2a23f42f4cd0ccb81f8,method_b_deleted,exact,deleted,1.0,
0207bbc1d21ba1f13dfba2ecc424ca5e,311eece44deed6005fe79194c621a55d,pair_dissolved_naturally,exact,exact,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,8bb1d430423f6e2411b3ecb175103ab6,pair_dissolved_naturally,exact,exact,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,9763ad7a661b8bd99cc66ab59e957e66,pair_dissolved_naturally,exact,exact,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,de19935218a4a952e319e7be33f1cead,pair_dissolved_naturally,exact,exact,1.0,1.0
021cd3549feb5fd82257f93e40c67d8b,ae61319864a16e1718fd49dafccbc959,pair_dissolved_naturally,exact,exact,1.0,1.0
021cd3549feb5fd82257f93e40c67d8b,fe30a020d792d2e74ac3a993fab7a716,pair_dissolved_naturally,exact,exact,1.0,1.0
022f8d660be6828b0ec388a80b2a0966,b2795d93765a095620cf29d49465e598,pair_dissolved_by_refactoring,moved,exact,1.0,1.0
022f8d660be6828b0ec388a80b2a0966,cb1f436a5d4fe30052557f8ba4b02765,pair_dissolved_by_refactoring,moved,moved,1.0,1.0
022f8d660be6828b0ec388a80b2a0966,d872999dc362c906fc2274e1291f0880,pair_dissolved_by_refactoring,moved,exact,1.0,1.0
0258a098af43ab572a6a6eda096a063f,686565af533c82ec1e267aa015a00e5f,method_a_deleted,deleted,exact,,1.0
026b7ae519fd106e14efd6fa3444139c,6d2802ffe356d526b746ad44e91c15ce,pair_dissolved_naturally,exact,exact,1.0,1.0
028a556b4873d476c5a40b5929d63e2e,167b27df38e49802eeace52375d41f19,pair_dissolved_by_refactoring,moved,moved,0.96,0.96
028a556b4873d476c5a40b5929d63e2e,37cc488967c8d14743c58207a8ce9d5b,pair_dissolved_by_refactoring,moved,moved,0.96,0.96
02a4d67eb630995c975e47930de3e748,227a57fb2d95f0daad0053674caee0ef,pair_dissolved_naturally,exact,exact,1.0,1.0
02a4d67eb630995c975e47930de3e748,8edac03cb33794d207ff24e6dbd2d370,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.94
