method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
001b82c2b1a71979e3576e74398a34f5,7acd5d462ce8a6dce8495e159e383935,stable_unchanged,exact,exact,1.0,1.0
0029b58b197612d4824b3d3d21f12f04,711d05bc8323be074b56a1fe5a6be058,stable_unchanged,exact,exact,1.0,1.0
002bc73c2ac9f581489d5cff521fa4c4,365599be9b767a49fbb6c849e37e9c76,stable_unchanged,exact,exact,1.0,1.0
002bc73c2ac9f581489d5cff521fa4c4,9dba21701271f2923c75a481fbe9718a,stable_unchanged,exact,exact,1.0,1.0
002bc73c2ac9f581489d5cff521fa4c4,a27127e026068d4fd4de2e5725f87e5b,stable_unchanged,exact,exact,1.0,1.0
0038317ba4c648a11c70b4047b400316,bbd66bea90ace52679c5f5f97c404487,stable_unchanged,exact,exact,1.0,1.0
0050e6e0ffd2bc05b38f50750cb7117f,c45498e8d50e00d0b70d6c40a8df3117,stable_unchanged,exact,exact,1.0,1.0
0050e6e0ffd2bc05b38f50750cb7117f,f367a999e6e26c4332d32778c27b7620,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,01958fdd235faf831c69e8b6a791bb6b,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,26847fd43ad29c10f7f6eb09f7645ddc,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,3e09bd85b05dece38b0072b3f330b896,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,9486cca2875616f959d168b0288b0311,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,9a8a4ae88d11228ec82e96a0954d1790,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,a2b4c114b5486a1bb0a7b62e22bcf631,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,ad0bf2c62090753a95005b171fdc8d33,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,cb6fea0ccddc323109db63e5d32481de,stable_unchanged,exact,exact,1.0,1.0
0077ea4594d6984f9b40668c1e4ff14a,5ca95857c19503360d72d723ed946d12,stable_unchanged,exact,exact,1.0,1.0
0086ceca8a67023f56b37017c8e6559f,a535582e369b35e2d35898b8e25415eb,stable_unchanged,exact,exact,1.0,1.0
008fbd0e929c1e81d70bc82028e58531,53963e08a4bd10cf719fb86754ae8f84,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,3614e25d098eb384525296bff6a62912,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,87f2170faaae0a550680aef2604c8d5e,stable_unchanged,exact,exact,1.0,1.0
00a0c06dc74aea0aba18192570f4a919,5702e7c456cbb53867a2f2338d45fa65,stable_unchanged,exact,exact,1.0,1.0
00ad506e9472d7553b6bf89055f06cf2,41450831be222977688a774b8e80693e,stable_unchanged,exact,exact,1.0,1.0
00ad506e9472d7553b6bf89055f06cf2,85dcc423e451ccaa35ce3a1017840458,stable_unchanged,exact,exact,1.0,1.0
00ad506e9472d7553b6bf89055f06cf2,e5eeeeacfb07d7083a3e861c8cc83511,stable_unchanged,exact,exact,1.0,1.0
00af5414a074a24d032c3bf177b61b18,16191359762c7ce6c149c8ce0942931f,stable_unchanged,exact,exact,1.0,1.0
00af5414a074a24d032c3bf177b61b18,245a8c64eb14b4bac5570f8efcacf9e6,stable_unchanged,exact,exact,1.0,1.0
00b6bbaa3d61c48ca8115683ecd6782f,00b6bbaa3d61c48ca8115683ecd6782f,stable_unchanged,exact,exact,1.0,1.0
00b6bbaa3d61c48ca8115683ecd6782f,2cacdbc3fa392561ac61b7012ed11aa5,stable_unchanged,exact,exact,1.0,1.0
00b6bbaa3d61c48ca8115683ecd6782f,e83210742d03a55da9e823810ab1846c,stable_unchanged,exact,exact,1.0,1.0
00c74d00c65ed40925407ad37bca7d13,11409bb8c95bef47f15a6eaea7af3ff1,stable_unchanged,exact,exact,1.0,1.0
00c74d00c65ed40925407ad37bca7d13,281fa48e4443fb3482d18d2e1b890102,stable_unchanged,exact,exact,1.0,1.0
00c74d00c65ed40925407ad37bca7d13,294547c341ecb01fa5cf346756e77330,stable_unchanged,exact,exact,1.0,1.0
00c74d00c65ed40925407ad37bca7d13,40916d20b58628bdf0b1fb0d93c458f2,stable_unchanged,exact,exact,1.0,1.0
00c74d00c65ed40925407ad37bca7d13,d62f5873e285f5229e598f5a2347f210,stable_unchanged,exact,exact,1.0,1.0
00cfefa887f25eebd27f61cf8b5eb9b2,055ec3faa510ed5d08f99dc57f78df78,stable_unchanged,exact,exact,1.0,1.0
00cfefa887f25eebd27f61cf8b5eb9b2,af26c37d2cbac0d242ab74867eca3cf0,stable_unchanged,exact,exact,1.0,1.0
00f11805abc9a2d732f8813275a083f5,716eb50ac3a9566646661ce8684224f9,stable_unchanged,exact,exact,1.0,1.0
00f11805abc9a2d732f8813275a083f5,cb0af89f63825df9a3fd8a8e6d60b2f8,stable_unchanged,exact,exact,1.0,1.0
00f587db74d44ab0691e4396daadedcc,6f0b4267befd3655a76f0e9e4ea7fa2e,stable_unchanged,token_hash,token_hash,1.0,1.0
00fb8e52e5b0a62bd151874989421378,631eda01d48a8da5033902b78bc18cd7,stable_unchanged,exact,exact,1.0,1.0
0100a23d68180d45c54bfab21e081a7b,dbcd73d3b4ff3d480cbb196e16794e8f,stable_unchanged,exact,exact,1.0,1.0
01112e2826fd95a20e5076dea0c3405a,40b99c05895cbf27c0bbf894088059a1,stable_unchanged,exact,exact,1.0,1.0
01112e2826fd95a20e5076dea0c3405a,4e5918b3cd7f55db713968b3bbc04e6c,stable_unchanged,exact,exact,1.0,1.0
01112e2826fd95a20e5076dea0c3405a,90d2adaf51f7d679d11f062070472790,stable_with_minor_changes,exact,unknown,1.0,
0117ab736fc8db2d0b8d1119722ba2d1,04ec7a8ce2d88eb4b88ade2f309fd2d9,stable_with_minor_changes,unknown,exact,,1.0
01361e490d0ad59195fdec69f999d474,84361364d174b3e028351b404e2c0bbc,stable_unchanged,exact,exact,1.0,1.0
0143061b809e7ad3116fd8efae40795d,6137371d13e43741d90ad5d3e107336b,stable_unchanged,exact,exact,1.0,1.0
0143061b809e7ad3116fd8efae40795d,6466578d8759d4e0b2d62e1e13b8e000,stable_unchanged,exact,exact,1.0,1.0
0143061b809e7ad3116fd8efae40795d,663447cc8318c70b1a4b94518d70aee1,stable_unchanged,exact,exact,1.0,1.0
0158a0a6fa119bbf00cee3b8cc034b7e,12528cf90f4cbf7fcfb0ca7193019bcf,stable_unchanged,exact,exact,1.0,1.0
0158a0a6fa119bbf00cee3b8cc034b7e,b76a7035a3abc7a9e2d8effedc378fab,stable_unchanged,exact,exact,1.0,1.0
0158a0a6fa119bbf00cee3b8cc034b7e,c53102c1707c089a2bafe636bc2a33c7,stable_unchanged,exact,exact,1.0,1.0
0158a0a6fa119bbf00cee3b8cc034b7e,d5d1ac3a738c071caab8382e87312851,stable_unchanged,exact,exact,1.0,1.0
015f108605b325e54b17c09bb5b934a7,c1f131e89748e504f10a3c1229e21dba,stable_unchanged,exact,exact,1.0,1.0
016c1cb7f7760867f25a402c9b3126ea,e2b81266ff38c57c751966701bcfb357,stable_unchanged,exact,exact,1.0,1.0
01866156e1c0539031389e248ac7794a,e5b2cafdabab51c78774969b4a28730f,stable_unchanged,exact,exact,1.0,1.0
01866156e1c0539031389e248ac7794a,ff552d1856f5d6813a6e2d84c4bf1f7b,stable_unchanged,exact,exact,1.0,1.0
018e7764f13d10a4ce28bf1b6abea34e,afba3bddc8df1aeb5f3bd295b10ac0e4,stable_unchanged,exact,exact,1.0,1.0
018e7764f13d10a4ce28bf1b6abea34e,b016c3d6f40e4c683b4140fb0b0d812f,stable_unchanged,exact,exact,1.0,1.0
018e77ae9d53d3b95223702cd34ff0de,695ac57defc3a36ce9a9e7fae460485b,stable_unchanged,exact,exact,1.0,1.0
018e77ae9d53d3b95223702cd34ff0de,79128f4fdc3c16911b87a06641cbd7de,stable_unchanged,exact,exact,1.0,1.0
019072c87deb08fd31aead1a5820cd4e,1874d04965cb06f216c021b790b43ba8,stable_unchanged,exact,exact,1.0,1.0
019072c87deb08fd31aead1a5820cd4e,24bc83fa9404cc2713a0ef51cacb2279,stable_unchanged,exact,exact,1.0,1.0
019072c87deb08fd31aead1a5820cd4e,41891f6ad8b3a85f8273beda3d29c2c6,stable_unchanged,exact,exact,1.0,1.0
019072c87deb08fd31aead1a5820cd4e,56014da055e3dcb886b61c4f76d62c2d,stable_unchanged,exact,exact,1.0,1.0
019072c87deb08fd31aead1a5820cd4e,84c45a71b83b550acc444f41bedc62d3,stable_unchanged,exact,exact,1.0,1.0
019072c87deb08fd31aead1a5820cd4e,977359cd5049f922903e0420326c085b,stable_unchanged,exact,exact,1.0,1.0
019072c87deb08fd31aead1a5820cd4e,aaae7a7f70066143d50e9c6a4a4a9cfd,stable_unchanged,exact,exact,1.0,1.0
019072c87deb08fd31aead1a5820cd4e,ad999ee7df648e78a172cd108c9b6b8b,stable_unchanged,exact,exact,1.0,1.0
019072c87deb08fd31aead1a5820cd4e,be0718b8be64533d732274d0ee2f21ba,stable_unchanged,exact,exact,1.0,1.0
019072c87deb08fd31aead1a5820cd4e,f62a7583d3feddd4a43e616f74cf29c5,stable_unchanged,exact,exact,1.0,1.0
019072c87deb08fd31aead1a5820cd4e,fe0bac08f92aef9b78691fc7780dbedd,stable_unchanged,exact,exact,1.0,1.0
01958fdd235faf831c69e8b6a791bb6b,3e09bd85b05dece38b0072b3f330b896,stable_unchanged,exact,exact,1.0,1.0
01958fdd235faf831c69e8b6a791bb6b,9486cca2875616f959d168b0288b0311,stable_unchanged,exact,exact,1.0,1.0
01958fdd235faf831c69e8b6a791bb6b,a2b4c114b5486a1bb0a7b62e22bcf631,stable_unchanged,exact,exact,1.0,1.0
01958fdd235faf831c69e8b6a791bb6b,cb6fea0ccddc323109db63e5d32481de,stable_unchanged,exact,exact,1.0,1.0
01985367300db95f63317a1d59ff93f8,2d94994f2553a1c57c25aa8815c23dfb,stable_unchanged,exact,exact,1.0,1.0
01985367300db95f63317a1d59ff93f8,5f1cd7f54fc4fd597dcd51a397ec53bd,stable_unchanged,exact,exact,1.0,1.0
01a49bc464ec4778c6572192c89241dd,e8ddc9b813ecf15aee9367ba262067bf,stable_unchanged,exact,exact,1.0,1.0
01abe9e5b07137e389d76a86158aa6f2,c47aa5b688d1b9f1a2d14e81a60f6084,stable_unchanged,exact,exact,1.0,1.0
01c9f36042d8dc31fa3233592cd2b6d3,b70f8ad37b28581ada1cae8f4c28b9da,stable_unchanged,exact,exact,1.0,1.0
01ca6999be8cf60c6b8e3e86e3df42ee,01ca6999be8cf60c6b8e3e86e3df42ee,stable_unchanged,exact,exact,1.0,1.0
01ca6999be8cf60c6b8e3e86e3df42ee,740239cc996e89a6d61117b92a0925ce,stable_with_minor_changes,exact,unknown,1.0,
01e8b3225ed2751fe19421a82b4ffdb6,162a6822abc97a688f2afa0ef67d2a3a,stable_unchanged,exact,exact,1.0,1.0
01edbd0f982c58b01e23738522baa58a,09449b6427e2499f6458faf7125d7384,stable_unchanged,exact,exact,1.0,1.0
024f058ab02acea3a38632c736df49f2,cd591944028b912a32dce56064cfded1,stable_unchanged,exact,exact,1.0,1.0
024f058ab02acea3a38632c736df49f2,d6dde4c7f815cd104b7c9cf4d348f155,stable_unchanged,exact,exact,1.0,1.0
024f058ab02acea3a38632c736df49f2,fba8b0ebe6797f36c4aab3ffb519f0b0,stable_unchanged,exact,exact,1.0,1.0
0250708aa919b325dd38f83a497f1352,a0d3e2ba39f701b4b722137e614bc416,stable_with_minor_changes,unknown,exact,,1.0
026b7ae519fd106e14efd6fa3444139c,3b2b4793d3567e99b3962760ab04d7fe,stable_unchanged,exact,exact,1.0,1.0
026e229c41a276766d58d2d0ee3f977f,138d119b9f4640b5cfeb5bd073ef739e,stable_unchanged,exact,exact,1.0,1.0
028b9703e7ea0ac46b60d65c6b426091,c81ee1906b111276630ba0c09b055ff3,stable_unchanged,exact,exact,1.0,1.0
02a3231622d3493bae415e080c6fbb12,b884972470269827d2ddf918cf073398,stable_unchanged,exact,exact,1.0,1.0
02cfdcc48ede5ecf16196fcd9fd63784,74f35b5ea059073295b47aa525f91c27,stable_unchanged,token_hash,exact,1.0,1.0
02e49e7fb59001c1712a91e847235973,db14d2de3767418605baba72f0bf79b4,stable_unchanged,exact,exact,1.0,1.0
02ea07a82a7e4a2d0891cb76eed858fb,8c6df5496aade7013b99227f03e10b6b,stable_unchanged,exact,exact,1.0,1.0
02ebeea6287a59fb6c33d7d41816c060,c9de45830afb2807afe2201d7d32a322,stable_unchanged,exact,exact,1.0,1.0
02ecc457e819c28225141fabc40f87aa,baf06a3c7ca183b256b8e1a5160bc9be,stable_unchanged,exact,exact,1.0,1.0
0305b4858cdc7011f514dc2a343c3136,64b771ed74d42f71bbae578dd3041352,stable_unchanged,exact,exact,1.0,1.0
030e5e8dfe44e9c12a4bf9274d853159,2ea140cbcbb8b8a78943465526e6a17b,stable_unchanged,exact,exact,1.0,1.0
030e5e8dfe44e9c12a4bf9274d853159,33aa88cadd81d5da43dae505b466cc33,stable_unchanged,exact,exact,1.0,1.0
030e5e8dfe44e9c12a4bf9274d853159,8d6f7c291e8a310aad3080e35177631c,stable_unchanged,exact,exact,1.0,1.0
030e5e8dfe44e9c12a4bf9274d853159,9041c8b53032be402624a70ab2588e01,stable_unchanged,exact,exact,1.0,1.0
030e5e8dfe44e9c12a4bf9274d853159,cb8ce96c2471ad2fe47208c1066bff41,stable_unchanged,exact,exact,1.0,1.0
030e5e8dfe44e9c12a4bf9274d853159,cf0f87a3dd5625aac2da5cefd2c805f2,stable_unchanged,exact,exact,1.0,1.0
030e73d3c854dcc56932833d2a581ef8,d1cef4d7c210aefd360d36cf9fc746d3,stable_unchanged,exact,exact,1.0,1.0
0334ee1d1bc1686ef33ead6b33d06fc9,4c925a933c16a20e20be7b8d181a2e0a,stable_unchanged,exact,exact,1.0,1.0
0334ee1d1bc1686ef33ead6b33d06fc9,5f05db990d9d8d880b8fc28765abf873,stable_unchanged,exact,exact,1.0,1.0
0337eae92ec906a29cdfbd1750f0aa70,3511c9dda6240fb084cbf0b1b6473f4f,stable_unchanged,exact,exact,1.0,1.0
0337eae92ec906a29cdfbd1750f0aa70,474ee5005b922e8a9dc2c5bd583e5b66,stable_unchanged,exact,exact,1.0,1.0
0337eae92ec906a29cdfbd1750f0aa70,ac447e85ee47fc33111008a6ad4ea1d2,stable_unchanged,exact,exact,1.0,1.0
