method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
002bc73c2ac9f581489d5cff521fa4c4,6dd3e877ab4c0a573cccd00c33e9d7c3,pair_dissolved_naturally,exact,exact,1.0,1.0
002bc73c2ac9f581489d5cff521fa4c4,8247c680e936355ab827b1f8fcda011b,pair_dissolved_naturally,exact,exact,1.0,1.0
004ef954e6bac6ca08b87d0d4018f9cb,a8065ec465a039dc842379a885830d19,pair_dissolved_naturally,exact,exact,1.0,1.0
0050e6e0ffd2bc05b38f50750cb7117f,c45498e8d50e00d0b70d6c40a8df3117,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.97,0.97
0050e6e0ffd2bc05b38f50750cb7117f,f367a999e6e26c4332d32778c27b7620,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.97,0.97
008aa24ee35b34c20c02d86f01df355a,05b8d9897639d5f99c3b26f53c89e2d8,pair_dissolved_by_refactoring,signature_changed,signature_changed,1.0,1.0
008fbd0e929c1e81d70bc82028e58531,53963e08a4bd10cf719fb86754ae8f84,method_b_deleted,signature_changed,deleted,0.76,
00ad506e9472d7553b6bf89055f06cf2,e5eeeeacfb07d7083a3e861c8cc83511,pair_dissolved_naturally,exact,exact,1.0,1.0
00d4cd2300f369fe7ffbc5f7680ad843,9c07bb6515cb65da2f24cb46ab3da497,pair_dissolved_naturally,exact,exact,1.0,1.0
00f11805abc9a2d732f8813275a083f5,716eb50ac3a9566646661ce8684224f9,pair_dissolved_naturally,exact,exact,1.0,1.0
01039ac8fa30d0004d5bb13caca49d9e,461c1e63ab2e1f13d981b3170ebfd370,pair_dissolved_naturally,unknown,unknown,,
01091df04546cd5f37eb38bf807a3c9b,45508d0f7050ddef16449c0c506ff43c,pair_dissolved_naturally,exact,exact,1.0,1.0
011d193a85f281ff7359c7ccf94d2837,85af853438911d270059728233707f4e,pair_dissolved_naturally,exact,exact,1.0,1.0
011d193a85f281ff7359c7ccf94d2837,f891842748286caaad29ab88c6369d5a,pair_dissolved_naturally,exact,exact,1.0,1.0
0143061b809e7ad3116fd8efae40795d,56ea27bf781447290ccb440e1853c491,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.92,0.91
0143061b809e7ad3116fd8efae40795d,6137371d13e43741d90ad5d3e107336b,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.92,0.92
0143061b809e7ad3116fd8efae40795d,6466578d8759d4e0b2d62e1e13b8e000,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.92,0.94
0143061b809e7ad3116fd8efae40795d,663447cc8318c70b1a4b94518d70aee1,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.92,0.9
016d3f4876448948b7fb355489bc8f60,154cedde29b038202c8c178e6c737de7,pair_dissolved_by_refactoring,renamed,exact,0.96,1.0
016d3f4876448948b7fb355489bc8f60,7c27617e706b5ae09b19be99cc0af1f2,pair_dissolved_by_refactoring,renamed,exact,0.96,1.0
018e7764f13d10a4ce28bf1b6abea34e,afba3bddc8df1aeb5f3bd295b10ac0e4,pair_dissolved_naturally,exact,exact,1.0,1.0
018e7764f13d10a4ce28bf1b6abea34e,b016c3d6f40e4c683b4140fb0b0d812f,pair_dissolved_naturally,exact,exact,1.0,1.0
01abca2589e8f388d71f29f3ef3c2a0b,484db4e9b48b3d382d434942faea7765,pair_dissolved_naturally,exact,unknown,1.0,
01abca2589e8f388d71f29f3ef3c2a0b,5573e85bd4230dd27f5c61acc28426ad,pair_dissolved_naturally,exact,unknown,1.0,
