change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,e700f988e06cbea54447e16114487eee,e700f988e06cbea54447e16114487eee,1.000
exact,1b85033ad9fe8ed125c29bc81bc1c6fd,1b85033ad9fe8ed125c29bc81bc1c6fd,1.000
exact,234c0fd3f5b3908bb41255965b4def03,234c0fd3f5b3908bb41255965b4def03,1.000
exact,cfdd381193b4e68d0155f63892b4fa7c,cfdd381193b4e68d0155f63892b4fa7c,1.000
exact,e99e107b743612f08945a6f3eb10477e,e99e107b743612f08945a6f3eb10477e,1.000
exact,2d424f34e71843f11df57746b5d9d39b,56114f7a0c8f408f518b3b8a92c52feb,1.000
exact,502f6c99ac004d139bf9145139203758,db7d938ff28e1168b1ff964038397367,1.000
exact,1e09230d5bdde58144232958532ed7f9,c04070b7b85e3a27f8964d11e5fea888,1.000
exact,72e6f66c1ab88c00bbf25aa84340b850,72e6f66c1ab88c00bbf25aa84340b850,1.000
exact,d1cc9e4ed5bd95f0a154e9c77e95213f,d1cc9e4ed5bd95f0a154e9c77e95213f,1.000
exact,dc3e2da33d9951732d2174511b654563,dc3e2da33d9951732d2174511b654563,1.000
exact,38780c151b0743c1ba05dcc4675c713b,60d97fa9fd0251bace89e65d849eaf9d,1.000
exact,b97702ffc7e4e79d53e697e57e8a272b,b97702ffc7e4e79d53e697e57e8a272b,1.000
exact,ca21f525cc951d4c8880948bfa020af6,ca21f525cc951d4c8880948bfa020af6,1.000
exact,58865b67175f1b2c13b622ef620290c3,58865b67175f1b2c13b622ef620290c3,1.000
exact,138a8a60e7883bca7d5936c90e3b7d2d,138a8a60e7883bca7d5936c90e3b7d2d,1.000
exact,ce42e468e277a698f5e1876128f9c272,ce42e468e277a698f5e1876128f9c272,1.000
exact,5f2c565fc773ca6fc64922301f29f2b9,5f2c565fc773ca6fc64922301f29f2b9,1.000
exact,01d2ff5e0de41f88c8867fbdfc607659,01d2ff5e0de41f88c8867fbdfc607659,1.000
exact,adccfba536d0696ec3054d33ea5fe96e,adccfba536d0696ec3054d33ea5fe96e,1.000
exact,b40e47fba921a330569ded5693931a7b,b40e47fba921a330569ded5693931a7b,1.000
exact,9d39d15b32d4109df907c054650fd1e1,9d39d15b32d4109df907c054650fd1e1,1.000
exact,5a65166edcf4be4bebc7337e539088af,5a65166edcf4be4bebc7337e539088af,1.000
exact,eed05e3a88b4b1c2cb3d5f9179ff7911,eed05e3a88b4b1c2cb3d5f9179ff7911,1.000
exact,dc1c743ed56c2fdf8106018aa5c58796,dc1c743ed56c2fdf8106018aa5c58796,1.000
exact,8e5ae0287170c9a8e67019f810721dc4,8e5ae0287170c9a8e67019f810721dc4,1.000
exact,6dc5f9cdccaf4e7d757ff93a1c848715,6dc5f9cdccaf4e7d757ff93a1c848715,1.000
exact,91b85e09e402fdf41b5f383b1348c329,91b85e09e402fdf41b5f383b1348c329,1.000
exact,6250409a2ebb69cb83c27503a46ec74d,6250409a2ebb69cb83c27503a46ec74d,1.000
exact,4aee2a3cdbd9acf4e00d7d00997ae0e3,4aee2a3cdbd9acf4e00d7d00997ae0e3,1.000
exact,d97bc52cd487f2dbc65475c5710e8de6,d97bc52cd487f2dbc65475c5710e8de6,1.000
exact,2d1a4c56f13dc897bfd395b41fd93957,2d1a4c56f13dc897bfd395b41fd93957,1.000
exact,4981a7f043bf0cb3d0e16e9e25d7ff61,4981a7f043bf0cb3d0e16e9e25d7ff61,1.000
exact,9398a6530c1cb1e08a2a5cb9ea32c564,9398a6530c1cb1e08a2a5cb9ea32c564,1.000
exact,f0039f946afc3dc24e8f2736b1fafd91,f0039f946afc3dc24e8f2736b1fafd91,1.000
exact,7e0297130a30db9d9f989940cd6d93b8,7e0297130a30db9d9f989940cd6d93b8,1.000
exact,cc94b1fb40ef798b2fc03fdf1da81285,cc94b1fb40ef798b2fc03fdf1da81285,1.000
exact,a215e8e4dabb7533b6b76635bcd095e1,a215e8e4dabb7533b6b76635bcd095e1,1.000
exact,66dd430099413927edd2da02175bba3b,66dd430099413927edd2da02175bba3b,1.000
exact,19b21af7e301fde01c1560631ee6d43c,19b21af7e301fde01c1560631ee6d43c,1.000
exact,eb46010daf6457ea0c7ce86e0bb6b0c9,eb46010daf6457ea0c7ce86e0bb6b0c9,1.000
exact,5ad825aadfb1a7e2da1ee44a27768933,5ad825aadfb1a7e2da1ee44a27768933,1.000
