method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
000c4667faab582ee940027638284711,d1b9b4d368f0ac1fc12a1168c6ba4a94,stable_unchanged,exact,exact,1.0,1.0
000e582fa67a6aead6e51143f7c817ae,c34d8ac0448a8f934e4bd1e73206059f,stable_unchanged,exact,exact,1.0,1.0
000e582fa67a6aead6e51143f7c817ae,c85e6008fec055d09bd84613820e9c81,stable_unchanged,exact,exact,1.0,1.0
000e582fa67a6aead6e51143f7c817ae,d137c5798e4a14e38d256a8ec56e0e55,stable_unchanged,exact,exact,1.0,1.0
000e582fa67a6aead6e51143f7c817ae,f9d7e6fa0c43fdfc282b033c4cb94114,stable_unchanged,exact,exact,1.0,1.0
001b82c2b1a71979e3576e74398a34f5,7acd5d462ce8a6dce8495e159e383935,stable_unchanged,exact,exact,1.0,1.0
0036d1bc6c879f086f1aa07bc80503b1,6ae106e0569f344a8839ab11c6a6111b,stable_unchanged,exact,exact,1.0,1.0
0036d1bc6c879f086f1aa07bc80503b1,9eaa473b25525c86c47453b920ed0ec1,stable_unchanged,exact,exact,1.0,1.0
0038317ba4c648a11c70b4047b400316,bbd66bea90ace52679c5f5f97c404487,stable_unchanged,exact,exact,1.0,1.0
004022c97b5af34b5e0bccccfbe89c50,121cc7bc6b922bd5f0655790f7b19cfa,stable_unchanged,exact,exact,1.0,1.0
004cba9f4ba2f3f0de79a81bdf124b21,65f5c56e45c149ba69d042fe19eb25ed,stable_unchanged,exact,exact,1.0,1.0
004cba9f4ba2f3f0de79a81bdf124b21,6778b23278c2e09a7e64ebb777896c06,stable_unchanged,exact,exact,1.0,1.0
004cba9f4ba2f3f0de79a81bdf124b21,7bb63a6b6f5bd3f0ecfeec165b7ae2bd,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,22e130b30d9d1a68af81bc65ffa99d23,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,ffe535651d2f213222ed3629cd8f5e47,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,01958fdd235faf831c69e8b6a791bb6b,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,26847fd43ad29c10f7f6eb09f7645ddc,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,3e09bd85b05dece38b0072b3f330b896,stable_unchanged,exact,exact,1.0,1.0
0065f2d8af18e228e4bbccc4d2deaebb,722dc1d7bc682e1815eb93a9e92df0f4,stable_unchanged,exact,exact,1.0,1.0
