method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
001351a73b4588c529f10f40286f9af3,048116c6a00931800548fab5034f088c,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,3041dc96a449741cbd5ae3de3f3d818a,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,4e08b5d05587f1420a3842edea625663,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,541b7e93eaa68d8993be38d1d9aa6047,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,57ffbb0ffa106d9d625ce24380cc6ce8,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,5d20daa53fe1f1773b62f782e72f39fb,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,5e64bc480ca4927adcefb8ea1feeff88,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,621723d94e6dd8c67721ce9bdac533b3,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,6b6696cc5963344f57a6f4b5025c193d,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,7f59b708be03bc11c3abe621a5fb3d30,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,8cf818320ca5ed77c135a2f1a50a66a7,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,98062190bc921063dc069278b6c6ec68,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,a44a2bc3ac19033aec942126cd6e946c,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,af4b5e354263b1fa8ce9ee78b78933bd,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,bbd9f38a8529b1400892ae64a60ccb53,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,bd9430e8a21d0868b94c3e3645ededc8,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,bf4e9fe513e6e8612215b9673cca5c2b,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,cfb1eccb6a0098d66806fb128fe799bf,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,d051badb3ec26d22931f36515ac34081,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,d57844cfca2141f691b6bd239ffdf5c8,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,da7e79277f1ed625300a3db6f5f8a1a4,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,e079a6ef12cd3063c4f72776682cc645,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,e7ff88c357c33e69d8773479aeb0cf0e,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,fb84e80c9418312f2f13b209bc655d52,both_added,added,added,,
001351a73b4588c529f10f40286f9af3,ffcedcb56d0c62d515cd0493970966c0,both_added,added,added,,
0014ebc70440716b6c48cc30891852b0,c47d9813cc8ac3777fa24694d9b954f2,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
003c2224147ff84df4c6fd09a341330e,1b2cea5ff770335e4ffb65aa9a0fe52b,method_b_added,signature_changed,added,1.0,
003c2224147ff84df4c6fd09a341330e,4abe9980a639f0d25e39ee46da8a2856,method_b_added,signature_changed,added,1.0,
003c2224147ff84df4c6fd09a341330e,86b5641f43e69dbf1c3a3ce26357ccf6,method_b_added,signature_changed,added,1.0,
003c2224147ff84df4c6fd09a341330e,cd23fd7ef27e4717c64fa2e21f555470,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
003c2224147ff84df4c6fd09a341330e,ef7f945668fbd31e6c4fcf01ddcab38c,method_b_added,signature_changed,added,1.0,
0084fa03e05ce7a9ac34e66d3018e5a3,41c4e09d53759d377052de39ea973a36,both_added,added,added,,
00b7d56bce710bb138d5a07dad19d8ef,dcf322c0e3ca5bdf15dc138082223db1,method_b_added,refactored,added,0.89,
00d5b9791dfe8039b47bcb15d60ad551,f1411ddc4e79d8ac20428f1fd06ee75e,both_added,added,added,,
0103785d050aedab08d3b76187c25980,08edde060fa77d08b68dc10ddcfd7c7e,pair_formed_by_refactoring,signature_changed,signature_changed,0.9,1.0
0103785d050aedab08d3b76187c25980,0e26e1ff4e7fb1cdfefd536063baa06b,pair_formed_by_refactoring,signature_changed,signature_changed,0.9,1.0
0103785d050aedab08d3b76187c25980,46e6806869f332e12a91b9787a2d15a3,pair_formed_by_refactoring,signature_changed,signature_changed,0.9,0.98
0103785d050aedab08d3b76187c25980,4966e376ffaca013f1b818407aa1d1c1,pair_formed_by_refactoring,signature_changed,signature_changed,0.9,0.9
0103785d050aedab08d3b76187c25980,8c624776ab0d89e0ba9149ea3646bf11,pair_formed_by_refactoring,signature_changed,signature_changed,0.9,1.0
0103785d050aedab08d3b76187c25980,95e77056a22e944f314ade351ac0b5c9,pair_formed_by_refactoring,signature_changed,signature_changed,0.9,1.0
