method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
000e582fa67a6aead6e51143f7c817ae,c34d8ac0448a8f934e4bd1e73206059f,pair_dissolved_naturally,exact,exact,1.0,1.0
000e582fa67a6aead6e51143f7c817ae,c85e6008fec055d09bd84613820e9c81,pair_dissolved_naturally,exact,exact,1.0,1.0
000e582fa67a6aead6e51143f7c817ae,d137c5798e4a14e38d256a8ec56e0e55,pair_dissolved_naturally,exact,exact,1.0,1.0
000e582fa67a6aead6e51143f7c817ae,f9d7e6fa0c43fdfc282b033c4cb94114,pair_dissolved_naturally,exact,exact,1.0,1.0
004ef954e6bac6ca08b87d0d4018f9cb,cf35f58c27ca01316d86b3e1da60aed7,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.96,0.98
00c256652eb27b17a408013af001e364,d1e262cad1fb47f4fa7ead7d760b163a,pair_dissolved_naturally,exact,exact,1.0,1.0
00c256652eb27b17a408013af001e364,fb96735bc730b6e12072e4d70ee5230c,pair_dissolved_naturally,exact,exact,1.0,1.0
01361e490d0ad59195fdec69f999d474,84361364d174b3e028351b404e2c0bbc,pair_dissolved_naturally,exact,exact,1.0,1.0
014b24dcf42a5af247e1458707af90af,9fbfc147865cb278b272750c5665d694,pair_dissolved_naturally,exact,exact,1.0,1.0
014b24dcf42a5af247e1458707af90af,ab0f2ba0426ae676c6036be60873d337,pair_dissolved_naturally,exact,exact,1.0,1.0
014ba640171a9a2d7edb5c95c7c9335c,a106ae0ea50707f2e6b4fec7056b5bb3,pair_dissolved_by_refactoring,exact,signature_changed,1.0,1.0
01963a116acd922f72362db01976ab54,6fae3f1d97963d6df6602d3aea9b71d4,pair_dissolved_naturally,exact,exact,1.0,1.0
01963a116acd922f72362db01976ab54,bbdeb91201c2e25a0657774a1c29bc1b,pair_dissolved_by_refactoring,exact,signature_changed,1.0,1.0
019e95ccbd7a4a0fadd1a363231575be,8ba6e044a6a98cfb7263faf7baa58200,pair_dissolved_by_refactoring,signature_changed,exact,0.99,1.0
01a49bc464ec4778c6572192c89241dd,e8ddc9b813ecf15aee9367ba262067bf,method_a_deleted,deleted,exact,,1.0
01a7957d8a78e5acdc6452178d6bf427,abec3ae54c96a7b38e1ef3a3bfa16f62,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.92,0.99
01bba91f0aa392150ddd33e2d11c2193,8d42cfb59dc39290d496465d581c862d,pair_dissolved_naturally,exact,exact,1.0,1.0
01ca6999be8cf60c6b8e3e86e3df42ee,740239cc996e89a6d61117b92a0925ce,pair_dissolved_naturally,exact,unknown,1.0,
01e02c955782abd303e2bc151ee6a53a,ddafe7ce7006523a588819ef434af442,pair_dissolved_naturally,exact,exact,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,7ff749372016e8e1d4f3a6121390e6a7,pair_dissolved_naturally,exact,exact,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,9296e971bb2013fd7b2de0a2748bdb7d,pair_dissolved_naturally,exact,exact,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,9bece3b327fb4edc88e489ef8f957a4b,pair_dissolved_naturally,exact,exact,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,d0c8590c61d7566bc3d593794d087f42,pair_dissolved_naturally,exact,exact,1.0,1.0
0207bbc1d21ba1f13dfba2ecc424ca5e,f7d267a7b924b951afd9eb7c22e11507,pair_dissolved_naturally,exact,exact,1.0,1.0
02252137c3cbf1d8d99990f30f19b1ab,8f18fd0a0ce392841983a787df9e533f,pair_dissolved_naturally,exact,exact,1.0,1.0
02252137c3cbf1d8d99990f30f19b1ab,a5d4ae70d4b9d438c7bc377915391fac,pair_dissolved_naturally,exact,exact,1.0,1.0
0280255fac509bce0f94eb43f22141a7,0d0952f2726c714e4e71057af878c4f5,pair_dissolved_naturally,exact,exact,1.0,1.0
0280255fac509bce0f94eb43f22141a7,10e9f7c7b79013b9f72e76ac684c4c64,pair_dissolved_naturally,exact,exact,1.0,1.0
02a40c281a10fc9721bd8fa2fb847d06,1dad3d1635d92106fdd2d37e16240610,method_b_deleted,exact,deleted,1.0,
0383bf85d8c8cc74d0e2c9d6beb97903,b441bd70a73d0246959febb3eff395d2,pair_dissolved_naturally,exact,exact,1.0,1.0
03c1f8d0a348716af3cba4a7f8a6233a,3d26f9c275b0cab7ad39df31abd2ad8a,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.96,0.98
03dd6baba4f5500df5804508c1f18f26,a27fcb62599ad740909203c31141af2e,pair_dissolved_naturally,exact,exact,1.0,1.0
03ef4645e083b70c8d74e8984831b664,8084df1215b1b2e0f60393f3ff20ebe7,pair_dissolved_by_refactoring,exact,signature_changed,1.0,0.99
040e29521b17b0a6c00fd6ca45634eb2,6d38755d7ba81cb9c6cc823d28ab7a1e,pair_dissolved_naturally,exact,exact,1.0,1.0
043222299e39d1a199c766cea636759b,55a366aaac0bbec1449f8b6fbe5254ba,pair_dissolved_naturally,exact,exact,1.0,1.0
0441d2fb2452f0b0141fb66a7fc087bf,5278da2301d9d222c7f3accaee21cb5d,pair_dissolved_naturally,exact,exact,1.0,1.0
044afcb14f3160e00bec5dcd2661f3e3,5478e6b349f8a6847f45fe1ebffe32d9,pair_dissolved_naturally,exact,exact,1.0,1.0
04cd8350b75c8e06bf2ffdf255080281,750639803a2757909678bd5ce1885181,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.98,0.92
04cd8350b75c8e06bf2ffdf255080281,a2168b3b1efd34f26b7537f97db84889,pair_dissolved_by_refactoring,signature_changed,exact,0.98,1.0
04d53cf9423a7a1c8cbeb1e999c41145,282998bf326bfcbebe518b112574e1ec,pair_dissolved_naturally,exact,exact,1.0,1.0
04fff162e2fd590e35e3d8f3a3192579,a67ed61cc26f8af7e781a0d60f7228e8,pair_dissolved_naturally,exact,exact,1.0,1.0
0538fc345867681ecfa740ecbad03eb9,4bbcd932233525b7dfd4cad0c3bef2a2,pair_dissolved_by_refactoring,exact,signature_changed,1.0,1.0
054cce0f7b3443445a0e6dbb989c9da2,68194ea54ac08f133958269028f3ce7b,pair_dissolved_naturally,exact,exact,1.0,1.0
054cce0f7b3443445a0e6dbb989c9da2,db24c690ba604e4c331feed5d92ca7fb,pair_dissolved_naturally,exact,exact,1.0,1.0
054cce0f7b3443445a0e6dbb989c9da2,fbcc8ae7afc58898ccd49a395a009a85,pair_dissolved_naturally,exact,exact,1.0,1.0
0576391de4189249fa3f3aa8183699fe,3f74e30061a85cb7c79742828f6f3979,pair_dissolved_naturally,exact,exact,1.0,1.0
0578c0cb52efaa55ddb6143984f85e7a,f3a0aac955a1822152d972ab4fbf0a3f,pair_dissolved_naturally,exact,exact,1.0,1.0
05821cec8c9240b862b79d63627bd70b,48bb17ece4ad379aa1ac454af5ec1ee7,pair_dissolved_naturally,exact,exact,1.0,1.0
05d00176766d302b5ee39ab0261876fd,8609b910b05be680fdec5e9ef542c9fa,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.95,0.95
