change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,234c0fd3f5b3908bb41255965b4def03,234c0fd3f5b3908bb41255965b4def03,1.000
exact,e700f988e06cbea54447e16114487eee,d7bb957960e6436dc75d6c65b092e60a,1.000
exact,cfdd381193b4e68d0155f63892b4fa7c,cfdd381193b4e68d0155f63892b4fa7c,1.000
exact,0e21cf64cfcb7147246a2341cf17254e,0e21cf64cfcb7147246a2341cf17254e,1.000
exact,db7d938ff28e1168b1ff964038397367,db7d938ff28e1168b1ff964038397367,1.000
exact,e99e107b743612f08945a6f3eb10477e,358bb4cc8de2353457990860c59c24b5,1.000
exact,4c8e90509ff5320336fde5c7ccf32da2,4c8e90509ff5320336fde5c7ccf32da2,1.000
exact,0fed5afa4d202fbd644d049d6175883f,0fed5afa4d202fbd644d049d6175883f,1.000
exact,7f822de0449bd3eff60cc80e7e8cba2d,7f822de0449bd3eff60cc80e7e8cba2d,1.000
exact,56114f7a0c8f408f518b3b8a92c52feb,56114f7a0c8f408f518b3b8a92c52feb,1.000
exact,c04070b7b85e3a27f8964d11e5fea888,94c5a5a908f097315765eb9f60eac29c,1.000
exact,72e6f66c1ab88c00bbf25aa84340b850,72e6f66c1ab88c00bbf25aa84340b850,1.000
exact,d1cc9e4ed5bd95f0a154e9c77e95213f,d1cc9e4ed5bd95f0a154e9c77e95213f,1.000
exact,006537f2ecd2bda068361f5079e248c8,006537f2ecd2bda068361f5079e248c8,1.000
exact,4091a70037aefabcf031c9d3f272857d,4091a70037aefabcf031c9d3f272857d,1.000
exact,e7a2210fa1bbfa8b82d68eddacc633f7,e7a2210fa1bbfa8b82d68eddacc633f7,1.000
exact,28be9bd35923dceae7cb7cdc76ca6cae,28be9bd35923dceae7cb7cdc76ca6cae,1.000
exact,ad39a7302278d17763b330dfdca06dcb,ad39a7302278d17763b330dfdca06dcb,1.000
exact,dc3e2da33d9951732d2174511b654563,dc3e2da33d9951732d2174511b654563,1.000
exact,60d97fa9fd0251bace89e65d849eaf9d,60d97fa9fd0251bace89e65d849eaf9d,1.000
exact,b97702ffc7e4e79d53e697e57e8a272b,da9c4cb6365121484c7e2168e70046db,1.000
exact,ca21f525cc951d4c8880948bfa020af6,ca21f525cc951d4c8880948bfa020af6,1.000
exact,b40e47fba921a330569ded5693931a7b,b40e47fba921a330569ded5693931a7b,1.000
exact,66dd430099413927edd2da02175bba3b,66dd430099413927edd2da02175bba3b,1.000
exact,19b21af7e301fde01c1560631ee6d43c,19b21af7e301fde01c1560631ee6d43c,1.000
exact,eb46010daf6457ea0c7ce86e0bb6b0c9,eb46010daf6457ea0c7ce86e0bb6b0c9,1.000
exact,9d39d15b32d4109df907c054650fd1e1,9d39d15b32d4109df907c054650fd1e1,1.000
exact,eed05e3a88b4b1c2cb3d5f9179ff7911,eed05e3a88b4b1c2cb3d5f9179ff7911,1.000
exact,4981a7f043bf0cb3d0e16e9e25d7ff61,4981a7f043bf0cb3d0e16e9e25d7ff61,1.000
exact,dc1c743ed56c2fdf8106018aa5c58796,dc1c743ed56c2fdf8106018aa5c58796,1.000
exact,9398a6530c1cb1e08a2a5cb9ea32c564,9398a6530c1cb1e08a2a5cb9ea32c564,1.000
exact,f0039f946afc3dc24e8f2736b1fafd91,f0039f946afc3dc24e8f2736b1fafd91,1.000
exact,7e0297130a30db9d9f989940cd6d93b8,7e0297130a30db9d9f989940cd6d93b8,1.000
exact,0cf1c52ca16648afdad5ee2ad86ef81f,051c5209788b826b04fc3da4a17d5c5d,1.000
exact,d6b1b70062d894265e275ef2ff869955,400371d8ffdb9a99fed91e1bafa04cb8,1.000
exact,aec8c4af832c5ce01b80b94e95bf67bf,5d6480123bb661b358e5a9f92fa8f9d9,1.000
exact,8e5ae0287170c9a8e67019f810721dc4,8e5ae0287170c9a8e67019f810721dc4,1.000
exact,6dc5f9cdccaf4e7d757ff93a1c848715,6dc5f9cdccaf4e7d757ff93a1c848715,1.000
exact,91b85e09e402fdf41b5f383b1348c329,91b85e09e402fdf41b5f383b1348c329,1.000
exact,6250409a2ebb69cb83c27503a46ec74d,6250409a2ebb69cb83c27503a46ec74d,1.000
exact,aacc57d4e2b4af2a95a6549354432421,56afb9be1168c62653d4c8fe9a73c669,1.000
exact,6dbc826b6707e53b0b501c0376e052fd,2060ec412a6524fa18d17937375cf762,1.000
exact,089eb7bff8c4c3994a36b937c63b09ef,680e536d21de30e9db82672ef96e9cf8,1.000
exact,9943f3665c60766f711d6f43135070d6,73954335fbc23dae08465600c9246413,1.000
exact,b3cd769ab41d73b881f827466a2c765d,b3cd769ab41d73b881f827466a2c765d,1.000
