method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
0005e74e3cea3c906faaa51756df5ccd,07a531f5dcf568871359792a9a7cd1b8,both_added,added,added,,
0005e74e3cea3c906faaa51756df5ccd,13af7e4bc7afaa251ab30cbcb8a10d12,method_a_added,added,exact,,1.0
0005e74e3cea3c906faaa51756df5ccd,1cfeda206b6e135b4d48c57bc92d343b,both_added,added,added,,
0005e74e3cea3c906faaa51756df5ccd,1fee47a23402548d0383cea42c7dccfb,both_added,added,added,,
0005e74e3cea3c906faaa51756df5ccd,350fa9ba1c331119ab6aeb2a4b953427,both_added,added,added,,
0005e74e3cea3c906faaa51756df5ccd,40f61b7daffc3407fe5eb26d897cc0b2,both_added,added,added,,
0005e74e3cea3c906faaa51756df5ccd,42bc270940480bda026406c4e32b6fc1,both_added,added,added,,
0005e74e3cea3c906faaa51756df5ccd,50f3aaeefd9d415a1ae819730e3e8653,both_added,added,added,,
0005e74e3cea3c906faaa51756df5ccd,7ea1441d161041f70716e27fd3fccb74,both_added,added,added,,
0005e74e3cea3c906faaa51756df5ccd,ab4f909b4bed3991dfbb6a78f67b33bf,both_added,added,added,,
0005e74e3cea3c906faaa51756df5ccd,ef7d9791d731721fc678eed00a03c8b4,both_added,added,added,,
000e582fa67a6aead6e51143f7c817ae,81401d531f918360e0de50b047ad9f8e,pair_formed_naturally,exact,exact,1.0,1.0
000e582fa67a6aead6e51143f7c817ae,c85e6008fec055d09bd84613820e9c81,pair_formed_naturally,exact,exact,1.0,1.0
000e582fa67a6aead6e51143f7c817ae,d137c5798e4a14e38d256a8ec56e0e55,pair_formed_naturally,exact,exact,1.0,1.0
000e582fa67a6aead6e51143f7c817ae,f9d7e6fa0c43fdfc282b033c4cb94114,pair_formed_naturally,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,665e994136738144ed0ff21acc69e955,pair_formed_naturally,exact,exact,1.0,1.0
0052d25f6a4e27317cb441e31b14b449,1d5f21c620a4283afde6577466a30b43,pair_formed_naturally,exact,unknown,1.0,
005b83a12cd07f15a91472231d41b30d,4b0d16683d2e5fc340174c7950642e74,both_added,added,added,,
005b83a12cd07f15a91472231d41b30d,56fdeba66d708320d3ffd54db7e08b26,method_a_added,added,unknown,,
005b83a12cd07f15a91472231d41b30d,e5527074841b1d498f14f948b3dffec7,both_added,added,added,,
005b83a12cd07f15a91472231d41b30d,ee151dac760875e8a820a90c69cedfae,both_added,added,added,,
005d23f586ab59caf73d4ab3291341d8,52e40dfd82df0e90f1366cd7fd8d6b78,pair_formed_naturally,exact,exact,1.0,1.0
0080ae8279baf7bf81bc880dc5b70eee,791cde27f2e3bc78b811fbdafe62755c,pair_formed_naturally,exact,exact,1.0,1.0
0080ae8279baf7bf81bc880dc5b70eee,bdaa310ae249ad80cff995cc537e1ea6,pair_formed_naturally,exact,exact,1.0,1.0
0080ae8279baf7bf81bc880dc5b70eee,d15c4b3db13090dd0d33678f0a394ccc,pair_formed_naturally,exact,exact,1.0,1.0
00881f7334088106acce7ec9719e6ff8,cc03cf41e5024b523ae6307d40b15b26,pair_formed_naturally,exact,exact,1.0,1.0
0099847a5382091d81eadef92364cff8,f02178d0569fd0709ac48045456eb435,pair_formed_naturally,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,11aa39c1890aab1617757828f761cf7a,method_b_added,exact,added,1.0,
0099f215ab75eb244df06317ba4ca785,3bd747c183366187f3c0849e7058e9ed,pair_formed_naturally,exact,exact,1.0,1.0
00ad506e9472d7553b6bf89055f06cf2,80df9c24bda642a43e2be121b1a7ce33,pair_formed_naturally,exact,exact,1.0,1.0
00adca856455b22eb3fae9a0b4b11047,a0ec0c7a5e607e923657504cfcac1f15,pair_formed_naturally,exact,exact,1.0,1.0
00b2b5c8e3332143c398b32697312ccc,458769b6f4afc834ab13ceb62c80b8da,method_a_added,added,refactored,,0.82
00c8266f26f8d18543b1f771a1150ebb,5a7b57b5469c5da321ace8a7621a673d,method_b_added,exact,added,1.0,
00c8266f26f8d18543b1f771a1150ebb,a233f96d49eea9a90bb67831ef826fef,pair_formed_naturally,exact,exact,1.0,1.0
00c8266f26f8d18543b1f771a1150ebb,c024943b5d158e87fca15bbd801df9f1,pair_formed_naturally,exact,exact,1.0,1.0
00db7aa02e31f1522888b36b8253ce57,8fc718381c1e1aeb178c22809dc32c91,pair_formed_naturally,exact,exact,1.0,1.0
00f85198a4334ea9425970400c6268ee,fc90a9af7d09e027fc1c9947f9d72bc3,pair_formed_naturally,exact,exact,1.0,1.0
00fbf7ff739dfb491896b3387468d02d,3d6c008ec5a489f17f9c2d2948886efd,method_b_added,exact,added,1.0,
01091df04546cd5f37eb38bf807a3c9b,c90485d9dadd55e901c97ad838db64c3,pair_formed_naturally,exact,exact,1.0,1.0
010aa5d5b13e13e4cbf1356cdcb49467,515180ead550683dda7c53863bf3f43c,pair_formed_naturally,exact,exact,1.0,1.0
010aa5d5b13e13e4cbf1356cdcb49467,5dd9d0f20fa053478d336fcee3ee973d,pair_formed_naturally,exact,exact,1.0,1.0
0110181e24a5faedc074b20b51523381,0b483043a9573d304a213e5ef32dbf39,both_added,added,added,,
0110181e24a5faedc074b20b51523381,1588d3e4854fc254ede7251c5df74f45,both_added,added,added,,
0110181e24a5faedc074b20b51523381,1742e6d56629f1703d9aecf214cc7ee4,method_a_added,added,exact,,1.0
0110181e24a5faedc074b20b51523381,6ce3500860006ed85b98840fa233fe9d,both_added,added,added,,
0110181e24a5faedc074b20b51523381,dd0108386e6e4ecbff8f9ecc467fd6e7,both_added,added,added,,
