method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
000412b906bfb1dafce47a025ed5fcbf,61e4703f1b20c06f5461d5f6cc1952ed,pair_dissolved_naturally,exact,exact,1.0,1.0
004022c97b5af34b5e0bccccfbe89c50,121cc7bc6b922bd5f0655790f7b19cfa,pair_dissolved_naturally,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,dda28d3e4f09e6ad5c7fbfb564baa315,pair_dissolved_naturally,exact,exact,1.0,1.0
004a5f89fdcb51666bf91cfabc2f5951,3f83c93f80b5ae3e57f504b7a7f8574b,pair_dissolved_naturally,exact,exact,1.0,1.0
004a5f89fdcb51666bf91cfabc2f5951,6ef8a2621650ea9e9fe272c4954c6575,pair_dissolved_naturally,exact,exact,1.0,1.0
004a5f89fdcb51666bf91cfabc2f5951,cced121d8de37d8bc5ef49bb99075454,pair_dissolved_naturally,exact,exact,1.0,1.0
005668b173be5c2e4db34fb37407ebbf,c1802ef4d9f58f1161d4521e6d3ca201,pair_dissolved_naturally,exact,exact,1.0,1.0
005668b173be5c2e4db34fb37407ebbf,fe7696b4ebab10eddcf81f4e52d86374,pair_dissolved_naturally,exact,exact,1.0,1.0
00574057e1da50b7c8c398f0045c626e,428a157e187c10086217f698d8f62c5d,pair_dissolved_naturally,exact,exact,1.0,1.0
00574057e1da50b7c8c398f0045c626e,bc6aefb7e3bc88635e4c123158c33a4f,pair_dissolved_naturally,exact,exact,1.0,1.0
00673fcc09645d6b1f52edaab448baf3,5e758d61d9c269536d214568d4e12aeb,pair_dissolved_naturally,exact,exact,1.0,1.0
0084fa03e05ce7a9ac34e66d3018e5a3,41c4e09d53759d377052de39ea973a36,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.98,0.98
008bd270bc239fed8b9bbdbba56462f8,eb33e0cba8a5fd24fa5990db6c386582,pair_dissolved_naturally,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,3f848d0c33352014b6614c09f16f36b9,pair_dissolved_naturally,exact,exact,1.0,1.0
00ad506e9472d7553b6bf89055f06cf2,b2723cc913599f77d4ac3ceb46276ef0,pair_dissolved_naturally,exact,exact,1.0,1.0
00adca856455b22eb3fae9a0b4b11047,61ae293aa8c1246ead0955cebdd979ca,pair_dissolved_naturally,exact,exact,1.0,1.0
00b7d56bce710bb138d5a07dad19d8ef,c7be5043192d21424c134a6cc1d312b6,pair_dissolved_naturally,exact,exact,1.0,1.0
00eea3235ea93e8a3cbdbb5e72d84c8b,1c420c1b4aa05fd98147701fced3e0d9,pair_dissolved_naturally,exact,exact,1.0,1.0
00eea3235ea93e8a3cbdbb5e72d84c8b,4203db822f24f9912d6cef19eab4967b,pair_dissolved_naturally,exact,exact,1.0,1.0
00eea3235ea93e8a3cbdbb5e72d84c8b,58ae79464bfdac7f92fd42d50928aab5,pair_dissolved_naturally,exact,exact,1.0,1.0
00eea3235ea93e8a3cbdbb5e72d84c8b,7b66166e27d2f03e270e64ff1625c009,pair_dissolved_naturally,exact,exact,1.0,1.0
00eea3235ea93e8a3cbdbb5e72d84c8b,c7cc9cf1369dd1ce63f57de7ddc7fbcc,pair_dissolved_naturally,exact,exact,1.0,1.0
