method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
000c4667faab582ee940027638284711,d1b9b4d368f0ac1fc12a1168c6ba4a94,stable_unchanged,exact,exact,1.0,1.0
001e41121491676a1e1ef073cb44c95b,8172882bebfbda5a2db447a6a522c748,stable_unchanged,exact,exact,1.0,1.0
001e41121491676a1e1ef073cb44c95b,efee7f2853ac5565d7c6e6b3ae399a89,stable_unchanged,exact,exact,1.0,1.0
0036d1bc6c879f086f1aa07bc80503b1,6ae106e0569f344a8839ab11c6a6111b,stable_unchanged,exact,exact,1.0,1.0
0036d1bc6c879f086f1aa07bc80503b1,9eaa473b25525c86c47453b920ed0ec1,stable_unchanged,exact,exact,1.0,1.0
0038317ba4c648a11c70b4047b400316,bbd66bea90ace52679c5f5f97c404487,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,0831d9f72a0980b681ef49cb86e983c3,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,6e89812240827f6c459883c6014805f8,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,73dc77fe998b45dd279a9600a53d79ca,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,9685b75cccefdf53bfda8b69da7b5558,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,f833b28ae5d3ed27dbd67f2be29233f0,stable_unchanged,exact,exact,1.0,1.0
0055ba669caba6b1615e10b3ab7b0a5a,95dbe51a9a174078d325c86318cd1e59,stable_unchanged,exact,exact,1.0,1.0
005778b2908db9a5aa1154f95a61a39f,f33fa024ef53bded17bed1f57d2d4f07,stable_unchanged,exact,exact,1.0,1.0
005778b2908db9a5aa1154f95a61a39f,f5f35b8424d2ac82fcd90da92e4d72fe,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,22e130b30d9d1a68af81bc65ffa99d23,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,4ee475ede42cee02c3c5075d2e6340ac,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,ffe535651d2f213222ed3629cd8f5e47,stable_unchanged,exact,exact,1.0,1.0
006b11c78a5a3e01c5325d3021445829,a5280038e9b25df78e156e8ec6137d37,stable_unchanged,exact,exact,1.0,1.0
007174f792a59501c2f5b4fefba01729,e25a7c31882d14190b33f208838c0efe,stable_unchanged,exact,exact,1.0,1.0
007f148de0239136fcd096642395b1d9,38d0f7a3d7c7c7ad35997a6b0f9dadf8,stable_unchanged,exact,exact,1.0,1.0
0086ceca8a67023f56b37017c8e6559f,a535582e369b35e2d35898b8e25415eb,stable_unchanged,exact,exact,1.0,1.0
009246da6b97470c959428ed382520a8,4111654ff2cc9fb09f1b246eeb2d34f2,stable_unchanged,exact,exact,1.0,1.0
009246da6b97470c959428ed382520a8,4a57f908a7304a17725c10bed38b56e7,stable_unchanged,exact,exact,1.0,1.0
009246da6b97470c959428ed382520a8,64be616c12163440b0b15836c7ef6f58,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,1c614e7ab1bf12468802d819e12fbad8,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,3614e25d098eb384525296bff6a62912,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,754155aa758a99e78a526d2ef860bc9a,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,87f2170faaae0a550680aef2604c8d5e,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,ba900506bb0b80cdd41a31088e439a29,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,018efa9071b234ce3fd220949d376304,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,03bdadfd64bad7fadb9e728824d03726,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,0b69d58c6f5b14cb374264ca5bf061c8,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,0d784eeae7bfd5e10b9e04e879658b53,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,0f76e1b93552a65c385550c8a0f7dc34,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,2c78681e56a6dbabd273c6922350711c,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,3ad30b03b3d23ac6b5f5d57906353375,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,3d45174a13d1be4bf23ca8d7ca10e8f3,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,5287e57b81b806fdd8290b0249dcbea1,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,5fbb3dde9fb1caa89a23771f5f9a9b1c,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,617a9cf79697c0a24bb2960fa00587b1,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,62e01423cfc59329b6acb874696c0590,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,63cf86aa8f00483221555d97e8c6ccbf,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,69e327a3702f703e15312f4c6c414010,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,6a7f5ff621d20a43a9d19340bef3db1a,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,6ac048a47fe6abf40205dd46d4bfad09,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,705e66b2a079e3feab6f7078379e6509,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,732086653f776c9992a99cb87038458d,stable_unchanged,exact,exact,1.0,1.0
