change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,d7bb957960e6436dc75d6c65b092e60a,d7bb957960e6436dc75d6c65b092e60a,1.000
exact,234c0fd3f5b3908bb41255965b4def03,234c0fd3f5b3908bb41255965b4def03,1.000
exact,358bb4cc8de2353457990860c59c24b5,358bb4cc8de2353457990860c59c24b5,1.000
exact,cfdd381193b4e68d0155f63892b4fa7c,cfdd381193b4e68d0155f63892b4fa7c,1.000
exact,28740f9fac60da3b845e8ace343e331c,28740f9fac60da3b845e8ace343e331c,1.000
exact,7c962f811cda502a68112fdcf7539ef1,367271528261e3fd2a31259b20782114,1.000
exact,db7d938ff28e1168b1ff964038397367,db7d938ff28e1168b1ff964038397367,1.000
exact,4c8e90509ff5320336fde5c7ccf32da2,4c8e90509ff5320336fde5c7ccf32da2,1.000
exact,0fed5afa4d202fbd644d049d6175883f,0fed5afa4d202fbd644d049d6175883f,1.000
exact,7f822de0449bd3eff60cc80e7e8cba2d,7f822de0449bd3eff60cc80e7e8cba2d,1.000
exact,006537f2ecd2bda068361f5079e248c8,006537f2ecd2bda068361f5079e248c8,1.000
exact,4091a70037aefabcf031c9d3f272857d,7fd769fd247fcbbadce897f10ae41d69,1.000
exact,e7a2210fa1bbfa8b82d68eddacc633f7,401db9494fd073f10e36d364ef5afea1,1.000
exact,28be9bd35923dceae7cb7cdc76ca6cae,28be9bd35923dceae7cb7cdc76ca6cae,1.000
exact,ad39a7302278d17763b330dfdca06dcb,ad39a7302278d17763b330dfdca06dcb,1.000
exact,75162d3ab033b7165761814677fa3dc2,b5f056d25a17087684c5e3bccf42e72e,1.000
exact,da9c4cb6365121484c7e2168e70046db,bce66f15df36ccf641689584eb5b8a90,1.000
exact,dc3e2da33d9951732d2174511b654563,dc3e2da33d9951732d2174511b654563,1.000
exact,94c5a5a908f097315765eb9f60eac29c,94c5a5a908f097315765eb9f60eac29c,1.000
exact,6153352698326961657fb6c71d69cb41,c052de46d733ebca4d74c16f35837018,1.000
exact,60d97fa9fd0251bace89e65d849eaf9d,60d97fa9fd0251bace89e65d849eaf9d,1.000
exact,72e6f66c1ab88c00bbf25aa84340b850,e2bf07e95b5b1dd443c5749fee7ba38a,1.000
exact,d1cc9e4ed5bd95f0a154e9c77e95213f,95eccc9bbef120e458a6c63ac7537e7b,1.000
exact,fe249c8858ccb6fdcdfbe0f4019510a7,ba4e736f6104335d629ce30598ea83c8,1.000
exact,66dd430099413927edd2da02175bba3b,66dd430099413927edd2da02175bba3b,1.000
exact,19b21af7e301fde01c1560631ee6d43c,041df774d36d76e4118e3a9b5235e8cd,1.000
exact,eb46010daf6457ea0c7ce86e0bb6b0c9,eb46010daf6457ea0c7ce86e0bb6b0c9,1.000
exact,b40e47fba921a330569ded5693931a7b,b40e47fba921a330569ded5693931a7b,1.000
exact,9d39d15b32d4109df907c054650fd1e1,9d39d15b32d4109df907c054650fd1e1,1.000
exact,eed05e3a88b4b1c2cb3d5f9179ff7911,eed05e3a88b4b1c2cb3d5f9179ff7911,1.000
exact,dc1c743ed56c2fdf8106018aa5c58796,92647a866cfdea281d7d437260f38cc2,1.000
exact,089ae1960b5cc24aa077759afc3d7a2d,34c71e5be310b2eac5e3ee2c3dc815f1,1.000
exact,4981a7f043bf0cb3d0e16e9e25d7ff61,4981a7f043bf0cb3d0e16e9e25d7ff61,1.000
exact,9398a6530c1cb1e08a2a5cb9ea32c564,9398a6530c1cb1e08a2a5cb9ea32c564,1.000
exact,6c81a2fd5514b70f709295c59f26942c,6c81a2fd5514b70f709295c59f26942c,1.000
exact,7e0297130a30db9d9f989940cd6d93b8,7e0297130a30db9d9f989940cd6d93b8,1.000
exact,c6ec55713504a1910ef250d29873329d,c6ec55713504a1910ef250d29873329d,1.000
exact,400371d8ffdb9a99fed91e1bafa04cb8,400371d8ffdb9a99fed91e1bafa04cb8,1.000
exact,6dc5f9cdccaf4e7d757ff93a1c848715,6dc5f9cdccaf4e7d757ff93a1c848715,1.000
exact,b3cd769ab41d73b881f827466a2c765d,90e21befbae3adc6aafbfb3812652c53,1.000
exact,880d9cf31494f01d837c72145e8be285,880d9cf31494f01d837c72145e8be285,1.000
exact,92ba0287106879e0995aa1a68fbc8735,92ba0287106879e0995aa1a68fbc8735,1.000
exact,e2cc17b4593d860bc862ffd1f9d664f2,e2cc17b4593d860bc862ffd1f9d664f2,1.000
exact,ea8dc7266bc4a17788e279dc2f26c4b6,ea8dc7266bc4a17788e279dc2f26c4b6,1.000
exact,91b85e09e402fdf41b5f383b1348c329,91b85e09e402fdf41b5f383b1348c329,1.000
exact,851b4223dfbde5418c9e9687374db064,338b4001c42109a770ea44353e1d716f,1.000
exact,ec3c4ec871a75cb3e0f7305bea5bbaf6,a3fbd57cd8e4ccb051dc6b7f8a2d81b7,1.000
exact,de514175e432f83305d8911542811b4d,513ab2c2655f885e97168065613b31a3,1.000
exact,af26c37d2cbac0d242ab74867eca3cf0,9cd99f34ecd06369560b12550a19ac49,1.000
exact,6250409a2ebb69cb83c27503a46ec74d,785428e3caeb74c97d35a20ebebc32f3,1.000
exact,205a294ecc9ae9e81e58339cddb54008,205a294ecc9ae9e81e58339cddb54008,1.000
exact,00cfefa887f25eebd27f61cf8b5eb9b2,92101c178154b634926ff06734f27054,1.000
exact,91040cea04b668f4614f61232b738d16,91040cea04b668f4614f61232b738d16,1.000
exact,5cb1f6da04925add4fb744669929599e,5cb1f6da04925add4fb744669929599e,1.000
exact,27237fc88dda32a276a7ca68ef21b8c2,27237fc88dda32a276a7ca68ef21b8c2,1.000
exact,4245f5354b653e32d85c1caaf250aa92,4245f5354b653e32d85c1caaf250aa92,1.000
exact,5d6480123bb661b358e5a9f92fa8f9d9,8ef55f0bce98ca1fc07a9566ca2fb6fd,1.000
exact,73954335fbc23dae08465600c9246413,73954335fbc23dae08465600c9246413,1.000
exact,3250fd90ed5e1548e7da7b504988f150,3250fd90ed5e1548e7da7b504988f150,1.000
exact,56afb9be1168c62653d4c8fe9a73c669,82ca0f9819480c2de5ad985f24db8b0e,1.000
exact,41f29299dbd838538fbb2c707e114e5a,1ed3148566495f484447c2056b98930f,1.000
exact,2060ec412a6524fa18d17937375cf762,ea2131ed89f52dd9883ed6c644dad115,1.000
exact,72277ae7707b8a39ac6dd68dede48f48,1b3c20404e86b46dfa649787ec028985,1.000
exact,680e536d21de30e9db82672ef96e9cf8,879b7ede959ba98ac88d0aae15ec1d45,1.000
exact,f2ca8e7810da621921020e00074ee5b7,ecec3ed3c19c3c21d6c9250c1a799df5,1.000
exact,e1af45a4d4525c0a7035bf40acb98ee6,e1af45a4d4525c0a7035bf40acb98ee6,1.000
exact,1189982e2caf8139679721e6c27b2c7b,519e7d8a19657243ac005f5f95ca10e0,1.000
exact,def202ac487b816dbb80c32b7f708f28,def202ac487b816dbb80c32b7f708f28,1.000
exact,63e9c862c8aea4be14db04ee5c471a24,63e9c862c8aea4be14db04ee5c471a24,1.000
exact,6bcbc49816e1f77ca2c78c55905ea4fd,6bcbc49816e1f77ca2c78c55905ea4fd,1.000
exact,f1c32869bddd8b645f170d8899bc4196,f1c32869bddd8b645f170d8899bc4196,1.000
exact,1d961d2cc26b29627229fb4cbeecfbbc,1d961d2cc26b29627229fb4cbeecfbbc,1.000
exact,bfd02b7ad03355958593cad44112b2e5,bfd02b7ad03355958593cad44112b2e5,1.000
exact,5942b0f66ca2da243ed496d70112b4a4,5942b0f66ca2da243ed496d70112b4a4,1.000
exact,0ad7912f7de28877cfba2e496713c5da,b54e61b9b723694a0d24d2b1618702b5,1.000
exact,7565ed0a3af9de013889637c62a3d88b,7565ed0a3af9de013889637c62a3d88b,1.000
exact,cc5e4c42d27a96a611682f0e98465338,cc5e4c42d27a96a611682f0e98465338,1.000
exact,cd746898fddc66dac8ab009d6f3b7971,cd746898fddc66dac8ab009d6f3b7971,1.000
exact,172c39f85bbad945d7eb70e82aa6331b,172c39f85bbad945d7eb70e82aa6331b,1.000
exact,a44759af84a7989dfbcf8ee756d3364a,a44759af84a7989dfbcf8ee756d3364a,1.000
exact,3223b11f28a152bc3eee486d96478e8d,3223b11f28a152bc3eee486d96478e8d,1.000
exact,0e15b3dc0564d31470ab5b61ba023d3a,0e15b3dc0564d31470ab5b61ba023d3a,1.000
exact,eba34966b5922e74f64a7c8139365c88,f6bcc7ba08fe6376c193fd77b7d1dfd5,1.000
exact,ce5efdb8cbc5bf620a98beb6ff3655d4,ce5efdb8cbc5bf620a98beb6ff3655d4,1.000
exact,8d69c6bcff923d82aa72ffb38a5a68ed,8d69c6bcff923d82aa72ffb38a5a68ed,1.000
exact,353984bd9092a2ac86fa9814ff189c57,353984bd9092a2ac86fa9814ff189c57,1.000
exact,7e9bad1f676f0a951d057f5aad3897e6,927117835069888d07fd7d4bbf3aade1,1.000
exact,ca2bb950e783b723c0104aa3287541fe,ca2bb950e783b723c0104aa3287541fe,1.000
