method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
0036d1bc6c879f086f1aa07bc80503b1,6ae106e0569f344a8839ab11c6a6111b,stable_unchanged,exact,exact,1.0,1.0
0036d1bc6c879f086f1aa07bc80503b1,9eaa473b25525c86c47453b920ed0ec1,stable_unchanged,exact,exact,1.0,1.0
0038317ba4c648a11c70b4047b400316,bbd66bea90ace52679c5f5f97c404487,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,0831d9f72a0980b681ef49cb86e983c3,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,665e994136738144ed0ff21acc69e955,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,6e89812240827f6c459883c6014805f8,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,73dc77fe998b45dd279a9600a53d79ca,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,9685b75cccefdf53bfda8b69da7b5558,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,f833b28ae5d3ed27dbd67f2be29233f0,stable_unchanged,exact,exact,1.0,1.0
0052d25f6a4e27317cb441e31b14b449,1d5f21c620a4283afde6577466a30b43,stable_with_minor_changes,exact,unknown,1.0,
0055ba669caba6b1615e10b3ab7b0a5a,95dbe51a9a174078d325c86318cd1e59,stable_unchanged,exact,exact,1.0,1.0
005b83a12cd07f15a91472231d41b30d,4b0d16683d2e5fc340174c7950642e74,stable_unchanged,exact,exact,1.0,1.0
005b83a12cd07f15a91472231d41b30d,56fdeba66d708320d3ffd54db7e08b26,stable_with_minor_changes,exact,unknown,1.0,
005b83a12cd07f15a91472231d41b30d,e5527074841b1d498f14f948b3dffec7,stable_unchanged,exact,exact,1.0,1.0
005b83a12cd07f15a91472231d41b30d,ee151dac760875e8a820a90c69cedfae,stable_unchanged,exact,exact,1.0,1.0
005d23f586ab59caf73d4ab3291341d8,52e40dfd82df0e90f1366cd7fd8d6b78,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,22e130b30d9d1a68af81bc65ffa99d23,stable_unchanged,exact,token_hash,1.0,1.0
00604167811f70d56128b28180335149,4ee475ede42cee02c3c5075d2e6340ac,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,ffe535651d2f213222ed3629cd8f5e47,stable_unchanged,exact,exact,1.0,1.0
007174f792a59501c2f5b4fefba01729,e25a7c31882d14190b33f208838c0efe,stable_unchanged,exact,exact,1.0,1.0
007f148de0239136fcd096642395b1d9,38d0f7a3d7c7c7ad35997a6b0f9dadf8,stable_unchanged,exact,exact,1.0,1.0
0080ae8279baf7bf81bc880dc5b70eee,791cde27f2e3bc78b811fbdafe62755c,stable_unchanged,exact,exact,1.0,1.0
0080ae8279baf7bf81bc880dc5b70eee,bdaa310ae249ad80cff995cc537e1ea6,stable_unchanged,exact,exact,1.0,1.0
009246da6b97470c959428ed382520a8,4111654ff2cc9fb09f1b246eeb2d34f2,stable_unchanged,exact,exact,1.0,1.0
009246da6b97470c959428ed382520a8,4a57f908a7304a17725c10bed38b56e7,stable_unchanged,exact,exact,1.0,1.0
009246da6b97470c959428ed382520a8,64be616c12163440b0b15836c7ef6f58,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,1c614e7ab1bf12468802d819e12fbad8,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,3614e25d098eb384525296bff6a62912,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,754155aa758a99e78a526d2ef860bc9a,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,87f2170faaae0a550680aef2604c8d5e,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,ba900506bb0b80cdd41a31088e439a29,stable_unchanged,exact,exact,1.0,1.0
0099847a5382091d81eadef92364cff8,f02178d0569fd0709ac48045456eb435,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,018efa9071b234ce3fd220949d376304,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,03bdadfd64bad7fadb9e728824d03726,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,0b69d58c6f5b14cb374264ca5bf061c8,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,0d784eeae7bfd5e10b9e04e879658b53,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,0f76e1b93552a65c385550c8a0f7dc34,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,11aa39c1890aab1617757828f761cf7a,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,2c78681e56a6dbabd273c6922350711c,stable_unchanged,exact,exact,1.0,1.0
0099f215ab75eb244df06317ba4ca785,3ad30b03b3d23ac6b5f5d57906353375,stable_unchanged,exact,exact,1.0,1.0
