method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
000cbb70fb571ecb6ce9526628429369,adddc12b2ed558089b538544b355738d,pair_formed_by_refactoring,signature_changed,exact,0.88,1.0
001e70fdf58a16619b75307eb104b5a6,07f990cc0db5dca57bdef6a3d10b6531,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00366a8261ed36dbdb901db72cdd5ab3,3668ea30213dff4548266f7d9624976a,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00366a8261ed36dbdb901db72cdd5ab3,46c4a0258ebc9ba39a948e04aaceed1d,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00366a8261ed36dbdb901db72cdd5ab3,4bc7fe230dae5c08cd699df526ee4d9f,pair_formed_by_refactoring,signature_changed,refactored,1.0,0.82
00366a8261ed36dbdb901db72cdd5ab3,71800f3c438adfb819b8d7755b389413,pair_formed_by_refactoring,signature_changed,refactored,1.0,0.79
00366a8261ed36dbdb901db72cdd5ab3,ba7bc6e4986ca28dad35c118fa602d4e,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00366a8261ed36dbdb901db72cdd5ab3,d7f95d5c565749d319f5b6a91a4fe9d9,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00366a8261ed36dbdb901db72cdd5ab3,dc4e04234a81652444e87f7f74e52f65,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00366a8261ed36dbdb901db72cdd5ab3,e51fa59bba0cccafc7b2dfcb8d3fa5d5,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00366a8261ed36dbdb901db72cdd5ab3,e68cb6dce48a3b1ca0f5f165697e810c,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00366a8261ed36dbdb901db72cdd5ab3,ea62a27f0b5a573cfe371768a910c9a0,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00366a8261ed36dbdb901db72cdd5ab3,f69335cf0c7743be83f004ff1d8a2ec1,pair_formed_by_refactoring,signature_changed,refactored,1.0,0.75
00486be0ddbcc2c09b45385dbeb66c52,39a1ceca400c161c9b4f1e2c73e44c3d,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00486be0ddbcc2c09b45385dbeb66c52,4be47b9165694fc9465f1d56410cfe03,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00486be0ddbcc2c09b45385dbeb66c52,501538b86512f2f220c1d8332f03c016,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00486be0ddbcc2c09b45385dbeb66c52,d19d1a4fcdeca0946ebcfaa8bd1127f4,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00525dc5ef4fd009e049c84edc21059d,5eb192d01d1e8c95a9ecade0a3d0991b,pair_formed_by_refactoring,renamed,renamed,1.0,0.9
00525dc5ef4fd009e049c84edc21059d,89543dce06d1516ce7dedf1caf927399,pair_formed_by_refactoring,renamed,renamed,1.0,1.0
00525dc5ef4fd009e049c84edc21059d,a25d2cd3011c56c218bd6ebbb67af0d8,pair_formed_by_refactoring,renamed,renamed,1.0,0.9
005b83a12cd07f15a91472231d41b30d,b2665b93c9bb110406964e9da9cbad94,pair_formed_naturally,exact,exact,1.0,1.0
00824030e3504935b92bc2a1d50a230c,4a8995528638c7835d3d5c9e8adbacd7,both_added,added,added,,
00824030e3504935b92bc2a1d50a230c,bc24735b9fec79be25a04f4fae99815b,both_added,added,added,,
00824030e3504935b92bc2a1d50a230c,e8f7ccc89b32b1316771766d87aa43fb,both_added,added,added,,
008f2f1ee4aaa4f0bac947cdecbba693,fe62fbf17a80926611f864b866a1c874,pair_formed_by_refactoring,signature_changed,signature_changed,0.9,0.96
009246da6b97470c959428ed382520a8,0261edb03d36acb59a3f80018d36d9fd,pair_formed_naturally,exact,exact,1.0,1.0
009246da6b97470c959428ed382520a8,d49b27db70b646e62125c0b697173275,pair_formed_naturally,exact,exact,1.0,1.0
00c13163428f2cab009b413d82b85739,931d1d9938fc269681bcd3bd986c3cf1,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00c13163428f2cab009b413d82b85739,fd76117e3408de4906042e53a0502d13,pair_formed_by_refactoring,signature_changed,signature_changed,1.0,1.0
00cdff041658958554b394e2181ab0b7,185861702428a0bb60f7dc39272cdd0a,pair_formed_by_refactoring,signature_changed,signature_changed,0.97,0.95
