change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,d7bb957960e6436dc75d6c65b092e60a,d7bb957960e6436dc75d6c65b092e60a,1.000
exact,4946a62493807dd2351859fa915f20c0,5a68c5055fc568196b52b69c0c291df4,1.000
exact,dc3e2da33d9951732d2174511b654563,dc3e2da33d9951732d2174511b654563,1.000
exact,4c8e90509ff5320336fde5c7ccf32da2,4c8e90509ff5320336fde5c7ccf32da2,1.000
exact,234c0fd3f5b3908bb41255965b4def03,234c0fd3f5b3908bb41255965b4def03,1.000
exact,27c0b25beb7055ee8e715d01dad3f848,27c0b25beb7055ee8e715d01dad3f848,1.000
exact,60d97fa9fd0251bace89e65d849eaf9d,60d97fa9fd0251bace89e65d849eaf9d,1.000
exact,0fed5afa4d202fbd644d049d6175883f,0fed5afa4d202fbd644d049d6175883f,1.000
exact,358bb4cc8de2353457990860c59c24b5,358bb4cc8de2353457990860c59c24b5,1.000
exact,7f822de0449bd3eff60cc80e7e8cba2d,7f822de0449bd3eff60cc80e7e8cba2d,1.000
exact,006537f2ecd2bda068361f5079e248c8,006537f2ecd2bda068361f5079e248c8,1.000
exact,7fd769fd247fcbbadce897f10ae41d69,7fd769fd247fcbbadce897f10ae41d69,1.000
exact,401db9494fd073f10e36d364ef5afea1,401db9494fd073f10e36d364ef5afea1,1.000
exact,28be9bd35923dceae7cb7cdc76ca6cae,28be9bd35923dceae7cb7cdc76ca6cae,1.000
exact,ad39a7302278d17763b330dfdca06dcb,ad39a7302278d17763b330dfdca06dcb,1.000
exact,bce66f15df36ccf641689584eb5b8a90,bce66f15df36ccf641689584eb5b8a90,1.000
exact,b5f056d25a17087684c5e3bccf42e72e,b5f056d25a17087684c5e3bccf42e72e,1.000
exact,94c5a5a908f097315765eb9f60eac29c,94c5a5a908f097315765eb9f60eac29c,1.000
exact,e2bf07e95b5b1dd443c5749fee7ba38a,e2bf07e95b5b1dd443c5749fee7ba38a,1.000
exact,95eccc9bbef120e458a6c63ac7537e7b,95eccc9bbef120e458a6c63ac7537e7b,1.000
exact,c052de46d733ebca4d74c16f35837018,d4921790b443d7cc0f48bfbaa6b94cda,1.000
exact,8ef55f0bce98ca1fc07a9566ca2fb6fd,8ef55f0bce98ca1fc07a9566ca2fb6fd,1.000
exact,82ca0f9819480c2de5ad985f24db8b0e,82ca0f9819480c2de5ad985f24db8b0e,1.000
exact,ea2131ed89f52dd9883ed6c644dad115,ea2131ed89f52dd9883ed6c644dad115,1.000
exact,879b7ede959ba98ac88d0aae15ec1d45,879b7ede959ba98ac88d0aae15ec1d45,1.000
exact,b40e47fba921a330569ded5693931a7b,b40e47fba921a330569ded5693931a7b,1.000
exact,9d39d15b32d4109df907c054650fd1e1,9d39d15b32d4109df907c054650fd1e1,1.000
exact,eed05e3a88b4b1c2cb3d5f9179ff7911,eed05e3a88b4b1c2cb3d5f9179ff7911,1.000
exact,92647a866cfdea281d7d437260f38cc2,92647a866cfdea281d7d437260f38cc2,1.000
exact,34c71e5be310b2eac5e3ee2c3dc815f1,34c71e5be310b2eac5e3ee2c3dc815f1,1.000
exact,4981a7f043bf0cb3d0e16e9e25d7ff61,4981a7f043bf0cb3d0e16e9e25d7ff61,1.000
exact,9398a6530c1cb1e08a2a5cb9ea32c564,9398a6530c1cb1e08a2a5cb9ea32c564,1.000
exact,6c81a2fd5514b70f709295c59f26942c,6c81a2fd5514b70f709295c59f26942c,1.000
exact,7e0297130a30db9d9f989940cd6d93b8,7e0297130a30db9d9f989940cd6d93b8,1.000
