method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
001a53ed1d58b9ecd53cb96ae7f416d0,8333535e2a5feb27435365a99db62c80,stable_unchanged,exact,exact,1.0,1.0
0038317ba4c648a11c70b4047b400316,bbd66bea90ace52679c5f5f97c404487,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,0831d9f72a0980b681ef49cb86e983c3,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,665e994136738144ed0ff21acc69e955,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,6e89812240827f6c459883c6014805f8,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,9685b75cccefdf53bfda8b69da7b5558,stable_unchanged,exact,exact,1.0,1.0
0044f157f9ed4f298a6e7d3652a351a9,f833b28ae5d3ed27dbd67f2be29233f0,stable_unchanged,exact,exact,1.0,1.0
0052d25f6a4e27317cb441e31b14b449,1d5f21c620a4283afde6577466a30b43,stable_with_minor_changes,exact,unknown,1.0,
0055ba669caba6b1615e10b3ab7b0a5a,95dbe51a9a174078d325c86318cd1e59,stable_unchanged,exact,exact,1.0,1.0
005b83a12cd07f15a91472231d41b30d,4b0d16683d2e5fc340174c7950642e74,stable_unchanged,exact,exact,1.0,1.0
005b83a12cd07f15a91472231d41b30d,56fdeba66d708320d3ffd54db7e08b26,stable_with_minor_changes,exact,unknown,1.0,
005b83a12cd07f15a91472231d41b30d,e5527074841b1d498f14f948b3dffec7,stable_unchanged,exact,exact,1.0,1.0
005bd0bb8f9cb1dd6e9462b1d0e081fe,05c6d48027f923869dfc81299225200d,stable_unchanged,exact,exact,1.0,1.0
005d23f586ab59caf73d4ab3291341d8,52e40dfd82df0e90f1366cd7fd8d6b78,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,22e130b30d9d1a68af81bc65ffa99d23,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,4ee475ede42cee02c3c5075d2e6340ac,stable_unchanged,exact,exact,1.0,1.0
00604167811f70d56128b28180335149,ffe535651d2f213222ed3629cd8f5e47,stable_unchanged,exact,exact,1.0,1.0
007174f792a59501c2f5b4fefba01729,e25a7c31882d14190b33f208838c0efe,stable_unchanged,exact,exact,1.0,1.0
007f148de0239136fcd096642395b1d9,38d0f7a3d7c7c7ad35997a6b0f9dadf8,stable_unchanged,exact,exact,1.0,1.0
0080ae8279baf7bf81bc880dc5b70eee,791cde27f2e3bc78b811fbdafe62755c,stable_unchanged,exact,exact,1.0,1.0
0080ae8279baf7bf81bc880dc5b70eee,8d095dcf4d8ac6d4efc52da86049902d,stable_unchanged,exact,exact,1.0,1.0
0080ae8279baf7bf81bc880dc5b70eee,bdaa310ae249ad80cff995cc537e1ea6,stable_unchanged,exact,exact,1.0,1.0
009246da6b97470c959428ed382520a8,4111654ff2cc9fb09f1b246eeb2d34f2,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,1c614e7ab1bf12468802d819e12fbad8,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,3614e25d098eb384525296bff6a62912,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,754155aa758a99e78a526d2ef860bc9a,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,87f2170faaae0a550680aef2604c8d5e,stable_unchanged,exact,exact,1.0,1.0
0092ab8ce28bdeaec822c0922ec9c7c5,ba900506bb0b80cdd41a31088e439a29,stable_unchanged,exact,exact,1.0,1.0
00ad506e9472d7553b6bf89055f06cf2,609d8dbc7a8d8ef7d2f1bf1950da4c15,stable_unchanged,exact,exact,1.0,1.0
00ad506e9472d7553b6bf89055f06cf2,80df9c24bda642a43e2be121b1a7ce33,stable_unchanged,exact,exact,1.0,1.0
00b2b5c8e3332143c398b32697312ccc,458769b6f4afc834ab13ceb62c80b8da,stable_unchanged,exact,exact,1.0,1.0
00b6bbaa3d61c48ca8115683ecd6782f,00b6bbaa3d61c48ca8115683ecd6782f,stable_unchanged,exact,exact,1.0,1.0
00b6bbaa3d61c48ca8115683ecd6782f,889e8b3e61a15c6aef64011f20df64d7,stable_unchanged,exact,exact,1.0,1.0
00b6bbaa3d61c48ca8115683ecd6782f,e83210742d03a55da9e823810ab1846c,stable_unchanged,exact,exact,1.0,1.0
00c8266f26f8d18543b1f771a1150ebb,5a7b57b5469c5da321ace8a7621a673d,stable_unchanged,exact,exact,1.0,1.0
