snapshot_t,snapshot_t1,exact_matches,token_hash_matches,renamed,moved,signature_changed,refactored,added_methods,deleted_methods,total_t,total_t1
20090801_000716_9d008057,20111010_015605_87a3370b,0,0,0,0,0,0,1370,0,0,1370
20111010_015605_87a3370b,20120209_113131_71b65ab6,980,99,8,40,26,8,792,209,1370,1953
20120209_113131_71b65ab6,20120529_212811_10e3edea,1619,11,4,22,64,21,704,212,1953,2445
20120529_212811_10e3edea,20121101_053615_026bc001,2291,2,6,3,39,3,491,101,2445,2835
20121101_053615_026bc001,20130212_043101_13c5d72a,2546,0,9,3,69,10,517,198,2835,3154
20130212_043101_13c5d72a,20130520_021854_68953ed9,2915,0,3,1,41,5,317,189,3154,3282
20130520_021854_68953ed9,20130906_121306_ebee2f8e,3099,11,11,25,48,21,1661,67,3282,4876
20130906_121306_ebee2f8e,20131225_104438_5e6e590e,4642,5,16,22,82,23,801,86,4876,5591
20131225_104438_5e6e590e,20140315_074455_7bb9174e,5345,61,5,22,63,13,346,82,5591,5855
20140315_074455_7bb9174e,20140708_042450_d6eace7b,5565,5,16,3,106,11,592,149,5855,6298
20140708_042450_d6eace7b,20141204_074003_4661525c,6069,6,12,9,91,17,711,94,6298,6915
20141204_074003_4661525c,20150625_024213_55d07c0c,6734,0,23,3,93,4,481,58,6915,7338
20150625_024213_55d07c0c,20151119_014958_d6ceebab,7056,15,19,24,138,15,752,71,7338,8019
20151119_014958_d6ceebab,20160729_092155_aa88215a,4851,1770,15,863,108,68,1542,344,8019,9217
20160729_092155_aa88215a,20170415_224643_61d84dbf,5552,2213,61,742,83,78,1209,488,9217,9938
20170415_224643_61d84dbf,20171124_011347_b45325e2,7007,1071,122,944,132,179,991,483,9938,10446
20171124_011347_b45325e2,20180415_085830_d5d5a718,8439,683,39,283,259,103,1280,640,10446,11086
20180415_085830_d5d5a718,20181029_085706_96d321c7,9109,355,62,417,541,142,1478,460,11086,12104
20181029_085706_96d321c7,20190309_065227_0d893d08,10388,96,32,265,328,160,1476,835,12104,12745
20190309_065227_0d893d08,20190822_202836_8f6118c6,11232,89,32,343,317,293,825,439,12745,13131
20190822_202836_8f6118c6,20191207_021832_857b3d66,11357,126,32,293,687,29,608,607,13131,13132
20191207_021832_857b3d66,20200215_185511_b41911e5,11236,725,30,186,473,53,758,429,13132,13461
20200215_185511_b41911e5,20200506_164945_18a7e973,11892,622,46,209,374,42,737,276,13461,13922
20200506_164945_18a7e973,20200912_100015_2067d7e3,12958,181,74,56,476,24,775,153,13922,14544
20200912_100015_2067d7e3,20201127_011850_43fa1600,12568,464,75,470,358,138,1102,471,14544,15175
20201127_011850_43fa1600,20210225_094059_b1363b4c,13027,570,43,524,661,86,971,264,15175,15882
20210225_094059_b1363b4c,20210608_215541_e4dedcaf,14194,36,35,51,1216,76,1044,274,15882,16652
20210608_215541_e4dedcaf,20211021_094940_ad0baebc,15664,46,27,28,644,31,718,212,16652,17158
20211021_094940_ad0baebc,20220216_053338_08104e8c,15568,167,116,48,819,85,1108,355,17158,17911
20220216_053338_08104e8c,20220824_021826_224458ee,16867,32,29,13,872,24,1035,74,17911,18872
20220824_021826_224458ee,20221228_040034_21d6fcbd,17055,1,41,3,1033,58,597,681,18872,18788
20221228_040034_21d6fcbd,20230402_231338_ac79adcf,17689,25,38,26,772,35,834,203,18788,19419
20230402_231338_ac79adcf,20230805_020630_0eeb8cbe,18245,63,56,33,674,61,1022,287,19419,20154
20230805_020630_0eeb8cbe,20231220_064950_ae860227,18137,399,69,162,1038,77,923,272,20154,20805
20231220_064950_ae860227,20240517_010707_737c69cf,18564,5,39,17,1451,70,428,659,20805,20574
20240517_010707_737c69cf,20250301_032259_928fb7eb,20028,10,21,11,373,26,413,105,20574,20882
