snapshot_t,snapshot_t1,added_count,deleted_count,persisted_count,total,added_rate,deleted_rate,persisted_rate
20090801_000716_9d008057,20111010_015605_87a3370b,358,0,0,358,1.0,0.0,0.0
20111010_015605_87a3370b,20120209_113131_71b65ab6,402,150,208,760,0.5289,0.1974,0.2737
20120209_113131_71b65ab6,20120529_212811_10e3edea,597,268,342,1207,0.4946,0.222,0.2833
20120529_212811_10e3edea,20121101_053615_026bc001,352,288,651,1291,0.2727,0.2231,0.5043
20121101_053615_026bc001,20130212_043101_13c5d72a,527,314,689,1530,0.3444,0.2052,0.4503
20130212_043101_13c5d72a,20130520_021854_68953ed9,382,311,905,1598,0.239,0.1946,0.5663
20130520_021854_68953ed9,20130906_121306_ebee2f8e,1360,527,760,2647,0.5138,0.1991,0.2871
20130906_121306_ebee2f8e,20131225_104438_5e6e590e,989,708,1412,3109,0.3181,0.2277,0.4542
20131225_104438_5e6e590e,20140315_074455_7bb9174e,651,589,1812,3052,0.2133,0.193,0.5937
20140315_074455_7bb9174e,20140708_042450_d6eace7b,1206,876,1587,3669,0.3287,0.2388,0.4325
20140708_042450_d6eace7b,20141204_074003_4661525c,917,573,2220,3710,0.2472,0.1544,0.5984
20141204_074003_4661525c,20150625_024213_55d07c0c,730,570,2567,3867,0.1888,0.1474,0.6638
20150625_024213_55d07c0c,20151119_014958_d6ceebab,4502,944,2353,7799,0.5773,0.121,0.3017
20151119_014958_d6ceebab,20160729_092155_aa88215a,2754,1835,5020,9609,0.2866,0.191,0.5224
20160729_092155_aa88215a,20170415_224643_61d84dbf,2084,4689,3085,9858,0.2114,0.4757,0.3129
20170415_224643_61d84dbf,20171124_011347_b45325e2,3307,3365,1804,8476,0.3902,0.397,0.2128
20171124_011347_b45325e2,20180415_085830_d5d5a718,1797,1703,3408,6908,0.2601,0.2465,0.4933
20180415_085830_d5d5a718,20181029_085706_96d321c7,2224,1853,3352,7429,0.2994,0.2494,0.4512
20181029_085706_96d321c7,20190309_065227_0d893d08,2673,2228,3348,8249,0.324,0.2701,0.4059
20190309_065227_0d893d08,20190822_202836_8f6118c6,5265,5178,843,11286,0.4665,0.4588,0.0747
20190822_202836_8f6118c6,20191207_021832_857b3d66,2510,2495,3613,8618,0.2913,0.2895,0.4192
20191207_021832_857b3d66,20200215_185511_b41911e5,1650,1530,4593,7773,0.2123,0.1968,0.5909
20200215_185511_b41911e5,20200506_164945_18a7e973,1809,1555,4688,8052,0.2247,0.1931,0.5822
20200506_164945_18a7e973,20200912_100015_2067d7e3,1535,1109,5388,8032,0.1911,0.1381,0.6708
20200912_100015_2067d7e3,20201127_011850_43fa1600,3024,2495,4428,9947,0.304,0.2508,0.4452
20201127_011850_43fa1600,20210225_094059_b1363b4c,2424,2005,5447,9876,0.2454,0.203,0.5515
20210225_094059_b1363b4c,20210608_215541_e4dedcaf,2721,2106,5765,10592,0.2569,0.1988,0.5443
20210608_215541_e4dedcaf,20211021_094940_ad0baebc,1726,1537,6949,10212,0.169,0.1505,0.6805
20211021_094940_ad0baebc,20220216_053338_08104e8c,2740,2416,6259,11415,0.24,0.2117,0.5483
20220216_053338_08104e8c,20220824_021826_224458ee,3936,1731,7268,12935,0.3043,0.1338,0.5619
20220824_021826_224458ee,20221228_040034_21d6fcbd,3359,4399,6805,14563,0.2307,0.3021,0.4673
20221228_040034_21d6fcbd,20230402_231338_ac79adcf,3827,2357,7807,13991,0.2735,0.1685,0.558
20230402_231338_ac79adcf,20230805_020630_0eeb8cbe,5293,3987,7647,16927,0.3127,0.2355,0.4518
20230805_020630_0eeb8cbe,20231220_064950_ae860227,6238,4271,8669,19178,0.3253,0.2227,0.452
20231220_064950_ae860227,20240517_010707_737c69cf,4128,4625,10282,19035,0.2169,0.243,0.5402
20240517_010707_737c69cf,20250301_032259_928fb7eb,3522,3260,11150,17932,0.1964,0.1818,0.6218
