A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/bench/test.py,group_agg,[values:Any;bounds:Any;f:Any],None,/app/Repos/pandas/pandas/core/frame.py,group_agg,[values:Any;bounds:Any;f:Any],None
/app/Repos/pandas/doc/sphinxext/autosummary.py,append_row,[*column_texts:Any],None,/app/Repos/pandas/doc/sphinxext/autosummary.py,get_autosummary,[names:Any;state:Any;no_signatures:Any],None
/app/Repos/pandas/doc/sphinxext/autosummary.py,crawl_toc,[node:Any;depth:Any],None,/app/Repos/pandas/doc/sphinxext/autosummary.py,process_autosummary_toc,[app:Any;doctree:Any],None
/app/Repos/pandas/pandas/core/common.py,_format,[s:Any;nanRep:Any;float_format:Any],None,/app/Repos/pandas/pandas/core/common.py,_pfixed,[s:Any;space:Any;nanRep:Any;float_format:Any],None
/app/Repos/pandas/pandas/core/frame.py,__init__,[self:Any;data:Any;index:Any;columns:Any;dtype:Any;copy:Any],None,/app/Repos/pandas/pandas/core/panel.py,__init__,[self:Any;data:Any;items:Any;major_axis:Any;minor_axis:Any;copy:Any;dtype:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[func:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,_combine_const,[self:Any;other:Any;func:Any],None,/app/Repos/pandas/pandas/core/frame.py,apply,[self:Any;func:Any;axis:Any;broadcast:Any],None
/app/Repos/pandas/pandas/core/frame.py,_compare_frame,[self:Any;other:Any;func:Any],None,/app/Repos/pandas/pandas/core/sparse.py,_combine_const,[self:Any;other:Any;func:Any],None
/app/Repos/pandas/pandas/core/frame.py,_count_level,[self:Any;level:Any;axis:Any;numeric_only:Any],None,/app/Repos/pandas/pandas/core/panel.py,_wrap_result,[self:Any;result:Any;axis:Any],None
/app/Repos/pandas/pandas/core/frame.py,_init_dict,[self:Any;data:Any;index:Any;columns:Any;dtype:Any],None,/app/Repos/pandas/pandas/core/sparse.py,_init_dict,[self:Any;data:Any;index:Any;columns:Any;dtype:Any],None
/app/Repos/pandas/pandas/core/frame.py,_prep_ndarray,[values:Any;copy:Any],None,/app/Repos/pandas/pandas/core/panel.py,_prep_ndarray,[values:Any;copy:Any],None
/app/Repos/pandas/pandas/core/frame.py,_reindex_columns,[self:Any;new_columns:Any;copy:Any],None,/app/Repos/pandas/pandas/core/frame.py,_reindex_index,[self:Any;new_index:Any;method:Any;copy:Any],None
/app/Repos/pandas/pandas/core/frame.py,apply,[self:Any;func:Any;axis:Any;broadcast:Any],None,/app/Repos/pandas/pandas/core/sparse.py,apply,[self:Any;func:Any;axis:Any;broadcast:Any],None
/app/Repos/pandas/pandas/core/frame.py,comp_method,[func:Any;name:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,f,[arr:Any],None,/app/Repos/pandas/pandas/core/frame.py,quantile,[self:Any;q:Any;axis:Any],None
/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/panel.py,_combine,[self:Any;other:Any;func:Any;axis:Any],None
/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/panel.py,_combine,[self:Any;other:Any;func:Any;axis:Any],None
/app/Repos/pandas/pandas/core/frame.py,max,[self:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/frame.py,min,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/frame.py,skew,[self:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/frame.py,var,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/frame.py,var,[self:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/panel.py,var,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/frame.py,xs,[self:Any;key:Any;axis:Any;copy:Any],None,/app/Repos/pandas/pandas/core/panel.py,xs,[self:Any;key:Any;axis:Any;copy:Any],None
/app/Repos/pandas/pandas/core/generic.py,_values_aggregate,[self:Any;func:Any;axis:Any;fill_value:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/panel.py,count,[self:Any;axis:Any],None
/app/Repos/pandas/pandas/core/groupby.py,_doit,[reschunk:Any;ctchunk:Any;gen:Any;shape_axis:Any],None,/app/Repos/pandas/pandas/core/groupby.py,_python_agg_general,[self:Any;func:Any;*args:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/groupby.py,_multi_iter,[self:Any],None,/app/Repos/pandas/pandas/core/groupby.py,flatten,[gen:Any;level:Any;shape_axis:Any],None
/app/Repos/pandas/pandas/core/index.py,__getitem__,[self:Any;key:Any],None,/app/Repos/pandas/pandas/core/index.py,__getitem__,[self:Any;key:Any],None
/app/Repos/pandas/pandas/core/index.py,__reduce__,[self:Any],None,/app/Repos/pandas/pandas/core/sparse.py,__reduce__,[self:Any],None
/app/Repos/pandas/pandas/core/index.py,append,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/index.py,append,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/index.py,drop,[self:Any;labels:Any],None,/app/Repos/pandas/pandas/core/index.py,drop,[self:Any;labels:Any],None
/app/Repos/pandas/pandas/core/index.py,equal_levels,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/index.py,equals,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/index.py,equals,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/index.py,equals,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/index.py,get_indexer,[self:Any;target:Any;method:Any],None,/app/Repos/pandas/pandas/core/index.py,get_indexer,[self:Any;target:Any;method:Any],None
/app/Repos/pandas/pandas/core/index.py,intersection,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/index.py,intersection,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/indexing.py,_fancy_index,[self:Any;key:Any;value:Any;operation:Any],None,/app/Repos/pandas/pandas/core/indexing.py,do_list_like,[],None
/app/Repos/pandas/pandas/core/internals.py,_maybe_rename_join,[self:Any;other:Any;lsuffix:Any;rsuffix:Any;copydata:Any],None,/app/Repos/pandas/pandas/core/sparse.py,_maybe_rename_join,[self:Any;other:Any;lsuffix:Any;rsuffix:Any],None
/app/Repos/pandas/pandas/core/internals.py,join_on,[self:Any;other:Any;on:Any;axis:Any;lsuffix:Any;rsuffix:Any],None,/app/Repos/pandas/pandas/core/internals.py,merge,[self:Any;other:Any;lsuffix:Any;rsuffix:Any],None
/app/Repos/pandas/pandas/core/panel.py,_combine,[self:Any;other:Any;func:Any;axis:Any],None,/app/Repos/pandas/pandas/core/panel.py,_combine,[self:Any;other:Any;func:Any;axis:Any],None
/app/Repos/pandas/pandas/core/panel.py,_combine_frame,[self:Any;other:Any;func:Any;axis:Any],None,/app/Repos/pandas/pandas/core/sparse.py,_combineFrame,[self:Any;other:Any;func:Any;axis:Any],None
/app/Repos/pandas/pandas/core/panel.py,_combine_panel,[self:Any;other:Any;func:Any],None,/app/Repos/pandas/pandas/core/sparse.py,_combinePanel,[self:Any;other:Any;func:Any],None
/app/Repos/pandas/pandas/core/panel.py,f,[arr:Any],None,/app/Repos/pandas/pandas/core/panel.py,median,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/panel.py,max,[self:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/panel.py,min,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/series.py,__setstate__,[self:Any;state:Any],None,/app/Repos/pandas/pandas/core/sparse.py,__setstate__,[self:Any;state:Any],None
/app/Repos/pandas/pandas/core/sparse.py,_combine_frame,[self:Any;other:Any;func:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/sparse.py,_combine_match_index,[self:Any;other:Any;func:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/sparse.py,_sparse_op_wrap,[op:Any;name:Any],None,/app/Repos/pandas/pandas/core/sparse.py,wrapper,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/sparse.py,_stack_sparse_info,[frame:Any],None,/app/Repos/pandas/pandas/core/sparse.py,stack_sparse_frame,[frame:Any],None
/app/Repos/pandas/pandas/core/sparse.py,major_xs,[self:Any;key:Any],None,/app/Repos/pandas/pandas/core/sparse.py,minor_xs,[self:Any;key:Any],None
/app/Repos/pandas/pandas/core/sparse.py,mean,[self:Any;axis:Any;dtype:Any;out:Any],None,/app/Repos/pandas/pandas/core/sparse.py,sum,[self:Any;axis:Any;dtype:Any;out:Any],None
/app/Repos/pandas/pandas/io/data.py,get_data_fred,[self:Any;name:Any;start:Any;end:Any],None,/app/Repos/pandas/pandas/io/data.py,get_data_yahoo,[self:Any;name:Any;start:Any;end:Any],None
