A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/bench/bench_tseries.py,_test,[],None,/app/Repos/pandas/bench/bench_tseries.py,bench_groupby,[],None
/app/Repos/pandas/bench/bench_tseries.py,compare_with_null,[d1:Any;d2:Any],None,/app/Repos/pandas/bench/bench_tseries.py,test_groupby,[],None
/app/Repos/pandas/bench/io_roundtrip.py,pandas_roundtrip,[filename:Any;dma1:Any;dma2:Any],None,/app/Repos/pandas/bench/serialize.py,pandas_roundtrip,[filename:Any;dma1:Any;dma2:Any],None
/app/Repos/pandas/bench/test.py,group_mean,[lat:Any;lon:Any;data:Any],None,/app/Repos/pandas/bench/test.py,groupby1,[lat:Any;lon:Any;data:Any],None
/app/Repos/pandas/doc/sphinxext/comment_eater.py,add,[self:Any;string:Any;start:Any;end:Any;line:Any],None,/app/Repos/pandas/doc/sphinxext/comment_eater.py,add,[self:Any;string:Any;start:Any;end:Any;line:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitand,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitor,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_List,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_AssTuple,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Tuple,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitand,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitor,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitand,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_List,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitand,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitor,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_List,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitor,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_From,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Import,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_If,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_IfExp,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_List,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,__init__,[self:Any;docstring:Any;config:Any],None,/app/Repos/pandas/doc/sphinxext/traitsdoc.py,__init__,[self:Any;cls:Any;modulename:Any;func_doc:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,__str__,[self:Any;func_role:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,__str__,[self:Any;indent:Any;func_role:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,_parse_see_also,[self:Any;content:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape.py,parse_item_name,[text:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,_str_index,[self:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,_str_index,[self:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,_str_param_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,_str_member_list,[self:Any;name:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,_str_param_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,_str_param_list,[self:Any;name:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,__str__,[self:Any;indent:Any;func_role:Any],None,/app/Repos/pandas/doc/sphinxext/traitsdoc.py,__str__,[self:Any;indent:Any;func_role:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,_str_member_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,_str_param_list,[self:Any;name:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,get_doc_object,[obj:Any;what:Any;doc:Any;config:Any],None,/app/Repos/pandas/doc/sphinxext/traitsdoc.py,get_doc_object,[obj:Any;what:Any;config:Any],None
/app/Repos/pandas/doc/sphinxext/phantom_import.py,_get_bases,[node:Any;recurse:Any],None,/app/Repos/pandas/doc/sphinxext/phantom_import.py,import_phantom_module,[xml_file:Any],None
/app/Repos/pandas/doc/sphinxext/phantom_import.py,base_cmp,[a:Any;b:Any],None,/app/Repos/pandas/doc/sphinxext/phantom_import.py,import_phantom_module,[xml_file:Any],None
/app/Repos/pandas/pandas/core/common.py,intersection,[*seqs:Any],None,/app/Repos/pandas/pandas/core/common.py,union,[*seqs:Any],None
/app/Repos/pandas/pandas/core/common.py,take_2d,[arr:Any;indexer:Any;out:Any;mask:Any;needs_masking:Any;axis:Any],None,/app/Repos/pandas/pandas/core/common.py,take_fast,[arr:Any;indexer:Any;mask:Any;needs_masking:Any;axis:Any;out:Any],None
/app/Repos/pandas/pandas/core/daterange.py,intersection,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/daterange.py,union,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/daterange.py,tz_localize,[self:Any;tz:Any],None,/app/Repos/pandas/pandas/core/daterange.py,tz_normalize,[self:Any;tz:Any],None
/app/Repos/pandas/pandas/core/datetools.py,__init__,[self:Any;n:Any;**kwds:Any],None,/app/Repos/pandas/pandas/core/datetools.py,__init__,[self:Any;n:Any;**kwds:Any],None
/app/Repos/pandas/pandas/core/datetools.py,__repr__,[self:Any],None,/app/Repos/pandas/pandas/core/datetools.py,__repr__,[self:Any],None
/app/Repos/pandas/pandas/core/datetools.py,apply,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/datetools.py,apply,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/datetools.py,rollback,[self:Any;someDate:Any],None,/app/Repos/pandas/pandas/core/datetools.py,rollforward,[self:Any;someDate:Any],None
/app/Repos/pandas/pandas/core/frame.py,__setstate__,[self:Any;state:Any],None,/app/Repos/pandas/pandas/core/panel.py,__setstate__,[self:Any;state:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[func:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,comp_method,[func:Any;name:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[func:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/frame.py,_combine_const,[self:Any;other:Any;func:Any],None,/app/Repos/pandas/pandas/core/frame.py,_compare_frame,[self:Any;other:Any;func:Any],None
/app/Repos/pandas/pandas/core/frame.py,_combine_match_columns,[self:Any;other:Any;func:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/frame.py,_combine_match_index,[self:Any;other:Any;func:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,_shift_block,[blk:Any;indexer:Any],None,/app/Repos/pandas/pandas/core/frame.py,shift,[self:Any;periods:Any;offset:Any;**kwds:Any],None
/app/Repos/pandas/pandas/core/frame.py,comp_method,[func:Any;name:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/frame.py,fillna,[self:Any;value:Any;method:Any],None,/app/Repos/pandas/pandas/core/panel.py,fillna,[self:Any;value:Any;method:Any],None
/app/Repos/pandas/pandas/core/generic.py,_get_axis_name,[cls:Any;axis:Any],None,/app/Repos/pandas/pandas/core/generic.py,_get_axis_number,[cls:Any;axis:Any],None
/app/Repos/pandas/pandas/core/generic.py,cumprod,[self:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/generic.py,cumsum,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/generic.py,drop,[self:Any;labels:Any;axis:Any],None,/app/Repos/pandas/pandas/core/generic.py,select,[self:Any;crit:Any;axis:Any],None
/app/Repos/pandas/pandas/core/index.py,intersection,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/index.py,union,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/internals.py,_slice_blocks,[self:Any;slobj:Any;axis:Any],None,/app/Repos/pandas/pandas/core/internals.py,xs,[self:Any;key:Any;axis:Any;copy:Any],None
/app/Repos/pandas/pandas/core/series.py,_arith_method,[op:Any;name:Any],None,/app/Repos/pandas/pandas/core/series.py,wrapper,[self:Any;other:Any],None
/app/Repos/pandas/pandas/io/tests/test_parsers.py,test_read_csv_dataframe,[self:Any],None,/app/Repos/pandas/pandas/io/tests/test_parsers.py,test_read_csv_no_index_name,[self:Any],None
/app/Repos/pandas/pandas/io/tests/test_pytables.py,_check_roundtrip,[self:Any;obj:Any;comparator:Any;compression:Any],None,/app/Repos/pandas/pandas/io/tests/test_pytables.py,_check_roundtrip_table,[self:Any;obj:Any;comparator:Any;compression:Any],None
/app/Repos/pandas/pandas/io/tests/test_pytables.py,_make_one,[],None,/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_store_mixed,[self:Any],None
/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_append,[self:Any],None,/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_frame_select,[self:Any],None
/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_append,[self:Any],None,/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_put,[self:Any],None
/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_append,[self:Any],None,/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_put_compression,[self:Any],None
/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_append,[self:Any],None,/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_put_compression_blosc,[self:Any],None
/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_panel_select,[self:Any],None,/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_remove_crit,[self:Any],None
/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_put,[self:Any],None,/app/Repos/pandas/pandas/io/tests/test_pytables.py,test_put_compression,[self:Any],None
/app/Repos/pandas/pandas/sandbox/functions.py,reduce_max,[values:Any;index:Any;buckets:Any;inclusive:Any],None,/app/Repos/pandas/pandas/sandbox/functions.py,reduce_mean,[values:Any;index:Any;buckets:Any;inclusive:Any],None
/app/Repos/pandas/pandas/sandbox/functions.py,reduce_max,[values:Any;index:Any;buckets:Any;inclusive:Any],None,/app/Repos/pandas/pandas/sandbox/functions.py,reduce_min,[values:Any;index:Any;buckets:Any;inclusive:Any],None
/app/Repos/pandas/pandas/sandbox/functions.py,reduce_max,[values:Any;index:Any;buckets:Any;inclusive:Any],None,/app/Repos/pandas/pandas/sandbox/functions.py,reduce_prod,[values:Any;index:Any;buckets:Any;inclusive:Any],None
/app/Repos/pandas/pandas/sandbox/functions.py,reduce_mean,[values:Any;index:Any;buckets:Any;inclusive:Any],None,/app/Repos/pandas/pandas/sandbox/functions.py,reduce_min,[values:Any;index:Any;buckets:Any;inclusive:Any],None
/app/Repos/pandas/pandas/sandbox/functions.py,reduce_mean,[values:Any;index:Any;buckets:Any;inclusive:Any],None,/app/Repos/pandas/pandas/sandbox/functions.py,reduce_prod,[values:Any;index:Any;buckets:Any;inclusive:Any],None
/app/Repos/pandas/pandas/sandbox/functions.py,reduce_min,[values:Any;index:Any;buckets:Any;inclusive:Any],None,/app/Repos/pandas/pandas/sandbox/functions.py,reduce_prod,[values:Any;index:Any;buckets:Any;inclusive:Any],None
/app/Repos/pandas/pandas/sandbox/stats/rls.py,rwendog,[self:Any],None,/app/Repos/pandas/pandas/sandbox/stats/rls.py,rwexog,[self:Any],None
/app/Repos/pandas/pandas/stats/misc.py,_bucket_labels,[series:Any;k:Any],None,/app/Repos/pandas/pandas/stats/misc.py,_split_quantile,[arr:Any;k:Any],None
/app/Repos/pandas/pandas/stats/misc.py,_bucketpanel_by,[series:Any;xby:Any;yby:Any;xbins:Any;ybins:Any],None,/app/Repos/pandas/pandas/stats/misc.py,relabel,[key:Any],None
/app/Repos/pandas/pandas/stats/moments.py,_rolling_func,[func:Any;desc:Any;check_minp:Any],None,/app/Repos/pandas/pandas/stats/moments.py,f,[arg:Any;window:Any;min_periods:Any;time_rule:Any],None
/app/Repos/pandas/pandas/stats/moments.py,_rolling_func,[func:Any;desc:Any;check_minp:Any],None,/app/Repos/pandas/pandas/stats/moments.py,rolling_apply,[arg:Any;window:Any;func:Any;min_periods:Any;time_rule:Any],None
/app/Repos/pandas/pandas/stats/moments.py,_rolling_func,[func:Any;desc:Any;check_minp:Any],None,/app/Repos/pandas/pandas/stats/moments.py,rolling_quantile,[arg:Any;window:Any;quantile:Any;min_periods:Any;time_rule:Any],None
/app/Repos/pandas/pandas/stats/moments.py,ewmcorr,[arg1:Any;arg2:Any;com:Any;span:Any;min_periods:Any;time_rule:Any],None,/app/Repos/pandas/pandas/stats/moments.py,ewmcov,[arg1:Any;arg2:Any;com:Any;span:Any;min_periods:Any;bias:Any;time_rule:Any],None
/app/Repos/pandas/pandas/stats/moments.py,ewmstd,[arg:Any;com:Any;span:Any;min_periods:Any;bias:Any;time_rule:Any],None,/app/Repos/pandas/pandas/stats/moments.py,ewmvar,[arg:Any;com:Any;span:Any;min_periods:Any;bias:Any;time_rule:Any],None
