A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/bench/bench_tseries.py,_test,[],None,/app/Repos/pandas/bench/bench_tseries.py,bench_groupby,[],None
/app/Repos/pandas/bench/bench_tseries.py,compare_with_null,[d1:Any;d2:Any],None,/app/Repos/pandas/bench/bench_tseries.py,test_groupby,[],None
/app/Repos/pandas/doc/make.py,latex,[],None,/app/Repos/pandas/vb_suite/make.py,latex,[],None
/app/Repos/pandas/pandas/core/algorithms.py,count,[values:Any;uniques:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,match,[values:Any;index:Any],None
/app/Repos/pandas/pandas/core/common.py,_maybe_upcast,[values:Any],None,/app/Repos/pandas/pandas/core/nanops.py,unique1d,[values:Any],None
/app/Repos/pandas/pandas/core/common.py,take_2d,[arr:Any;indexer:Any;out:Any;mask:Any;needs_masking:Any;axis:Any],None,/app/Repos/pandas/pandas/core/common.py,take_fast,[arr:Any;indexer:Any;mask:Any;needs_masking:Any;axis:Any;out:Any],None
/app/Repos/pandas/pandas/core/daterange.py,_can_fast_union,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/daterange.py,_fast_union,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/daterange.py,_can_fast_union,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/daterange.py,intersection,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/daterange.py,_wrap_joined_index,[self:Any;joined:Any;other:Any],None,/app/Repos/pandas/pandas/core/index.py,_wrap_union_result,[self:Any;other:Any;result:Any],None
/app/Repos/pandas/pandas/core/daterange.py,intersection,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/daterange.py,union,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/daterange.py,tz_localize,[self:Any;tz:Any],None,/app/Repos/pandas/pandas/core/daterange.py,tz_normalize,[self:Any;tz:Any],None
/app/Repos/pandas/pandas/core/datetools.py,__init__,[self:Any;n:Any;**kwds:Any],None,/app/Repos/pandas/pandas/core/datetools.py,__init__,[self:Any;n:Any;**kwds:Any],None
/app/Repos/pandas/pandas/core/datetools.py,__repr__,[self:Any],None,/app/Repos/pandas/pandas/core/datetools.py,__repr__,[self:Any],None
/app/Repos/pandas/pandas/core/datetools.py,apply,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/datetools.py,apply,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/datetools.py,rollback,[self:Any;someDate:Any],None,/app/Repos/pandas/pandas/core/datetools.py,rollforward,[self:Any;someDate:Any],None
/app/Repos/pandas/pandas/core/format.py,to_html,[self:Any],None,/app/Repos/pandas/pandas/core/format.py,write_tr,[buf:Any;l:Any;indent:Any;indent_delta:Any;header:Any],None
/app/Repos/pandas/pandas/core/frame.py,_align_frame,[self:Any;other:Any;join:Any;axis:Any;level:Any;copy:Any],None,/app/Repos/pandas/pandas/core/series.py,align,[self:Any;other:Any;join:Any;level:Any;copy:Any],None
/app/Repos/pandas/pandas/core/frame.py,_align_series,[self:Any;other:Any;join:Any;axis:Any;level:Any;copy:Any],None,/app/Repos/pandas/pandas/core/series.py,align,[self:Any;other:Any;join:Any;level:Any;copy:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[func:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,_combine_const,[self:Any;other:Any;func:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[func:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,comp_method,[func:Any;name:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[func:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[func:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[func:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/panel.py,_arith_method,[func:Any;name:Any],None
/app/Repos/pandas/pandas/core/frame.py,_combine_const,[self:Any;other:Any;func:Any],None,/app/Repos/pandas/pandas/core/frame.py,_compare_frame,[self:Any;other:Any;func:Any],None
/app/Repos/pandas/pandas/core/frame.py,_combine_const,[self:Any;other:Any;func:Any],None,/app/Repos/pandas/pandas/core/frame.py,apply,[self:Any;func:Any;axis:Any;broadcast:Any;raw:Any;args:Any;**kwds:Any],None
/app/Repos/pandas/pandas/core/frame.py,_combine_const,[self:Any;other:Any;func:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,_combine_frame,[self:Any;other:Any;func:Any;fill_value:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,_binop,[self:Any;other:Any;func:Any;level:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,_reindex_columns,[self:Any;new_columns:Any;copy:Any;level:Any],None,/app/Repos/pandas/pandas/core/frame.py,_reindex_index,[self:Any;new_index:Any;method:Any;copy:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,_shift_block,[blk:Any;indexer:Any],None,/app/Repos/pandas/pandas/core/frame.py,shift,[self:Any;periods:Any;offset:Any;**kwds:Any],None
/app/Repos/pandas/pandas/core/frame.py,asfreq,[self:Any;freq:Any;method:Any],None,/app/Repos/pandas/pandas/core/series.py,asfreq,[self:Any;freq:Any;method:Any],None
/app/Repos/pandas/pandas/core/frame.py,comp_method,[func:Any;name:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,comp_method,[func:Any;name:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/frame.py,fillna,[self:Any;value:Any;method:Any],None,/app/Repos/pandas/pandas/core/panel.py,fillna,[self:Any;value:Any;method:Any],None
/app/Repos/pandas/pandas/core/frame.py,irow,[self:Any;i:Any],None,/app/Repos/pandas/pandas/core/series.py,iget_value,[self:Any;i:Any],None
/app/Repos/pandas/pandas/core/frame.py,reorder_levels,[self:Any;order:Any;axis:Any],None,/app/Repos/pandas/pandas/core/series.py,reorder_levels,[self:Any;order:Any],None
/app/Repos/pandas/pandas/core/frame.py,stack,[self:Any;level:Any;dropna:Any],None,/app/Repos/pandas/pandas/core/series.py,unstack,[self:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,take,[self:Any;indices:Any;axis:Any],None,/app/Repos/pandas/pandas/core/series.py,take,[self:Any;indices:Any;axis:Any],None
/app/Repos/pandas/pandas/core/frame.py,unstack,[self:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,unstack,[self:Any;level:Any],None
/app/Repos/pandas/pandas/core/generic.py,drop,[self:Any;labels:Any;axis:Any],None,/app/Repos/pandas/pandas/core/generic.py,select,[self:Any;crit:Any;axis:Any],None
/app/Repos/pandas/pandas/core/groupby.py,_aggregate_generic,[self:Any;func:Any;*args:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/groupby.py,_aggregate_generic,[self:Any;func:Any;*args:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/groupby.py,_cython_agg_general,[self:Any;how:Any],None,/app/Repos/pandas/pandas/core/groupby.py,_cython_agg_general,[self:Any;how:Any],None
/app/Repos/pandas/pandas/core/groupby.py,_cython_agg_general,[self:Any;how:Any],None,/app/Repos/pandas/pandas/core/groupby.py,_wrap_aggregated_output,[self:Any;output:Any;mask:Any;comp_ids:Any],None
/app/Repos/pandas/pandas/core/groupby.py,groups,[self:Any],None,/app/Repos/pandas/pandas/core/groupby.py,indices,[self:Any],None
/app/Repos/pandas/pandas/core/indexing.py,_check_bool_indexer,[ax:Any;key:Any],None,/app/Repos/pandas/pandas/core/series.py,_check_bool_indexer,[self:Any;key:Any],None
/app/Repos/pandas/pandas/core/indexing.py,_convert_to_indexer,[self:Any;obj:Any;axis:Any],None,/app/Repos/pandas/pandas/core/indexing.py,_get_slice_axis,[self:Any;slice_obj:Any;axis:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_bottleneck_switch,[bn_name:Any;alt:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/nanops.py,f,[values:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/series.py,_get_with,[self:Any;key:Any],None,/app/Repos/pandas/pandas/core/series.py,_set_with,[self:Any;key:Any;value:Any],None
/app/Repos/pandas/pandas/core/series.py,cummax,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/series.py,cummin,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/series.py,cummax,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/series.py,cumprod,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/series.py,cummax,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/series.py,cumsum,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/series.py,cummin,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/series.py,cumprod,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/series.py,cummin,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/series.py,cumsum,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/series.py,cumprod,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/series.py,cumsum,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/series.py,first_valid_index,[self:Any],None,/app/Repos/pandas/pandas/core/series.py,last_valid_index,[self:Any],None
/app/Repos/pandas/pandas/core/series.py,hist,[self:Any;ax:Any;grid:Any;**kwds:Any],None,/app/Repos/pandas/pandas/core/series.py,plot,[self:Any;label:Any;kind:Any;use_index:Any;rot:Any;ax:Any;style:Any;grid:Any;logy:Any;**kwds:Any],None
/app/Repos/pandas/pandas/core/series.py,idxmax,[self:Any;axis:Any;out:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/series.py,idxmin,[self:Any;axis:Any;out:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/series.py,mad,[self:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,max,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,mad,[self:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,median,[self:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,mad,[self:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,min,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,mad,[self:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,skew,[self:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,mad,[self:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,std,[self:Any;axis:Any;dtype:Any;out:Any;ddof:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,max,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,mean,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,max,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,median,[self:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,max,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,min,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,max,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,prod,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,max,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,skew,[self:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,max,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,std,[self:Any;axis:Any;dtype:Any;out:Any;ddof:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,max,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,sum,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,max,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,var,[self:Any;axis:Any;dtype:Any;out:Any;ddof:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,mean,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,median,[self:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,mean,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,min,[self:Any;axis:Any;out:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,mean,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,prod,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/series.py,mean,[self:Any;axis:Any;dtype:Any;out:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/series.py,skew,[self:Any;skipna:Any;level:Any],None
