A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/pandas/compat/scipy.py,scoreatpercentile,[a:Any;per:Any;limit:Any;interpolation_method:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,_get_score,[at:Any],None
/app/Repos/pandas/pandas/compat/scipy.py,scoreatpercentile,[a:Any;per:Any;limit:Any;interpolation_method:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,quantile,[x:Any;q:Any;interpolation_method:Any],None
/app/Repos/pandas/pandas/core/algorithms.py,_get_score,[at:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,quantile,[x:Any;q:Any;interpolation_method:Any],None
/app/Repos/pandas/pandas/core/categorical.py,_cat_compare_op,[op:Any],None,/app/Repos/pandas/pandas/core/categorical.py,f,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/common.py,_concat_compat,[to_concat:Any;axis:Any],None,/app/Repos/pandas/pandas/core/internals.py,_vstack,[to_stack:Any],None
/app/Repos/pandas/pandas/core/daterange.py,__new__,[cls:Any;start:Any;end:Any;periods:Any;offset:Any;time_rule:Any;tzinfo:Any;name:Any;**kwds:Any],None,/app/Repos/pandas/pandas/tseries/period.py,period_range,[start:Any;end:Any;periods:Any;freq:Any;name:Any],None
/app/Repos/pandas/pandas/core/format.py,_column_header,[],None,/app/Repos/pandas/pandas/core/format.py,_write_header,[self:Any;indent:Any],None
/app/Repos/pandas/pandas/core/format.py,_cond,[values:Any],None,/app/Repos/pandas/pandas/core/format.py,_trim_zeros,[str_floats:Any;na_rep:Any],None
/app/Repos/pandas/pandas/core/format.py,_make_fixed_width,[strings:Any;justify:Any;minimum:Any],None,/app/Repos/pandas/pandas/core/format.py,just,[x:Any],None
/app/Repos/pandas/pandas/core/format.py,to_latex,[self:Any;force_unicode:Any;column_format:Any],None,/app/Repos/pandas/pandas/core/format.py,to_string,[self:Any;force_unicode:Any],None
/app/Repos/pandas/pandas/core/frame.py,__getitem__,[self:Any;key:Any],None,/app/Repos/pandas/pandas/sparse/frame.py,__getitem__,[self:Any;key:Any],None
