A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/pandas/core/common.py,_convert_wrapper,[f:Any;conv_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,_get_take_1d_function,[dtype:Any;out_dtype:Any],None
/app/Repos/pandas/pandas/core/common.py,_convert_wrapper,[f:Any;conv_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,_get_take_2d_function,[dtype:Any;out_dtype:Any;axis:Any],None
/app/Repos/pandas/pandas/core/common.py,_convert_wrapper,[f:Any;conv_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,_view_wrapper,[f:Any;arr_dtype:Any;out_dtype:Any;fill_wrap:Any],None
/app/Repos/pandas/pandas/core/common.py,_get_take_1d_function,[dtype:Any;out_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,_get_take_2d_function,[dtype:Any;out_dtype:Any;axis:Any],None
/app/Repos/pandas/pandas/core/common.py,_isnull_ndarraylike,[obj:Any],None,/app/Repos/pandas/pandas/core/common.py,_isnull_ndarraylike_old,[obj:Any],None
/app/Repos/pandas/pandas/core/common.py,_isnull_new,[obj:Any],None,/app/Repos/pandas/pandas/core/common.py,_isnull_old,[obj:Any],None
/app/Repos/pandas/pandas/core/common.py,_view_wrapper,[f:Any;arr_dtype:Any;out_dtype:Any;fill_wrap:Any],None,/app/Repos/pandas/pandas/core/common.py,wrapper,[arr:Any;indexer:Any;out:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/common.py,take_1d,[arr:Any;indexer:Any;out:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/common.py,take_2d_multi,[arr:Any;row_idx:Any;col_idx:Any;fill_value:Any;out:Any],None
/app/Repos/pandas/pandas/core/common.py,take_1d,[arr:Any;indexer:Any;out:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/common.py,take_fast,[arr:Any;indexer:Any;mask:Any;needs_masking:Any;axis:Any;out:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/common.py,take_1d,[arr:Any;indexer:Any;out:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/common.py,take_nd,[arr:Any;indexer:Any;out:Any;axis:Any;fill_value:Any],None
