A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/pandas/core/algorithms.py,factorize,[values:Any;sort:Any;order:Any;na_sentinel:Any],None,/app/Repos/pandas/pandas/core/groupby.py,_reorder_by_uniques,[uniques:Any;labels:Any],None
/app/Repos/pandas/pandas/core/common.py,_convert_wrapper,[f:Any;conv_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,_get_take_1d_function,[dtype:Any;out_dtype:Any],None
/app/Repos/pandas/pandas/core/common.py,_convert_wrapper,[f:Any;conv_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,_get_take_2d_function,[dtype:Any;out_dtype:Any;axis:Any],None
/app/Repos/pandas/pandas/core/common.py,_get_take_1d_function,[dtype:Any;out_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,_get_take_2d_function,[dtype:Any;out_dtype:Any;axis:Any],None
/app/Repos/pandas/pandas/core/common.py,take_1d,[arr:Any;indexer:Any;out:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/common.py,take_2d_multi,[arr:Any;row_idx:Any;col_idx:Any;fill_value:Any;out:Any],None
/app/Repos/pandas/pandas/core/common.py,take_1d,[arr:Any;indexer:Any;out:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/common.py,take_fast,[arr:Any;indexer:Any;mask:Any;needs_masking:Any;axis:Any;out:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/common.py,take_1d,[arr:Any;indexer:Any;out:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/common.py,take_nd,[arr:Any;indexer:Any;out:Any;axis:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/format.py,_format_value,[self:Any;val:Any],None,/app/Repos/pandas/pandas/core/frame.py,_helper_csv,[self:Any;writer:Any;na_rep:Any;cols:Any;header:Any;index:Any;index_label:Any;float_format:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,_comp_method,[func:Any;name:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;default_axis:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/panel.py,_comp_method,[func:Any;name:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/panel.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/series.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,_comp_method,[func:Any;name:Any],None,/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;default_axis:Any],None
/app/Repos/pandas/pandas/core/frame.py,_comp_method,[func:Any;name:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/frame.py,_comp_method,[func:Any;name:Any],None,/app/Repos/pandas/pandas/core/panel.py,_comp_method,[func:Any;name:Any],None
/app/Repos/pandas/pandas/core/frame.py,_compare_frame,[self:Any;other:Any;func:Any],None,/app/Repos/pandas/pandas/core/frame.py,_flex_compare_frame,[self:Any;other:Any;func:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,_compare_frame,[self:Any;other:Any;func:Any],None,/app/Repos/pandas/pandas/core/panel.py,_compare_constructor,[self:Any;other:Any;func:Any],None
/app/Repos/pandas/pandas/core/frame.py,_compare_frame,[self:Any;other:Any;func:Any],None,/app/Repos/pandas/pandas/sparse/frame.py,_combine_const,[self:Any;other:Any;func:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/panel.py,_comp_method,[func:Any;name:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/panel.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/series.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_compare_frame,[self:Any;other:Any;func:Any;level:Any],None,/app/Repos/pandas/pandas/sparse/frame.py,_combine_const,[self:Any;other:Any;func:Any],None
/app/Repos/pandas/pandas/core/frame.py,_getitem_slice,[self:Any;key:Any],None,/app/Repos/pandas/pandas/core/frame.py,_setitem_slice,[self:Any;key:Any;value:Any],None
/app/Repos/pandas/pandas/core/frame.py,_getitem_slice,[self:Any;key:Any],None,/app/Repos/pandas/pandas/core/series.py,_get_with,[self:Any;key:Any],None
/app/Repos/pandas/pandas/core/frame.py,_interpolate,[self:Any;to_replace:Any;method:Any;axis:Any;inplace:Any;limit:Any],None,/app/Repos/pandas/pandas/core/frame.py,_replace_dest_dict,[self:Any;to_replace:Any;value:Any;inplace:Any],None
