A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/bench/bench_merge.py,get_test_data,[ngroups:Any;n:Any],None,/app/Repos/pandas/pandas/tools/tests/test_merge.py,get_test_data,[ngroups:Any;n:Any],None
/app/Repos/pandas/bench/bench_unique.py,algo1,[],None,/app/Repos/pandas/bench/bench_unique.py,algo2,[],None
/app/Repos/pandas/bench/bench_unique.py,algo3_nosort,[],None,/app/Repos/pandas/bench/bench_unique.py,algo3_sort,[],None
/app/Repos/pandas/bench/bench_unique.py,algo3_nosort,[],None,/app/Repos/pandas/bench/bench_unique.py,algo4,[],None
/app/Repos/pandas/bench/bench_unique.py,algo3_nosort,[],None,/app/Repos/pandas/bench/bench_unique.py,f2,[],None
/app/Repos/pandas/bench/bench_unique.py,algo3_sort,[],None,/app/Repos/pandas/bench/bench_unique.py,algo4,[],None
/app/Repos/pandas/bench/bench_unique.py,algo3_sort,[],None,/app/Repos/pandas/bench/bench_unique.py,f2,[],None
/app/Repos/pandas/bench/bench_unique.py,algo4,[],None,/app/Repos/pandas/bench/bench_unique.py,f2,[],None
/app/Repos/pandas/bench/bench_unique.py,dict_unique,[values:Any;expected_K:Any;sort:Any;memory:Any],None,/app/Repos/pandas/bench/bench_unique.py,khash_unique,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],None
/app/Repos/pandas/bench/bench_unique.py,dict_unique,[values:Any;expected_K:Any;sort:Any;memory:Any],None,/app/Repos/pandas/bench/bench_unique.py,khash_unique_str,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],None
/app/Repos/pandas/bench/bench_unique.py,khash_unique,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],None,/app/Repos/pandas/bench/bench_unique.py,khash_unique_int64,[values:Any;expected_K:Any;size_hint:Any;sort:Any],None
/app/Repos/pandas/bench/bench_unique.py,khash_unique,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],None,/app/Repos/pandas/bench/bench_unique.py,khash_unique_str,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],None
/app/Repos/pandas/bench/bench_unique.py,khash_unique_int64,[values:Any;expected_K:Any;size_hint:Any;sort:Any],None,/app/Repos/pandas/bench/bench_unique.py,khash_unique_str,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],None
/app/Repos/pandas/bench/io_roundtrip.py,pandas_roundtrip,[filename:Any;dma1:Any;dma2:Any],None,/app/Repos/pandas/bench/serialize.py,pandas_roundtrip,[filename:Any;dma1:Any;dma2:Any],None
/app/Repos/pandas/bench/test.py,group_mean,[lat:Any;lon:Any;data:Any],None,/app/Repos/pandas/bench/test.py,groupby1,[lat:Any;lon:Any;data:Any],None
/app/Repos/pandas/doc/sphinxext/comment_eater.py,add,[self:Any;string:Any;start:Any;end:Any;line:Any],None,/app/Repos/pandas/doc/sphinxext/comment_eater.py,add,[self:Any;string:Any;start:Any;end:Any;line:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitand,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitor,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_List,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_AssTuple,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Tuple,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitand,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitor,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitand,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_List,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitand,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitor,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_List,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Bitor,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_From,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Import,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_If,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_IfExp,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_List,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,__init__,[self:Any;docstring:Any;config:Any],None,/app/Repos/pandas/doc/sphinxext/traitsdoc.py,__init__,[self:Any;cls:Any;modulename:Any;func_doc:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,__str__,[self:Any;func_role:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,__str__,[self:Any;indent:Any;func_role:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,_parse_see_also,[self:Any;content:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape.py,parse_item_name,[text:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,_str_index,[self:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,_str_index,[self:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,_str_param_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,_str_member_list,[self:Any;name:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape.py,_str_param_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,_str_param_list,[self:Any;name:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,__str__,[self:Any;indent:Any;func_role:Any],None,/app/Repos/pandas/doc/sphinxext/traitsdoc.py,__str__,[self:Any;indent:Any;func_role:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,_str_member_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,_str_param_list,[self:Any;name:Any],None
/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,get_doc_object,[obj:Any;what:Any;doc:Any;config:Any],None,/app/Repos/pandas/doc/sphinxext/traitsdoc.py,get_doc_object,[obj:Any;what:Any;config:Any],None
/app/Repos/pandas/doc/sphinxext/phantom_import.py,_get_bases,[node:Any;recurse:Any],None,/app/Repos/pandas/doc/sphinxext/phantom_import.py,import_phantom_module,[xml_file:Any],None
/app/Repos/pandas/doc/sphinxext/phantom_import.py,base_cmp,[a:Any;b:Any],None,/app/Repos/pandas/doc/sphinxext/phantom_import.py,import_phantom_module,[xml_file:Any],None
/app/Repos/pandas/pandas/compat/scipy.py,scoreatpercentile,[a:Any;per:Any;limit:Any;interpolation_method:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,_get_score,[at:Any],None
/app/Repos/pandas/pandas/compat/scipy.py,scoreatpercentile,[a:Any;per:Any;limit:Any;interpolation_method:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,quantile,[x:Any;q:Any;interpolation_method:Any],None
/app/Repos/pandas/pandas/core/algorithms.py,_get_score,[at:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,quantile,[x:Any;q:Any;interpolation_method:Any],None
/app/Repos/pandas/pandas/core/categorical.py,_cat_compare_op,[op:Any],None,/app/Repos/pandas/pandas/core/categorical.py,f,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/common.py,_convert_wrapper,[f:Any;conv_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,_view_wrapper,[f:Any;arr_dtype:Any;out_dtype:Any;fill_wrap:Any],None
/app/Repos/pandas/pandas/core/common.py,_isnull_ndarraylike,[obj:Any],None,/app/Repos/pandas/pandas/core/common.py,_isnull_ndarraylike_old,[obj:Any],None
/app/Repos/pandas/pandas/core/common.py,_isnull_new,[obj:Any],None,/app/Repos/pandas/pandas/core/common.py,_isnull_old,[obj:Any],None
/app/Repos/pandas/pandas/core/common.py,_view_wrapper,[f:Any;arr_dtype:Any;out_dtype:Any;fill_wrap:Any],None,/app/Repos/pandas/pandas/core/common.py,wrapper,[arr:Any;indexer:Any;out:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/common.py,backfill_1d,[values:Any;limit:Any;mask:Any],None,/app/Repos/pandas/pandas/core/common.py,backfill_2d,[values:Any;limit:Any;mask:Any],None
/app/Repos/pandas/pandas/core/common.py,backfill_1d,[values:Any;limit:Any;mask:Any],None,/app/Repos/pandas/pandas/core/common.py,pad_1d,[values:Any;limit:Any;mask:Any],None
/app/Repos/pandas/pandas/core/common.py,backfill_1d,[values:Any;limit:Any;mask:Any],None,/app/Repos/pandas/pandas/core/common.py,pad_2d,[values:Any;limit:Any;mask:Any],None
/app/Repos/pandas/pandas/core/common.py,backfill_2d,[values:Any;limit:Any;mask:Any],None,/app/Repos/pandas/pandas/core/common.py,pad_1d,[values:Any;limit:Any;mask:Any],None
/app/Repos/pandas/pandas/core/common.py,backfill_2d,[values:Any;limit:Any;mask:Any],None,/app/Repos/pandas/pandas/core/common.py,pad_2d,[values:Any;limit:Any;mask:Any],None
/app/Repos/pandas/pandas/core/common.py,intersection,[*seqs:Any],None,/app/Repos/pandas/pandas/core/common.py,union,[*seqs:Any],None
/app/Repos/pandas/pandas/core/common.py,pad_1d,[values:Any;limit:Any;mask:Any],None,/app/Repos/pandas/pandas/core/common.py,pad_2d,[values:Any;limit:Any;mask:Any],None
/app/Repos/pandas/pandas/core/config.py,pp,[name:Any;ks:Any],None,/app/Repos/pandas/pandas/core/config.py,pp_options_list,[keys:Any;width:Any;_print:Any],None
/app/Repos/pandas/pandas/core/daterange.py,__new__,[cls:Any;start:Any;end:Any;periods:Any;offset:Any;time_rule:Any;tzinfo:Any;name:Any;**kwds:Any],None,/app/Repos/pandas/pandas/tseries/period.py,period_range,[start:Any;end:Any;periods:Any;freq:Any;name:Any],None
/app/Repos/pandas/pandas/core/format.py,_column_header,[],None,/app/Repos/pandas/pandas/core/format.py,_write_header,[self:Any;indent:Any],None
/app/Repos/pandas/pandas/core/format.py,_cond,[values:Any],None,/app/Repos/pandas/pandas/core/format.py,_trim_zeros,[str_floats:Any;na_rep:Any],None
/app/Repos/pandas/pandas/core/format.py,_format_with,[self:Any;fmt_str:Any],None,/app/Repos/pandas/pandas/core/format.py,_val,[x:Any;threshold:Any],None
/app/Repos/pandas/pandas/core/format.py,_make_fixed_width,[strings:Any;justify:Any;minimum:Any],None,/app/Repos/pandas/pandas/core/format.py,just,[x:Any],None
/app/Repos/pandas/pandas/core/format.py,get_result,[self:Any],None,/app/Repos/pandas/pandas/core/format.py,get_result,[self:Any],None
/app/Repos/pandas/pandas/core/format.py,to_latex,[self:Any;force_unicode:Any;column_format:Any],None,/app/Repos/pandas/pandas/core/format.py,to_string,[self:Any;force_unicode:Any],None
/app/Repos/pandas/pandas/core/frame.py,__setstate__,[self:Any;state:Any],None,/app/Repos/pandas/pandas/core/panel.py,__setstate__,[self:Any;state:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_op,[left:Any;right:Any],None,/app/Repos/pandas/pandas/core/frame.py,_combine_frame,[self:Any;other:Any;func:Any;fill_value:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,_combine_match_columns,[self:Any;other:Any;func:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/frame.py,_combine_match_index,[self:Any;other:Any;func:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,_from_axes,[cls:Any;data:Any;axes:Any],None,/app/Repos/pandas/pandas/core/panel.py,_from_axes,[cls:Any;data:Any;axes:Any],None
/app/Repos/pandas/pandas/core/frame.py,_reindex_columns,[self:Any;new_columns:Any;copy:Any;level:Any;fill_value:Any;limit:Any],None,/app/Repos/pandas/pandas/core/frame.py,_reindex_index,[self:Any;new_index:Any;method:Any;copy:Any;level:Any;fill_value:Any;limit:Any],None
/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,na_op,[x:Any;y:Any],None,/app/Repos/pandas/pandas/core/frame.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,na_op,[x:Any;y:Any],None,/app/Repos/pandas/pandas/core/panel.py,_comp_method,[func:Any;name:Any],None
/app/Repos/pandas/pandas/core/frame.py,na_op,[x:Any;y:Any],None,/app/Repos/pandas/pandas/core/panel.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,na_op,[x:Any;y:Any],None,/app/Repos/pandas/pandas/core/series.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,to_latex,[self:Any;buf:Any;columns:Any;col_space:Any;colSpace:Any;header:Any;index:Any;na_rep:Any;formatters:Any;float_format:Any;sparsify:Any;index_names:Any;bold_rows:Any;force_unicode:Any],None,/app/Repos/pandas/pandas/core/frame.py,to_string,[self:Any;buf:Any;columns:Any;col_space:Any;colSpace:Any;header:Any;index:Any;na_rep:Any;formatters:Any;float_format:Any;sparsify:Any;nanRep:Any;index_names:Any;justify:Any;force_unicode:Any;line_width:Any],None
/app/Repos/pandas/pandas/core/frame.py,xs,[self:Any;key:Any;axis:Any;level:Any;copy:Any],None,/app/Repos/pandas/pandas/core/panel.py,xs,[self:Any;key:Any;axis:Any;copy:Any],None
/app/Repos/pandas/pandas/core/generic.py,cummax,[self:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/generic.py,cummin,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/generic.py,cummax,[self:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/generic.py,cumprod,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/generic.py,cummax,[self:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/generic.py,cumsum,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/generic.py,cummin,[self:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/generic.py,cumprod,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/generic.py,cummin,[self:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/generic.py,cumsum,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/generic.py,cumprod,[self:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/generic.py,cumsum,[self:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/generic.py,first,[self:Any;offset:Any],None,/app/Repos/pandas/pandas/core/generic.py,last,[self:Any;offset:Any],None
/app/Repos/pandas/pandas/core/generic.py,tz_convert,[self:Any;tz:Any;axis:Any;copy:Any],None,/app/Repos/pandas/pandas/core/generic.py,tz_localize,[self:Any;tz:Any;axis:Any;copy:Any],None
/app/Repos/pandas/pandas/core/groupby.py,_first_compat,[x:Any;axis:Any],None,/app/Repos/pandas/pandas/core/groupby.py,_last_compat,[x:Any;axis:Any],None
/app/Repos/pandas/pandas/core/groupby.py,_groupby_function,[name:Any;alias:Any;npfunc:Any;numeric_only:Any;_convert:Any],None,/app/Repos/pandas/pandas/core/groupby.py,f,[self:Any],None
/app/Repos/pandas/pandas/core/groupby.py,_make_wrapper,[self:Any;name:Any],None,/app/Repos/pandas/pandas/core/groupby.py,wrapper,[*args:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/groupby.py,mean,[self:Any],None,/app/Repos/pandas/pandas/core/groupby.py,median,[self:Any],None
/app/Repos/pandas/pandas/core/groupby.py,std,[self:Any;ddof:Any],None,/app/Repos/pandas/pandas/core/groupby.py,var,[self:Any;ddof:Any],None
/app/Repos/pandas/pandas/core/index.py,__getitem__,[self:Any;key:Any],None,/app/Repos/pandas/pandas/tseries/index.py,__getitem__,[self:Any;key:Any],None
/app/Repos/pandas/pandas/core/index.py,__getitem__,[self:Any;key:Any],None,/app/Repos/pandas/pandas/tseries/period.py,__getitem__,[self:Any;key:Any],None
/app/Repos/pandas/pandas/core/index.py,__setstate__,[self:Any;state:Any],None,/app/Repos/pandas/pandas/tseries/index.py,__setstate__,[self:Any;state:Any],None
/app/Repos/pandas/pandas/core/index.py,_indexOp,[opname:Any],None,/app/Repos/pandas/pandas/core/index.py,wrapper,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/index.py,_indexOp,[opname:Any],None,/app/Repos/pandas/pandas/tseries/index.py,_dt_index_cmp,[opname:Any],None
/app/Repos/pandas/pandas/core/index.py,append,[self:Any;other:Any],None,/app/Repos/pandas/pandas/tseries/index.py,append,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/index.py,append,[self:Any;other:Any],None,/app/Repos/pandas/pandas/tseries/period.py,append,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/index.py,asof_locs,[self:Any;where:Any;mask:Any],None,/app/Repos/pandas/pandas/tseries/period.py,asof_locs,[self:Any;where:Any;mask:Any],None
/app/Repos/pandas/pandas/core/index.py,equals,[self:Any;other:Any],None,/app/Repos/pandas/pandas/tseries/index.py,equals,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/index.py,intersection,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/index.py,union,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/index.py,order,[self:Any;return_indexer:Any;ascending:Any],None,/app/Repos/pandas/pandas/tseries/index.py,order,[self:Any;return_indexer:Any;ascending:Any],None
/app/Repos/pandas/pandas/core/index.py,wrapper,[self:Any;other:Any],None,/app/Repos/pandas/pandas/tseries/index.py,_dt_index_cmp,[opname:Any],None
/app/Repos/pandas/pandas/core/index.py,wrapper,[self:Any;other:Any],None,/app/Repos/pandas/pandas/tseries/index.py,wrapper,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_bottleneck_switch,[bn_name:Any;alt:Any;zero_value:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/nanops.py,f,[values:Any;axis:Any;skipna:Any;**kwds:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_get_counts,[mask:Any;axis:Any],None,/app/Repos/pandas/pandas/core/nanops.py,_maybe_null_out,[result:Any;axis:Any;mask:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_get_counts,[mask:Any;axis:Any],None,/app/Repos/pandas/pandas/core/nanops.py,_nanvar,[values:Any;axis:Any;skipna:Any;ddof:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_nanmax,[values:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/nanops.py,_nanmin,[values:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_nanmax,[values:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/nanops.py,_nansum,[values:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_nanmax,[values:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/nanops.py,nanargmax,[values:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_nanmax,[values:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/nanops.py,nanargmin,[values:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_nanmean,[values:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/nanops.py,_nansum,[values:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_nanmin,[values:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/nanops.py,_nansum,[values:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_nanmin,[values:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/nanops.py,nanargmax,[values:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/nanops.py,_nanmin,[values:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/nanops.py,nanargmin,[values:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/nanops.py,f,[x:Any;y:Any],None,/app/Repos/pandas/pandas/core/nanops.py,make_nancomp,[op:Any],None
/app/Repos/pandas/pandas/core/nanops.py,nanargmax,[values:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/nanops.py,nanargmin,[values:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/nanops.py,nancorr,[a:Any;b:Any;method:Any;min_periods:Any],None,/app/Repos/pandas/pandas/core/nanops.py,nancov,[a:Any;b:Any;min_periods:Any],None
/app/Repos/pandas/pandas/core/nanops.py,nankurt,[values:Any;axis:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/nanops.py,nanskew,[values:Any;axis:Any;skipna:Any],None
/app/Repos/pandas/pandas/core/panel.py,__init__,[self:Any;data:Any;items:Any;major_axis:Any;minor_axis:Any;copy:Any;dtype:Any],None,/app/Repos/pandas/pandas/core/panel4d.py,panel4d_init,[self:Any;data:Any;labels:Any;items:Any;major_axis:Any;minor_axis:Any;copy:Any;dtype:Any],None
/app/Repos/pandas/pandas/core/panel.py,__unicode__,[self:Any],None,/app/Repos/pandas/pandas/core/panel.py,axis_pretty,[a:Any],None
/app/Repos/pandas/pandas/core/panel.py,_add_aggregate_operations,[cls:Any],None,/app/Repos/pandas/pandas/core/panel.py,_panel_arith_method,[op:Any;name:Any],None
/app/Repos/pandas/pandas/core/panel.py,_combine,[self:Any;other:Any;func:Any;axis:Any],None,/app/Repos/pandas/pandas/sparse/panel.py,_combine,[self:Any;other:Any;func:Any;axis:Any],None
/app/Repos/pandas/pandas/core/panel.py,_combine_frame,[self:Any;other:Any;func:Any;axis:Any],None,/app/Repos/pandas/pandas/sparse/panel.py,_combineFrame,[self:Any;other:Any;func:Any;axis:Any],None
/app/Repos/pandas/pandas/core/panel.py,_combine_panel,[self:Any;other:Any;func:Any],None,/app/Repos/pandas/pandas/sparse/panel.py,_combinePanel,[self:Any;other:Any;func:Any],None
/app/Repos/pandas/pandas/core/panel.py,_comp_method,[func:Any;name:Any],None,/app/Repos/pandas/pandas/core/panel.py,f,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/panel.py,_comp_method,[func:Any;name:Any],None,/app/Repos/pandas/pandas/core/panel.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/panel.py,_construct_axes_dict,[self:Any;axes:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/panel.py,_construct_axes_dict_for_slice,[self:Any;axes:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/series.py,__setstate__,[self:Any;state:Any],None,/app/Repos/pandas/pandas/sparse/series.py,__setstate__,[self:Any;state:Any],None
/app/Repos/pandas/pandas/core/series.py,_bool_method,[op:Any;name:Any],None,/app/Repos/pandas/pandas/core/series.py,_comp_method,[op:Any;name:Any],None
/app/Repos/pandas/pandas/core/series.py,_bool_method,[op:Any;name:Any],None,/app/Repos/pandas/pandas/core/series.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/series.py,_bool_method,[op:Any;name:Any],None,/app/Repos/pandas/pandas/core/series.py,wrapper,[self:Any;other:Any],None
