A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/pandas/core/common.py,_possibly_cast_to_timedelta,[value:Any;coerce:Any],None,/app/Repos/pandas/pandas/core/common.py,convert,[td:Any;type:Any],None
/app/Repos/pandas/pandas/core/expressions.py,_evaluate_numexpr,[op:Any;op_str:Any;a:Any;b:Any;raise_on_error:Any;**eval_kwargs:Any],None,/app/Repos/pandas/pandas/core/expressions.py,_where_numexpr,[cond:Any;a:Any;b:Any;raise_on_error:Any],None
/app/Repos/pandas/pandas/core/format.py,__init__,[self:Any;df:Any;na_rep:Any;float_format:Any;cols:Any;header:Any;index:Any;index_label:Any],None,/app/Repos/pandas/pandas/core/format.py,__init__,[self:Any;obj:Any;path_or_buf:Any;sep:Any;na_rep:Any;float_format:Any;cols:Any;header:Any;index:Any;index_label:Any;mode:Any;nanRep:Any;encoding:Any;quoting:Any;line_terminator:Any;chunksize:Any;engine:Any;tupleize_cols:Any;quotechar:Any],None
/app/Repos/pandas/pandas/core/format.py,_format_value,[self:Any;val:Any],None,/app/Repos/pandas/pandas/core/format.py,_helper_csv,[self:Any;writer:Any;na_rep:Any;cols:Any;header:Any;index:Any;index_label:Any;float_format:Any],None
/app/Repos/pandas/pandas/core/format.py,_make_fixed_width,[strings:Any;justify:Any;minimum:Any],None,/app/Repos/pandas/pandas/core/format.py,just,[x:Any],None
/app/Repos/pandas/pandas/core/format.py,to_html,[self:Any;classes:Any],None,/app/Repos/pandas/pandas/core/format.py,to_latex,[self:Any;force_unicode:Any;column_format:Any],None
/app/Repos/pandas/pandas/core/frame.py,_agg_by_level,[self:Any;name:Any;axis:Any;level:Any;skipna:Any;**kwds:Any],None,/app/Repos/pandas/pandas/core/series.py,_agg_by_level,[self:Any;name:Any;level:Any;skipna:Any;**kwds:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],None,/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;str_rep:Any;default_axis:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],None,/app/Repos/pandas/pandas/core/frame.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],None,/app/Repos/pandas/pandas/core/panel.py,_comp_method,[func:Any;name:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],None,/app/Repos/pandas/pandas/core/panel.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,_arith_method,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],None,/app/Repos/pandas/pandas/core/series.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,_comp_method,[func:Any;name:Any;str_rep:Any],None,/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;str_rep:Any;default_axis:Any],None
/app/Repos/pandas/pandas/core/frame.py,_comp_method,[func:Any;name:Any;str_rep:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/frame.py,_compare_frame,[self:Any;other:Any;func:Any;str_rep:Any],None,/app/Repos/pandas/pandas/core/frame.py,_flex_compare_frame,[self:Any;other:Any;func:Any;str_rep:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;str_rep:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;str_rep:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,f,[self:Any;other:Any;axis:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;str_rep:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/frame.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;str_rep:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/panel.py,_comp_method,[func:Any;name:Any],None
/app/Repos/pandas/pandas/core/frame.py,_flex_comp_method,[op:Any;name:Any;str_rep:Any;default_axis:Any],None,/app/Repos/pandas/pandas/core/panel.py,na_op,[x:Any;y:Any],None
/app/Repos/pandas/pandas/core/frame.py,_ixs,[self:Any;i:Any;axis:Any;copy:Any],None,/app/Repos/pandas/pandas/core/series.py,_ixs,[self:Any;i:Any;axis:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/frame.py,any,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/frame.py,kurt,[self:Any;axis:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/frame.py,max,[self:Any;axis:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/frame.py,mean,[self:Any;axis:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/frame.py,median,[self:Any;axis:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/frame.py,min,[self:Any;axis:Any;skipna:Any;level:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any],None,/app/Repos/pandas/pandas/core/frame.py,prod,[self:Any;axis:Any;skipna:Any;level:Any],None
