A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/doc/make.py,latex,[],None,/app/Repos/pandas/doc/make.py,latex_forced,[],None
/app/Repos/pandas/doc/sphinxext/numpydoc/comment_eater.py,add,[self:Any;string:Any;start:Any;end:Any;line:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/comment_eater.py,add,[self:Any;string:Any;start:Any;end:Any;line:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Bitand,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Bitor,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_List,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_And,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_AssTuple,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Tuple,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Bitand,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Bitor,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Bitand,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_List,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Bitand,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Bitor,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_List,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Bitor,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_From,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Import,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_If,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_IfExp,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_List,[self:Any;t:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,_Or,[self:Any;t:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,__init__,[self:Any;docstring:Any;config:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/traitsdoc.py,__init__,[self:Any;cls:Any;modulename:Any;func_doc:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,__str__,[self:Any;func_role:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,__str__,[self:Any;indent:Any;func_role:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,_parse_see_also,[self:Any;content:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,parse_item_name,[text:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,_str_index,[self:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_index,[self:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,_str_param_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_member_list,[self:Any;name:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,_str_param_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_param_list,[self:Any;name:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,methods,[self:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,properties,[self:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,__str__,[self:Any;indent:Any;func_role:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/traitsdoc.py,__str__,[self:Any;indent:Any;func_role:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_param_list,[self:Any;name:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_returns,[self:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,get_doc_object,[obj:Any;what:Any;doc:Any;config:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/traitsdoc.py,get_doc_object,[obj:Any;what:Any;config:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/numpydoc.py,run,[self:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/numpydoc.py,wrap_mangling_directive,[base_directive:Any;objtype:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,_get_bases,[node:Any;recurse:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,import_phantom_module,[xml_file:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,base_cmp,[a:Any;b:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,import_phantom_module,[xml_file:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/plot_directive.py,relpath,[path:Any;start:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/plot_directive.py,relpath,[path:Any;start:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/tests/test_docscrape.py,test_other_parameters,[],None,/app/Repos/pandas/doc/sphinxext/numpydoc/tests/test_docscrape.py,test_parameters,[],None
/app/Repos/pandas/pandas/compat/chainmap_impl.py,decorating_function,[user_function:Any],None,/app/Repos/pandas/pandas/compat/chainmap_impl.py,recursive_repr,[fillvalue:Any],None
/app/Repos/pandas/pandas/compat/chainmap_impl.py,decorating_function,[user_function:Any],None,/app/Repos/pandas/pandas/compat/chainmap_impl.py,wrapper,[self:Any],None
/app/Repos/pandas/pandas/compat/chainmap_impl.py,recursive_repr,[fillvalue:Any],None,/app/Repos/pandas/pandas/compat/chainmap_impl.py,wrapper,[self:Any],None
/app/Repos/pandas/pandas/computation/tests/test_eval.py,test_date_boolean,[self:Any],None,/app/Repos/pandas/pandas/tests/test_frame.py,test_date_query_no_attribute_access,[self:Any],None
/app/Repos/pandas/pandas/computation/tests/test_eval.py,test_date_boolean,[self:Any],None,/app/Repos/pandas/pandas/tests/test_frame.py,test_date_query_with_attribute_access,[self:Any],None
/app/Repos/pandas/pandas/computation/tests/test_eval.py,test_fails_ampersand,[self:Any],None,/app/Repos/pandas/pandas/tests/test_frame.py,test_nested_scope,[self:Any],None
/app/Repos/pandas/pandas/computation/tests/test_eval.py,test_fails_pipe,[self:Any],None,/app/Repos/pandas/pandas/tests/test_frame.py,test_nested_scope,[self:Any],None
/app/Repos/pandas/pandas/core/common.py,_possibly_convert_objects,[values:Any;convert_dates:Any;convert_numeric:Any;convert_timedeltas:Any],None,/app/Repos/pandas/pandas/core/common.py,_possibly_convert_platform,[values:Any],None
/app/Repos/pandas/pandas/core/common.py,backfill_1d,[values:Any;limit:Any;mask:Any;dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,backfill_2d,[values:Any;limit:Any;mask:Any;dtype:Any],None
