A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/pandas/compat/scipy.py,scoreatpercentile,[a:Any;per:Any;limit:Any;interpolation_method:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,_get_score,[at:Any],None
/app/Repos/pandas/pandas/compat/scipy.py,scoreatpercentile,[a:Any;per:Any;limit:Any;interpolation_method:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,quantile,[x:Any;q:Any;interpolation_method:Any],None
/app/Repos/pandas/pandas/computation/expressions.py,_evaluate_numexpr,[op:Any;op_str:Any;a:Any;b:Any;raise_on_error:Any;truediv:Any;**eval_kwargs:Any],None,/app/Repos/pandas/pandas/computation/expressions.py,_where_numexpr,[cond:Any;a:Any;b:Any;raise_on_error:Any],None
/app/Repos/pandas/pandas/computation/ops.py,__new__,[cls:Any;name:Any;env:Any;side:Any;encoding:Any],None,/app/Repos/pandas/pandas/computation/pytables.py,__new__,[cls:Any;name:Any;env:Any;side:Any;encoding:Any],None
/app/Repos/pandas/pandas/core/base.py,__new__,[cls:Any;data:Any;dtype:Any;copy:Any],None,/app/Repos/pandas/pandas/core/index.py,__new__,[cls:Any;data:Any;dtype:Any;copy:Any;name:Any;fastpath:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/common.py,is_datetime64_dtype,[arr_or_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,is_datetime64_ns_dtype,[arr_or_dtype:Any],None
/app/Repos/pandas/pandas/core/common.py,is_datetime64_dtype,[arr_or_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,is_timedelta64_dtype,[arr_or_dtype:Any],None
/app/Repos/pandas/pandas/core/common.py,is_datetime64_ns_dtype,[arr_or_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,is_timedelta64_dtype,[arr_or_dtype:Any],None
/app/Repos/pandas/pandas/core/common.py,is_integer_dtype,[arr_or_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,is_numeric_dtype,[arr_or_dtype:Any],None
/app/Repos/pandas/pandas/core/common.py,take_2d_multi,[arr:Any;indexer:Any;out:Any;fill_value:Any;mask_info:Any;allow_fill:Any],None,/app/Repos/pandas/pandas/core/common.py,take_nd,[arr:Any;indexer:Any;axis:Any;out:Any;fill_value:Any;mask_info:Any;allow_fill:Any],None
