A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/bench/test.py,group_agg,[values:Any;bounds:Any;f:Any],None,/app/Repos/pandas/pandas/stats/plm.py,_group_agg,[values:Any;bounds:Any;f:Any],None
/app/Repos/pandas/pandas/compat/pickle_compat.py,load_newobj,[self:Any],None,/app/Repos/pandas/pandas/compat/pickle_compat.py,load_newobj_ex,[self:Any],None
/app/Repos/pandas/pandas/core/base.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:Any;typ:Any],None,/app/Repos/pandas/pandas/core/base.py,_create_delegator_method,[name:Any],None
/app/Repos/pandas/pandas/core/base.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:Any;typ:Any],None,/app/Repos/pandas/pandas/core/base.py,_create_delegator_property,[name:Any],None
/app/Repos/pandas/pandas/core/categorical.py,fillna,[self:Any;fill_value:Any;method:Any;limit:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/categorical.py,isnull,[self:Any],None
/app/Repos/pandas/pandas/core/categorical.py,max,[self:Any;numeric_only:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/categorical.py,min,[self:Any;numeric_only:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/common.py,_get_dtype,[arr_or_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,_get_dtype_type,[arr_or_dtype:Any],None
/app/Repos/pandas/pandas/core/common.py,_maybe_box_datetimelike,[value:Any],None,/app/Repos/pandas/pandas/core/internals.py,_try_fill,[self:Any;value:Any],None
/app/Repos/pandas/pandas/core/common.py,is_datetime_arraylike,[arr:Any],None,/app/Repos/pandas/pandas/core/common.py,is_period_arraylike,[arr:Any],None
/app/Repos/pandas/pandas/core/format.py,_format_hierarchical_rows,[self:Any],None,/app/Repos/pandas/pandas/core/format.py,_format_regular_rows,[self:Any],None
/app/Repos/pandas/pandas/core/format.py,_format_strings,[self:Any],None,/app/Repos/pandas/pandas/core/format.py,_format_strings,[self:Any],None
/app/Repos/pandas/pandas/core/format.py,_formatter,[x:Any],None,/app/Repos/pandas/pandas/core/format.py,_get_format_timedelta64,[values:Any;nat_rep:Any;box:Any],None
/app/Repos/pandas/pandas/core/format.py,_get_footer,[self:Any],None,/app/Repos/pandas/pandas/core/format.py,_get_footer,[self:Any],None
/app/Repos/pandas/pandas/core/format.py,_save,[self:Any],None,/app/Repos/pandas/pandas/io/sql.py,insert,[self:Any;chunksize:Any],None
