A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/bench/test.py,group_agg,[values:Any;bounds:Any;f:Any],None,/app/Repos/pandas/pandas/core/frame.py,group_agg,[values:Any;bounds:Any;f:Any],None
/app/Repos/pandas/pandas/core/base.py,__new__,[cls:Any;data:Any;dtype:Any;copy:Any],None,/app/Repos/pandas/pandas/core/index.py,__new__,[cls:Any;data:Any;dtype:Any;copy:Any;name:Any;fastpath:Any],None
/app/Repos/pandas/pandas/core/base.py,_field_accessor,[name:Any;docstring:Any],None,/app/Repos/pandas/pandas/tseries/index.py,_field_accessor,[name:Any;field:Any;docstring:Any],None
/app/Repos/pandas/pandas/core/base.py,_ops_compat,[self:Any;name:Any;op_accessor:Any],None,/app/Repos/pandas/pandas/core/base.py,_ops_compat,[self:Any;name:Any;op_accessor:Any],None
/app/Repos/pandas/pandas/core/base.py,max,[self:Any;axis:Any],None,/app/Repos/pandas/pandas/core/base.py,min,[self:Any;axis:Any],None
/app/Repos/pandas/pandas/core/categorical.py,__unicode__,[self:Any],None,/app/Repos/pandas/pandas/core/series.py,__unicode__,[self:Any],None
/app/Repos/pandas/pandas/core/categorical.py,_repr_footer,[self:Any],None,/app/Repos/pandas/pandas/core/format.py,_get_footer,[self:Any],None
/app/Repos/pandas/pandas/core/common.py,_possibly_infer_to_datetimelike,[value:Any],None,/app/Repos/pandas/pandas/core/common.py,_try_timedelta,[v:Any],None
/app/Repos/pandas/pandas/core/format.py,_format_datetime64,[x:Any;tz:Any;nat_rep:Any],None,/app/Repos/pandas/pandas/core/format.py,_format_datetime64_dateonly,[x:Any;nat_rep:Any;date_format:Any],None
/app/Repos/pandas/pandas/core/format.py,_get_format_timedelta64,[values:Any],None,/app/Repos/pandas/pandas/core/format.py,impl,[x:Any],None
/app/Repos/pandas/pandas/core/format.py,to_string,[self:Any],None,/app/Repos/pandas/pandas/core/format.py,to_string,[self:Any],None
/app/Repos/pandas/pandas/core/frame.py,_verbose_repr,[],None,/app/Repos/pandas/pandas/core/frame.py,info,[self:Any;verbose:Any;buf:Any;max_cols:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/frame.py,any,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/generic.py,_add_numeric_operations,[cls:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/generic.py,_make_stat_function,[name:Any;desc:Any;f:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/generic.py,mad,[self:Any;axis:Any;skipna:Any;level:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/generic.py,sem,[self:Any;axis:Any;skipna:Any;level:Any;ddof:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/generic.py,stat_func,[self:Any;axis:Any;skipna:Any;level:Any;numeric_only:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/generic.py,std,[self:Any;axis:Any;skipna:Any;level:Any;ddof:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/frame.py,all,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/generic.py,var,[self:Any;axis:Any;skipna:Any;level:Any;ddof:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/frame.py,any,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/generic.py,_add_numeric_operations,[cls:Any],None
/app/Repos/pandas/pandas/core/frame.py,any,[self:Any;axis:Any;bool_only:Any;skipna:Any;level:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/generic.py,_make_stat_function,[name:Any;desc:Any;f:Any],None
