A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/pandas/computation/tests/test_eval.py,f,[],None,/app/Repos/pandas/pandas/computation/tests/test_eval.py,test_assignment_column,[self:Any],None
/app/Repos/pandas/pandas/computation/tests/test_eval.py,f,[],None,/app/Repos/pandas/pandas/tests/test_categorical.py,test_groupby,[self:Any],None
/app/Repos/pandas/pandas/core/algorithms.py,factorize,[values:Any;sort:Any;order:Any;na_sentinel:Any;size_hint:Any],None,/app/Repos/pandas/pandas/core/groupby.py,_reorder_by_uniques,[uniques:Any;labels:Any],None
/app/Repos/pandas/pandas/core/base.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:Any;typ:Any;overwrite:Any],None,/app/Repos/pandas/pandas/core/base.py,_create_delegator_method,[name:Any],None
/app/Repos/pandas/pandas/core/base.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:Any;typ:Any;overwrite:Any],None,/app/Repos/pandas/pandas/core/base.py,_create_delegator_property,[name:Any],None
/app/Repos/pandas/pandas/core/categorical.py,_delegate_method,[self:Any;name:Any;*args:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/tseries/common.py,_delegate_method,[self:Any;name:Any;*args:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/categorical.py,_slice,[self:Any;slicer:Any],None,/app/Repos/pandas/pandas/core/categorical.py,repeat,[self:Any;repeats:Any],None
/app/Repos/pandas/pandas/core/categorical.py,fillna,[self:Any;value:Any;method:Any;limit:Any],None,/app/Repos/pandas/pandas/core/categorical.py,isnull,[self:Any],None
/app/Repos/pandas/pandas/core/categorical.py,fillna,[self:Any;value:Any;method:Any;limit:Any],None,/app/Repos/pandas/pandas/core/categorical.py,repeat,[self:Any;repeats:Any],None
/app/Repos/pandas/pandas/core/categorical.py,order,[self:Any;inplace:Any;ascending:Any;na_position:Any],None,/app/Repos/pandas/pandas/core/categorical.py,repeat,[self:Any;repeats:Any],None
/app/Repos/pandas/pandas/core/categorical.py,repeat,[self:Any;repeats:Any],None,/app/Repos/pandas/pandas/core/categorical.py,take_nd,[self:Any;indexer:Any;allow_fill:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/common.py,_interp_limit,[invalid:Any;limit:Any],None,/app/Repos/pandas/pandas/core/common.py,interpolate_1d,[xvalues:Any;yvalues:Any;method:Any;limit:Any;fill_value:Any;bounds_error:Any;order:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/common.py,_maybe_upcast_putmask,[result:Any;mask:Any;other:Any],None,/app/Repos/pandas/pandas/core/common.py,changeit,[],None
/app/Repos/pandas/pandas/core/common.py,as_escaped_unicode,[thing:Any;escape_chars:Any],None,/app/Repos/pandas/pandas/core/common.py,pprint_thing,[thing:Any;_nest_lvl:Any;escape_chars:Any;default_escapes:Any;quote_strings:Any;max_seq_items:Any],None
