A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/pandas/computation/tests/test_eval.py,test_date_boolean,[self:Any],None,/app/Repos/pandas/pandas/tests/test_frame.py,test_date_query_no_attribute_access,[self:Any],None
/app/Repos/pandas/pandas/computation/tests/test_eval.py,test_date_boolean,[self:Any],None,/app/Repos/pandas/pandas/tests/test_frame.py,test_date_query_with_attribute_access,[self:Any],None
/app/Repos/pandas/pandas/core/algorithms.py,factorize,[values:Any;sort:Any;order:Any;na_sentinel:Any],None,/app/Repos/pandas/pandas/core/groupby.py,_reorder_by_uniques,[uniques:Any;labels:Any],None
/app/Repos/pandas/pandas/core/base.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:Any;typ:Any],None,/app/Repos/pandas/pandas/core/base.py,_create_delegator_method,[name:Any],None
/app/Repos/pandas/pandas/core/base.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:Any;typ:Any],None,/app/Repos/pandas/pandas/core/base.py,_create_delegator_property,[name:Any],None
/app/Repos/pandas/pandas/core/categorical.py,_tidy_repr,[self:Any;max_vals:Any],None,/app/Repos/pandas/pandas/core/series.py,_tidy_repr,[self:Any;max_vals:Any],None
/app/Repos/pandas/pandas/core/categorical.py,fillna,[self:Any;fill_value:Any;method:Any;limit:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/categorical.py,isnull,[self:Any],None
/app/Repos/pandas/pandas/core/common.py,_interp_limit,[invalid:Any;limit:Any],None,/app/Repos/pandas/pandas/core/common.py,interpolate_1d,[xvalues:Any;yvalues:Any;method:Any;limit:Any;fill_value:Any;bounds_error:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/common.py,_maybe_upcast_putmask,[result:Any;mask:Any;other:Any;dtype:Any;change:Any],None,/app/Repos/pandas/pandas/core/common.py,changeit,[],None
/app/Repos/pandas/pandas/core/common.py,as_escaped_unicode,[thing:Any;escape_chars:Any],None,/app/Repos/pandas/pandas/core/common.py,pprint_thing,[thing:Any;_nest_lvl:Any;escape_chars:Any;default_escapes:Any;quote_strings:Any],None
/app/Repos/pandas/pandas/core/format.py,__init__,[self:Any;categorical:Any;buf:Any;length:Any;na_rep:Any;name:Any;footer:Any],None,/app/Repos/pandas/pandas/core/format.py,__init__,[self:Any;series:Any;buf:Any;header:Any;length:Any;na_rep:Any;name:Any;float_format:Any;dtype:Any],None
/app/Repos/pandas/pandas/core/format.py,_format_strings,[self:Any],None,/app/Repos/pandas/pandas/core/format.py,_format_strings,[self:Any],None
/app/Repos/pandas/pandas/core/frame.py,dropna,[self:Any;axis:Any;how:Any;thresh:Any;subset:Any;inplace:Any],None,/app/Repos/pandas/pandas/core/series.py,dropna,[self:Any;axis:Any;inplace:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/frame.py,to_html,[self:Any;buf:Any;columns:Any;col_space:Any;colSpace:Any;header:Any;index:Any;na_rep:Any;formatters:Any;float_format:Any;sparsify:Any;index_names:Any;justify:Any;bold_rows:Any;classes:Any;escape:Any;max_rows:Any;max_cols:Any;show_dimensions:Any],None,/app/Repos/pandas/pandas/core/frame.py,to_latex,[self:Any;buf:Any;columns:Any;col_space:Any;colSpace:Any;header:Any;index:Any;na_rep:Any;formatters:Any;float_format:Any;sparsify:Any;index_names:Any;bold_rows:Any;longtable:Any;escape:Any],None
/app/Repos/pandas/pandas/core/frame.py,to_html,[self:Any;buf:Any;columns:Any;col_space:Any;colSpace:Any;header:Any;index:Any;na_rep:Any;formatters:Any;float_format:Any;sparsify:Any;index_names:Any;justify:Any;bold_rows:Any;classes:Any;escape:Any;max_rows:Any;max_cols:Any;show_dimensions:Any],None,/app/Repos/pandas/pandas/core/frame.py,to_string,[self:Any;buf:Any;columns:Any;col_space:Any;colSpace:Any;header:Any;index:Any;na_rep:Any;formatters:Any;float_format:Any;sparsify:Any;index_names:Any;justify:Any;line_width:Any;max_rows:Any;max_cols:Any;show_dimensions:Any],None
/app/Repos/pandas/pandas/core/generic.py,__getattr__,[self:Any;name:Any],None,/app/Repos/pandas/pandas/core/generic.py,__setattr__,[self:Any;name:Any;value:Any],None
/app/Repos/pandas/pandas/core/generic.py,_add_numeric_operations,[cls:Any],None,/app/Repos/pandas/pandas/core/generic.py,compound,[self:Any;axis:Any;skipna:Any;level:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/generic.py,_add_numeric_operations,[cls:Any],None,/app/Repos/pandas/pandas/core/generic.py,mad,[self:Any;axis:Any;skipna:Any;level:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/generic.py,_add_numeric_operations,[cls:Any],None,/app/Repos/pandas/pandas/core/generic.py,stat_func,[self:Any;axis:Any;skipna:Any;level:Any;ddof:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/generic.py,_make_logical_function,[name:Any;desc:Any;f:Any],None,/app/Repos/pandas/pandas/core/generic.py,compound,[self:Any;axis:Any;skipna:Any;level:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/generic.py,_make_logical_function,[name:Any;desc:Any;f:Any],None,/app/Repos/pandas/pandas/core/generic.py,stat_func,[self:Any;axis:Any;skipna:Any;level:Any;ddof:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/generic.py,_make_stat_function,[name:Any;desc:Any;f:Any],None,/app/Repos/pandas/pandas/core/generic.py,compound,[self:Any;axis:Any;skipna:Any;level:Any;**kwargs:Any],None
